ĐỎ VÀ ĐEN (Tập 1)	Vörös és fekete	0.229412
Khi nghĩ lại những đối thủ, những kẻ thù mà anh đã gặp trong đời, bao giờ anh cũng thấy rằng anh, Julien, đã sai trái.	Hogy újból végiggondolt küzdelmein, az ellenségeken, a kikkel életében találkozott, úgy találta, hogy mindig ő, Julien, volt a hibás fél.	0.431046
Là vì bây giờ anh đã có một kẻ thù ráo riết, là cái trí tưởng tượng mãnh liệt kia, ngày xưa luôn luôn được dùng để miêu họa cho anh, trong tương lai, những đắc thắng rất rực rỡ.	Ez azért volt így, mert most kérlelhetetlen ellensége támadt abban a hatalmas képzelemben, mely azelőtt azon munkált, hogy a jövőt ragyogó sikerekkel fesse ki.	0.200676
Sự cô đơn tuyệt đối của cuộc đời du lịch làm tăng thêm uy lực của cái trí tưởng tượng đen tối đó.	Az utas-élet föltétlen magányossága csak még növelte e sötét képzelem uralmát.	0.16875
Giá có một người bạn thì quý báu biết chừng nào!	Mily kincs lett volna számára egy barát!	0.157895
Nhưng Julien nghĩ bụng, có một trái tim nào đập rộn ràng vì ta không?	De hát, - szólt magában Julien, - van-e szív, mely értem dobog?	0.222414
Mà dù có một người bạn đi nữa, thì danh dự cũng bắt buộc ta phải vĩnh viễn im hơi lặng tiếng kia mà!		-0.3
Anh cưỡi ngựa đi dạo chơi buồn bã trong vùng lân cận của thị trấn Kehl.	És ha volna is barátom, nem parancsol-e a becsület örök hallgatást.	0.229687
Đó là một thị trấn ở trên bờ sông Rhin, được lưu danh muôn thuở nhờ Desaix và Gouvion Saint-Cyr .	Szomorúan kószált lovával Kehl környékén; ez egy falu a Rajna partján, melynek Desaix és Gouvion Saint-Cyr halhatatlan emléket biztosítottak.	0.660577
Một người nông dân Đức chỉ cho anh những dòng suối nhỏ, những con đường, những bãi nổi trên sông Rhin, mà sự anh dũng của các tướng lĩnh vĩ đại kia đã làm cho hiển danh.	Egy német paraszt megmutogatta neki a patakokat, az utakat, a Rajna szigetecskéit, melyeket e nagy tábornokok bátorsága nevezetessé tett.	0.157143
Julien tay trái cầm cương ngựa, tay phải cầm mở rộng tấm địa đồ lớn trang trí cho tập hồi ký của thống chế Saint-Cyr .	Baljával kantáron vezetve lovát, Julien jobb kezében azt a remek térképet tartotta kibontva, mely Saint-Cyr tábornagy emlékiratai-t ékesíti.	0.608919
Một tiếng kêu vui vẻ làm anh ngẩng đầu lên.	Egy örvendező kiáltásra fölvetette tekintetét.	0.3
Thì ra là hoàng thân Korasoff, người bạn ở Luân Đôn mấy tháng trước đây đã chỉ bảo cho anh những quy tắc thứ nhất của thượng lưu sĩ diện.	Korasoff herczeg állott előtte, az a londoni barát, a ki néhány hónap előtt beavatta a magasabb nyegleség első titkaiba.	0.1875
Trung thành với cái nghệ thuật lớn đó, Korasoff, mới đến Strasbourg từ hôm qua, đến Kehl được một tiếng đồng hồ, và từ bé chưa hề đọc một dòng nào về cuộc vây hãm năm 1796, lên giọng giải thích mọi thứ cho Julien.	Híven e nagy művészethez, Korasoff, a ki Strassburgba érkezve, egy óra óta volt Kehl-ben és a ki soha egy sort sem olvasott az 1796-iki ostromról, magyarázgatni kezdte Juliennek, mi hogyan történt.	0.296543
Bác nông dân Đức cứ trố mắt nhìn chàng ta; vì bác cũng biết khá tiếng Pháp để nhận thấy những sai lầm to tướng của vị hoàng thân.	A német paraszt csodálkozó arczczal nézte; tudott annyira francziáúl, hogy megértse, mily óriási baklövéseket követ el a herczeg.	0.252
Julien tuyệt nhiên không có những ý nghĩ của bác nông dân, anh lấy làm kinh dị nhìn chàng thanh niên đẹp trai kia, anh thán phục dáng cưỡi ngựa ưu nhã của chàng ta.	Julien ezer mérföldnyire volt a paraszt gondolataitól, csodálattal nézte ezt a szép fiatalembert, bámulta, mily kecsesen üli meg a lovat.	0.341282
Con người diễm phúc thay! ~~~ Anh nghĩ bụng.	- Szerencsés természet, - mondá magában.	-0.01875
Cái quần của chàng ta xinh quá; tóc cắt thanh lịch quá!	- Mily jó szabású a nadrágja; mily szépen van megfésűlve!	0.289286
Ôi! ~~~ Ví thử ta được như thế này, thì có lẽ sau khi đã yêu ta ba ngày, nàng đã không thù ghét ta như thế kia.	Hej, ha én is ilyen lettem volna, talán nem történt volna, hogy Matild, miután három napig szeretett, meggyűlölt.	-0.00285714
Khi hoàng thân đã kể xong chuyện vây hãm thành Kehl: - Ông có cái bộ mặt của một thầy tu đồng khổ hạnh, chàng nói với Julien, ông đi quá cái nguyên tắc nghiêm trầm mà tôi đã truyền thụ cho ông ở Luân Đôn.	Mikor a herczeg végzett a kehli ostrommal: - Ön olyan ábrázattal jár, mint egy trappista barát, - mondá Juliennek, - túlzásba viszi a komolyságot, a mit Londonban ajánlottam önnek.	0.301818
Vẻ mặt buồn rầu không thể nào ưu nhã được; cần phải có cái vẻ buồn chán thì hơn.	A szomorú arczkifejezés nem illik össze a jó modorral; únottnak kell látszani.	0.218919
Nếu ông buồn rầu, tức là ông còn có cái gì thiếu thốn, cái gì không được đắc ý. Tức là tỏ ra mình thấp kém.	Ha szomorú, ez azt jelenti, hogy nélkülöz valamit, hogy valami nem sikerült önnek. ~~~ Azt mutatja ezzel, hogy alúl maradt.	-0.0148649
Trái lại, nếu ông buồn chán, thì cái gì đã cố gắng làm vui lòng mà không được, chính nó mới là thấp kém.	Ha ellenben únott arczot vág, ez annyit jelent, hogy az maradt alúl, a ki hiába igyekezett tetszeni önnek.	0.233684
Ông bạn thân mến ơi, nên hiểu rằng sự lầm lẫn rất nghiêm trọng đấy.	Értse meg hát, kedvesem, mennyire megy a megvetés komolysága.	0.186207
Julien, ném một đồng écu cho bác nông dân, đương há hốc mồm mà nghe chuyện hai người.	Julien egy tallért dobott oda a parasztnak, a ki tátott szájjal hallgatta őket.	0.2125
— Được đấy, hoàng thân nói, có vẻ ưu nhã đấy, có một vẻ khinh người rất sang trọng đấy! ~~~ Được lắm!	- Helyes, - szólt a herczeg, - ebben volt előkelőség, valami nemes lenézés, nagyon helyes!	-0.0379518
Và chàng ta thúc ngựa cho phi nước đại.	- És megsarkantyúzta lovát.	0.139286
Julien phóng theo, đầy một lòng thán phục ngẩn ngơ.	Julien, értelmetlen csodálattal telve, követte.	0.242553
Chà!	Ah!	0.15
Nếu ta được như thế, nàng đã không coi Croisenois hơn ta!	ha én is ilyen lettem volna, Matild nem helyezte volna elémbe Croisenois-t!	0.270492
Lý trí của anh càng lấy làm chuộng về những cái lố bịch của hoàng thân, thì anh càng tự khinh không biết thán phục những cái đó, và tự lấy làm đau khổ vì không có những cái đó.	Minél inkább megütközött esze a herczeg nevetséges tulajdonságain, annál jobban megvetette magát csodálatukért és annál szerencsétlenebbnek vélte magát, hogy ő hiányával van ezeknek.	0.278333
Không thể nào tự chán mình hơn thế nữa.	Ember nem érezhet nagyobb undort önmaga iránt.	0.293182
Hoàng thân thấy anh cứ buồn rầu. ~~~ Ô hay, ông bạn thân mến ơi, chàng nói với anh khi trở về Strasbourg, ông mất tất cả tiền bạc rồi chăng, hay là ông say mê một cô bé đào hát nào đó chăng?	A herczeg, úgy találva, hogy határozottan nagyon szomorú: - Nos, kedvesem, - szólt hozzá, mikor visszaértek Strassburgba, - elvesztette talán minden pénzét, vagy szerelmes valami kis szinésznőbe?	-0.0156593
Người Nga bắt chước những lối sống của người Pháp, nhưng bao giờ cũng cách xa năm chục năm.	Az oroszok utánozzák a franczia erkölcsöket, de mindig ötven évi késéssel.	0.176712
Hiện nay họ con đương ở vào thời đại Louis XV.	Jelenleg XV. ~~~ Lajos századánál tartanak.	0
Những câu đùa cợt về tình yêu đó làm cho Julien ứa nước mắt.	A szerelemnek ez a tréfás említése könnyeket csalt Julien szemébe.	0.54929
Tại sao ta lại không hỏi ý kiến con người rất có nhã ý này nhỉ?	- Miért ne kérnék tanácsot ettől a szeretetreméltó embertől?	0.255738
Anh bỗng tự nhủ.	- szólt magában hirtelen.	0.225
— Thì vâng, ông bạn quý ạ, anh nói với hoàng thân. ~~~ Ông đương thấy tôi ở Strasbourg, si mê lăn lóc và bị hắt hủi nữa là khác.	- Nos hát, igen, kedvesem, - mondá a herczegnek, - úgy nézzen reám, hogy szerelmes, még pedig faképnél hagyott szerelmes vagyok.	-0.025641
Một nàng rất xinh đẹp, ở một thành phố gần đây, sau ba ngày yêu nhau nồng nàn, đã bỏ rơi tôi, và sự thay đổi đó giết tôi.	Egy bájos nő, a ki egy közeli városban lakik, három napi szenvedély után elhagyott és ez megöl.	0.144944
Anh mô tả cho hoàng thân, dưới những tên giả, các hành vi và tính khí của Mathilde.	Koholt neveket használva, lefestette a herczeg előtt Matild tetteit és jellemét.	0.252
— Thôi đừng nói hết, Korasoff nói. ~~~ Muốn cho ông tin ở thầy thuốc, để tôi nói nốt câu chuyện tâm sự đó nhé.	- Ne folytassa, - szólt Korasoff, - hogy bizalmat keltsek önben orvosa iránt, én fogom befejezni vallomását.	-0.0333333
Người chồng của nàng thiếu phụ này có một tài sản kếch sù, hay là, nói đúng hơn, nàng thuộc hàng quý tộc cao sang nhất địa phương.	E nő férje roppant gazdag, vagy még inkább ő maga a vidék legelőkelőbb nemességéhez tartozik.	0.116667
Nàng phải là kiêu hãnh về một cái gì đó.	Bizonyos, hogy büszke valamire.	0.14
Julien gật đầu, anh không còn can đảm để nói nữa.	Julien bólintott, nem volt többé bátorsága, hogy beszéljen.	0.617262
— Được lắm, hoàng thân nói, đây là ba thang thuốc khá đắng, mà ông sẽ uống ngay không trì hoãn:	- Nagyon jól van, - mondá a herczeg, - ime, három eléggé keserű gyógyszer, a mit haladéktalanúl alkalmaznia kell.	0.3
1.	1.	1.8
Hằng ngày gặp mặt bà... ông gọi bà ấy là bà gì nhỉ?	Mindennap találkoznia kell... hogy’ is hívják?	0.223404
— Bà de Dubois .	- De Dubois-né.	0.28
— Tên với tuổi!	- Micsoda név!	0.171429
Hoàng thân nói và phá lên cười; à, xin lỗi, đối với ông cái tên đó là tuyệt vời.	- szólt a herczeg, hangos nevetésre fakadva. ~~~ - Azaz, bocsánat. ~~~ Önnek bizonyára fenséges.	-0.152542
Cần phải gặp mặt hàng ngày bà de Dubois; nhất là trước mắt bà ta, đừng làm ra vẻ lạnh lùng và giận dỗi; ông hãy nhớ cái nguyên tắc lớn của thời đại của ông: Hãy trái ngược với cái điều mà người ta chờ đợi.	Tehát mindennap találkoznia kell de Dubois-néval; mindenekfölött igyekezzék, hogy ne látszassék előtte hidegnek és haragosnak; tartsa szem előtt századának nagy elvét: viselkedjék épp ellenkezőleg, mint ahogy várják.	0.372857
Ông hãy tỏ ra đúng như tám ngày trước khi được vinh dự hưởng những ân huệ của nàng.	Mutassa magát épp olyannak, a milyen volt egy héttel előbb, semmint kegyeivel kitüntette.	0.256627
— Chà!	- Ah!	0.06
Lúc đó thì tôi đương điềm tĩnh, Julien kêu lên với bao nỗi đau lòng, tôi lại có ý thương hại nàng...	akkor nyugodt voltam, - kiáltott föl Julien kétségbeesve, - azt hittem, hogy sajnálhatom...	0.42605
— Con bướm tự thiêu trong ngọn nến, hoàng thân nói tiếp, sự ví von cũ rích.	- A lepke megégeti magát a lángban, - folytatá a herczeg, - oly régi hasonlat, a milyen a világ.	0.289024
2.	1.	0.3
Ông sẽ gặp mặt nàng hàng ngày.	Mindennap találkozni fog vele.	0.237931
3.	2.	0.3
Ông sẽ tán tỉnh một người đàn bà trong đám giao du của nàng, nhưng đừng làm ra vẻ say mê, nghe chưa?	Udvarolni fog egy társnőjének, de értse meg, a nélkül, hogy a szenvedély látszatait mutatná.	0.239326
Tôi không giấu gì ông, vai trò của ông khó khăn đấy; ông đóng kịch, mà nếu người ta đoán biết rằng ông đóng kịch thì hỏng mất.	Nem titkolom, nehéz szerepe lesz; komédiát fog játszani, és ha észreveszik, hogy ezt cselekszi, el van veszve.	0.178218
— Nàng rất nhiều tài trí linh lợi, mà tôi lại rất ít!	- Neki oly sok esze van és nekem oly kevés!	0.113514
Tôi hỏng mất rồi, Julien nói buồn bã.	El vagyok veszve, - szólt Julien szomorúan.	0.66
— Không, có điều là ông si mê hơn là tôi tưởng.	- Nem, egyszerűen csak szerelmesebb, mint gondoltam.	0.26875
Bà de Dubois hết sức chăm lo cho bản thân, cũng như tất cả những người đàn bà đã được trời cho hoặc sang quá hoặc giàu quá.	De Dubois-né roppant el van foglalva önmagával, mint minden olyan asszony, a kinek az ég vagy túlságos nagy rangot, vagy túlságos nagy vagyont adott.	0.3
Nàng tự ngắm nghía chứ không nhìn ông, vậy nàng không biết ông.	A helyett, hogy önt nézné, magát nézi, következőleg nem ismeri önt.	0.281818
Trong hai ba lần tình yêu kịch phát mà nàng tự ban cho nàng để làm ơn cho ông, vì tưởng tượng mạnh, nàng thấy ở nơi ông người anh hùng mà nàng vẫn mơ tưởng, chứ không phải con người thực sự của ông.	Abban a két vagy három szerelmi rohamban, melyen képzelmének megerőltetésével az ön javára keresztűlment, a hőst látta önben, a kiről álmodozott, nem pedig azt az embert, a kicsoda ön valóban.	0.241989
Khổ quá, đó là những điều sơ đẳng, ông bạn Sorel ơi, ông có phải hoàn toàn là một cậu học trò không?	- De hát, hogy’ az ördögbe, kedves Sorel, hiszen ezek elemi dolgok, ön tehát még egészen kezdő?	0.223333
Thôi được!	Ohó!	-0.15
Ta hãy đi vào cửa hàng này; kìa, một cái cổ áo đen rất đẹp, tưởng chừng như được chế tạo bởi John Anderson ở phố Burlington vậy; ông hãy làm ơn mua đi hộ tôi và quẳng thật xa cái dây đen ngòm thảm hại mà ông đeo ở cổ kia đi.	menjünk csak be ebbe a boltba: nézze ezt az elragadó fekete nyakravalót, azt mondaná az ember, hogy John Andersontól való, a Burlington-Street-ből; tegye meg nekem azt a szívességet, vegye meg és hajítsa el azt a nemtelen fekete kötelet, a mit a nyakán visel.	0.352665
Ối chào, hoàng thân nói tiếp khi đi ra khỏi cửa hàng bán cavát và dây tua sang nhất Strasbourg, giới xã giao của bà de Dubois là những ai?	Most pedig, - folytatá a herczeg, mikor kiléptek Strassburg legelső divatárú-kereskedőjének a boltjából, - mondja meg, miféle társaságban él de Dubois-né?	0.414781
Trời đất ơi!	Nagy Isten!	0.136364
Tên với tuổi!	micsoda név!	0.207692
Đừng giận, ông bạn Sorel ạ, tôi cố nén không được... Ông sẽ tán tỉnh ai nào?	Ne haragudjék, kedves Sorel, nem tehetek róla... Kinek fog udvarolni?	0.185714
— Một cô nàng rất mực đoan trang, con gái một ông buôn bán bít tất giàu vô kể.	- Egy kiváltképpen szemérmetes nőnek, a ki egy rengetegül gazdag harisnya-kereskedőnek a leánya.	0.275294
Cô có đôi mắt đẹp nhất trần đời và tôi thích vô cùng; chắc là cô đứng hàng đầu ở địa phương; nhưng giữa tất cả những vinh quang đó, cô thẹn thùng đến ngơ ngẩn nếu có ai nói đến những chuyện mua bán và cửa hàng của họ.	Szemei a legszebbek a világon és nekem nagyon tetszenek; rangban kétségtelenűl ő áll legelől az egész környéken; de mind e fény közepett is a megzavarodásig elpirul, ha valaki kereskedelemről meg boltról kezd beszélni.	0.233824
Thế mà khốn nỗi, ông bố cô lại là một nhà buôn có tiếng bậc nhất Strasbourg.	Szerencsétlenségére, apja egyike volt a legismertebb strassburgi kereskedőknek.	0.264935
— Như vậy, nếu nói đến kỹ nghệ, hoàng thân vừa nói vừa cười, ông cứ chắc rằng cô nàng của ông nghĩ đến cô ấy chứ không nghĩ gì đến ông.	- Így tehát ha ipar-ról van szó, - mondá a herczeg nevetve, - biztos benne, hogy az ön szépe magára gondol és nem önre.	0.157009
Cái chuyện nực cười đó thật tuyệt diệu và rất có ích, nó sẽ ngăn cản ông không có một giây phút nhỏ điên cuồng bên cạnh đôi mắt đẹp của cô nàng.	E gyöngéje valami isteni és igen hasznos dolog, meg fogja önt védeni, hogy szép szemei valami őrületre ragadják.	0.122857
Thành công chắc chắn.	A siker biztos.	0.0642857
Julien nghĩ đến bà thống chế de Fervaques rất hay đến dinh de La Mole.	Julien de Fervaques tábornagynéra gondolt, a ki gyakran megfordult a de La Mole-palotában.	1.32495
Đó là một phụ nữ ngoại quốc xinh đẹp, lấy ông thống chế một năm trước khi ông chết.	Szép külföldi nő volt, a kit a tábornagy egy évvel a halála előtt vett nőül.	0.19726
Tất cả cuộc đời của bà ta hình như không có mục tiêu gì khác hơn làm cho người ta quên rằng bà là con gái một nhà kỹ nghệ, và để được có một cái cớ gì đó ở Paris, bà mới giương cao ngọn cờ đức hạnh.	Egész élete annak a feledtetésére volt berendezve, hogy iparos-nak a leánya, és hogy Párisban valami szerepet játszhasson, az erénynek állt az élére.	0.125532
Julien thán phục hoàng thân một cách chân thành.	Julien őszintén csodálta a herczeget; mily sokért nem adta volna, ha benne is megvolnának az ő hóbortjai!	0.329412
Anh chỉ ước mong có được những cái lố bịch của chàng ta! ~~~ Cuộc chuyện trò giữa hai người bạn liên miên không dứt!	A két barát beszélgetése nem akart véget érni; Korasoff el volt ragadtatva: soha még franczia ily sokáig nem hallgatta.	-0.0259091
Korasoff rất khoái. ~~~ Chưa bao giờ chàng ta được một người Pháp lắng nghe chuyện của chàng lâu đến thế.	- Végre elértem, - szólt magában a herczeg elbájolva, - hogy meghallgatnak és leczkéket adhatok mestereimnek.	-0.0145161
Như vậy là ta đã tiến đến chỗ, vị hoàng thân lấy làm thú vị tự nhủ, dạy lại các ông thầy của ta, mà được họ lắng tai nghe!		-0.3
— Chúng ta hoàn toàn đồng ý đấy nhé, chàng nhắc lại với Julien đến lần thứ mười, không được tỏ vẻ tí gì là say mê khi ông nói chuyện với giai nhân, ái nữ của ông hàng bít tất ở Strasbourg, trước mặt de Dubois.	- Tehát megegyeztünk, - ismételte már vagy tizedszer Juliennek, - a szenvedélynek még csak árnyéka se legyen szavában, ha de Dubois-né jelenlétében beszél az ifjú tüneménynyel, a strassburgi harisnyakereskedő leányával.	0.366774
Trái lại, say mê nồng cháy viết thư.	Ellenben ha ír, a legégetőbb szenvedélyhez tartsa magát.	0.1875
Đọc một bức thư tình viết hay là nỗi vui thích tuyệt trần đối với một ả đoan trang; đó là giây phút nghỉ ngơi giãn gân giãn cốt.	A szemérmetes asszonynak főélvezet, ha jól megszerkesztett szerelmes levelet olvashat; ez a pihenés pillanata.	0.183495
Cô ả không đóng kịch, cô dám lắng nghe lòng; vậy mỗi ngày hai bức thư.	Ilyenkor nem szinészkedik, mer a szívére hallgatni; következőleg minden napra két szerelmes levelet.	0.22987
— Chịu thôi, chịu thôi!	- Soha, soha!	-0.1
Julien chán nản nói; tôi thà bị bỏ vào cối giã bét ra cũng chịu vậy, chứ không tài nào chắp chỉnh được lấy ba câu; tôi là một xác chết ông bạn ạ, đừng nên chờ mong gì ở tôi nữa.	- szólt Julien csüggedten; - inkább kerékbe törhetnének, semhogy három mondatot ki tudnék gondolni; nekem végem, kedvesem, ne várjon tőlem már semmit.	0.314238
Cứ để mặc tôi chết ở bên đường.	Hagyjon meghalnom az útszélen.	0.18
— Thì có ai bảo ông phải chắp chỉnh câu cú gì đâu?	- És ki mondta, hogy mondatokat gondoljon ki?	0.1725
Tôi có sẵn trong tráp sáu tập những thư tình viết tay.	Bőröndömben hat kötet szerelmes levél van kéziratban.	0.277778
Có đủ cho tất cả các loại tính cách phụ nữ, có cả cho loại đức hạnh cao cả nhất.	Van köztük mindenféle fajtájú nő számára, még a legszigorúbb erény részére is.	0.255556
Chàng Kalisky há chẳng đã tán tỉnh ở Vườn cao Richemond , ông biết đấy chứ, ở cách Luân Đôn ba dặm, có nàng tu sĩ giáo phái Quaker đẹp nhất toàn cõi nước Anh đó sao?	Nem udvarolt-e Kalisky Richmondban, tudja, három mérföldnyire Londontól, egész Anglia legcsinosabb quäker-asszonyának?	0.36903
Khi Julien chia tay ông bạn hồi hai giờ sáng, anh đỡ đau khổ hơn trước.	Julien kevésbbé volt boldogtalan, mikor hajnali két óra tájban elvált barátjától.	0.526
Hôm sau, vị hoàng thân cho gọi một tay chép thuê và hai ngày sau đó Julien có năm mươi ba bức thư tình đánh số cẩn thận, ứng dụng cho loại đức hạnh cao siêu nhất và u sầu nhất.	Másnap a herczeg másolót hívatott és két nappal utóbb Juliennek ötvenhárom gondosan megszámozott szerelmes levél volt a kezében, melyek a legfenségesebb és legszomorkodóbb erényhez voltak intézve.	0.296791
— Không có đến năm mươi tư bức, hoàng thân nói, vì Kalisky bị khước từ; nhưng bị cô con gái ông hàng bít tất hắt hủi thì ông cần gì, vì ông chỉ muốn tác động đến trái tim bà de Dubois thôi mà.	- Azért nem ötvennégy, - mondá a herczeg, - mert az ötvennegyedik előtt kidobták Kaliskyt; de hát mit bánja ön, ha a harisnyakereskedő leánya rossz elbánásban részesíti is, minthogy úgyis csak de Dubois-né szívére akar hatni!	0.37821
Ngày nào hai người cũng đi ngựa, vị hoàng thân rất say mê Julien.	Mindennap lovagoltak; a herczeg bolondúlt Julienért.	0.186
Không biết làm cách nào tỏ với anh mối tình thân ái đột ngột, sau cùng chàng ta hứa gả cho anh một cô em họ của chàng, thừa kế gia tài lớn ở Moscou; và một khi lấy nhau rồi, chàng nói thêm, nhờ thế lực của tôi và tấm huân chương mà ông đeo kia, chỉ trong hai năm ông sẽ làm đến đại tá.	Nem tudva, hogy miként tegyen tanúságot barátságáról, végül is fölajánlotta neki egyik unokahúgának, egy gazdag moszkvai leánynak a kezét. ~~~ Legyen csak megnősülve, - tette hozzá, - befolyásommal és e rendjellel, a mit visel, két év alatt ezredest csinálunk önből.	-0.0315476
— Nhưng cái huân chương này không phải do Napoléon tặng thưởng, trái hẳn lại là khác.	- De hiszen e rendjelet nem Napoleontól kaptam, nagyon is nem.	0.0777778
— Cần gì, hoàng thân nói, ông ấy sáng lập ra nó là gì?	- Hát aztán, - felelte a herczeg, - vajon nem ő volt-e az, a ki alapította?	0.269492
Nó vẫn đứng hàng đầu ở u châu, tất cả các huân chương khác rất xa.	Még mindig bízvást a legelső egész Európában.	0.114894
Julien đã toan nhận; nhưng bổn phận của anh kêu gọi anh trở lại với vị đại thần của anh; khi chia tay Korasoff, anh hứa sẽ viết thư.	Julien már-már beleegyezett; de kötelessége visszaszólította a magasállású úr mellé; mikor Korasofftól búcsút vett, ígéretet tett, hogy írni fog neki.	0.425836
Anh nhận được lời phúc đáp bức mật thư mà anh đã đem đến, và anh chạy mau về Paris. ~~~ Nhưng mới hai ngày liền, một mình một bóng, anh thấy rằng xa nước Pháp và Mathilde là một cực hình khổ hơn cái chết.	Megkapta a választ a titkos jegyzékre, a mit magával hozott és sietett Párisba; alig volt azonban egyfolytában két napig egyedűl, az, hogy elhagyja Francziaországot és Matildot, kegyetlenebb kínszenvedésnek tűnt föl előtte, mint a halál.	-0.000681818
Ta sẽ không cưới món tiền ức triệu mà Korasoff hiến ta, anh tự nhủ, nhưng ta sẽ làm theo lời khuyên của chàng ta.	Nem veszem nőül a milliókat, - mondá magában, - melyeket Korasoff fölajánlott, de követni fogom tanácsait.	0.420035
Xét cho cùng, nghệ thuật quyến rũ vốn là nghề riêng của chàng ta; chàng ta chỉ nghĩ đến công việc duy nhất đó từ mười lăm năm trời nay, vì hiện giờ chàng ta ba mươi tuổi.		-0.3
Không thể nói rằng chàng thiếu tài trí; chàng vốn tính khôn và mưu trí; cao hứng và thơ mộng là không thể có ở trong tính cách của chàng. ~~~ Chàng là một tay đại lý; lại càng là một lý do để chàng không bị lầm.	Végre is neki mestersége a hódítás; tizenöt év óta, mert most harmincz éves, mással sem foglalkozik, mint ezzel; agyafúrt és óvatos; a lelkesedés, a költészet nem fér össze természetével: olyan, mint valami ügyvéd, egy okkal több, hogy ne tévedjen.	-0.00666667
Cần thiết, ta phải tán tỉnh bà de Fervaques.	Meg kell tennem, udvarolni fogok de Fervaques-nénak.	0.668617
Có lẽ bà ấy sẽ làm ta phát chán đôi chút; nhưng ta sẽ nhìn vào đôi mắt rất đẹp của bà, nó giống hệt đôi mắt đã yêu ta nhất đời.	Lehet, hogy untatni fog egy kissé, de szép szemeit fogom nézni, melyek olyannyira hasonlítanak azokhoz, melyek leginkább szerettek.	0.2375
Bà ta là một người ngoại quốc; đó là một tính cách mới lạ để quan sát.	Külföldi asszony; új jellemet fogok megfigyelhetni.	0.114
Ta điên cuồng, ta chết đuối, ta phải làm theo những lời khuyên của một người bạn và không được tự ý hành động.	Őrűlt vagyok, nem tudok eligazodni, követnem kell barátom tanácsait és nem szabad magamra hallgatnom.	0.198947
CHƯƠNG XXV	LV.	-0.3
BỘ ĐỨC HẠNH	AZ ERÉNY-MINISZTÉRIUM.	0.176471
Nhưng nếu tôi hưởng đôi phần thú vui đó mà phải khôn ngoan cẩn thận đến thế, thì không còn là một thú vui đối với tôi nữa.	De ha ily vigyázatosan és körültekintően élek az élvezettel, ez már nem is lesz számomra élvezet.	0.154839
LOPE DE VEGA	Lope de Vega.	0.272727
Vừa chân ướt chân ráo về đến Paris, và ở văn phòng hầu tước de La Mole đi ra, - hầu tước có vẻ rất ngạc nhiên về những thư tín đệ trình ông, - anh chàng của chúng ta chạy ngay đến nhà bá tước Altamira.	Alig hogy visszatért Párisba, mihelyt kilépett de La Mole marquistól, a kit, úgy látszott, nagyon lehangoltak az értesítések, a miket neki hozott, hősünk Altamira grófhoz sietett.	0.541717
Đã có ưu thế là bị kết án tử hình, con người ngoại quốc mỹ mạo đó lại cộng thêm vào đấy rất nhiều vẻ nghiêm trầm và cái hạnh phúc là người sùng tín; hai cái đức đó, và, hơn tất cả, cái dòng dõi cao quý của bá tước, hoàn toàn thích hợp với bà de Fervaques, bà ta tiếp kiến ông luôn.	Azzal a kiválósággal, a mit a halálos ítélet biztosított neki, ez a szép külföldi a föllépés nagy komolyságát és az ájtatos természet szerencséjét egyesítette; e kettőnek az érdeme, de mindenekfölött a gróf előkelő származása teljesen ínye szerint volt de Fervaques-nénak, a kihez sokszor ellátogatott.	0.347213
Julien thú thật với ông một cách nghiêm trọng là anh si mê bà ta lắm.	Julien nagy komolyan előadta neki, hogy szerelmes a tábornagynébe.	0.551613
— Bà ta là người có đức hạnh thuần khiết nhất và cao cả nhất, Altamira trả lời, có điều hơi Jésuites và khoa trương.	- De Fervaques-né a legtisztább és a legfenköltebb erényű nők közé tartozik, - felelt Altamira, - csakhogy kissé jezsuita és dagályos természet.	0.283846
Có lắm hôm tôi hiểu nghĩa mỗi tiếng bà dùng, nhưng không hiểu ý cả toàn câu.	Vannak napok, a mikor minden egyes szavát megértem, de nem értem, hogy mit mond.	0.24507
Bà thường cho tôi có ý nghĩ rằng tôi không thạo tiếng Pháp như người ta thường bảo.	Mellette gyakran arra kell gondolnom, hogy nem tudok olyan jól francziáúl, mint a hogy’ rólam vélik.	0.3
Ông được quen biết bà thì tên tuổi ông sẽ được người ta nói đến; bà sẽ làm cho ông có thế trong xã hội thượng lưu.	Ez az összeköttetés ismert emberré fogja önt tenni; súlyhoz fogja juttatni a társaságban.	0.146512
Nhưng ta hãy đến nhà Bustos đã, bá tước Altamira vốn là người có đầu óc thứ tự phân minh, nhủ anh như vậy; ông ta trước đây đã từng ve vãn bà thống chế.	Hanem menjünk Bustos-hoz, - mondá Altamira gróf, a ki rendszeres szellemű ember volt; - ő udvarolt a tábornagynénak.	0.286867
Don Diego Bustos nghe trình bày công việc rất lâu, không nói gì, như một ông trạng sư trong văn phòng.	Don Diego Bustos hosszan elmagyaráztatta magának az ügyet, nem szólva egy szót sem, olyanformán viselkedve, mint valami ügyvéd, a ki feleket fogad az irodájában.	0.57511
Ông ta có một cái mặt to phèn phẹt của thầy tu, với bộ ria mép đen và một vẻ nghiêm trang đặc biệt; ngoài ra ông là một tay hoạt động chính trị bí mật có tài.	Alakja, mint egy elhízott baráté; fekete bajusza volt és arczán páratlanúl tekintélyes kifejezés tükröződött; egyébként derék carbonari volt.	0.23617
