Ivan S.Turgenev.	﻿Turgenyev	0.230769
Tôi bị ám ảnh bởi Aleko, gã gipsy trẻ tuổi --"Hởi chàng trẻ tuổi đẹp trai kia, chàng đi đâu thế?	Állandóan Aleko, a fiatal cigány járt az eszemben; "... hova, hova szép fiatalember?	0.406593
hãy nằm xuống đây," và rồi, "mình chàng vấy máu...ôi chàng đã làm gì thế ?...	- Feküdj csak..." aztán: "mindent telefröcsköltél vérrel!...	0.177049
Không, không có gì hết!"	Jaj, mit tettél?...	0.173684
Tôi cười gằn, lập lại, "Không, không!"	Semmit!" Milyen kegyetlen mosollyal ismételtem ezt a szót: semmit!	0.193333
Cha tôi đi vắng; nhưng mẹ tôi, đôi khi mang một tâm trạng tức giận ngu xuẩn, để ý tới vẽ mặt u buồn và hào hùng của tôi; lúc ăn tối, mẹ tôi bảo, "Sao con phụng phịu giống như một con chuột mắc kẹt trong lu?"	Apám nem volt otthon; de anyám, aki egy idő óta majdnem állandó, fojtott ingerültség állapotában volt, figyelni kezdett baljóslatú képemre, s így szólt hozzám vacsora után: - Miért nézel olyan morcosan, mint az egér a kására?	0.284507
Tôi chỉ mỉm cười ngạo mạn, nghĩ thầm, " Phải chi có ai biết!" ~~~ Đồng hồ điểm mười một tiếng; tôi về phòng mình, không thay đổi y phục; chờ đến nửa đêm; cuối cùng đồng hồ gỏ mười hai tiếng.	- Én csak elnézően elmosolyodtam, s feleletül ezt gondoltam magamban: "Ha tudná!" Tizenegyet ütött az óra; szobámba vonultam, de nem feküdtem le; megvártam az éjfélt; végre elütötte a tizenkettőt.	-0.0266129
"Đã đến giờ hành động!" ~~~ tôi nghiến răng nói thầm; gài kín nút cổ, xăn tay áo, đi ra vườn.	"Itt az idő!" - suttogtam fogaim közt s állig begombolkozva, sőt kabátujjamat feltűrve, lementem a kertbe.	-0.00612245
Tôi đã chú ý đến một nơi thích hợp cho việc canh gác. ~~~ Cuối vườn, chỗ hàng rào --phân chia nhà tôi với nhà nàng -- nối tiếp với bức tường, có một cội thông mọc lẽ loi. ~~~ Đứng dưới những cành lá thấp xum xê ấy, tôi có thể nhìn bao quát trong bóng đêm.	Előre kinéztem volt a helyet, ahol leselkedem: a kert végén, ott, ahol a mi telkünket a Zaszekinéktól elválasztó kerítés egy közös falhoz támaszkodott, magányos fenyőfa volt; lehajló, sűrű ágai alá állva mindent jól láthattam körül, már amennyire az éjjeli homály meg­engedte.	-0.124186
Gần bên, một con đường mòn có vẽ thần bí, uốn khúc như rắn, luồn sát hàng rào, ở chỗ có dấu người trèo qua, rồi lượn tròn chung quanh những bụi keo rậm rạp.	Ösvény kanyargott arra, melyet mindig titokzatosnak éreztem: kígyószerűen kúszott el a kerítés mellett, átmászás nyomai voltak a kerítésnek ezen a helyén, s onnan kerek, sűrű akáclugashoz vitt az ösvény.	0.264
Tôi đến dựa vào gốc thông, và bắt đầu phiên gác.	Elértem a fenyőt, törzsének támaszkodtam, s leskelődni kezdtem.	0.268421
Đêm nay trời cũng im ả như đêm trước, nhưng ít mây hơn, ta có thể thấy rõ đường nét của các lùm cây cũng như của những bông hoa nhô cao.	Az éjszaka olyan csendes volt, mint a tegnapi; de az égen kevesebb volt a felhő - s a bokrok, sőt a magasabb virágok körvonalai is tisztán látszottak.	0.268421
Những giây phút đợi chờ ban đầu ngột ngạt, khủng khiếp.	A várakozás első pillanatai gyötrők voltak, szinte rémesek.	0.264407
Tôi đã quyết định. ~~~ Tôi chỉ còn phải tính toán xem mình nên hành động ra sao, hét vang như sấm "Ai đó?	Mindenre elszántam magam, csak azt fontolgattam: hogy járjak el? ~~~ Ezt mennydörögjem: "Hová mész?	-0.162353
đi đâu?	Állj!	0.171429
đứng lại!		-0.3
trình diện -- nếu không ta giết!" ~~~ hay chỉ lẳng lặng ra tay... Từng tiếng động nhỏ, xột xoat, rì rào như khuyếch đại thành những tín hiệu cảnh báo... Tôi đã sẳn sàng... tôi chồm tới... Nhưng nửa tiếng, rồi một tiếng trôi qua; bầu máu nóng của tôi nguội dần...; tôi bắt đầu nghĩ rằng mình đã hành động ngớ ngẩn, chắc Malesky đã đùa dai.	Valld be... vagy meghalsz!" - vagy egyszerűen döfjek... Minden hangot, minden neszt, susogást jelentősnek és szokatlannak éreztem... Készülődtem... Előrehajoltam... De eltelt egy fél óra, el egy óra is: a vérem megcsendesedett, lehűlt; a tudat, hogy hiába teszem ezt, s hogy kissé nevetséges is vagyok, s hogy Malevszkij csak tréfát űzött belőlem - kezdett belopózni a lelkembe.	-0.0058209
Tôi rời chỗ phục kích, đi lang thang quanh vườn.	Elhagytam leshelyemet, s körüljártam az egész kertet.	0.3
Như thể trêu ngươi, chung quanh tôi mọi thứ đều im bặt, an giấc. ~~~ Ngay cả con chó cũng ngủ khò, cuộn tròn như trái banh ở cổng rào.	Különös volt: sehol a legkisebb neszt sem lehetett hallani; minden elpihent; még a kutyánk is aludt gomolyagba csavarodva a kiskapunál.	-0.0207317
Tôi trèo lên đống đổ nát của nhà kính, trước mắt tôi, đồng quê mở rộng tới chân trời, tôi nhớ lại lần gặp gỡ trước với Zinaida, và mơ màng....	Felmásztam a melegház romjára, magam előtt láttam a távolba futó mezőt, eszembe jutott találkozásom Zinaidával, és elgondolkoztam...	0.216279
Tôi bắt đầu mơ... tôi tưởng tượng có tiếng cửa mở cót két, tiếng cành cây gảy răng rắc. ~~~ Chỉ cần nhảy hai bước, tôi đã xuống tới mặt đất, đứng im phăng phắc, và hốt hoảng.	Megrezzentem... Úgy rémlett, mintha egy kinyílt ajtó csikordulását hallanám, majd egy ketté­törő ág reccsenését... Két ugrással lent termettem a romról - s egészen megdermedtem.	-0.0242775
Tiếng chân nhanh, nhẹ nhàng, thận trọng vang lên rõ rệt, tiến lại gần tôi.	Könnyű, gyors, de óvatos léptek nesze hallatszott tisztán a kertben... Felém közeledtek.	0.289024
Ý nghĩ "Cuối cùng ... hắn đã đến!"		-0.3
nảy sinh. ~~~ Tôi lụp chụp rút con dao khỏi túi, gương ra.	"Most itt van... végre itt van!" - dobbant a szívembe.	-0.00319149
Màu máu đỏ nhoáng trước mắt; tóc tôi dựng đứng trong kinh sợ và và thịnh nộ. ~~~ Tiếng chân tiến thẳng tới, tôi khom xuông -- tôi ngóng cổ ... Một người đàn ông xuất hiện... Chúa ơi!	Görcsös mozdulattal kihúztam a bicskát a zsebemből, görcsös mozdulattal kinyitottam - vörös szikrák örvénylettek a szememben - az ijedtségtől és dühtől remegett a haj a fejemen... A lépések egészen felém közeledtek - lehajoltam s arra felé húzódtam... Megjelent egy férfi... Úristen!	-0.0542714
đó là cha tôi!	az apám volt!	0.230769
Tôi có thể nhận ra ông ngay tức khắc, mặc dù chiếc áo choàng đen thùng thình kín mít, và cái nón kéo thấp nửa mặt.	Azonnal ráismertem., bár teljesen beburkolózott sötét köpenyébe, s a köpenyt az arcára húzta.	0.198913
Cha tôi nhón gót đi ngang.	Lábujjhegyen haladt el mellettem.	0.230769
Ông không nhìn thấy tôi, mặc dù không có gì che, tuy nhiên tôi đã thụp xuống, co rúm đến mức tưởng chừng sát đất.	Nem vett észre, bár semmi sem takart engem, de úgy össze­húztam magam, s úgy összezsugorodtam, hogy úgy látszik, a föld színével voltam egyenlő.	0.2712
Chàng Othello ghen tương sẳn sàng cố sát, bổng trở thành một cậu học sinh.	A féltékeny, gyilkolni kész Othello egyszerre iskolásfiúvá változott.	0.58619
Tôi quá ngạc nhiên vì sự xuất hiện bất ngờ của cha tôi đến nỗi ban đầu, tôi không hiểu ông đến từ hướng nào và sẽ đi về đâu.	Annyira megrémültem apám váratlan megjelenésétől, hogy az első pillanatokban azt sem vettem észre, honnan jött, és merre tűnt el.	0.249194
Tôi đứng thẳng dậy, khi tất cả mọi thứ đã yên tỉnh trở lại, và tôi nghĩ "Tại sao cha đi dạo giữa đêm khuya?"	Csak azután egyenesedtem fel, s gondoltam el: "Miért jár az én apám éjjel a kertben" - mikor újra elcsendesült minden körülöttem.	0.297521
Trong lúc bấn loạn, tôi đã đánh rơi con dao xuống cỏ, nhưng tôi không tim nó làm gì; tôi cảm thấy xấu hổ.	Ijedtemben leejtettem a kést a fűbe, de nem is kezdtem keresni; nagyon szégyelltem magam.	0.17625
Chẳng bao lâu tôi đã lấy lại bình tỉnh.	Egy csapásra kijózanodtam.	0.1
Tuy thế trên đường về, tôi ghé qua chỗ ưa thích của mình dưới cây cơm cháy, và nhìn lên cửa sổ phòng Zinaida.	Visszatérés közben mégis odamentem a bodzabokor alatt álló kis padhoz, s Zinaida hálószobájának ablaka felé néztem.	0.284071
Ánh sáng yếu ớt của trời khuya tô một màu lam nhạt lên các ô cửa nhỏ cong cong.	A nem nagy, kissé hajlott ablaküvegek homályosan kéklettek az égboltról szivárgó gyenge fényben.	0.268235
Thình lình chúng đổi màu. ~~~ Đàng sau chúng, tôi thấy rõ, rất rõ -- một bức màn trắng chầm chậm buông, và ngừng lại vừa đúng ở bệ.	Egyszerre mintha változni kezdett volna a színük... Mögöttük - láttam, tisztán láttam - óvatosan és lassan leereszkedett a fehér függöny, le az ablakpárkányáig - s megállt mozdulatlanul. ~~~ - Mit jelent ez?	-0.185172
"Khi về tới phòng mình, "Cái màn đó để làm gì nhỉ?"	- szóltam hangosan, szinte önkéntelenül, mikor megint a szobámban találtam magam.	0.196552
tôi không thể không nói to, "cho một giấc mơ, một cơ may, hay là...." Một phỏng đoán chợt thành hình, kỳ cục đến nỗi tôi không dám nghiền ngẫm.	Álom ez, véletlenség, vagy... A feltevés, mely hirtelen megvillant a fejemben, olyan új és különös volt, hogy nem is mertem magam átengedni neki.	0.250746
Chương 18	18	16
Sáng hôm sau tôi thức dậy, nhức đầu.	Reggel fejfájással ébredtem.	0.18
Những xúc động của ngày hôm qua đã tan đi.	Tegnapi nyugtalanságom eltűnt.	0.145161
Thay vào đó là cảm giác trống vắng thê lương, là một nỗi buồn chưa bao giờ biết đến, giống như có một thứ gì đã chết trong tôi.	Döbbent értetlenség s eddig nem ismert szomorúság váltotta fel - mintha valami meghalt volna bennem.	0.13871
"Trông cậu như một con thỏ bị xẻo mất nửa bộ óc, tại sao thế?"	- Miért néz úgy, mint a házinyúl, melynek kivették a fél agyvelejét?	0.272727
Lushin nói.	- kérdezte Lusin, mikor találkoztunk.	-0.3
Lúc ăn trưa, tôi len lén nhìn: cha tôi vẫn bình thản, mẹ tôi vẫn gắt gỏng như xưa.Tôi đợi xem cha tôi có nói một lời thân thiện nào với tôi, như thỉnh thoảng ông vẫn làm.	Reggelizés közben lopva hol apámra, hol anyámra néztem: apám, szokása szerint, nyugodt volt; anyám, szokása szerint, titkoltan ingerült.	0.175385
Nhưng ông cũng không ban phát câu chào hỏi nhạt nhẽo thuờng ngày.	Vártam, nem szól-e hozzám apám, ahogy néha szokta, barátságosan... De még a mindennapi, hideg nyájasságát sem éreztette velem.	0.0771429
"Tôi có nên chất vấn Zinaida không?"	"Elmondjak mindent Zinaidának?	0.21
tôi tự hỏi..." Dù sao cũng sẽ không thay đổi được gì, giữa chúng tôi, mọi chuyện đều đã hết." ~~~ Tôi ghé qua nhà nàng, nhưng không nói chi cả, và thật ra, nếu muốn, cũng không có cơ hội.	- tűnődtem... - De hiszen úgyis mindegy - közöttünk mindennek vége." Elmentem hozzá, de nemcsak hogy nem szóltam neki arról, de még beszélgetnem sem sikerült vele úgy, ahogy szerettem volna.	-0.0221591
Nhân ngày lễ, con trai của công chúa, một thiếu sinh quân mười hai tuổi, từ Petersburg về thăm nhà.	Szünidőre eljött a herceg­néhez Pétervárról a fia, egy tizenkét éves hadapród; Zinaida tüstént rám bízta az öccsét.	0.265714
Zinaida lập tức giao cậu em cho tôi.	- Kedves Vologyám (most először nevezett így), itt a kis barátja.	0.105405
"Volodya ơi," -- lần đầu tiên nàng gọi tên thân mật của tôi -- " bạn mới của em đây, cũng có tên là Volodya.		-0.3
Nó hiền lắm, tuy còn rụt rè.	Őt is Vologyának hívják.	0.230769
Mong rằng em sẽ mến nó.	Szeresse meg, kérem; vadóc még, de jó szíve van.	0.0692308
Làm ơn đưa nó ra công viên Neskutchny, đi dạo, và trông chừng nó nhé.	Mutassa meg neki a Nyeszkucsnij-kertet, sétálgasson vele, vegye pártfogásába.	0.2875
Em vui lòng giúp chị nhé, em cũng thế, em ngoan lắm!	Ugye megteszi? ~~~ Hiszen maga is olyan jószívű!	-0.0272727
Nàng trìu mến đặt tay lên vai tôi, tôi vui đến phát rồ.	Gyengéden a két vállamra tette a két kezét, s én egészen elvesztettem a fejem!	0.235
Sự hiện diện của cậu bé làm tôi cũng biến đổi thành một đứa trẻ.	Ennek a kisfiúnak a megérkezése engem is kisfiúvá változtatott.	0.222581
Tôi lẳng lặng nhìn cậu, cậu nín thinh nhìn tôi.	Szótlanul néztem a fiúra, s ő is némán szegezte reám a szemét.	0.253846
Zinaida cười to, xô hai đứa lại gần.	Zinaida nevetésbe tört ki, s egymás felé taszigált bennünket.	0.494309
"Mấy cậu nhóc, ôm nhau đi!"	- De hát öleljétek meg egymást, gyerekek!	0.2
Chúng tôi ôm nhau.	- Megöleltük egymást.	0.236842
"Em muốn xem qua vườn nhà anh không?"	- Akarja, hogy elvezessem a kertbe?	0.232258
tôi hỏi.	- kérdeztem a hadapródtól.	-0.136364
"Dạ vâng," cậu trả lời, giọng khàn đục, như một thiếu sinh quân.	- Legyen szíves - felelte rekedt, igazi hadapródhangon.	0.164706
Zinaida lại cười...Tôi đủ thì giờ để nhận ra, chưa bao giờ gương mặt nàng tươi đẹp đến thế.	Zinaida megint elnevette magát... Ilyen gyönyörű pirosságot még sohasem láttam az arcán.	0.450537
Tôi dẫn cậu bé đi.	Elmentünk a hadapróddal.	0.259091
Trong vườn nhà tôi có một cái xích đu kiểu cũ.	Volt a kertünkben egy régi hinta.	0.106452
Tôi ấn cậu ngồi xuống thanh gỗ hẹp, và bắt đầu đưa.	Felültettem a vékony deszkalapra, s hintáztatni kezdtem.	0.255556
Cậu bé ngồi cứng đờ trong bộ đồng phục vải dầy cộp, dây biểu chương bện chỉ vàng, tay cậu nắm chặt dây đu.	Mozdulatlanul ült vastag posztóból készült, széles aranysújtású, új egyenruhácskájában, s erősen fogta kétfelől a kötelet.	0.2976
"Em nên mở khuy áo cổ cho thoáng," tôi nói.	- De hát gombolja ki a gallérját - mondtam neki.	0.293023
"Không sao đâu, anh ạ; tụi em quen rồi," cậu ấy hắng giọng, trả lời.	- Maradhat, megszoktuk mi ezt, kérem - felelte s köhögött.	0.177778
Cậu rất giống cô chị. ~~~ Đặc biệt là đôi mắt, làm tôi nhớ nàng.	Hasonlított a nénjéhez; különösen a szeme emlékeztetett rá.	-0.0319672
Tôi thích đối xử tử tế với cậu; nhưng đồng thời, môt nỗi buồn nhức nhối đang gậm nhấm con tim.	Jólesett, hogy szívességet tehetek a fiúnak, de ugyanakkor az a sajgó szomorúság is emésztette a lelkemet.	0.27
"Hôm nay chắc chắn mình là một đứa trẻ," tôi nghĩ; "nhưng hôm qua.." Tôi tìm thấy con dao đã đánh rơi tối hôm trước.	"Most igazán gyerek vagyok - gondoltam -, de tegnap..." Eszembe jutott, hogy tegnap este hol ejtettem el a zsebkésemet, s megkerestem.	0.276923
Cậu bé hỏi mượn, cắt môt khúc mùi tây già, khoét thành sáo vá bắt đầu thổi.	A hadapród elkérte tőlem, letépte egy medvegyökér vastag szárát, sípot vágott belőle, s elkezdett sípolni.	0.233721
Othello cũng véo von theo.	Othello is belefújt.	0.975
Nhưng đến chiều, Othello ấy khóc sướt mướt trên tay Zinaida, khi nàng đi tìm, trong góc vườn, để hỏi vì sao chàng u uất đến thế.	De este ugyanez az Othello, Zinaida kezére borulva sírt, mikor a lány a kert egyik szögletében megtalálta, s megkérdezte tőle: miért olyan szomorú?	0.291176
Nước mắt tôi chảy dữ dội đến nỗi nàng hoảng hốt.	Úgy patakzott a könnyem, hogy Zinaida megijedt.	0.184091
"Có sao không em?	- Mi baja?	0.0333333
Volodya, tại sao vậy?"	Mi baja, Vologya?	0.15
nàng lập lại; và vì tôi không trả lời, cũng không ngừng khóc, nàng sắp sửa hôn lên đôi má ướt.	- ismételgette, s amikor látta, hogy tovább sírok, s kérdésére nem felelek, meg akarta csókolni ázott arcomat.	0.294231
Nhưng tôi quay đầu tránh, và nói trong cơn nức nở, "Em biết hết cả rồi.	De én elfordultam, s zokogás közben suttogtam.	0.0681818
Tại sao chị lại đùa cợt với em?...Chị đâu cần đến tình yêu của em?"	- Mindent tudok; miért játszott velem?...	-0.00769231
"Chị thật đáng trách, Volodya."	Miért kellett magának az én szerelmem?	0.282857
Zinaida nói. ~~~ "vô cùng đáng trách..." nàng nói, tay vặn lại.	- Vétkeztem maga ellen, Vologya... - szólalt meg Zinaida.	-0.006
"Tâm hồn chị xấu xa, đen tối và tội lỗi biết mấy!...	- Nagyot vétkeztem... - folytatta és összeszorította a kezét.	0.289831
nhưng hiện nay, chị không đùa giỡn với em... Chị yêu em; em không thể hiểu được, như thế nào, và tại sao... Nhưng em vừa nói, em biết hết gì cơ chứ ?"	- Milyen sok rossz és sötét és bűnös hajlandóság van bennem... De most nem játszom magával, szeretem magát, nem is sejti, hogy miért és mennyire... De hát... mit tud maga?	0.292357
Làm sao tôi có thể hé môi đây?	Mit mondhattam neki?	0.0789474
Nàng đứng đối diện, nhìn tôi; với cái nhìn của nàng, tôi hoàn toàn thuộc về nàng, từ đầu đến chân... Mười lăm phút sau, tôi đã chạy đua với cậu bé thiếu sinh quân và nàng. ~~~ Tôi không khóc nữa, tôi cười hăng hắc, cho dù mỗi khi cười, từ đôi mí sưng, vài giọt nước mắt lăn dài. ~~~ Tôi được một sợi ruy-băng của Zinaida buộc quanh cổ giả làm cà vạt, và tôi hét toáng, hạnh phúc, mỗi khi nắm bắt được vòng eo thon.	Előttem állt, és rám nézett, és én az övé voltam egészen, tetőtől talpig, mihelyt reám nézett... Negyedórával később már a hadapróddal és Zinaidával versenyt szaladgáltunk: nem sírtam, hanem nevettem, bár dagadt szemhéjaim alól hullott a könny a nevetéstől: nyakkendőm helyett Zinaida szalagja volt a nyakamra kötve, s felkiáltottam örömömben, ha sikerült elkapnom a derekát.	-0.117208
Nàng điều khiển tôi theo ý thích của nàng...	Mindent tehetett velem, amit akart.	0.140625
Chương 19	19	16
Thật khó khăn nếu tôi phải mô tả chính xác những biến chuyển của tâm hồn tôi trong tuần lễ sau cuộc phiêu lưu thảm hại nửa đêm hôm ấy.	Nagy zavarba estem volna, ha valaki arra biztat, hogy mondjam el részletesen, mi történt velem egy hét alatt, szerencsétlen éjjeli kirándulásom után.	0.271739
Quả là một thời kỳ khủng khiếp, chao đảo, khốc liệt; những tình cảm, tư tưởng trái ngược, những nghi ngờ, hy vọng, niềm vui và nỗi khổ trộn vào nhau như giông bảo. ~~~ Tôi sợ phải xem xét lòng mình, giả dụ như một đứa bé muời sáu tuổi có khả năng xem xét được tấm lòng của nó; tôi sợ phải nghiền ngẫm bất kỳ điểu gì; sự nhẹ dạ của lứa tuổi thơ ngây giúp tôi sống vội qua mỗi ngày rồi đi vào giấc ngủ.	Különös, lázas időszak volt, káosz­szerű, melyben a legellentétesebb érzések, gondolatok, gyanakvások, remények és szenvedélyek kavarogtak förgetegesen; féltem magamba nézni, ha ugyan tud egy tizenhat éves fiú magába nézni, féltem magamnak bármiről is számot adni; siettem élni a napot, hogy jöjjön az este; de éjjel aludtam... gyermeki könnyelműség segített ebben.	-0.0421875
Tôi không muốn tìm tòi để biết mình có được thương yêu không, tôi không muốn tự thú nhận rằng tôi không được thương yêu; tôi tránh gặp cha tôi -- nhưng tôi không thể tránh Zinaida. ~~~ Tôi tan chảy khi có nàng... tôi không cần biết ngọn lửa nào đã ngọt ngào thiêu đốt.	Nem akartam tudni, szeretnek-e, s nem akartam bevallani magamnak, hogy nem szeretnek; apámat kerültem, de Zinaidát nem tudtam kerülni... Ha társaságában voltam, tűz égetett... de minek tudjam, miféle tűz volt az, amelyben égtem és olvadoztam, mikor olyan boldog olvadozás és égés volt ez.	-0.0147727
Tôi đắm mình trong những xúc cảm, tự lừa dối, quay lưng đi với ký ức, làm ngơ trước những cảnh báo... Sự yếu đuối này đúng ra không kéo dài mãi.... nhưng một luồng sấm sét đã giáng xuống, quẳng tôi sang một con đường mới. ~~~ Một ngày nọ, sau khi đi dạo khá lâu, tôi trở về nhà để ăn tối.	Átengedtem magam minden benyomásomnak, s ravasz játékot űztem önmagammal, elfordul­tam emlékeimtől, s behunytam a szemem az előtt, amit előre éreztem... Ez a gyötrelem úgy­sem tarthatott volna sokáig... egy mennykőcsapás egyszerre mindennek véget vetett, s engem új kerékvágásba zökkentett.	-0.0188259
Tôi ngạc nhiên khi được biết mình phải dùng bửa một mình, cha tôi đi vắng, mẹ tôi không được khỏe không muốn ăn, và bà đóng cửa phòng ở lỳ trong đó.	Mikor egyszer hosszabb sétából jöttem meg ebédre, csodálkozással értesültem róla, hogy egyedül ebédelek, apám elutazott, anyám gyengélkedik, nem kívánja az ételt, s bezárkózott a hálószobájába.	0.251497
Nét mặt của các gia nhân cho tôi biết một điều hết sức bất thường đã xảy ra....Tôi không dám dò hỏi họ, nhưng tôi vốn thân thiết với Philip, một người hầu trẻ tuổi, đam mê thơ văn và biết chơi đàn ghi-ta.	Az inasok arckifejezéséből kitalálhattam, hogy valami egészen rendkívüli történt... Kérdezgetni nem mertem őket, de volt egy barátom, Filipp, a fiatal büféinas, szenvedélyes verskedvelő és gitárjátékos - hozzá fordultam.	0.28186
Tôi hỏi, và anh bảo rằng cha mẹ tôi đã cải nhau một trận kịch liệt, (ở phòng của các nữ gia nhân, người ta có thể nghe trộm được mọi lời nói, hầu hết bằng tiếng Pháp, nhưng Masha người hầu của mẹ tôi, từng làm việc trong năm năm với một bà thợ khâu ở Pháp nên chị hiểu tất cả); rằng mẹ tôi đã trách móc cha tôi về tội không trung thành, đã lang chạ với tiểu thư nhà kế bên; rằng lúc đầu cha tôi bào chữa nhưng sau đó khi mất bình tỉnh cũng đã thốt nên những lời tàn nhẫn, "liên quan tới tuổi tác của bà" làm cho mẹ tôi khóc; rằng mẹ tôi cũng ám chỉ những món nợ bà công chúa hình như còn thiếu, và nhục mạ hai mẹ con công chúa, rồi cha tôi đã dọa nạt mẹ tôi.	Megtudtam tőle, hogy apám és anyám között borzasztó jelenet játszódott le (a cselédszobában is mindent lehetett hallani az utolsó szóig; sok volt, amit franciául mondtak, de Mása szobalány öt évig egy Párizsból jött varrónőnél szolgált, és mindent megértett); anyám apámnak szemére lobbantotta hűtlenségét, ismeretségét a szomszéd hercegkisasszonnyal, apám eleinte mentegetőzött, aztán fellobbant, s ő is valami kemény szót mondott anyámnak (talán az "évei számáról"), mire anyám sírva fakadt; anyám meg egy váltóról tett említést, melyet állítólag apám az öreg hercegnének adott, s nagyon rossz véleményt mondott róla, de a kisasszonylányáról is, s akkor apám megfenye­gette.	0.268807
"Và tất cả mọi chuyện phiền nhiễu này", Philip nói tiếp, "xẩy ra chỉ vì một lá thơ nặc danh; không biết ai là tác giả, nếu không có lá thơ đó, có lẽ không có lý do nào khiến cho câu chuyện bị bại lộ."	- S az egész baj - folytatta Filipp - egy névtelen levéltől eredt, de hogy ezt ki írta - nem lehet tudni; mert különben nem lett volna ok arra, hogy ezek a dolgok kipattanjanak.	0.171711
"Nhưng có gì làm bằng chứng không," khó khăn lắm tôi mới thốt nên lời, tay chân lạnh cóng, và tôi rùng mình.	- Hát volt valami? ~~~ - kérdeztem szorongva, s a kezem és lábam közben kihűlt, s legbensőmben valami remegést éreztem.	-0.00963303
Philip nháy mắt đầy ngụ ý.	Filipp sokatmondóan hunyorított.	0.280645
"Có chứ.	- Volt.	0.128571
Làm sao che dấu được; mặc dù Ông đã cẩn thận trong chuyện này -- nhưng Cậu thấy đó, có những lần, thí dụ, thuê xe hay bất cứ cái gì... không thể được việc nếu không có người giúp."	Az ilyesmit nem lehet eltitkolni; lehetett az édesapja ebben a dologban bármilyen óvatos - de hát kocsit például csak kell bérelni, vagy ez vagy az... emberek nélkül nem megy az efféle.	0.236747
Tôi cho Philip lui ra, và gieo mình xuống giường.	Elküldtem Filippet - s levetettem magam az ágyra.	0.273333
Tôi không khóc, tôi không chìm trong tuyệt vọng; tôi không tự hỏi, vì sao, và vào lúc nào chuyện ấy đã xảy ra; tôi không tự hỏi vì sao, đã từ lâu, mình không đoán trước; tôi cũng không cho rằng cha tôi có lỗi... Những gì tôi nghe được hôm nay vượt quá sức chịu đưng; tôi khủng hoảng lịm người... Mọi thứ đều kết thúc... Tất cả những đóa hoa tươi thắm của tình tôi, đã đồng loạt bị ngắt bỏ, vứt bừa bãi, quanh tôi, trên sàn nhà, và dầy xéo.	Nem zokogtam, nem engedtem át magam a kétségbeesésnek; nem kérdeztem magamtól, mikor és hogyan történhetett ez; nem csodál­koztam, hogy miért nem találtam ki eddig, miért nem régen - még csak nem is nehezteltem apámra... Az, amit megtudtam, meghaladta az erőmet: ez a váratlan felfedezés szétzúzott egészen... Mindennek vége lett. ~~~ Minden virágomat egyszerre tépték ki, ott feküdtek körü­löttem szétszórva és eltaposva.	-0.0328715
Chương 20	20	16
Hôm sau mẹ tôi tuyên bố ý định trở về thành phố.	Anyám másnap kijelentette, hogy beköltözik a városba.	0.283019
Từ sáng, cha tôi đã vào phòng của mẹ tôi, ở lại trong đó khá lâu, chỉ hai người.	Reggel apám bement hozzá a hálószobába, s négyszemközt sokáig együtt maradt vele.	0.26625
Không ai nghe lén được nội dung câu chuyện, nhưng mẹ tôi nín khóc, bình tỉnh trở lại, gọi thức ăn, nhưng không ra khỏi phòng mà cũng chẳng thay đổi kế hoạch.	Senki sem hallotta, mit mondott neki, de anyám már nem sírt; megnyugodott és enni kért, de nem mutatkozott, és nem változtatott az elhatározásán.	0.217164
Tôi nhớ, suốt ngày tôi thơ thẩn đi khắp mọi nơi, nhưng không ra vườn, không một lần liếc mắt nhìn qua nhà Zinaida, và đến chiều tối, chứng kiến một sự kiện ngoạn mục: cha tôi nắm cánh tay Bá tước Malevsky lôi xềnh xệch từ phòng ăn ra đại sảnh, và trước mặt người hầu, lạnh lùng nói với ông ta: "Chỉ mới mấy ngày trước đây, Ngài đã được mời ra khỏi cửa; hôm nay tôi không cần phải giải thích thêm gì nữa, nhưng tôi thề rằng nếu Ngài còn bén mảng tới đây, tôi sẽ quăng Ngài qua cửa sổ.	Emlékszem, egész nap kószáltam, de nem mentem a kertbe, s egyszer sem néztem a szárnyépület felé, este azonban csodálatos jelenetnek voltam tanúja: apám Malevszkij grófot karon fogva kivezette a termen át az előszobába, s egy inas jelenlétében hidegen így szólt hozzá: "Pár nappal ezelőtt nagyméltóságodnak ajtót mutattak egy házban, én azonban most nem bocsátkozom itt semmiféle magyarázkodásba, de van szerencsém kijelen­teni, hogy ha még egyszer ide jön hozzám, kihajítom az ablakon.	0.245395
Tôi không thích tuồng chữ của Ngài." ~~~ Chàng bá tước bậm môi, co rúm người, cúi chào rồi lĩnh đi.	Nekem a maga keze írása nem tetszik." A gróf meghajolt, összeszorította a fogait, összehúzta magát, és elpárolgott.	-0.00420561
Mọi người bắt đầu chuẩn bị cho việc di chuyển. ~~~ Chúng tôi sẽ dọn về căn nhà ở đường Arbaty.	Elkezdődtek az előkészületek a városba, az Arbatra költözésre, ahol házunk volt.	-0.0525
