Bà Bô vary	Bovaryné	0.27
Hắn cảm thấy cả con người hắn sụp đổ và thất vọng trước ý nghĩ nhất thiết phải mất nàng, trong khi nàng trái lại, bộc lộ với hắn tình yêu hơn bao giờ hết; và hắn không tìm thấy gì; hắn không biết; hắn không dám; tính khẩn cấp của một quyết định tức khắc hoàn toàn làm hắn mất tinh thần.	Nem tudott, nem mert megkisérelni semmit, mert hiszen, ha nem a legjobbat próbálja meg, ez végzetes lehet!… És annak sürgős szüksége, hogy azonnal elhatározza magát és azonnal cselekedjék, tökéletessé tette fejvesztettségét.	0.146512
Nàng thầm nghĩ nàng đã giũ sạch mọi sự phản bội; mọi cái ti tiện và vô vàn thèm muốn dằn vặt nàng.	Tehát vége – gondolta Emma – a sok hazugságnak és árulásnak, a sok alacsonyságnak, csunyaságnak, és vége a számtalanul sok és sokféle vágynak, kívánságnak, melyek folytonosan gyötörték!	0.102703
Bây giờ, nàng chẳng căm ghét ai; một buổi hoàng hôn hỗn độn sập xuống tư duy nàng, và trong mọi tiếng động của trái đất, Emma chỉ còn nghe thấy tiếng trái tim đáng thương từng hồi rên rỉ dịu dàng và mơ hồ như dư âm của một khúc nhạc hòa tấu xa dần.	Most már nem gyűlölt senkit; zavaros homály szállott le gondolkozására, és a föld zsivajából, a temérdek mindenféle hangból, nem hallott egyebet, csak ennek a mellette kínlódó szegény szívnek szakadozott siránkozását, mely olyan szeliden panaszkodott s már olyan messziről hangzónak tűnt fel előtte, mintha utolsó rezgése volna egy szimfóniának, mely a távolban elhangzik. ~~~ – Hozzátok be a kis lányomat!	-0.0437956
- Dẫn con bé vào đây cho tôi, - nàng vừa chống người lên khuỷu tay vừa nói.	– szólalt meg Emma, miközben fölemelkedett, és a könyökére támaszkodott.	0.275676
-Em không thấy đau nữa phải không?	– Nem vagy rosszabbúl, ugy-e?	0.206897
- Sáclơ hỏi.	– kérdezte Károly.	0.18
-Không!	– Nem, nem!	0.2
Không! ~~~ Đứa trẻ được người hầu gái bồng đến, nó mặc một chiếc áo ngủ dài để thò ra ngoài hai bàn chân không	Félicité a karján hozta be a kis lányt, úgy, a hogy az ágyban feküdt, hosszú éjjeli ingecskéjében, mely alól kis lába meztelenül csüngött ki.	-0.0107143
bíttất, vẻ mặt nghiêm chỉnh và hầu như còn ngái ngủ.	A gyermek nagyon komoly volt, és mintha álmából még nem ébredt volna fel egészen.	0.22623
Nó ngơ ngác nhìn gian buồng bừa bộn, và nó chớp mắt vì bị chói bởi ánh những ngọn đèn nến đang cháy trên đồ đạc.	Csudálkozva nézte a szobát, a melyben minden csupa rendetlenség volt, és le-lehunyta a szemét, mert a különböző bútordarabokon égő lámpák és gyertyák elvakították.	0.222656
	Ez a nagy kivilágítás, úgy látszik, ujév és böjtközép reggelét juttatta eszébe.	-0.3
Những ngọn đèn ấy chắc hẳn làm nó nhớ lại những buổi sáng đầu năm, hay ngày hội giữa tuần chay, khi nó được người ta đánh thức dậy sớm như thế, dưới ánh đèn nến, để đến bên giường mẹ nhận quà mở hàng, vì nó hỏi:	Ilyenkor ugyanis korán reggel, a mikor még gyertyát kellett gyujtani, felköltötték és anyja ágyába vitték, hogy a szokásos ünnepiességgel adják oda neki azokat az apró ajándékokat, a melyek e két ünnep hagyományaihoz tartoznak. ~~~ Azt hihette, hogy ilyen ünnepi reggelre virradt, mert így szólt:	-0.0169355
-Thế mẹ đâu?	– Hát hol vannak a játékok, mama?	0.0176471
Và, vì mọi người lặng im, nó nói:	És minthogy senki se felelt:	0.161538
-Mà em không thấy đôi giày nhỏ của em!	– De hiszen nem látom a czipőmet!	0.20625
Fêlixitê bế nghiêng con bé xuống giường, trong khi con bé vẫn nhìn về phía lò sưởi.	Félicité az ágy felé fordította, de a gyermek csak a kandalló környékét nézegette.	0.266667
-Có phải bà vú đã lấy giày đi rồi à?	– Talán a dada vitte el?	0.0521739
- Nó hỏi.	– kérdezte.	0.218182
Thế là, nghe nói đến cái tên ấy, cái tên làm bà nhớ lại những cuộc ngoại tình và những mối tai họa của mình, Bà Bôvary quay đầu đi như bị lợm vì một thứ thuốc độc khác mạnh hơn trào lên miệng.	És Bovaryné a "dada" szóra, mely házasságtöréseire és szerencsétlenségére emlékeztette, hirtelen félre fordult, mintha egy másik méregtől undorodott volna meg, mely erősebb volt, mint az, a melyiknek az ízét a szájában érezte.	0.295814
Béctơ, trong lúc ấy, đã được đặt ngồi trên giường.	Bertát ekközben Félicité az ágyra ültette.	0.177273
-Ồ! ~~~ Mẹ, mắt mẹ to quá!	– Ó, mama, milyen nagy a szemed!	-0.00517241
Mẹ xanh thế!	Milyen sápadt vagy!	0.22
Mẹ đổ mồ hôi nhiều thế!...	Hogy’ izzadsz!…	0.0631579
Mẹ nó nhìn nó.	Anyja csak nézte.	0.3
-Em sợ!	– Félek!	0.233333
- Con bé vừa nói vừa lùi lại.	– szólt a kis lány, és hátra huzódott.	0.234375
Emma cầm bàn tay nó để hôn; nó giãy giụa.	Emma megfogta a kezecskéjét, hogy megcsókolja; a gyermek védekezett.	0.466667
- Thôi!	– Elég volt!	0.075
Mang nó đi!	Vidd ki!	0.15
	– fakadt ki Károly, a ki a hálófülkében állott, és zokogott.	-0.3
- Sáclơ đang nức nở phía trong buồng, la lên.	Aztán mintha egy kis enyhülés állott volna be.	0.272727
Rồi những triệu chứng ngừng lại một lát; nàng có vẻ ít bị vật vã hơn; và cứ mỗi lời nói không đâu, mỗi hơi thở trên lồng ngực nàng êm hơn một chút, hắn lại hy vọng.	A kétségbeejtő tünetek nem jelentkeztek ujra, s Emma valamivel nyugodtabbnak látszott. ~~~ Néha egy pár szót ejtett ki; olykor, néhány pillanatig, egy kissé könnyebben lélekzett.	-0.0179641
Cuối cùng, khi Canivê bước vào, hắn vừa lao vào giữa hai cánh tay ông ta vừa khóc.	Károly, a hányszor egy-egy ilyes biztató jelenséget vett észre, ujra meg ujra reménykedni kezdett.	0.27907
	Végre, mikor Canivet megérkezett, sírva borúlt a doktor nyakába.	-0.3
- Ôi!	– Eljött!	0
	Az isten áldja meg!	-0.3
Ông đấy ư!	Köszönöm!	0.276923
Cảm ơn!	Ön oly jó!	0.27
Ông tốt lắm!	Már jobban van!	0.28
Nhưng mọi sự đã khá hơn.	Nézze! ~~~ Ugy-e, már jobban van?!	-0.0103448
Kìa ông trông xem nhà tôi...	A kolléga ur éppenséggel nem volt ezen a véleményen.	0.0827586
Người bạn đồng nghiệp không đồng ý chút nào, về ý kiến của hắn, và như chính ông ta nói, phải quả quyết làm, ông truyền cho uống thuốc mửa để tẩy sạch hẳn dạ dày. ~~~ Chẳng bao lâu nàng nôn ra máu.	És – mint ő maga mondta – nem sokat hímezett-hámozott, hanem hánytatót rendelt, hogy tökéletesen kitisztítsa a gyomrot.	-0.0918103
Đôi môi nàng càng mím chặt lại.	Beadták a szert, és Emma nemsokára vért hányt.	0.225
Chân tay nàng co quắp lại, thân thể nàng đầy chấm nâu, và mạch nàng chuội đi dưới những ngón tay như sợi chỉ căng, như một dây đàn sắp đứt.	Ajkai erősen összehuzódtak, görcs rángatta a tagjait, testét barna foltok lepték el, és ütőere megfeszült czérnaszálhoz volt hasonló, vagy hárfa húrjához, mely mindjárt elszakad.	0.265385
Rồi nàng thét lên kinh khủng.	Aztán jajgatni kezdett, borzasztóan.	0.2625
Nàng nguyền rủa thuốc độc, chửi bới nó, van nó mau lên, và bằng hai cánh tay cứng nhắc nàng gạt tất cả những gì mà Sáclơ, hấp hối hơn cả nàng, cố gắng đưa nàng uống.	Átkozta a mérget, szidta, hogy mért nem öli meg már, rimánkodott a halálért, és megmerevedett karjával mindent eltolt magától, a mit Károly, a ki maga is haldoklott, meg akart itatni vele.	0.277326
Hắn đứng, mùsoa trên môi, thở khò khè, khóc lóc, nghẹn ngào bởi những cơn nức nở rung động toàn thân, hắn; Fêlixitê chạy lăng xăng trong buồng; Hôme đứng sững, thở dài; và ông Canivê, vốn vẫn bình tĩnh, bắt đầu cảm thấy bối rối.	A szegény ember ott állott az ágy mellett, zsebkendőjével eltakarva a száját, hörögve, sírva; és a zokogás úgy fojtogatta, hogy egész testében reszketett. ~~~ Félicité ide-oda szaladgált a szobában; Homais, mozdulatlanul, nagyokat sóhajtott; és Canivet úr, bár magatartásának biztonságát és rendíthetetlen felsőbbség-érzetét nem veszítette el, kezdett egy kissé megzavarodni.	-0.0302817
-Quái!... ~~~ thế mà... bà ta đã được tẩy rồi, và chính khi nguyên nhân hết...	– Az ördögbe is!… pedig hát… a gyomor ki van tisztítva, és, mihelyt megszűnik az ok…	0
- Kết quả phải hết, - Hôme nói - hiển nhiên là thế.	– Meg kell szűnnie az okozatnak is! ~~~ – szólt Homais.	-0.0147059
-Nhưng hãy cứu lấy nhà tôi!	– Ez világos! ~~~ – Mentse meg!	-0.005
	Mentse meg!	-0.3
- Bôvary kêu lên.	– esdeklett Bovary.	0.266667
Cho nên, Canivê chẳng nghe tay dược sĩ liền đưa ra cái giả thiết: "Có lẽ là một thời kỳ kịch phát tốt lành của căn bệnh", Canivê sắp dùng thuốc giải độc khác thì nghe thấy tiếng roi quất ngựa; tất cả các cửa kính rung lên, và một xe ngựa hòm nhà trạm do ba con ngựa dính bùn đến tận tai ra sức kéo đi, lao vọt tới góc chợ.	Azért, nem hallgatva a gyógyszerészre, a ki azt a föltevést koczkáztatta meg, hogy: "Ez a paroxizmus talán olyan válság, melyet nyomon követ a szerencsés fordulat" – Canivet éppen teriákot akart beadni, azt a szert, melyet minden méreg ellen használni szoktak, a mikor egyszerre csak ostorpattogás hallatszott. ~~~ Az összes ablaktáblák megremegtek, és a vásárcsarnok felől szélsebesen törtetett előre egy négyüléses, zárt posta-hintó, melyet három, fülig sáros ló úgy ragadt magával, a hogy a szügyük csak bírta.	-0.0338028
Đó là bác sĩ Larivie.	Larivière tanár érkezett meg.	0.208696
Một ông khách hiện ra cũng không gây được nhiều xúc động hơn thế.	Egy isten megjelenése nem okozhatott volna nagyobb felindulást.	0.218644
Bôvary giơ tay lên, Canivê ngừng bặt và Hôme trật chiếc mũ trùm kiểu Hy Lạp ra ngay trước khi bác sĩ bước vào.	Bovary két kezét az ég felé emelgette, Canivet nem folytatta, a mit az előbb mondani akart, és Homais lekapta a házisipkáját, mielőtt a tanár belépett.	0.241026
	Larivičre tanár az orvosi tudománynak még ahhoz a nagy iskolájához tartozott, a melyet Bichat alapított, ahhoz a már kihalt nemzedékhez, melynek jelesei filozófusok és igazi gyógyítók voltak, a kik lángolóan szerették hivatásukat, s a kik e hivatás gyakorlatában épp annyi éleselméjüséget tanusítottak, mint a mennyi rajongást.	-0.3
Ông ta thuộc trường phái phẫu thuật lớn được Bisa đào tạo, thuộc vào cái thế hệ, nay đã mất, của những nhà thực tiễn triết gia yêu nghề mình bằng một mối cuồng nhiệt; hành nghề một cách phấn khởi và minh mẫn!	Minden lélek reszketett a kórházban, mikor Larivičre tanár megharagudott, és tanítványai annyira bálványozták, hogy, mikor a maguk szakálára kezdtek dolgozni, a legjelentéktelenebb külsőségeit is utánozták.	0.24802
Trong bệnh viện của ông, tất cả đều run lên khi ông nổi giận và các học trò ông tôn kính ông đến mức, vừa bắt đầu lập nghiệp đã cố gắng bắt chước ông hết sức; cho nên ở những thành phố xung quanh, người ta lại thấy ở họ chiếc áo choàng dài lót len của ông và chiếc áo đen rộng của ông mà các cửa tay không cài khuy trùm một chút lên những bàn tay mũm mĩm của ông; những bàn tay rất đẹp không bao giờ đeo găng như để được mau chóng hơn thọc vào các nỗi khổ đau.	A Rouenhoz közeleső városokban, s általában az egész környéken, számtalan példányban lehetett viszontlátni, a régi tanítványokon, Larivière tanár merinógyapjuból készült, hosszú, vattázott felöltőjét, és bő frakkját, melynek kigombolt ujj-hajtókája egy kissé elfedte húsos kezét, azt a szép kezet, a melyen soha se volt keztyü, talán azért, hogy mindig készen legyen minél hamarább bele hatolni a nyomoruságba.	0.218593
Coi khinh các huân chương, các chức tước và các học vị, niềm nở, rộng rãi, hiền hậu, thân thương với người nghèo và thực hành đạo đức mà chẳng tin vào đó, ông hầu như được coi là một vị thánh nếu không vì cái trí tuệ sắc sảo của ông khiến người ta sợ ông như sợ một con quỷ.	Érdemjelekre, czimekre, akadémiai tagságokra nem vágyódott, s minden efféle hívságot lenézett; vendéglátó, bőkezü és jószivü volt; a szegényeket nem csupán segítette, hanem a mellett atyai módra bánt velök; és erényes életet élt, bár nem hitt az erényben.	0.226506
Con mắt của ông, sắc hơn dao mổ, rọi thẳng vào tâm hồn người ta và phanh phui mọi dối trá qua những biện bác và e lệ.	Szentnek tartották volna, ha nem oly nagyeszű; de minthogy elméjének élességével számolni kellett, féltek tőle, mint egy démontól.	0.3
Và ông cứ sống như thế, đầy vẻ oai nghiêm hiền hậu phát sinh từ ý thức về tài cao, của lắm và bốn mươi năm làm ăn cần cù, trong sạch.	Tekintete épp olyan metsző volt, mint bonczoló kése; lehatolt a lélek mélyére, és ízekre szedett minden hazugságot, akármivel takargatta is ezt az álszemérem és a szinlelés.	0.267568
	Így haladt végig az életen, jólelküen, türelmesen, és azzal a kicsinyelhetetlen méltósággal, melyet csak a nagy tehetség, a függetlenséget biztosító vagyon, a negyvenéves munkásság és a kifogástalan élet ritka öntudata adhat meg.	-0.3
Vừa bước vào cửa, ông đã cau mày khi nhìn thấy bộ mặt nhợt nhạt như xác chết của Emma nằm ngửa; miệng há.	Mikor, a küszöbre érve, megpillantotta Emmát, a kinek az arcza már olyan volt, mint a halottaké, s a ki mozdulatlanul feküdt a hátán, a száját nyitva tartva: Larivičre önkéntelenül összeránczolta a szemöldökét.	0.0957983
Rồi ông vừa ra vẻ lắng nghe Canivê nói vừa đặt ngón tay trỏ dưới lỗ mũi vừa nhắc đi nhắc lại:	Aztán, mialatt úgy tett, mint ha Canivet jelentését hallgatná, mutatóujját Emma orra alá tartotta, és csak azt mondta:	0.288785
-Được, được.	– Jól van, jól van.	0.3
Nhưng ông ta cử động chậm chạp đôi vai.	De, abban a hitben, hogy csak Canivet látja, lassan vállat vont.	0.22
	Bovary észrevette ezt az alig észrevehető mozdulatot: egymásra néztek.	-0.3
Bôvary ngắm ông; họ nhìn nhau; và con người ấy, tuy đã từng quen thuộc với đau khổ là thế, cũng không thể ngăn một ~~~ giọt nước mắt rơi xuống ngực áo mình.	És ez az ember, a ki már annyi fájdalmat látott, s ugyancsak hozzá szokott a mindenféle fajta nyomorúság látásához, nem tudta visszatartani a meghatottság egy könnyét, mely egyszerre csak oda hullott csipkés ingfodrára.	-0.0289474
Ông muốn kéo Canivê sang phòng bên.	Kihívta Canivet-t a másik szobába.	0.273529
Sáclơ đi theo.	Károly utána ment.	0.24375
- Nhà tôi đau lắm phải không?	– Nagyon rosszúl van, ugy-e?	0.257143
Giá chườm hạt cải được?	Hátha mustártapaszszal tennénk kisérletet?	0.1875
Tôi chẳng biết có phải thế không!	Vagy mit tudom én mivel!	0.0681818
Vậy ông hãy kiếm thứ gì cho nhà tôi đi, ông đã từng cứu nhiều người!	Találjon ki valamit, hisz ön már annyi embert mentett meg!	0.158491
Sáclơ dang hai cánh tay ôm lấy người ông, và hắn ngắm ông một cách hốt hoảng, van xin, gần như ngất đi trên ngực ông.	Károly körülkarolta mesterét mind a két karjával, és olyan rémülten, olyan könyörgéssel teli tekintettel nézett rá!… aztán, félig ájultan, ráborult a vállára.	0.219048
-Này, anh chàng đáng thương ơi, can đảm lên!	– Szegény fiam, szedd össze a bátorságodat!	0.272727
Chả còn làm gì được nữa.	Itt már nincs mit csinálnunk!	0.267857
Và bác sĩ Larivie quay đi.	És Larivičre elfordult.	0.275
-Ông đi à?	– Elmegy?	0.272727
-Tôi sẽ trở lại.	– Majd visszajövök.	0.285714
Ông ta đi ra như để căn dặn người đánh xe trạm một điều gì.	Kiment, és úgy tett, mintha csak a postakocsist keresné, hogy valami rendeletet adjon neki, és azután még visszajönne.	0.119118
Cùng ra với ông ta có ông Canivê, ông này cũng không muốn trông thấy Emma chết trong tay mình.	Canivet követte. ~~~ A neufchâteli orvos se óhajtotta, hogy Emma az ő két keze közt haljon meg.	0.0373134
Tay dược sĩ theo kịp hai ông vào lúc tới quảng trường.	A gyógyszerész a piaczon utólérte őket.	0.15
Bản chất của y là không thể xa rời những người nổi tiếng được.	Hiába, olyan volt a természete, hogy nem tudott elválni a híres emberektől.	0.278571
Do đó y khẩn khoản, ông Larivie ban cho y cái hân hạnh đặc biệt là nhận lời ăn cơm với y. Chim bồ câu ở quán Sư Tử Vàng, tất cả sườn ở hàng thịt, kem ở nhà Tuyvasơ, trứng ở nhà Lêtibuđoa đều được lấy nhanh về, và chính tay dược sĩ đích thân giúp việc sửa soạn, còn bà Hôme thì vừa thắt dải áo chẽn của mình vừa nói:	Azért kérve kérte Larivičre professzor urat, részesítse őt egy igen nagy kitüntetésben, és tisztelje meg nagybecsü látogatásával az ő szerény hajlékát, nem utasítván vissza egy kis reggelit, már a milyen tőle kitelik. ~~~ Nosza, hamar elküldtek valakit az Arany oroszlánba galambért, Tuvachehoz tejszinhabért, Lestiboudoishoz tojásért, és annyi bordaszeletet hozattak a mészárszékből, a mennyi ott egyátalán kapható volt.	-0.0228448
-Xin ông tha lỗi cho, thưa ông; vì ở cái vùng khốn khổ của chúng tôi khi mà không được báo từ hôm trước thì...	A gyógyszerész ki-kiszaladt a konyhába, segíteni; és Homaisné asszony, pongyolájának a zsinórját huzgálva, így mentegetőzött:	0.282353
	– Az urak meg fognak bocsátani, de ebben a szerencsétlen kis fészekben, ha az ember nem tudja már előtte való nap…	-0.3
-Lấy cốc có chân!	– A talpas poharakat!!!	0.271429
- Hôme khẽ nhắc.	– suttogta Homais.	0.3
-Ít ra, nếu chúng tôi ở tỉnh, chúng tôi còn cái may mắn kiếm được chân giò nhồi thịt.	– Városban az ember mindig tud segíteni magán, mert ha más nincs, elküld a henteshez, sonkáért, felvágottért…	0.262105
-Thôi mình!... ~~~ Xin mời bác sĩ vào bàn!	– Hallgass!… Igen tisztelt uraim, tálalva van!	-0.0142857
Sau những miếng đầu tiên, ông Hôme xét thấy cần cung cấp vài chi tiết về cái tai họa:	Mikor a vendégek lenyelték az első pár falatot, Homais jónak látta elmondani a szomorú eset egyes részleteit:	0.270968
-Chúng tôi thoạt tiên cảm thấy trạng thái khô ráo ở yết hầu, rồi những cơn đau quặn ở bụng trên, xổ mạnh, hôn mê.	– Először nagy szárazságot éreztünk a garatban, aztán tűrhetetlen fájdalmak léptek fel a gyomortájékban, majd superpurgatio, és aztán álomkórság.	0.25814
-Vậy bà ta đã tự đầu độc mình như thế nào?	– De hát hogyan mérgezte meg magát?	0.162857
- Thưa bác sĩ tôi không biết và thậm chí tôi cũng chẳng rõ bà ấy đã có thể kiếm được ở đâu cái chất thạch tín ấy.	– Nem tudom, tanár ur, sőt azt se tudom, hogy honnan szerezhette az arzenikumot.	0.0625
Juyxtanh, bấy giờ đang bưng một chồng đĩa, bỗng run lên bần bật.	Justint, a ki éppen egy tányér-oszlopot hozott be az ebédlőbe, reszketés fogta el.	0.279167
-Mày làm sao thế?	– Mi bajod?	0.125
- Tay dược sĩ hỏi.	– kérdezte a gyógyszerész.	0.185714
Chàng trẻ tuổi, nghe thấy câu ấy, đánh rơi tất cả xuống đất đánh xoảng một tiếng.	A fiú erre a kérdésre úgy megijedt, hogy elejtette terhét, és a sok tányér nagy robajjal zuhant le a földre.	0.290625
- Đồ ngu!	– Ostoba szamár!	0.109091
- Hôme la lên, - đồ hậu đậu!	– dühöngött Homais.	0.182609
Đồ bị thịt!	– Hogy’ lehetsz ilyen ügyetlen!	0.0176471
Đồ lừa bỏ đi!	Te mulya, te állat!	0.283333
Nhưng đột nhiên tự kiềm chế được mình, y nói:	De aztán eszébe jutott, hogy uralkodnia kellene magán, s Larivičrehez fordulva, így folytatta:	0.111111
- Tôi muốn, thưa bác sĩ định làm thử một cuộc phân tích, và thứ nhất, tôi đã nhẹ nhàng đút vào một cái ống...	– Nem késlekedtem, tanár ur, hanem azonnal hozzá láttam, hogy megejtsem a vegyelemzést, és primo, nagy vigyázattal bevezettem egy tubusba…	0.280488
-Tốt hơn là ông đút ngón tay ông vào cổ họng bà ấy, - nhà giải phẫu nói.	– Többet ért volna – szólt a tanár – ha ledugta volna az ujjait a szegény asszony torkába.	0.273418
	A kolléga ur hallgatott. ~~~ Mielőtt asztalhoz ültek, négyszemközt egy kis leczkét kapott a tanártól, a ki nagyon kereken mondta el azt a véleményét, hogy Canivet ur meglehetősen rosszkor rendelte azt a hánytatót.	-0.3
Người bạn đồng nghiệp của bác sĩ vẫn im lặng, vì ban nãy riêng ông ta đã nhận được một lời chỉ trích mạnh mẽ về liều thuốc giải độc đến nỗi ông ta, cái ông Canivê khôn khéo, vênh váo và nhiều lời là thế trong dịp chữa cái chân khoèo, hôm nay lại rất khiêm tốn; ông ta mỉm cười không ngớt, bằng một vẻ tán thành.	És a derék Canivet, a ki oly felsőbbségtől sugárzó, és önérzetes, oly nagyhangú és bőszavú volt, mikor Hippolyte lábát megvizsgálta: ez egyszer leszállt a paripájáról, és úgy szerénykedett, hogy alig lehetett ráismerni. ~~~ Most már nem volt beszédes; egy árva szót se szólt, folytonosan mosolygott, s ha a tanár valamit mondott, sűrű fejbólintgatással fejezte ki, hogy csatlakozik a nézetéhez.	-0.0103152
Hôme hoan hỉ trong niềm kiêu hãnh được làm chủ tiệc, và cái ý nghĩ làm cho Bôvary đau đớn góp phần một cách mơ hồ vào cái thích thú của y, do một vài sự liên hệ ích kỷ tới cho bản thân y. Rồi sự có mặt của bác sĩ làm cho y phấn khởi.	Homais-n meglátszott, milyen boldoggá teszi, hogy előkelő férfiakat láthat vendégül, s az, hogy Bovaryt olyan szomorú helyzetben tudta, nem csökkentette örömét, sőt mintha némiképpen fokozta volna, mert kettejök helyzetének roppant különbsége jólesett önzésének. ~~~ A tanár társasága valósággal lázba ejtette.	-0.00298805
	Kitálalta egész műveltségét, elmondta mindazt, a mit a mérgekről tudott, összevissza beszélt a kőrisbogár, az upász-fa, a manzanilla-fa és a vipera-méreg hatásáról; túltett magamagán.	-0.3
Y phô bày mớ kiến thức của y, y kể lộn xộn những bọ ban miêu, cây xuy, cây lê độc, rắn lục...	– Sőt azt is olvastam, professzor ur, hogy voltak esetek, a midőn egyes embereket megmérgezett és villámként ölt meg a nagyon gyorsan és tulságosan füstölt hurka!	0.160194
-Và thậm chí tôi còn đọc thấy nhiều người bị trúng độc, thưa bác sĩ, y như bị sét đánh chết tươi vì ăn những khúc dồi lợn hun khói quá nhiều!	Legalább ezt írja, egy gyönyörü értekezésben, a gyógyszertan tudományának egyik büszkesége, mestereink egyike, a nagyhirű Cadet de Gassicourt!	0.256835
Ít ra thì chuyện đó đã được kể trong một bản báo cáo rất hay soạn ra bởi một trong những nhà dược học cự phách, một ông thầy của chúng ta, ông Cađê đơ Gaxicua trứ danh!	Homaisné asszony ujra megjelent, s egy kávéfőző készüléket hozott magával, ama kissé lenge, forralókészülékek egyikét, a melyeken a kávét tartó, mozgatható üvegedény erre-arra ing egy hajlott sárgaréz cső alatt, s a melyekhez, a forralásra, borszesz-lángot kell használni.	0.174194
Bà Hôme lại ra, mang theo một trong những bộ máy xộc xệch đốt nóng lên bằng tinh rượu vang vì Hôme quyết pha ngay trên bàn ăn thứ cà phê tự tay y đã rang lấy, đã nghiền lấy, pha chế lấy.	Homais ugyanis nem tudta megtagadni magától azt az örömet, hogy az asztalnál készíthesse el a kávét, melyet maga pörkölt, maga darált meg, maga kevert. ~~~ – Parancsol saccharumot, professzor ur?	-0.0141667
-Saccharum bác sĩ, - y vừa nói vừa đưa đường ra.	– szólt, czukorral kinálva a tanárt.	0.178378
Rồi y cho gọi tất cả các con y xuống, tò mò muốn biết ý kiến của nhà phẫu thuật về thể tạng của chúng.	Aztán lehivatta összes gyermekeit, bemutatta őket a tanárnak, s megkérdezte, mit szól a testalkatukhoz.	0.24433
	Végre Larivičre ur menni készült, de Homaisné félre szólította, s arra kérte, világosítsa fel őt, nem találja-e Homais egészségi állapotát nyugtalanítónak?	-0.3
Cuối cùng ông Larivie sắp đi thì bà Hôme xin ông khám sức khỏe cho chồng.	Férje tudniillik ebéd után mindig elalszik, s ő tudja, hogy ettől a vér megsűrűsödik és az agyban vértódulások támadhatnak.	0.132468
Chồng bà bị trệ má, vì cứ buổi tối, ăn xong là đi ngủ liền. ~~~ -Ồ!	– Félek – magyarázta el aggodalmait Homaisné – hogy férjem fejében vérbőség van.	-0.016
Chẳng phải vấn đề tình dục làm trở ngại ông ta đâu.	– Legyen nyugodt – szólt a tanár – nincs az ő fejében semmi.	0.289831
Và, mỉm cười một chút về lối chơi chữ không ai nhận thấy đó, bác sĩ mở cửa bước ra.	Ez a gonosz megjegyzés Homaisnét teljesen megnyugtatta, s Larivičre, a ki egy kissé elmosolyodott, kinyitotta az ajtót.	0.262887
Nhưng cửa hàng dược phẩm đầy người, và ông khó nhọc lắm mới có thể thoát được tay Tuyvasơ đang lo sợ bị chứng viêm phổi vì bà ta quen thói khạc vào đống tro; rồi ông Binê đôi khi thấy cồn cào ruột gan và bà Carông thấy da lấm tấm ngứa; Lơrơ chóng mặt; Lêtibuđoa bị phong thấp; bà Lơfrăngxoa hay ợ chua.	De a gyógyszertár tele volt emberrel, a kik mind a híres tudóst várták. ~~~ És a tanár csak nagynehezen tudott megszabadulni: mindenekelőtt Tuvache urtól, a ki attól tartott, hogy feleségének tüdőgyuladása van, mert egy idő óta mindig a hamuba köp, aztán Binettől, a ki farkasétvágyról panaszkodott, Caronnétól, a ki valami csipkedést és szúrásokat érzett a testében, Lheureuxtől, a kinek szédülései voltak, Lestiboudoistól, a kit a csúz bántott, és Lefrançoisnétól, a ki azt panaszolta, hogy mindig savanyú a gyomra.	-0.0389728
Cuối cùng ba con ngựa phóng đi, và nói chung người ta thấy ông đã chẳng tỏ ra khoan nhã.	Végre beülhetett a kocsiba; a három ló megindult, és mindenki úgy találta, hogy a tanár ur egy cseppet sem mutatkozott szivesnek.	0.215217
Sự chú ý của công chúng bị giãn đi khi Buôcnidiêng xuất hiện, ông ta mang dầu thánh đi qua khu chợ.	De a közfigyelem csakhamar másfelé fordult, mert a vásárcsarnok felől megjelent Bournisien, a haldoklók szentségével.	0.274038
Hôme, dường như phải làm theo phương châm hành động của y, so sánh cha cố với bầy quạ kéo đến do hơi người chết; cứ trông thấy một giáo sĩ là riêng y đã thấy khó chịu vì áo thụng làm y nghĩ tới vải liệm, và y ghét cay ghét đắng cái kia một phần cũng vì hoảng sợ cái này.	Homais, elveihez képest, megjegyezte, hogy a csuhások olyanok, mint a hollók, a halálszagra azonnal megjelennek; mindig igen kellemetlenül érintette, ha papot látott, mert a reverenda a szemfödélre emlékeztette; s utálta az egyiket, mert irtózott a másiktól.	0.229412
