STEFAN ZWEIG	KỲ THỦ
Mindannyian kissé csodálkozva tekintettünk rá, de senki se nézte oly ijedten, mint én.	Mọi người nhìn ông hơi ngạc nhiên, còn tôi lòng đầy lo ngại.
Ilyen görcsösen tartotta a kezét, ilyen mélyen húzta válla közé a fejét, így, csak így száguldhatott fel-le, fel-le ezerszer; merev és mégis lázas tekintetében az őrület vöröslő fényével.	Đúng, suốt bao tháng ròng ông đã lồng như con thú bị nhốt, tay nắm chặt, vai rụt lại, mắt đỏ ngầu nhìn chăm chăm và đầy vẻ say mê, chẳng khác hiện nay.
De józan eszét a téboly még nem támadta meg, mert időről időre az asztal felé fordult, hogy lépett-e már Czentovic időközben.	Lúc này, đầu óc ông vẫn tỉnh táo vì chốc chốc ông sốt ruột quay về bên bàn xem Xzentôvic đã quyết định chưa.
Eltelt kilenc perc, eltelt tíz perc, s akkor az történt, amit senki sem várt volna közülünk.	Sự việc diễn ra tiếp sau đó, quả thật không một ai trong chúng tôi dám nghĩ tới.
Egymás után álltunk fel izgalmunkban, anélkül, hogy észrevettük volna.	Trong lúc xúc động, tất cả chúng tôi nhất loạt đứng bật dậy.
Kimért szünet után felemelte fejét, és barátunkra függesztette kövült tekintetét.	Mãi một lúc lâu sau anh ta mới ngẩng đầu ngước nhìn ông bạn chúng tôi, vẻ khó chịu rồi hỏi :
- Óhajt még egy partit?	- Ta đánh ván nữa chứ ?
- Természetesen - felelte dr. B. különös, lelkes hangon, mely sértőn ütötte meg fülemet, és még mielőtt figyelmeztethettem volna eredeti elhatározására, mely szerint egy partit akar csak játszani, azonnal leült, lázas mozdulatokkal állította fel a figurákat, s olyan sebesen kapkodta össze őket, hogy egy paraszt kétszer is kicsúszott az ujjai közül s a földre esett.	- Tất nhiên rồi, - ông B. đáp, giọng phấn khởi đến mức gây cho tôi một ấn tượng đáng buồn, và ông liền ngồi ngay xuống bên bàn cờ làm tôi không kịp nhắc rằng ông chỉ có ý định đánh một ván thôi.
Növekvő izgatottsága láttán rettegéssé nőtt bennem, ami eleinte csak kínos érzés volt.	Ông hối hả bày quân cờ, tay run lẩy bẩy nên con Binh đã hai lần vuột khỏi tay và lăn xuống sàn.
Lázas izgalom szállta meg ezt a csendes, nyugodt embert, egyre sűrűbben rángatódzott a szájaszéle, és teste úgy remegett, mintha kirázta volna a hideg.	Rõ ràng là con người điềm đạm và hiền hậu này đã thay tính đổi nết thành một người bị kích động.
- Ne, az Istenért - súgtam - csak most ne, legyen elég, túlságosan megerőlteti a játék!	Chứng co cơ nổi lên làm mép ông cứ bị giật giật, người ông run lên như lên cơn sốt đột ngột.
- Megerőltet!	- Đánh thế thôi!
Czentovic nyugodt, kimért pillantást vetett rá, de merev tekintete ökölbe szorított kézre emlékeztetett.	- Nếu đã không lề mề như vừa rồi thì tôi đã đánh được mười bảy ván xong đâu đấy !
Czentovic hosszú ideig gondolkodott, mielőtt megtette első lépését, és én világosan éreztem, hogy szántszándékkal habozott ilyen sokáig.	Họ không còn là hai đấu thủ muốn đọ tài sức để giải trí mà là hai kẻ thù đã thề phải triệt hạ nhau.
A gyakorlott stratéga időközben rájött, hogy éppen lassúságával fáraszthatja, izgathatja ellenfelét.	Xzentôvic trùng trình mãi chưa chịu đi quân khai cuộc, mọi người nhận thấy rõ là anh ta đã cố tình như vậy.
Négy percig tartott, míg a legegyszerűbb, leggyakoribb lépéssel megnyitotta a játszmát, míg a király előtt álló paraszttal két mezőt előrelépett.	Chắc anh hiểu rằng sự ê a của anh đã làm cho đối phương bị mệt mỏi và bị kích thích, và vốn là một nhà chiến thuật điêu luyện anh đã sử dụng điểm này.
Mintha heves villámlás után dobogó szívvel várná az ember a dörgést, s a dörgés késik.	Ông B. liền cũng đi con Binh đánh trả luôn, sau đó Xzentôvic lại trùng trình đến phát điên lên.
Éppen a harmadik pohár vizet hajtotta fel.	Xzentôvic ngồi im không hề nhúc nhích.
Hirtelen eszembe jutott, mit mesélt börtönbeli, kínzó, lázas szomjúságáról.	Anh chậm rãi, bình tĩnh suy nghĩ và tôi luôn cảm thấy rõ anh ta cố tình lề mề một cách độc ác.
De még uralkodott magán, csak amikor a negyedik lépés után Czentovic újból végtelenül sokáig töprengett, kifogyott a türelméből és hirtelen rárivallt:	Tới lúc này, ông vẫn tự chủ ghìm được bản thân, nhưng đến nước thứ tư, thấy Xzentôvic cứ trầm ngâm mãi chưa chịu đi quân, ông liền giục toáng lên :
- De lépjen már végre, kérem.	- Đi đi chứ !
- Tudtommal tíz perc gondolkodási időben állapodtunk meg.	- Nếu tôi nhớ không nhầm, chúng ta đã quy định thời gian giữa các lần đi quân là mười phút cơ mà.
Elvből nem játszom rövidebb gondolkodási idővel.	Về nguyên tắc, tôi chẳng việc gì phải vội vã.
Dr. B. ajkába harapott.	Ông B. bặm môi.
Izgett-mozgott a széken, és ujjaival dobolt az asztalon.	Xzentôvic ngẩng chiếc đầu to tướng của mình lên :
- Szabadna kérnem, hogy ne doboljon!	Gõ thế tôi bị mất tập trung.
- kacagott fel dr. B.	Ông B. liền cười gằn :
- azt látom!	- Hà hà, tôi nhận thấy ngay mà.
Czentovic homloka elborult.	Xzentôvic đỏ mặt :
- Mit akar ezzel mondani?	- Ý ông định nói gì ?
Dr. B. újból felnevetett:	Ông B. lại bật cười, ông quàu quạu cười gằn :
- Semmit, csak úgy látom, kissé ideges.	- Ồ, tôi chẳng có ý gì cả.
Czentovic hallgatott s újból lehajtotta a fejét.	Tôi chỉ muốn nói là ông rất dễ bị kích động.
Végül a maximális gondolkodási időt vette igénybe, mielőtt egy lépésre határozta volna el magát.	Hình như ông B. quên đứt ván cờ mình đang đánh và mải suy nghĩ đến điều gì đấy.
Barátom viselkedése lépésről lépésre különösebb lett.	Ông thôi không đi lại trong phòng và về ngồi ngay trên ghế.
Úgy látszott, hogy a játszma már nem érdekli, s gondolatban már egészen mással foglalkozik.	Ông đưa cặp mắt hờ hững nhìn vào khoảng trống và luôn miệng lẩm bẩm những từ không ai hiểu nổi.
Nem szaladgált többé fel-alá a szobában, mozdulatlanul ült a helyén, s meredt, üres pillantással bámult maga elé.	Chắc ông mải mê suy nghĩ các thế đi vô tận hoặc tôi nghi là ông đã chuyển sang đánh ván khác ?
Percekig tartott, míg beleélte magát a játékba.	Chỉ một phút sau, ông đã định được hướng.
Alig lépett Czentovic, dr. B. úgyszólván anélkül, hogy a sakktáblára pillantott volna, három lépéssel előretolta a futóját, s olyan hangon kiáltott fel, hogy mindannyian összerezzentünk:	Đúng là như vậy, sự thể diễn ra ở nước thứ mười chín, Xzentôvic vừa đi quân xong, ông B. không nhìn bàn cờ, liền vừa đẩy quân Tượng lên ba ô, vừa hét to làm chúng tôi giật nẩy người :
- Sakk!	- Chiếu !
Mindannyian a táblára pillantottunk, valamennyien érdekes húzást vártunk.	Tất cả chúng tôi đều cúi xuống bên bàn cờ để xem thế nào.
Czentovic lassan, egészen lassan felemelte fejét, és ami még eddig egyszer sem történt meg, ránk pillantott, körbejártatta tekintetét, s szemmel­láthatóan hallatlanul élvezett valamit, szája elégedett, leplezetlenül gúnyos mosolyra húzódott.	Nhưng chẳng ai trong chúng tôi lại có thể ngờ đến sự việc diễn ra một phút sau : Xzentôvic từ từ, rất từ từ ngẩng đầu lên và nhìn từng người chúng tôi - điều mà từ trước tới nay chúng tôi chưa hề thấy ở anh.
Miután alaposan kiélvezte előttünk egyelőre érthetetlen diadalát, tettetett udvariassággal fordult hozzánk:	Người ta thấy anh nhếch mép cười vẻ chế giễu và thỏa mãn, xem ra anh ta mừng vô hạn.
- Sajnálom, de én nem látok sakkot!	- Đáng tiếc là tôi không rõ quân Tướng của tôi tại sao lại bị chiếu.
Barátunk idegességében egy mezővel odábbtolta volna az egyik figurát, mint ahogy szándékában volt?	Ông bừng tỉnh trước sự im lặng chung, ông kiểm tra lại bàn cờ và nói, giọng rất ấp úng :
- De hiszen a királynak f7-en kellene állnia, egészen hibás helyen áll, egészen hibásan.	- Nhưng quân Tướng phải ở f7… nó hoàn toàn không ở đúng vị trí của nó !
Rosszul lépett.	Ông nhầm rồi !
Hirtelen megtorpant.	Ông bỗng ngừng bặt.
Hevesen karon ragadtam, keményen megszorítottam, hogy a téboly lázán keresztül is meg kellett éreznie.	Tôi liền túm lấy cánh tay ông B. và nắm rất chặt để tuy thẫn thờ ông vẫn cảm thấy.
Megfordult, és úgy nézett rám, mint valami holdkóros.	Ông quay lại nhìn tôi với cặp mắt của người mộng du.
- Mi az... mit mond?	- Có chuyện gì thế ?
Szeme ösztönösen követte mozdulatomat, és üvegesen meredt a vörös vonásra.	Bỗng ông run lên lập cập, một cảm giác rùng mình lan khắp người ông.
- Az Isten szerelmére, csak nem mondtam valami őrültséget?	– Tôi đã nói hoặc làm một điều gì điên rồ ?...
- Csak nem estem... újból...	- Không, - tôi nhẹ nhàng nói.
- Nem - suttogtam halkan -, de szakítsa félbe azonnal a játékot!	– Nhưng ông phải ngừng đánh ngay, rất đúng lúc đấy !
Dr. B. hirtelen kiegyenesedett:	Ông B. liền đứng ngay dậy.
- Kérem, bocsássák meg ostobaságomat - mondta régi, udvarias hangján s meghajolt Czentovic felé.	- Mong ông bỏ quá cho sự khinh xuất ngu xuẩn của tôi, - ông vừa nói vừa nghiêng người trước Xzentôvic với tất cả dáng vẻ lễ độ vốn có của ông.
- Esztelenség, amit mondtam.	- Tất nhiên điều tôi vừa nói là hoàn toàn vô lý.
A parti természetesen az öné.	Ông mới là người thắng cuộc.
- Az uraktól is bocsánatot kell kérnem, de jó előre megmondtam, ne várjanak tőlem túl sokat.	- Thưa các ông, mong các ông bỏ quá cho tôi.
Meghajolt, s ugyanolyan szerényen, ugyanolyan titokzatosan tűnt el, mint ahogy megjelent.	Mong các ông lượng thứ cho sự lố lăng này, đây là lần cuối cùng trong đời, tôi thử đánh cờ.
- Damned fool!	- Damned fool !
3 - mondta csalódottan McConnor.	– MacCônno làu bàu, vẻ thất vọng.
- Kár - mondta nagylelkűen - nem is indult olyan rosszul a támadás.	- Thật đáng tiếc.
