Jules Verne - André Laurie	Jules Verne & André Laurie
A doktor és Bredejord túlságosan merésznek tartották ezt a feltevést.	Ở đó không có một con đường mòn nào, không có dấu vết của loại thú rừng nào.
Erik azonban gondosan vizsgálta kívül-belül, hátha még valamit talál rajta, a mi nyomra vezeti... Hát a doboz aljára czeruzával ezt a nevet irta valaki: Albatros.	Còn ở xa kia, sau những cồn cát, những quả đồi, là dãy núi băng tuyết phủ quanh năm, chạy dài như một bức thành khổng lồ.
- Tudor Brown járt itt!	- Ta trở về thôi!
- ismétlé Erik.	- bác sĩ Svariênkrôna nói - tìm kiếm thêm càng vô ích.
De nem, bejárták minden zegét-zúgát... Roppant mennyiségű mamuth, elefántcsontvázat találtak, valóságos halmok képződtek ez ősrégi maradványokból a szigeten.	Tuyđor Braun, có lợi thế về thời gian, đã đến đảo Ljaklôv lớn trước và, không còn nghi ngờ gì nữa, đã đưa Patric Ô Đônôgan đi rồi.
Ámde O’Donoghan Patricknak csak hült helyét lelték.	Thế là từ nay, vị tất có khi nào tìm được hắn nữa!
Napnál világosabb, hogy Tudor Brown itt is megelőzte őt, s elvitte O’Donoghan Patrickot.	Và thêm vào những suy tư buồn bã ấy là sự cắn rứt lương tâm nữa.
Most már kérdés: vajjon reájuk talál-e valaha?...	Và họ sẽ trở về Xtôckhôm nữa kia chứ!
Az olyan vakmerő ficzkótól, mint a minőnek ez a Tudor Brown látszik, minden kitelik.	Nhưng không hoàn thành được một nhiệm vụ nào đặt ra cho đoàn thám hiểm cả?
Ezek a gondolatok gyötörték az Alaska ifjú kapitányát, a mint a hajó hidján fel s alá járva kiadta a rendeletet, hogy nyugat felé vegye a hajó az útját.	Và thế là cái mũi Chêljuskin nguy hiểm mà mới đây đã coi là không thể vượt qua được, bây giờ đây "Aljaska" lại phải mở hết tốc lực để chạy đến đấy.
Kinos gondolatok voltak; azonkívül vádolta a lelkiismeret is, hogy derék barátait e kétséges, fáradságos út megpróbáltatásainak könnyelműen kiteszi.	Đuờng đi của nó không hoàn toàn lặp lại đúng y như hành trình của "Vêga" xuất phát từ cửa sông Lêna là nơi nó đã đến trước khi đến quần đảo Ljakhôv.
Csak úgy hoz­zá­vetőleg sejthették, hogy az ázsiai nagy előfokhoz közeledik a hajó.	Chỉ cốt đến được cửa sông Enixây, còn ở đó thì dự trữ than dễ dàng hơn.
Erik éber figyelemmel vigyázta szüntelen a tengert, hogy valamiképen irányt ne tévesszenek.	Nhưng dẫu sao cũng xác định được rằng "Aljaska" đã tiến gần đến mũi lớn thuộc châu Á!
Este felé kiadta a rendeletet, hogy a hajót állítsák meg.	Việc thận trọng như vậy là cần thiết.
Másnap reggel megmérték a tengert, nem volt mély, e szerint szárazföldhöz közelednek.	Sang ngày hôm sau, dây dò nước cho biết độ sâu của biển chỉ có ba mươi "fút".
Másnap és harmad­nap: 15. és 16-dikán még mindig tartott a köd.	Trên một mô đá có chú gấu trắng nằm phủ phục.
A mint az öböl nyugati partjához érkeztek, valami emlékjel-félét pillantottak meg egy halom tetején.	"Ngày 19 tháng 8 năm 1878, tàu "Vêga" đi từ Đại Tây Dương đã vòng qua mũi Cheljuskin trên đường tới eo biển Bêrinh."
Kőből rakott "cairn" volt, tetején egy faoszlop, az oszlopon ez a két felirás:	Lại một lần nữa Tuyđor Braun đã vượt lên trước "Aljaska"!
Ebben is megelőzte az Alaskát Tudor Brown!	Mọi cố gắng của mi đều vô ích!...
Augusztus 16-ika volt... Tehát négy nappal ezelőtt járt itt!	Norđenshelđ đã khám phá, còn Tuyđor Braun thì khẳng định.
Nordenskioldé a dicsőség, az Albatros mintegy ellenőrzője a "Véga" merész útjának... Te pedig senki és semmi vagy, nem jártál sehol, nem láttál semmit!	Chàng đã định bỏ đi, không thèm ghi vào những dòng đã được khắc trên cột gỗ, nhưng bác sĩ Svariênkrôna có ý muốn trả đũa.
Tovább akart menni... szó nélkül.	Ôi, sức mạnh diệu kỳ của ngôn từ!
1879 augusztus 16-dikán e foknál kötött ki az Alaska, mely Stockholmból indult el az Atlanti-óczeánon, a Baffin-tengeren, az amerikai sarktenger szorosán, a szibériai tengeren jött, s útban van, hogy a jégtengeren keresztültörve jusson vissza hazájába.	Trái với tất cả, "Aljaska" đang kết thúc hải trình lần đầu tiên trên thế giới đi vòng quanh trái đất qua Bắc cực, những người trước Êrik đã vượt qua các eo biển bắc Mỹ, tìm ra con đường Tây Bắc.
A köd még nem oszlott széjjel, de az Alaska utazói nem törődtek vele, valami belső hév szállotta meg mindnyájukat.	Viễn cảnh ấy đã khích lệ bốn người bạn đến nỗi bây giờ họ chỉ còn nghĩ đến việc rời khỏi đây ngay.
18-dikán reggel derülni kezdett a szemhatára, a köd szétfoszladozott.	Cuối cùng, sáng 18, nó ra khỏi vùng sương mù và đến vùng nắng có mây quang.
Dél felé vitorlát pillantottak meg a távolban.	Lúc giữa trưa tàu được lệnh đỗ lại.
Erik rögtön felmászott az árboczkosárba, távcsövén át nézte sokáig a távolból közeledő vitorlás hajót.	Nhưng đúng lúc ấy thủy thủ trực gác báo cáo: ở phía tây nam có cánh buồm xuất hiện.
Mikor a hajó hidjára leszállott, az ifjú kapitány arcza nagyon sápadt volt.	Chàng thuyền trường trẻ tái nhợt đi vì hồi hộp, tụt vội xuống boong.
- Azt hiszem, hogy az Albatros - mondá a doktornak.	- Hình như đó là "Albatros" thì phải - Chàng nói với bác sĩ.
A hajó eleinte más irányban haladt, de egyszerre csak irányt változtatott, s teljes gőzerővel ugyanabba az irányba térült, mint az Alaska.	Nhưng bỗng nó thay đổi tốc độ, khói đặc từ ống khói đã cuồn cuộn bốc lên để lại phía sau một vệt đen dài.
- Most már biztos, hogy az Albatros!	- Không còn nghi ngờ gì nữa!
- mondá halkan Erik.	- Êrik lẩm bẩm.
Erik felvonatta a svéd zászlót.	Êrik ra lệnh kéo cờ Thụy Điển lên.
Az Albatros ugyanabban a pillanatban az amerikai Egyesült Államok zászlóját huzatta fel.	Lập tức bên "Albatros" cũng treo ngay lá cờ sao của liên bang Mỹ.
Tudor Brown volt az a valaki.	Đó là Tuyđor Braun.
- Szeretném tudni, hogy az ön hajóján van-e O’Donoghan Patrick?	- Tôi muốn biết Patric Ô Đônôgan có ở trên tàu của ông không?
- O’Donoghan Patrick itt van a hajómon, ha tetszik, beszélhet vele - felelé Tudor Brown.	- Patric Ô Đônôgan trên tàu của tôi và bây giờ sẽ nói chuyện với ông - Tuyđor Braum trả lời.
- Itt van ni O’Donoghan Patrick - kiáltá az Albatros tulajdonosa. - Mit akar tőle kérdezni?	- Patric Ô Đônôgan đây - tên chủ tàu "Albatros" nói tiếp - ông cần gì ở anh ta?
Erik évek óta sovárogva várta ezt a pillanatot, hogy szemtől szembe lehessen ezzel az ember­rel.	Êrik bấy lâu nay những chỉ ước mong có cuộc gặp gỡ này và đã phải đi xa đến như thế để tìm kiếm nó.
- Szeretnék önnel hosszasan és bizalmasan beszélni.	- Tôi muốn nói chuyện riêng với ông ta một cách cặn kẽ.
Évek óta keresem mindenütt... Ezt a tengert is azért járom, hogy önnel találkozzam.	Tôi tìm ông từ suốt nhiều năm nay và đã bơi đến vùng biển này đây để tìm ông.
Legyen szives, jöjjön át a hajómra!	Ông có thể sang bên tàu tôi được không ?
- De én önt jól ismerem.	- Còn tôi thì lại biết ông đấy!
Ime, erről a tárgyról szeretnék önnel beszélni.	Tôi không muốn nói gì với ông hết!
- Keressen más embert, a ki majd beszél erről, nekem nem akarózik arról beszélni.	- Chẳng lẽ ông không cho đây là một việc của lương tâm ông hay sao?
- Attól fél, hogy nem válik becsületére, a mit esetleg elmondana?	- Ông muốn nghĩ thế nào tùy ông, còn tôi thì tôi nhổ toẹt vào cái ấy.
- Higyje az úr azt, a mi tetszik; mit bánom én!	- Tên thủy thủ trả lời
- Szeretném látni, ki állít engem a törvényszék elé!...	Thì ông hãy cứ thử đưa tôi ra tòa trước đi đã nào!
Ekkor közbe szólott Tudor Brown.	Đến đây, Tuyđor Braun xen vào.
- Miért ki-ki a maga útját?...	- Tại sao đường ai nấy đi?
- viszonzá az Alaska ifjú kapitánya.	- Thuyền trưởng "Aljaska" đáp.
Erik intett a kezével, hogy maradjon még ott.	- Hãy nghe đây, ông chủ tàu "Albatros"!
- Albatros tulajdonosa - kiáltá harsány hangon - én, mint a tengerészeti rendőrség egyik tagja, felszólítom önt, hogy haladéktalanul igazolja magát... Bocsássa rendelkezésemre okmányait!	- Chàng kêu to lên - Tôi được chính phủ nước tôi cho quyền và nhân danh sĩ quan cảnh sát hàng hải, tôi yêu cầu ông xuất trình ngay giấy tờ tùy thân của ông!
Erik várt két perczig, aztán folytatá:	Sau khi đợi một phút Êrik lại kêu to:
- kiáltá vissza Tudor Brown, s jelt adott, hogy a hajó tovább menjen.	- Tuyđor Braun kêu lên, và tức khắc ra lệnh tiếp tục lên đường.
Az Albatros gőzsípja megszólalt, s teljes gőzerővel indult az északi sark felé.	Bất thình lình chân vịt của "Albatros" bắt đầu làm việc, khoả tung bọt nước.
TIZENNYOLCZADIK FEJEZET.	CHƯƠNG MƯỜI TÁM:
Erik mihelyt kiadta a rendeletet, hogy az Albatrost üldözni kell, egyúttal azt is elrendelte, hogy a hajó előrészén elhelyezett ágyut meg kell tölteni, s lövésre előkészíteni.	Tất nhiên, nó không quên lợi dụng sự trắc trở của đối phương để tăng tốc độ giới hạn và bứt khỏi tàu đang truy đuổi nó ba - bốn hải lý.
Ez természe­tesen hosszabb időt vett igénybe, s ez alatt az Albatros jócskán előre haladt.	Kinh nghiệm cho thấy khi cả hai tàu cùng chạy hết tốc lực thì tốc độ chạy sẽ như nhau.
Pompás egy hajó volt az is; most tűnt ki ebben a hajszában.	Cự ly của chúng sẽ không thay đổi trong suốt nhiều giờ.
Ő is teljes gőzerővel haladt előre, mindazon­által a távolság az üldözött és üldöző hajók között több óra hosszán át nem csökkent.	Cũng cần phải đề phòng: hao phí than quá mức như vậy sẽ không có lợi nếu không đuổi kịp "Albatros" trước khi đêm xuống.
Mindezt jól megfontolta Erik, s mielőtt e végső eszközhöz folyamodott volna, szóvá tette a hajó népsége előtt:	Chàng cho kêu mọi người lên boong và thẳng thắn thông báo hết tình hình sự việc.
Nyugton hagyjuk-e őt, hogy újabb ármánykodással törjön vesztünkre, vagy üldözőbe vegyük őt, s lehetőleg ártalmatlanná tegyük, mielőtt ő csalna minket lépre az éjjeli sötétségben?	Bất kỳ một đoạn đường đi chệch hướng nào cũng đều bắt chúng ta sau đó phải chạy bằng buồm mà như vậy thì có thế cản trở việc hoàn thành thắng lợi cuộc hành trình.
A matrózok egymás között halkan tanakodtak s végül megbizták Hersebom gazdát, hogy megállapodásukat adja a kapitánynak tudtára.	Các thuỷ thủ hội ý nhỏ với nhau và giao cho bác Hecsêbom phát biểu thay mặt cho cả đoàn.
- A legénységnek az a kivánsága, hogy az Alaska üldözze tovább azt a gazembert - mondá nyugodtan Hersebom.	- Chúng tôi cho rằng, trách nhiệm của "Aljaska" là phải hy sinh tất cả để tóm được tên đê hèn ấy - Ông già bình tĩnh nói.
- Helyes!	- Thế thì tuyệt!
Mihelyt az esti homály alászállott a tengerre, az Alaska villamos fényét reávetette a minden áron menekülni iparkodó Albatrosra, hogy egész éjen át folyton szemmel tarthassák.	Sau khi đã nhận rõ là các thủy thủ đều đứng về phía mình, Êrik không tiếc nhiên liệu, và không để cho Tuyđôr Braun có thể bứt xa khỏi "Aljaska", mặc dù những cố gắng tuyệt vọng của hắn.
Az úszó jéghegyek mind sűrűbben kezdettek mutatkozni.	Sáng ra, cả hai vẫn lao nhanh về vùng cực như cũ.
Az Alaska jégtörő pánczél-orrának jó hasznát vették, mint akkor, mikor a Baffin-tengeren jöttek keresztül.	Đến trưa, tọa độ của "Aljaska" đã được xác định theo mặt trời là: 780 21 14" vĩ Bắc và 980 kinh Đông.
Erik úgy intézte a hajó menetét, hogy az Albatros ne vehessen egérutat kelet felé, minden áron oldalba akarta fogni.	Không ít trường hợp đã phải dùng búa để đập phá băng như đã có lần làm ở vịnh Barfiôv.
Most már a Tudor Brown hajója sem haladhatott olyan gyorsan, minduntalan jéghegyek meredeztek ellenébe, s elül-hátul veszélyes ellenség ellen kellett védekeznie.	Sự phòng xa ấy đã tỏ ra hoàn toàn đúng, bởi vì đến hai giờ chiều, nơi chân trời đã thấy xuất hiện một lớp băng cản đường khá dài.
Erik csak várta, leste a kinálkozó alkalmat, hogy hirtelen neki szorítsa az Albatrost valamely jégtorlasznak.	Chiếc tàu Mỹ quay ngay về hướng Tây, bỏ lại phía mạn tàu bên phải những đám băng chồng chất, kéo dài bốn năm hải lý.
Erik az árboczkosárból az Albatros minden mozdulatát figyelemmel kisérte, hogy a kellő időben intézkedhessék.	"Aljaska" liền chỉnh hướng theo, nhưng lần này chếch sang bên trái "Albalros" để cắt đường nó có thể tháo lui về hướng Nam.
Egyszer csak látja, hogy az Albatros egy öbölszerű nyilásba háttal befordul, s úgy les a közeledő Alaskára, mint a vadállat a zsákmányára.	Chàng thủy thủ trẻ của "Aljaska" chưa kịp tụt xuống boong thì một viên đại bác đã vút qua đầu anh với tiếng rít hung dữ.
Az ifjú kapitány még le sem ért a hajó hidjára, midőn egy golyó süvített el az árboczok felett.	Thế nghĩa là "Albatros" cũng được trang bị súng và quyết định tự vệ.
Így hát az Albatros kezdette meg az ágyuzást.	- Nếu hắn đã nổ súng trước thì như thế càng hay!
- Annál jobb - mondá Erik - annál jobb, hogy ő kezdette meg.	- Êrik nói thầm và ra lệnh phát hỏa.
Ágyuszóra ágyuszóval felelt ő is, de nem volt szerencsésebb Tudor Brownnál.	Nhưng phát đạn đại bác của chàng cũng không may mắn hơn phát đạn của Tuyđor Braun.
Az Albatros második golyója két matrózt ölt meg, viszont az Alaska ágyúja rést ütött a hajó oldalán.	Cuộc chiến đấu trở nên quyết liệt, súng bắn mỗi lúc một trúng đích hơn.
Ezenközben a két hajó félelmesen közeledett egymáshoz, hogy élet-halál harczot vívjon egy­mással, midőn az ágyudörgések közé távoli mennydörgés zaja vegyült.	Đạn đại bác Mỹ cưa đứt trục buồm lớn của "Aljaska", nổ tung trên boong giết chết hai người, trong khi đó đại bác Thụy Điển rơi trúng ngay vào mũi tàu "Albatros" và có lẽ đã gây thiệt hại lớn.
Tudor Brown folyton hátrált az Alaska elől, nyilván érezte, hogy a küzdelemben neki kell a rövidebbet húznia.	Chẳng lẽ cuồng phong, sương mù hay bão tuyết sẽ giúp Tuyđor Braun chạy trốn chăng?
A nyilt tengerre akart kijutni az öbölből, hogy nyakra-főre elvitorlázzon.	Tất cả đều có thể, nhưng Êrik không thể để như thế được!
Nem volt emberi hatalom, mely ezzel az orkánnal daczolhatott volna!...	Song phạm vi của hắn bây giờ đã bị thu hẹp.
Ki tudja, mi történt vele?	Cú bổ ấy như trời giáng.
Nagyon tévedtek, mikor azt hitték, hogy ott teljes biztonságban lehetnek.	Trong khi ấy, "Aljaska" vội lui trở lại và chuẩn bị một cuộc tấn công mới.
Az iszonyú súly alatt mind alább sülyedt az Alaska bal oldala, félelmesen ropogtak a vitorlák.	Trận gió giật cuốn theo tuyết từ hướng Đông Nam ập đến.
Erik egy pillanatig sem késett, hanem kiadta nyomban a parancsot, hogy mindenki fogjon hozzá, ő maga volt az első és serény kézzel, szigonyokkal és vasrudakkal taszították le a jégtömböket.	Gió chẳng những tạo nên những con sóng quái đản, mà còn xua những tảng băng vào trong vịnh, nơi cả hai chiếc tàu như bị kẹt vào trong miệng phễu.
Emberi erőt meghaladó volt ez a munka, mert a min órák hosszáig fáradoztak, azt egy-egy rémítő szélfuvás mind meghiusította, mert újra reázúdult az Alaskára a jég, mindazonáltal öt óráig tartó szakadatlan, megfeszített munka után úgy, a hogy biztonságba helyezték a hajót újabb jégtorlódás ellenében.	Những tảng băng trôi tưởng chừng như từ khắp nơi trên trái đất đổ dồn về đây, Êrik hiểu rằng bây giờ không thể để phí một phút nào hết, mà phải tìm mọi cách thoát khỏi các cạm bẫy này, nếu không "Aljaska" có thể bị kẹt trong đó và sẽ bị kẹt mãi.
Éppen javában vacsoráltak, midőn az Alaska újfent alapjában megrendült, minden izében recsegett és ropogott.	Tuyết dày đặc che tối bầu trời và làm lóa mắt mọi người đã phủ một lớp dày lên boong và dây buồm.
A matrózok közül nehányan kimondhatatlan félelemtől üzetve a hajó körül torlódó jégrakásra ugráltak a hajó fedélzetéről... Kétségbeesett jajveszékelésük utóbb beleveszett az orkán üvöl­té­sébe...	Trong khi ấy, chiếc tàu buồm Mỹ bị mất hút trong bão tuyết, tình trạng thảm thương của nó sau khi bị ăn búa của "Aljaska" khiến mọi người tin rằng nó chẳng thể nào chống chọi nổi với bão.
Ezeknek a szerencsétleneknek a megmentésére senki sem mehetett.	Càng khó dự đoán rằng nó đã kịp thoát ra ngoài khơi.
Az Alaska rettentő ide-oda ingadozás után visszanyerte súlyegyenét, s a veszély, melytől tartottak, hogy a hajó felfordul és elmerül, szerencsésen elmúlt.	Vả lại, tình hình trở nên hết sức nguy kịch bắt buộc Êrik bây giờ không phải quan tâm đến việc truy lùng kẻ địch nữa, mà phải lo cứu "Aljaska".
- Láthatjátok, barátaim, hogy a hajót egyelőre nem hagyhatjuk el, csak a végső szükségben fogunk partra szállani, mert kötelességünk, hogy hajónk megmentésére mindent elkövessünk.	Hòa với tiếng bão hú ù ù, với tiếng sấm rền vang, với tiếng băng trôi va đập vào nhau chan chát là tiếng băng vỡ rầm rầm vang lên tứ phía từ lúc chập tối.
Ha az Alaskát elveszítenők, siralmas sora várna reánk ezen a jégtömegen.	Chẳng mấy chốc đến lượt chính "Aljaska" lại bị hứng đòn.
Csak akkor hagyjuk el az Alaskát, ha alásülyedését immár emberi erővel meg nem akadályozhatjuk.	Vùng biển nơi nó trú bão, chẳng lớn gì cũng đầy ắp băng trôi y như tất cả các eo khác.
Ettől egyelőre nem kell félnünk.	"Aljaska" đã sa vào cảnh bị giam hãm.
Azért hát csak vacsoráljunk tovább, a helyzet majd eldönti, hogy mitevők leszünk.	Tiếng thân tàu kêu cót két hòa lẫn với tiếng băng vỗ ẫm ầm ép vào nó từ khắp phía.
Az ifjú kapitány e nyugodt szavai lelket öntöttek még a félénkekbe is.	Tưởng chừng sườn tàu sắp bị bẹp dúm tới nơi, như một cái vỏ trứng vậy.
Hersebom rögtön engedelmeskedett a kapitánynak.	Thật đúng là một cảnh cảm động!
A jégtorlaszon áthaladva nehány ezer lépésre lehettek már az Alaskától, midőn irtózatos ropogás, zúgás állította meg őket.	Một dúm người "chim chích" với sự giúp sức của những chiếc mõ neo, cọc gỗ và dây cáp định chống chọi với thiên tai bão táp hoành hành!
Rögtön megfordultak, keresték azt az odut, hová a vihar kitörése után élelmiszereket hordot­tak ki a hajóról... Azt megtalálták, minden rendben volt, aztán keresték az Alaskát, de nem látták sehol...	Tuy nhiên ngay từ lúc bão bắt đầu, mỗi thành viên của đoàn đều đã được phát tài liệu hướng dẫn cần phải làm gì nếu xảy ra tai nạn, và được cấp tận tay khẩu phần ăn cho một tuần.
Azt hitték; hogy az Alaska elsülyedt... Ebben ugyancsak nem lett volna semmi csodálni való...	Dỡ xuống băng hai mươi thùng phuy lớn đâu phải dễ dàng gì, nhưng cuối cùng họ cũng đã làm được!
Ámde a mint jobban körülnéztek, minden olyan újnak, különösnek tünt fel... Mintha más vidéken járnának.	Các thứ lương thực, dụng cụ đã được xếp cách tàu 200 mét, che bằng vải bạt tráng nhựa.
Sehol semmi nyoma annak a rengeteg jégtorlasznak, mely az öbölbe zárta az Alaskát...	Chẳng mấy chốc tấm vải đậy cũng đã được phủ lên một lớp thảm tuyết xốp.
Erik az öböl felé vette az irányt, gyorsan, izgatottan haladt, Hersebom némán követte őt.	Các biện pháp đề phòng do Êrik đưa ra đã làm cho mọi người yên tâm phần nào.
Megragadta Hersebom kezét s így szólott hozzá:	Mọi người bắt đầu hốt hoảng lao lên boong.
- Atyám, önnek megmondhatom az igazat... Az a jégmező, melyen jelenleg állunk, elszakadt a hegyfoktól, el az Alaskától, s mi e jégmező hátán úszunk.	Có mấy người cho rằng tạm thời thì cách thoát thân ở trên băng còn chưa muộn, nên đã nhảy ra khỏi mạn tàu mà không đợi có lệnh của thuyền trưởng.
Szigeten vagyunk, atyám, mely néhány kilométer hosszú, jégtalapzata pedig néhány száz méter vastag és ezt a szigetet hajtja a vihar karja!	Những tiếng la hét tuyệt vọng và tiếng xương người gãy kêu răng rắc đều bị át đi bởi tiếng hú ầm ầm của bão tố...
Éjfél után két óra tájban Erik és Hersebom holtramerülten tértek vissza oda, hova az élelmi­szereket elrejtették volt, két tonna mögé húzódtak, a Klaasz meleg bundájához simulva igyekeztek kipihenni nagy fáradságukat a dermesztő hidegben.	- Các bạn hiểu cho - chàng nói với những người cùng đi của mình - Nhảy xuống, đó là một biện pháp đặc biệt, chỉ khi nào thật cần thiết mới buộc chúng ta phải áp dụng đến nó.
Mikor fölébredtek, a nap már fenn ragyogott az égen, a szélvihar elült.	Nếu chúng ta để mất nó thì tình hình của chúng ta sẽ còn tệ hơn nữa kia!
A rengeteg jégtábla, melyen voltak, csaknem mozdulatlannak látszott.	Chúng ta sẽ chỉ rời tàu trong trường hợp nó hoàn không thể dùng được nữa.
A tengeren jéghegyek úsztak, még pedig irtóztató gyorsasággal, egymásba csaptak, s a szilánkokra tördelőző jégkristályok csillogtak a nap fényében... Gyönyörű egy látvány volt!...	Nhưng ngay cả khi rủi ro như vậy thì việc rời tàu cũng được tiến hành một cách bình tĩnh: nếu không sẽ không tránh khỏi bị tai nạn!
Hersebom gazdának egyébként valami túlságos fogékonysága nem volt a természet szépségei iránt, de most nem állhatta meg, hogy fel ne kiáltson:	Tôi khuyên các bạn hãy trở lại buổi ăn tối dở dang, các sĩ quan hãy quan tâm đến các hoạt động tiếp theo.
- Nem gondolnám, - viszonzá Erik - ha ezt a hajóról látnók meg, elég gondunk volna, hogy valamelyes módon kikerüljük.	- Chúng ta đi xuống bãi băng - chàng khẽ giải thích - đi tìm những người chạy trốn đưa về tàu, và kêu gọi họ có ý thức trách nhiệm.
Nem igen érnénk rá, hogy gyönyörködjünk bennök.	Như thế sẽ tốt hơn là bỏ mặc họ.
Hersebom gazda szomorúan mosolygott.	Họ vẫn còn ở trên rìa bãi băng.
Nem félhetünk attól, hogy éhen veszünk.	Họ đi vòng quanh kho, nhưng không gặp ai nữa.
Húsz tonna kétszersült, egy csomó szárított hús, pálinka annyi, a mennyi kell, - ráadásul van két derék puskánk, lőporunk és elegendő töltényünk... Ugyan bizony mitől félhetnénk?	- Thưa bố, bố thấy sao, để tránh một sự hoảng hốt mới, đã đến lúc cần chuyển một bộ phận trong đoàn lên bãi băng chăng?
- "Hansa" hajótöröttjei?	- Êrik hỏi.
- Azok - felelé Erik.	- Vâng. đúng như thế!
A legénység egy része, szakasztott úgy, mint mi, efféle úszó jégszigetre került.	Nhưng tiện thể đã lên bãi băng, ta đi xem tình hình nó thế nào.
Szenük és élelmiszerük bőséggel lévén, mintegy hat és fél hónapig éltek az úszó jégmezőn, s végül Észak-Amerika partjára vetődve, partra szállottak.	Êrik và người bố nuôi của chàng rời khỏi kho đi về hướng Bắc chưa được ba trăm bước đã buộc phải dừng lại: một khe nứt to tướng hoác ra ngay dưới chân họ.
- Hanem úgy hinném, jó lenne, ha egyet-kettőt falnánk.	Như vậy là kho thực phẩm nằm trên một tảng băng to.
Evés közben megszólalt Hersebom gazda:	Ý nghĩ đâu tiên của họ là tàu đã bị đắm.
- Az már más, nekik hát csolnakjuk is volt, de nekünk nincsen!...	Chỉ còn kiểm tra tính xác thực của điều phỏng đoán ấy nữa mà thôi.
Isten tudja, mi módon jutunk majd szárazföldre?...	Êrik và bác Hecsêbom liền đi dọc theo dải bờ biển.
- Az idő ad majd tanácsot - viszonzá Erik.	Họ đi khá lâu, tới bốn - năm kilômet.
Azonnal felszedelőzködtek, s egy jéghalom tetejére másztak fel, hogy onnan körülnézzenek.	Nhưng điều đặc biệt lạ lùng là: mũi băng cao ngất án ngữ vịnh ở phía Nam cũng đã biến mất.
Olyan formája volt, mint holmi óriási czethalé.	Chàng siết chặt tay bác Hecsêbom.
Szélességét még csak hozzávetőleg sem lehetett megállapítani a számos jéghalom miatt, melyek mindenfelől elzárták a szem határát.	Chúng ta đang ở trên một hòn đảo nổi với chiều dài vài kilômet và rộng vài trăm mét, hòn đảo ấy đang bị cuốn ra đại dương theo ý muốn kỳ quặc của bão!
Nyilván fókák tanyáztak ott, s időközönkint kidugták a fejöket, hogy körülnézzenek, s hahogy veszélyt nem sejtenek, a napon sütkérezzenek.	Gần hai giờ đêm, Êrik và bác Hecsêbom chui vào tấm vải bạt che kho lương thực, người mệt lử.
Erik és Hersebom a sziget partjának mentében haladtak, hogy egyúttal a tengert is folyton szemmel tartsák.	Họ nằm xen giữa những chiếc thùng phuy, áp sát vào bộ lông ấm của chú Klaas và thiếp ngay đi.
Klaasz előre szaladt, folyton szimatolva; Erik figyelmesen vizsgálta a talaj minőségét, mintegy kutatván, hogy vajjon mennyi ideig tart ki.	Khi thức dậy thì mặt trời đã nhô cao khỏi chân trời, bầu trời đã xanh trở lại và biển lặng êm.
Aggódva látott itt is ott is hatalmas repedéseket, melyek elárulták, hogy a tenger vizének romboló munkája egy perczig sem szünetel.	Tảng băng lớn - mà họ đang ở trên đó và trôi theo - dường như bất động; nó trôi êm và khoan thai hết sức.
Azért is vizsgálgatta oly gondosan Erik, hogy mihelyt a legszilárdabb pontot kiszemeli, oda viszi az élelmiszereket, mert azoknak biztonságba helyezése a szó szoros értelmében életkérdés volt reájok nézve.	Êrik chưa bao giờ được ngắm nhìn một cảnh tượng nào tuyệt vời như cảnh những tia nắng được chiết quang và phản chiếu trong những khối pha lê kỳ vĩ ấy, y như trong lăng kính vậy.
Egyszer csak megáll Erik, egy fekete pontra szegezte tekintetét, mely a hó között látszott.	- Giá như được ngắm nhìn toàn bộ cái cảnh này từ trên một boong tàu chắc chắn, thì thú vị biết bao!
Nem volt az fóka, hanem - ember.	- Trái lại!
Vérborította, eszméletlenül hevert a hóban.	Bác Hecsêbom chỉ mỉm cười đáp lại.
A ruhája nem mutatta, hogy az Alaska valamelyik szökevény matróza lehet.	- Chúng ta còn một kho lương thực, như vậy chẳng phải là may sao?
Erik hozzá sietett, felemelte az eszméletlen ember fejét, rőt haja arczára csapzott, belapult orra olyan volt, mint a szerecse­neké...	- chàng nói tiếp - Nếu không có lương thực thì đúng là ta lâm vào cảnh tuyệt vọng thật.
Erik szive hevesen kezdett dobogni... Izgatottan gombolta ki a ruháját, az ingét, nem azért, hogy szive dobogását hallgassa; hanem azt a bizonyos nevet kereste a mellén... azt a nevet...	Nhưng với hai mươi thùng phuy bánh mì sấy, thịt xông khói, nước trái cây, hơn thế nữa, lại còn có súng và đạn dự trữ - chúng ta sợ gì?
"O’Donoghan Patrick Cynthia".	- Bác Hecsêbom tò mò hỏi lại.
És annak az embernek a szíve még dobogott... élt még!...	- Vâng, chiếc tàu này đi lên vùng biển Bắc cực năm 1869.
A fején vérző seb, a vállán és mellén erős zúzódás nyomai... Ezért vesztette volt el az eszméletét.	Khi họ dỡ lương thực và than để lên bãi băng thì một bộ phận của đoàn tàu cũng lâm vào cảnh của bố và con bây giờ.
- mondá Erik Hersebom gazdának.	- Giá ta cũng được may mắn như thế!...
- Apám, ez az, a kit évek óta keresek, ez O’Donoghan Patrick.	- Con cũng nghĩ thế - Êrik trả lời - Vài chiếc bánh mì sấy và miếng thịt bây giờ là hợp đấy.
Mit törődött ő ezzel a titokkal...	Sau đấy, họ đã ăn một bữa sáng no nê.
