Léon Werth-nek	Tặng Léon Werth
- Annyi minden megesik a Földön...	- Trên Trái Đất, có đủ mọi vật...
- Ó, ez nem a Földön volt - mondta a kis herceg.	- Ôi, không phải trên Trái Đất - cậu hoàng tử nói.
- Egy másik bolygón?	- Trên một hành tinh khác à?
- Igen.	- Phải.
- Vannak azon a bolygón vadászok?	- Trên hành tinh ấy, có kẻ đi săn không?
- Nincsenek.	- Không.
- Lám, ez érdekes.	- Thế thì hay đấy.
- Nincsenek.	- Không.
- Semmi sem tökéletes - sóhajtott a róka.	- Thế thì chả có gì hoàn hảo thật!
Egyik tyúk olyan, mint a másik; és egyik ember is olyan, mint a másik.	Tất cả loài gà đều giống nhau, tất cả loài người đều giống nhau.
Lépések neszét hallanám, amely az összes többi lépés neszétől különböznék.	Tớ sẽ nhận ra một bước chân khác hẳn mọi bước chân khác.
A többi lépés arra késztet, hogy a föld alá bújjak.	Các bước chân sẽ làm tớ chúi ngay xuống đất.
Én nem eszem kenyeret.	Tớ đâu có ăn bánh mì.
Nincs a búzára semmi szükségem.	Lúa mì đối với tớ là vô dụng.
De neked olyan szép aranyhajad van.	Mà thế thì buồn quá.
És hogy szeretném a búzában a szél susogását...	Tớ sẽ yêu cả tiếng gió khua trong lúa mì nữa...
A róka elhallgatott, és sokáig nézte a kis herceget.	Cáo nín thinh và nhìn cậu hoàng tử một lúc lâu:
- Kész örömest - mondta a kis herceg -, de nem nagyon érek rá.	- Tôi cũng muốn thế lắm, - cậu hoàng tử trả lời - nhưng tôi không có nhiều thì giờ.
Barátokat kell találnom, és annyi mindent meg kell ismernem!	Tôi cần tìm kiếm nhiều bạn bè và tìm hiểu nhiều sự vật.
- Az ember csak azt ismeri meg igazán, amit megszelídít - mondta a róka.	- Người ta chỉ hiểu được những vật người ta đã thân quen - cáo nói.
- Az emberek nem érnek rá, hogy bármit is megismerjenek.	- Loài người bây giờ không còn đủ thì giờ hiểu cái gì hết.
Csupa kész holmit vásárolnak a kereskedőknél.	Họ mua những vật làm sẵn ở các con buôn.
Ha azt akarod, hogy barátod legyen, szelídíts meg engem.	Cậu cần bạn hữu thì cậu hãy tập tớ quen thân cậu!
- Jó, jó, de hogyan?	- Phải làm như thế nào?
- kérdezte a kis herceg.	- Cậu hoàng tử hỏi.
- Sok-sok türelem kell hozzá - felelte a róka.	- Phải thật kiên nhẫn - cáo trả lời.
- Először leülsz szép, tisztes távolba tőlem, úgy, ott a fűben.	- Ban đầu, cậu hãy ngồi hơi xa tớ một tí, thế, ở trong cỏ.
Én majd a szemem sarkából nézlek, te pedig nem szólsz semmit.	Tớ đứa mắt liếc nhìn cậu, nhưng cậu chẳng nói sao cả.
De minden áldott nap egy kicsit közelebb ülhetsz...	Nhưng mỗi ngày, cậu có thể ngồi dịch lại một tí...
Másnap visszajött a kis herceg.	Ngày hôm sau, cậu hoàng tử trở lại.
- Jobb lett volna, ha ugyanabban az időben jössz - mondta a róka.	- Tốt hơn, nên đến đúng giờ như hôm trước - cáo nói.
- Ha például délután négy­kor érkezel majd, én már háromkor elkezdek örülni.	- Vì chẳng hạn như bốn giờ chiều cậu đến, thế là từ ba giờ, mình đã thấy vui.
Minél előrébb halad az idő, annál boldo­gabb leszek.	Càng đến gần giờ, mình càng thấy vui.
Négykor már tele leszek izgalommal és aggodalommal; fölfedezem, milyen drága kincs a boldogság.	Bốn giờ mình cuống lên, mình lo lắng; và mình vụt hiểu ra cái giá của hạnh phúc!
De ha csak úgy, akármikor jössz, sosem fogom tudni, hány órára öltöztessem díszbe a szívemet... Szükség van bizonyos szertartásokra is.	Nhưng nếu cậu có thể đến bất cứ lúc nào, mình không biết vào lúc nào thì nên trang điểm cho lông mình... Phải có nghi thức chứ.
- Mi az, hogy szertartás?	- "Nghi thức" là cái gì?
- kérdezte a kis herceg.	- Cậu hoàng tử hỏi.
- Az is olyasvalami, amit alaposan elfelejtettek - mondta a róka.	- Đó cũng là một cái mình quên lâu quá - cáo nói.
- Attól lesz az egyik nap más, mint a másik, az egyik óra különböző a másiktól.	- Đó là cái gì làm cho một ngày trở nên khác những ngày khác, một giờ khác mọi giờ khác.
Az én vadászaimnak is megvan például a maguk szertartása.	Ví dụ như, ở bọn săn tớ, có một nghi thức.
Eszerint minden csütörtökön elmennek táncolni a falubeli lányokkal.	Mỗi thứ năm, họ nhảy múa với các cô gái trong làng.
Ezért aztán a csütörtök csodálatos nap!	Thế thứ năm là một ngày kì diệu!
Olyankor egészen a szőlőig elsétálok.	Hôm ấy tớ có thể rong chơi đến tận vườn nho.
- Ó!	- Ôi chao!
- mondta a róka. - Sírnom kell majd.	- Cáo nói - tớ khóc lên mất.
- Te vagy a hibás - mondta a kis herceg.	- Lỗi tại cậu - cậu hoàng tử nói.
- Én igazán nem akartam neked semmi rosszat.	- Mình tuyệt chẳng muốn cậu khổ, cậu lại cứ muốn mình làm cho cậu thân quen mình.
- Igaz, igaz - mondta a róka.	- Kìa, cậu sắp khóc kìa!
- Mégis sírni fogsz!	- Cậu hoàng tử nói.
- mondta a kis herceg.	- Đúng, mình sắp khóc.
- Igaz, igaz - mondta a róka.	- Cáo nói.
- Akkor semmit sem nyertél az egésszel.	- Khóc cũng chả được gì kia mà?
- De nyertem - mondta a róka.	- Được chứ - cáo nói.
- A búza színe miatt.	- Vẫn còn cái màu vàng kim kia của lúa mì...
- Majd hozzáfűzte: - Nézd meg újra a rózsákat.	- Cậu hãy trở lại xem bọn hoa hồng đi.
Meg fogod érteni, hogy a tiéd az egyetlen a világon.	Cậu sẽ rõ ra bông hoa kia của cậu là duy nhất trên đời.
Aztán gyere vissza elbúcsúzni, s akkor majd ajándékul elárulok neked egy titkot.	Rồi cậu hãy trở lại đây từ biệt tớ, tớ sẽ làm quà cho cậu một điều bí mật.
A kis herceg elment, hogy újra megnézze a rózsákat.	Cậu hoàng tử đi thăm lại các hoa hồng.
Nem szelídített meg benneteket senki, és ti sem szelídítettetek meg senkit.	- Chưa ai làm cho các cô thân quen ai, các cô cũng chưa làm cho ai thân quen.
Ugyanolyan közönséges róka volt, mint a többi száz- meg százezer.	Trước kia, nó là một con cáo giống như trăm nghìn con cáo.
A rózsák csak feszengtek, ő pedig folytatta:	Và các bông hồng hết sức lúng túng.
- Szépek vagytok, de üresek.	- Các cô đẹp, nhưng các cô trống rỗng - em lại nói với họ.
Persze egy akármilyen járókelő az én rózsámra is azt mondhatná, hogy ugyanolyan, mint ti.	Hẳn chứ, cái bông hồng của tôi ấy, một kẻ qua đường tầm thường tưởng là nó giống các cô.
Holott az az igazság, hogy ő egymaga többet ér, mint ti valamennyien, mert ő az, akit öntözgettem.	Nhưng chỉ một mình nó thôi, đối với tôi, nó cũng quan trọng hơn tất cả các cô.
Mert róla öldöstem le a hernyókat (kivéve azt a kettőt-hármat, a lepkék miatt).	Bởi vì chính trên thân nó mà tôi diệt các con sâu (trừ hai hay ba con dành để thành bướm).
Mert őt hallottam panaszkodni meg dicsekedni, sőt néha hall­gat­ni is.	Bởi vì chính nó, mà tôi nghe thở than, hay khoe khoang, hay đôi khi, cả nín thinh nữa.
Azzal visszament a rókához.	Rồi em trở lại chỗ con cáo:
- Isten veled - mondta.	- Từ biệt - em nói.
- Isten veled - mondta a róka.	- Từ biệt - cáo nói.
- Tessék, itt a titkom.	- Đây, cái bí quyết của tớ.
Ami igazán lényeges, az a szemnek láthatatlan.	Cái chủ yếu thì mắt chẳng thể thấy.
- Az idő, amit a rózsámra vesztegettem... - ismételte a kis herceg, hogy jól az emlékezetébe vésse.	- Chính là cái thời gian mà tôi đã tiêu phí cho bông hồng của tôi... - cậu hoàng tử nói, để cho nhớ.
- Az emberek elfelejtették ezt az igazságot - mondta a róka.	- Loài người đã quên bẵng cái sự thật này - cáo nói.
- Neked azonban nem szabad elfelejtened.	- Nhưng cậu không nên quên.
Te egyszer s mindenkorra felelős lettél azért, amit megszelídítettél.	Cậu trở nên mãi mãi có trách nhiệm về những cái gì cậu đã tập cho quen thân.
- Felelős vagyok a rózsámért - ismételte a kis herceg, hogy jól az emlékezetébe vésse.	- Tôi có trách nhiệm đối với bông hồng của tôi... - cậu hoàng tử lặp lại, để cho nhớ.
22.	XXII
- Jó napot! - mondta a váltóőr.	- Chào một ngày tốt lành - người gác ghi nói.
- Mit csinálsz te itt?	- Ông làm gì ở đây?
- kérdezte a kis herceg.	- Cậu hoàng tử hỏi.
- Rostálom az utasokat, ezresével - mondta a váltóőr.	- Ta xếp hành khách, thành từng gói nghìn người một - người gác ghi nói.
- Hol jobbra küldöm a vonatokat, amik viszik őket, hol meg balra.	- Ta cho phóng đi, lúc bên phải, lúc về bên trái, những chuyến tàu chở các gói ấy.
És egy kivilágított gyorsvonat rázkódtatta meg mennydörgő robajjal a váltóházat.	Rồi một con tàu nhanh sáng choang, ầm ầm như sấm dậy, bỗng làm rung lên buồng ghi.
- De sürgős nekik - mondta a kis herceg.	- Chúng vội vã thế - cậu hoàng tử nói.
- Mit keresnek?	- Chúng tìm cái gì vậy?
- Azt maga a mozdonyvezető se tudja - mondta a váltóőr.	- Tìm cái gì, thì chính người lái đầu máy cũng không rõ - người gác ghi nói.
Ellenkező irányból eldübörgött egy másik kivilágított gyorsvonat.	Và liền gầm lên, từ hướng ngược lại, một chuyến tàu nhanh thứ hai sáng choang.
- Máris visszajöttek?	- Chúng đã trở về rồi ư?
- kérdezte a kis herceg.	- Cậu hoàng tử hỏi...
- Ezek nem ugyanazok - mondta a váltóőr.	- Không phải những toa lúc nãy đâu.
- Nem érezték jól magukat ott, ahol voltak?	- Chúng không bằng lòng chỗ chúng đứng ư?
Földübörgött egy harmadik kivilágított gyorsvonat.	Và tức thì gầm lên một chuyến tàu nhanh thứ ba sáng choang.
- Ezek az első vonatnak az utasait üldözik?	- chúng đuổi theo những hành khách lúc nãy phải không?
- kérdezte a kis herceg.	- Cậu hoàng tử hỏi.
- Egyáltalán nem üldöznek semmit - mondta a váltóőr.	- Chúng chẳng đuổi theo cái gì hết - người gác ghi nói.
- Alusznak odabent vagy ásítoznak.	- Người ta ngủ trong đó, hay người ta ngáp.
- Mert csak a gyerekek tudják, hogy mit keresnek - mondta a kis herceg.	- Chỉ có những đứa trẻ biết là mình tìm cái gì - cậu hoàng tử nói.
- Időt vesztegetnek egy rongybabára, amitől egyszerre nagyon fontos lesz az a rongybaba, és ha elveszik tőlük, sírnak...	- Chúng mất thì giờ vì một con búp bê bó bằng giẻ, và con búp bê ấy trở nên quan trọng lắm, ai lấy đi của chúng, chúng sẽ khóc...
- Könnyű nekik - mondta a váltóőr.	- Chúng thật may mắn - người gác ghi nói.
- Jó napot! - mondta a kereskedő.	- Chào một ngày tốt lành - người lái buôn nói.
- Hát ezt meg minek árulod?	- Tại sao ông bán thứ đó?
- kérdezte a kis herceg.	- Cậu hoàng tử hỏi.
- Rengeteg időt lehet megtakarítani vele - felelte a kereskedő.	- Đây là một sự tiết kiệm lớn về thời giờ - lão buôn nói.
- A tudósok kiszámították: heti ötvenhárom percet!	- Các nhà chuyên môn đã tính toán rồi.
- És mit csinál az ember azzal az ötvenhárom perccel?	- Thế người ta dùng để làm gì năm mươi ba phút ấy?
- Amit akar...	- Muốn làm gì thì làm...
"Én - gondolta a kis herceg -, ha nekem ötvenhárom fölösleges percem volna, szépen elindul­nék egy forrás felé..."	"Mình ấy a, - cậu hoàng tử nghĩ thầm - nếu mình có năm mươi ba phút ấy để mà tiêu phí, mình sẽ rón rén tìm đến một cái vòi nước..."
24.	XXIV
- Barátom, a róka azt mondta...	- Thằng bạn cáo của tôi... - em nói.
- Édes kis öregem, hagyd már azt a rókát!	- Cậu nhỏ ạ, chồn cáo gì nữa lúc này!
- Miért?	- Sao thế ?
- Mert rövidesen szomjan halunk...	- Ta sắp chết khát rồi kia mà...
- Jó az embernek, ha volt egy barátja, még ha rövidesen meg is kell halnia.	- Có được một đứa bạn thân là tuyệt chứ, cho dẫu ta sắp chết cũng vẫn là tuyệt.
Én a magam részéről nagyon örülök neki, hogy volt egy róka barátom...	Tôi, tôi rất thú vị được có một bạn thân là cáo...
"Képtelen fölfogni a veszélyt - gondoltam.	"Cậu em không lường được hiểm nguy - tôi nghĩ thầm.
- Nem volt soha se éhes, se szomjas.	- Em không hề bị đói và bị khát.
Ő azonban rám nézett, úgy felelt a gondolatomra:	Nhưng em nhìn tôi, trả lời đúng vào điều tôi vừa nghĩ:
- Én is szomjas vagyok... Keressünk egy kutat...	- Tôi cũng đang khát... ta đi tìm một cái giếng đi...
De azért mégis elindultunk.	Tuy thế, chúng tôi vẫn ra đi.
Mintha álomban láttam volna őket: egy kicsit lázas voltam a szomjúságtól.	Tôi nhìn thấy trời sao như tưởng mình đang mê, vì khát nên tôi có hơi sốt.
- Azt mondtad, te is szomjas vagy?	- Em cũng khát ư, em?
- kérdeztem.	- Tôi hỏi em.
- Néha a szívnek is jó a víz...	- Nước cũng có thể tốt lành đối với lòng ta...
Akkor némi csönd után azt mondta:	Và sau một lát im lặng, em lại nói:
- A sivatag is szép - tette hozzá.	- Sa mạc đẹp thật, - em nói thêm.
Mindig szerettem a sivatagot.	Tôi vẫn yêu sa mạc.
Az ember leül egy homokdombra.	Ta ngồi trên một đụn cát.
- Az teszi széppé a sivatagot - mondta a kis herceg -, hogy valahol egy kutat rejt...	- Cái làm cho sa mạc càng thêm đẹp, - cậu hoàng tử nói - ấy là ở chỗ nó ẩn giấu một cái giếng ở một nơi nào đó...
Meglepődtem, mert egyszerre megértettem a homoknak ezt a titokzatos sugárzását.	Tôi kinh ngạc vì bỗng nhiên hiểu ra cái lóe sáng huyền bí ấy của cát.
Igaz, soha senki nem jött a nyomára; meglehet, nem is kereste soha senki.	Tất nhiên, chưa có ai biết cách tìm ra kho báu đó.
Mégis elvarázsolta az egész házat.	Có lẽ cũng chưa ai thử đi tìm.
Titkot rejtett valahol a szíve mélyén...	- Phải - tôi nói với cậu hoàng tử.
- Igen - mondtam a kis hercegnek -, akár egy házról van szó, akár a csillagokról, akár a sivatagról: ami széppé teszi őket, az láthatatlan.	- Ngôi nhà, hay ngôi sao, hay sa mạc cái làm cho những cái ấy trở nên đẹp, cái đó không thể nhìn thấy đâu!
Meghatottságot éreztem: mintha törékeny kincset vittem volna.	Tôi có cảm giác như đang ôm trong tay một kho báu mong manh.
Sőt, mintha törékenyebb dolog egyáltalán nem is lett volna a Földön.	Tôi có cảm giác như trên Mặt Đất này không có gì mong manh hơn.
Néztem a holdvilágban ezt a sápadt homlokot, ezt a csukott szempárt, ezeket a szélben meg-megrezdülő aranyfürtöket, és azt gondoltam magamban: "Amit látok, az csak a kéreg.	Nhờ ánh sáng trăng, tôi nhìn thấy vầng trán nhợt nhạt ấy, đôi mắt nhắm nghiền các lẵng tóc run rẩy trước gió, và tôi nghĩ thầm: "Cái mà ta thấy đây chỉ là cái vỏ.
A lámpákra nagyon kell vigyázni: elég egy hirtelen kis szél, hogy kioltsa őket...	Ta phải hết sức chở che cho những ngọn đèn: một ngọn gió có thể thổi tắt được...
25.	XXV
- Az emberek - mondta a kis herceg - gyorsvonatokon zötykölődnek, de már nem tudják, mit keresnek.	- Loài người - cậu hoàng tử nói - họ chui vào trong các chuyên tàu nhanh, nhưng họ chẳng biết mình tìm kiếm cái gì.
Erre elkezdenek ágálni, és csak forognak körbe-körbe...	Thế mà họ cứ cuống quýt lên, quay cuồng lên...
- Nem éri meg...	- Nào có ích gì...
Ez meg olyan volt, mint egy falusi kút.	Còn cái giếng kia giống như giếng làng.
- Minden készen van: csiga, vödör, kötél...	- Lạ thật - tôi nói với cậu hoàng tử - mọi cái đều có sẵn: cái ròng rọc, cái gầu, và sợi dây...
Nevetett, megfogta a kötelet, megmozgatta a csigát.	Em cười, sờ sợi dây, lăn cái ròng rọc.
Nem akartam, hogy megerőltesse magát.	Không muốn em gắng sức, tôi nói:
Lassan fölvontam a vödröt a káváig.	Chậm rãi, tôi kéo gầu lên tận thành giếng.
Ráállítottam a kávára, jó szilárdan.	Tôi đặt gầu ngay ngắn trên đó.
- Éppen erre a vízre szomjazom - mondta a kis herceg.	- Tôi thèm giọt nước này đây - cậu hoàng tử nói.
- Adj innom...	- Cho tôi uống...
Egyszerre megértettem, hogy mit keresett!	Và tôi liền hiểu ra cậu em tìm kiếm cái gì.
Olyan volt ez, mint egy ünnep.	Dịu hiền như là lễ Tết.
A csillagok alatti vándorlásból született, a csiga énekéből, a karom megfeszített erejéből.	Nó sinh ra từ cuộc đi bộ dưới trời sao, từ tiếng hát của cái ròng rọc, từ sự gắng sức của hai cánh tay tôi.
Olyan jólesett a szívnek, mint egy ajándék.	Nó tốt lành cho lòng ta, như một món quà tặng vậy.
- Nem találják meg - mondtam.	- Họ chẳng tìm thấy đâu - tôi nói...
- Pedig egyetlen rózsában vagy egy korty vízben megtalálhatnák...	- Cái họ muốn tìm lại có thể gặp thấy trong chỉ một đóa hoa hồng hoặc chỉ một ít nước thôi...
- Minden bizonnyal - feleltem.	- Đúng thế - tôi nói.
- A szívünkkel kell keresni.	- Mắt vốn mù lòa.
Megkönnyebbültem tőle.	Tôi thở được nhẹ nhàng.
Mikor a nap fölkel, mézszíne van a homoknak.	Vào lúc tinh mơ, cát màu mật ong.
Miért is ért utol aztán a szenvedés...	Tại sao tôi cứ phải đau khổ làm chi.
- Meg kell tartanod, amit ígértél - mondta szelíden a kis herceg, és már újra ott ült mellettem.	- Ông phải giữ lời hứa - cậu hoàng tử bảo tôi nho nhỏ, bây giờ em đã lại ngồi xuống cạnh tôi.
- Mit ígértem?	- Lời hứa nào?
- Tudod... szájkosarat a bárányomnak... hiszen felelős vagyok a virágomért!	- Ông biết đấy... Một cái rọ mõm cho con cừu của tôi... Tôi chịu trách nhiệm về cái hoa ấy!
- Ugyan!	- Lại thế!
Pedig olyan büszke voltam a majomkenyérfáimra!	Tôi vốn tự hào biết bao khi vẽ những cây bao-bá!
- A rókád meg... a fülei... inkább mintha szarvak volnának... meg aztán túl nagyok is!	- Con cáo của ông... hai tai nó... chúng hơi giống hai cái sừng... và lại dài quá kia!
És megint nevetett.	Và em lại cười nữa.
- Igazságtalan vagy, barátocskám; megmondtam, hogy nem tudok egyebet rajzolni, mint nyitott meg csukott óriáskígyót.	- Cậu không công bằng, cậu nhỏ ơi, tôi vốn chỉ biết vẽ trăn kín với trăn bổ dọc thôi mà!
És elszorult a szívem, ahogy átnyújtottam neki.	Và lòng tôi se lại khi tôi đưa cái rọ mõm đó cho em:
- Neked valami titkos terved van...	- Em có những dự định mà tôi không được rõ...
Azt mondta:	Em bảo tôi:
- Tudod... holnap lesz egy éve, hogy a Földre estem...	- Ông biết không, ngày tôi rơi xuống Trái Đất... mai đã là kỉ niệm một năm...
- Egészen közel ide...	- Tôi rơi xuống ngay cạnh đây...
S engem, magam sem tudom, miért, elfogott valami sötét szomorúság.	Và một lần nữa, chẳng hiểu tại sao, lòng tôi tủi cực lạ lắm.
Egyszerre fölötlött bennem egy kérdés:	Tuy vậy, một câu hỏi chợt buột ra miệng tôi:
- Akkor hát egy hete reggel, amikor megismertelek, nem csak úgy véletlenül kószáltál itt, egyszál-egyedül, ezer mérföldnyire minden lakott helytől?	- Thế ra không phải ngẫu nhiên mà buổi sáng ấy, tôi gặp em, cách đây tám ngày, em dạo chơi lang thang một mình một nghìn dặm cách mọi vùng có người ở?
Oda akartál visszamenni, ahová leestél?	Bây giờ em trở về nơi em rơi xuống sao?
A kis herceg újra elpirult.	Cậu hoàng tử lại đỏ mặt.
Én pedig habozva hozzátettem:	Và tôi nói, ngập ngừng:
- Csak nem az évforduló miatt?	- Vì ngày kỉ niệm, có lẽ thế chăng?...
A kis herceg még jobban elpirult.	Cậu hoàng tử đỏ mặt nữa.
- Ó - mondtam neki -, attól félek...	- Ôi! - Tôi nói.
Azt felelte:	- Tôi sợ...
- Neked most dolgoznod kell.	- Bây giờ ông phải làm việc thôi.
Vissza kell menned a gépedhez.	Tôi đợi ông ở đây.
Én azonban nyugtalan maradtam.	Song tôi không yên tâm.
Eszembe jutott a róka.	Tôi nhớ chuyện con cáo.
Aki hagyja, hogy megszelídítsék, az a sírás kockázatát is vállalja vele...	Khi ta để ai làm cho ta thân quen, thế nào cũng có nguy cơ là ta có thể khóc một tí.
26.	XXVI
Mikor másnap este, munkám után visszajöttem, már messziről észrevettem a kis herceget: lábát lógatva fönt ült a fal tetején.	Khi ở chỗ sửa máy trở lại chiều hôm sau, từ xa, tôi đã thấy cậu hoàng tử của tôi ngồi vắt vẻo bên trên bức thành đó.
- Hát nem emlékszel rá?	- Thế đằng ấy không nhớ ư?
Erre egy másik hang felelhetett neki valamit, mert ő megint erősködni kezdett:	Một giọng nói khác có lẽ trả lời em, vì nghe tiếng em đối đáp:
- Igen, igen!	- Đúng chứ!
A napja ma van, de a helye nem egészen ez...	Ngày thì đúng, nhưng không phải chỗ này...
Kívüle még mindig nem láttam, nem hallottam senkit.	Tôi không nhìn thấy, cũng vẫn chẳng nghe thấy ai.
- ...Úgy bizony.	- Hẳn thế.
Már csak húszméternyire voltam a faltól, de még most sem láttam semmit.	Tôi chỉ cách bức thành có hai mươi mét và tôi vẫn chẳng nhìn thấy gì.
A kis herceg egy darabig hallgatott, aztán azt kérdezte:	Cậu hoàng tử, sau một lát im lặng, lại nói:
- Jó mérged van?	- Nọc đằng ấy tốt đấy chứ?
Biztos vagy benne, hogy nem fogok sokáig szenvedni?	Đằng ấy chắc là chẳng làm tớ khổ lâu chứ?
Megtorpantam, elszorult a szívem, de még mindig nem értettem a dolgot.	Tôi dừng lại, trái tim se thắt, nhưng vẫn không hiểu.
- Most pedig menj el - mondta a kis herceg.	- Thôi, bây giờ đằng ấy đi đi - em nói.
- Le akarok jönni innét!	- Tớ muốn bước trở xuống.
Mert egy kígyó ágaskodott ott a kis herceg felé, egyike azoknak a sárga kígyóknak, amelyek harminc másodperc alatt végeznek az emberrel.	Nó đó, ngỏng đầu lên phía cậu hoàng tử, một giống rắn vàng có thể diệt ta trong ba mươi giây đồng hồ.
Kezemet a zsebembe mélyesztettem, hogy előrántsam a revolveremet, és futni kezdtem feléjük; lépteim zajára azonban a kígyó puhán visszaernyedt a homokba, olyas­formán, mint egy szökőkút elhaló sugara, és sietség nélkül, fémes kis nesszel eltűnt a kövek közt.	Vừa lục túi tìm khẩu súng ngắn, tôi vừa bước sải, nhưng nghe tiếng động của tôi, con rắn liền chuồi trong cát, như thể một dòng nước cặn sót, và chẳng lấy gì làm vội vàng, nó luồn lách giữa các tảng đá, tiếng nó bò nghe hơi lanh canh như tiếng kim khí.
- Hát ez meg mi volt?	- Lại thế nữa!
Most már kígyókkal társalkodol?	Bây giờ em lại đi chuyện trò với rắn!
Kibontottam aranyszínű sálját, amit örökké a nyaka köré tekerve hordott.	Tôi tháo chiếc khăn vàng kim bao giờ em cũng quàng ở cổ.
Megnedvesítettem a halántékát, és itattam vele pár kortyot.	Tôi đã dấp nước vào hai thái dương em và cho em uống.
Komolyan nézett rám, karját a nyakamba fonta.	Em nhìn tôi nghiêm nghị và đưa hai tay ôm cổ tôi.
- Örülök neki, hogy sikerült megjavítanod a gépedet.	- Tôi sung sướng lắm, vì biết ông đã rõ máy bay của ông đang thiếu cái gì.
- Honnan tudod?	- Làm thế nào em biết thế?
Éppen azt akartam elújságolni neki, hogy minden várakozás ellenére mégiscsak zöld ágra vergődtem a munkámmal.	Đúng là lúc ấy, tôi vừa định báo cho em biết, tưởng tuyệt vọng rồi hóa ra tôi đã sửa được máy.
- Én is hazamegyek ma... - És szomorkásan hozzátette: - De az sokkal messzebb van... és sokkal nehezebb...	- Nhà tôi ở xa hơn nhiều... đi khó hơn nhiều...
Éreztem, hogy valami rendkívüli dolog történik.	Tôi có cảm giác vừa xảy ra một việc gì dị thường.
Tekintete komoly volt, és valahol a messzeségben járt.	Mắt em nghiêm nghị, đăm đắm nhìn về một nơi nào xa lắm.
- Mim van?	- Tôi đã được ông cho con cừu.
Vártam, hosszan, sokáig.	Tôi đợi rất lâu.
Éreztem, hogy lassacskán átmelegszik.	Tôi có cảm giác là em dần dà ấm lên:
- Kedves kis barátom, te féltél...	- Cậu em ạ, cậu có hơi sợ...
- Kis barátom, hallani akarom még a nevetésedet...	- Cậu em ạ, tôi còn muốn được nghe em cười...
De ő azt mondta:	Nhưng em bảo tôi:
- Ma éjszaka éppen egy éve.	- Đêm nay, vừa đúng một năm.
Ma éjjel a csillagom pontosan a fölött a hely fölött lesz, ahol egy esztendeje földre hullottam...	Ngôi sao của tôi sẽ lại ở đúng bên trên chỗ tôi rơi xuống năm ngoái...
- Kedves kis barátom, ugye, ez az egész csak rossz álom, ez a kígyóhistória, ez a találkozó, ez a csillagmese...	- Cậu em ạ, chuyện rắn, chuyện hẹn gặp, chuyện ngôi sao này, có phải chỉ là mộng dữ không?
Erre a kérdésre azonban nem válaszolt.	Nhưng em không trả lời câu tôi hỏi.
Azt mondta:	Em bảo tôi:
- Ami fontos, azt nem lehet látni...	- Cái gì mà quan trọng, cái đó không thấy được đâu...
- Persze...	- Đúng thế...
- A virágokkal is így van.	- Giống như bông hoa của tôi.
Minden csillagon van egy virág.	Toàn thể các ngôi sao đều nở hoa.
- Persze...	- Đúng thế...
- És a vízzel is így van.	- Nước cũng thế.
- Persze...	- Đúng thế...
- Éjszaka majd fölnézel a csillagokra.	- Đêm ông sẽ nhìn sao.
Így aztán minden csillagot szívesen nézel majd...	Tất cả các ngôi sao sẽ là bạn thân ông.
- Ó, kedves kis barátom, hogy szeretem hallani a nevetésedet!	Em ơi, em ơi, tôi thích nghe em cười như thế này biết mấy!
- Éppen ez lesz az ajándékom... olyasforma, mint a víz...	- Đúng đó là món quà tôi biếu ông... như nước vậy mà...
- Mit akarsz ezzel mondani?	- Em muốn nói sao?
- Az embereknek nem ugyanazt jelentik a csillagaik.	- Mọi người có những ngôi sao, không của ai giống của ai.
A csillagok viszont mind-mind hallgatnak.	Nhưng tất cả các loại ngôi sao đều đã tắt.
De neked olyan csillagaid lesznek, amilyenek senki másnak...	Còn ông, ông sẽ có những ngôi sao trước nay không ai có...
- Hogyhogy?	- Em muốn nói sao?
- Mert én ott lakom majd valamelyiken, és ott nevetek majd valamelyiken: ha éjszakánként fölnézel az égre, olyan lesz számodra, mintha minden csillag nevetne.	- Rồi đây, ban đêm, khi ông nhìn trời, bởi vì ở một trong những ngôi sao đó có tôi, bởi vì trong một ngôi sao đó có tôi cười, nên ông sẽ tưởng chừng tất cả các ngôi sao đều cười.
Neked, egyedül neked, olyan csillagaid lesznek, amik nevetni tudnak!	Ông, ông sẽ có được những ngôi sao biết cười!
- S ha majd megvigasztalódtál (mert végül is mindig megvigasztalódik az ember), örülni fogsz neki, hogy megismerkedtél velem.	- Và khi ông đã nguôi rồi (bao giờ người ta chả nguôi đi), ông sẽ bằng lòng đã từng được quen biết tôi.
Mindig is a barátom leszel.	Ông mãi mãi là bạn thân tôi.
És szívesen fogsz együtt nevetni velem.	Ông sẽ thèm được cười với tôi.
És néha kinyitod majd az ablakodat, csak úgy, kedvtelésből... És a barátaid nagyot néznek majd, ha látják, hogy nevetsz, amikor fölnézel az égre.	Rồi đôi khi ông mở cửa sổ nhà ông, tự nhiên thích mở, thế thôi... Các bạn hữu của ông sẽ lấy làm lạ, thấy ông vừa nhìn trời vừa cười.
- Mintha a csillagok helyett egy csomó kacagni tudó csengettyűt kaptál volna tőlem...	- Như là đáng lẽ phải cho ông những ngôi sao, tôi lại đứa cho ông hàng đống những cái chuông nhỏ biết cười...
És újból nevetett.	Rồi em lại cười nữa.
- Ma éjszaka... tudod... ne gyere el.	- Đêm nay... ông ạ... ông đừng đến.
- Nem hagylak magadra.	- Tôi sẽ không rời em đâu.
