Turgenyev	Ivan S.Turgenev.
- kérdeztem magamtól. - S kire és mire célozhatott?	tôi tự hỏi: "nàng ám chỉ ai và ám chỉ cái gì ?
És ha valóban van mire céloznia - hogy szánhatta rá magát?...	Và nếu có dấu hiệu gì... làm sao mình biết chắc được?
Nem, nem, nem lehet - suttogtam egyik égő orcámról a másikra fordulva... De eszembe jutott, milyen volt Zinaida arckifejezése, míg mesélt... eszembe jutott Lusin felkiáltása a Nyeszkucsnij-kertben, Zinaida hirtelen megváltozása velem szemben - s találgatásokba merültem.	Không, không, không thể được" tôi khẻ nói, xoay trở gò má nóng bừng trên gối... Nhưng tôi còn nhớ rõ cảm xúc của Zinaida khi nàng đang kể chuyện.... Tôi nhớ lời than vãn của Lushin trong công viên Neskutchny, sự thay đổi đột ngột trong thái độ của nàng với tôi, và tôi hoang mang.
Kalandornő volna - ő, bálványom, istenségem!	mẹ tôi đã nhận xét về nàng.
Ez a név égette a lelkem, próbáltam a párnába menekülni előle, felháborodtam, s ugyanakkor mibe bele nem egyeztem volna, mit nem adtam volna érte, ha én lehettem volna az a boldog ember a szökőkútnál!...	Hai chữ này như lưỡi dao đâm lút vào tim tôi, tôi lăn lộn trăn trở trên gối để cố quên đi -- và cùng một lúc đó, có điều gì trên thế gian này tôi lại không bằng lòng đánh đổi, để được làm người ấy, con người may mắn bên cạnh bồn phun nước!....
A vérem forrt és lüktetett.	Bầu máu nóng sôi sục trong huyết quản tôi.
- "Kert... szökőkút... - gondoltam... - Gyerünk le a kertbe." Gyorsan felöltöztem, s kiosontam a házból.	"Khu vườn... bồn phun nước," tôi nói với tôi... "Ta phải đi ra vườn," tôi mặc quần áo thật nhanh và len len đi ra.
Sötét volt az éjjel; a fák alig susogtak; az égbolt felől csendes hűvösség áradt, a konyhakertből kaporszag terjedezett.	Đêm đen, cây côi hầu như nín bặt chẳng xào xạc, một luồng gió lạnh êm ái thổi từ trên cao xuống, hương thì là thoang thoảng từ phía vườn rau.
Végigjártam minden fasort; lépteim könnyű nesze hol zavarba ejtett, hol bátorított; megálltam, vártam és hallgattam, hogy dobog a szívem - erősen és gyorsan dobogott.	Tôi đi khắp vườn; tiếng động nhẹ của bước chân tôi làm cho tôi vừa hoang mang vừa táo bạo; tôi đứng im, chờ và nghe tiếng tim mình đập nhanh và mạnh.
Végre a kerítéshez közeledtem, s egy vékony rúdhoz támaszkodtam.	Cuôi cùng tôi đến cạnh hàng rào, dựa lưng lên một thanh gỗ mỏng.
Lépéseket hallok, vagy megint a szívem dobog?	Có phải tiếng chân ai bước, hay chỉ là tiếng đâp thùm thụp của trái tim?
- Ki az?	"Ai đó?"
Szorongás fogott el... Ki az?	Tôi cảm thấy sợ hải... "Ai đó?"
- ismételtem még csendesebben.	tôi lập lại, lần này khẻ khàng hơn.
A levegő egy pillanatra lengedezni kezdett: az égen tüzes csík villant: csillag futott le a magasból.	Không khí lay động trong chốc lát, một vệt lửa lóe ngang trời, một vì sao rơi rụng.
- Zinaida?	"Zinaida?"
- akartam kérdezni, de a hang ajkamra fagyott.	tôi muốn gọi, nhưng tên nàng tắt trên môi.
S egyszerre minden mély hallgatásba merült körös-körül, ahogy ez éjféltájban gyakran megesik... Még a szöcskék is abbahagyták a cirpelést a fák közt - csak egy kis ablak zörrent valahol.	Và đột ngột mọi thứ chung quanh trở nên im ả vô cùng, như giửa đêm khuya... Châu chấu cũng ngưng rỉ rả -- chỉ có tiếng cửa sổ lạch cạch khép đâu đây.
Csak álltam, álltam, aztán visszatértem a szobámba, a kihűlt ágyba.	Tôi đứng lặng và đứng lặng, rồi trở về phòng mình, trở về cái giường giá lạnh của tôi.
Különös nyugtalanságot éreztem: mintha légyotton lettem volna - s egyedül maradva, idegen boldogság mellett haladtam volna el.	Tôi có một cảm xúc lạ thường, như thể tôi đã đến một nơi hò hẹn bí mật, đã bị bỏ rơi, và đã rất gần kề, hạnh phúc đâu đó của ai kia.
17	Chương 17
Másnap csak futólag láttam Zinaidát: a hercegasszonnyal ment valahová fiákeren.	Hôm sau tôi chỉ thấy loáng thoáng bóng Zinaida; xe chở nàng và bà công chúa đi đâu không rõ.
A fiatal gróf széles mosollyal üdvözölt, s barátságosan beszélgetni kezdett velem.	Malevsky cười toe tét, bắt chuyện ra vẻ thân thiện.
A szárnyépület valamennyi látogatója közül egyedül ő tudott házunkba férkőzni: egyedül ő nyerte meg anyám tetszését.	Trong số những người lui tới nhà nàng, chỉ một mình ông ta được gia đình tôi tiếp đãi, và rất được lòng mẹ tôi.
Apám nem szívelte, s bántóan udvarias volt hozzá.	Ngược lại, cha tôi lễ độ đến mức nhạo báng.
- Ah, monsieur le pages 8 - kezdte Malevszkij -, nagyon örülök, hogy találkoztunk.	"A, monsieur le page," Malevsky bắt đầu, "hân hạnh gặp cậu.
Mit csinál szépséges királynője?	Nữ hoàng yêu kiều của cậu khoẻ không?"
Üde, szép arca olyan ellenszenves volt nekem ebben a pillanatban - s olyan lekicsinylően léha volt a tekintete, hogy egyáltalában nem feleltem neki.	Gương mặt điển trai tươi tắn của ông ta trông thật dễ ghét, ông ta nhìn tôi một cách thú vị đầy trịch thượng, tôi không trả lời.
- Még mindig haragszik?	"Cậu vẫn còn giận tôi ư?"
- folytatta.	ông ta nói tiếp.
- Nincs oka rá.	"Vô lý lắm.
Hiszen nem én adtam magának az apród nevet, az apródok pedig elsősorban a királynők környezetében szoktak tartózkodni.	Cậu biết đấy, tôi chẳng phải là người phong cho cậu chức Tiểu đồng; ngoài ra, tiểu đồng đương nhiên phải chăm sóc nữ hoàng.
De ha nem haragszik, hadd jegyezzem meg: maga rosszul teljesíti kötelességét.	Nhưng cho phép tôi có một nhận xét, cậu thi hành bổn phận tệ quá."
- Hogyhogy?	"Tệ như thế nào?"
- Az apródoknak nem szabad elválniuk királynőjüktől; az apródoknak mindent tudniuk kell, amit úrnőik tesznek, sőt szemmel is kell tartaniuk őket - tette hozzá halkított hangon -, éjjel-nappal.	"Tiểu đồng không được rời công nương nửa bước, phải biết rõ nàng làm gì, phải canh giữ nàng, " ông ta hạ giọng nói thêm, "ngày đêm."
- Mit akar ezzel mondani?	"Ông định nói chi?"
- Hogy mit akarok mondani?	"Tôi định nói chi?
Nappal még hagyján; nappal világosság van, s emberek járnak; de éjjel - akkor jönnek a bajok.	Ban ngày, thật ra không thành vấn đề; trời sáng, khắp nơi đều có người, nhưng ban đêm, phải coi chừng điều không may có thể xẩy ra.
Azt tanácsolom, hogy éjjel ne aludjék, s figyeljen, figyeljen, ahogy csak erejéből telik.	Tôi khuyên cậu, ban đêm phải thức canh gác tận tình.
Jusson eszébe, a kertben, éjjel; a szökőkútnál, ott kell lesben állnia.	Cậu nên nhớ, trong vườn, ban đêm, tại bồn phun nước, đấy là chỗ cần phải để mắt tới.
Hálás lesz érte nekem.	Cậu sẽ cảm ơn tôi."
Malevszkij elnevette magát, s hátat fordított.	Malevsky cười, quay lưng đi.
hát így van!	Không được!"
- "Talán Malevszkij maga jön a kertbe - gondoltam (talán kifecsegte titkát: elég szemtelen, hogy ezt tegye) -, vagy valaki más (kertünk palánkja nagyon alacsony volt, s könnyűszerrel át lehetett mászni rajta), de jaj lesz annak, aki a kezembe kerül.	Tôi trở về phòng riêng, lấy ở bàn viết một con dao Ăng Lê mới mua, vuốt ve lưỡi dao, và nhíu mày quả quyết, dấu nó vào túi, làm ra vẻ không phải là lần đầu tiên hãy còn bở ngở.
Senkinek sem ajánlom, hogy ott találkozzék velem!...	Tim tôi đập loạn, ngực nặng như đeo đá.
Megmutatom az egész világnak; s neki - az áruló Zinaidának (árulónak neveztem őt), hogy bosszút tudok állni!"	Suốt cả ngày, tôi chờ đợi biến cố khủng khiếp, tôi nhíu mày, mím chặt môi, tay đút trong túi, con dao ấm nóng trong bàn tay.
Ezek az új és szokatlan érzések annyira foglalkoztattak, sőt felvidítottak, hogy tulajdonképpen alig gondoltam Zinaidára.	Những xúc cảm mới lạ làm tôi phấn khởỉ, và quên bẳng Zinaida.
Állandóan Aleko, a fiatal cigány járt az eszemben; "... hova, hova szép fiatalember?	Tôi bị ám ảnh bởi Aleko, gã gipsy trẻ tuổi --"Hởi chàng trẻ tuổi đẹp trai kia, chàng đi đâu thế?
- Feküdj csak..." aztán: "mindent telefröcsköltél vérrel!...	hãy nằm xuống đây," và rồi, "mình chàng vấy máu...ôi chàng đã làm gì thế ?...
Jaj, mit tettél?...	Không, không có gì hết!"
Semmit!" Milyen kegyetlen mosollyal ismételtem ezt a szót: semmit!	Tôi cười gằn, lập lại, "Không, không!"
Apám nem volt otthon; de anyám, aki egy idő óta majdnem állandó, fojtott ingerültség állapotában volt, figyelni kezdett baljóslatú képemre, s így szólt hozzám vacsora után: - Miért nézel olyan morcosan, mint az egér a kására?	Cha tôi đi vắng; nhưng mẹ tôi, đôi khi mang một tâm trạng tức giận ngu xuẩn, để ý tới vẽ mặt u buồn và hào hùng của tôi; lúc ăn tối, mẹ tôi bảo, "Sao con phụng phịu giống như một con chuột mắc kẹt trong lu?"
Ösvény kanyargott arra, melyet mindig titokzatosnak éreztem: kígyószerűen kúszott el a kerítés mellett, átmászás nyomai voltak a kerítésnek ezen a helyén, s onnan kerek, sűrű akáclugashoz vitt az ösvény.	Gần bên, một con đường mòn có vẽ thần bí, uốn khúc như rắn, luồn sát hàng rào, ở chỗ có dấu người trèo qua, rồi lượn tròn chung quanh những bụi keo rậm rạp.
Elértem a fenyőt, törzsének támaszkodtam, s leskelődni kezdtem.	Tôi đến dựa vào gốc thông, và bắt đầu phiên gác.
Az éjszaka olyan csendes volt, mint a tegnapi; de az égen kevesebb volt a felhő - s a bokrok, sőt a magasabb virágok körvonalai is tisztán látszottak.	Đêm nay trời cũng im ả như đêm trước, nhưng ít mây hơn, ta có thể thấy rõ đường nét của các lùm cây cũng như của những bông hoa nhô cao.
A várakozás első pillanatai gyötrők voltak, szinte rémesek.	Những giây phút đợi chờ ban đầu ngột ngạt, khủng khiếp.
Állj!	đi đâu?
Elhagytam leshelyemet, s körüljártam az egész kertet.	Tôi rời chỗ phục kích, đi lang thang quanh vườn.
Felmásztam a melegház romjára, magam előtt láttam a távolba futó mezőt, eszembe jutott találkozásom Zinaidával, és elgondolkoztam...	Tôi trèo lên đống đổ nát của nhà kính, trước mắt tôi, đồng quê mở rộng tới chân trời, tôi nhớ lại lần gặp gỡ trước với Zinaida, và mơ màng....
Könnyű, gyors, de óvatos léptek nesze hallatszott tisztán a kertben... Felém közeledtek.	Tiếng chân nhanh, nhẹ nhàng, thận trọng vang lên rõ rệt, tiến lại gần tôi.
az apám volt!	đó là cha tôi!
Azonnal ráismertem., bár teljesen beburkolózott sötét köpenyébe, s a köpenyt az arcára húzta.	Tôi có thể nhận ra ông ngay tức khắc, mặc dù chiếc áo choàng đen thùng thình kín mít, và cái nón kéo thấp nửa mặt.
Lábujjhegyen haladt el mellettem.	Cha tôi nhón gót đi ngang.
Nem vett észre, bár semmi sem takart engem, de úgy össze­húztam magam, s úgy összezsugorodtam, hogy úgy látszik, a föld színével voltam egyenlő.	Ông không nhìn thấy tôi, mặc dù không có gì che, tuy nhiên tôi đã thụp xuống, co rúm đến mức tưởng chừng sát đất.
A féltékeny, gyilkolni kész Othello egyszerre iskolásfiúvá változott.	Chàng Othello ghen tương sẳn sàng cố sát, bổng trở thành một cậu học sinh.
Annyira megrémültem apám váratlan megjelenésétől, hogy az első pillanatokban azt sem vettem észre, honnan jött, és merre tűnt el.	Tôi quá ngạc nhiên vì sự xuất hiện bất ngờ của cha tôi đến nỗi ban đầu, tôi không hiểu ông đến từ hướng nào và sẽ đi về đâu.
Csak azután egyenesedtem fel, s gondoltam el: "Miért jár az én apám éjjel a kertben" - mikor újra elcsendesült minden körülöttem.	Tôi đứng thẳng dậy, khi tất cả mọi thứ đã yên tỉnh trở lại, và tôi nghĩ "Tại sao cha đi dạo giữa đêm khuya?"
Ijedtemben leejtettem a kést a fűbe, de nem is kezdtem keresni; nagyon szégyelltem magam.	Trong lúc bấn loạn, tôi đã đánh rơi con dao xuống cỏ, nhưng tôi không tim nó làm gì; tôi cảm thấy xấu hổ.
Egy csapásra kijózanodtam.	Chẳng bao lâu tôi đã lấy lại bình tỉnh.
Visszatérés közben mégis odamentem a bodzabokor alatt álló kis padhoz, s Zinaida hálószobájának ablaka felé néztem.	Tuy thế trên đường về, tôi ghé qua chỗ ưa thích của mình dưới cây cơm cháy, và nhìn lên cửa sổ phòng Zinaida.
A nem nagy, kissé hajlott ablaküvegek homályosan kéklettek az égboltról szivárgó gyenge fényben.	Ánh sáng yếu ớt của trời khuya tô một màu lam nhạt lên các ô cửa nhỏ cong cong.
- szóltam hangosan, szinte önkéntelenül, mikor megint a szobámban találtam magam.	"Khi về tới phòng mình, "Cái màn đó để làm gì nhỉ?"
Álom ez, véletlenség, vagy... A feltevés, mely hirtelen megvillant a fejemben, olyan új és különös volt, hogy nem is mertem magam átengedni neki.	tôi không thể không nói to, "cho một giấc mơ, một cơ may, hay là...." Một phỏng đoán chợt thành hình, kỳ cục đến nỗi tôi không dám nghiền ngẫm.
18	Chương 18
Reggel fejfájással ébredtem.	Sáng hôm sau tôi thức dậy, nhức đầu.
Tegnapi nyugtalanságom eltűnt.	Những xúc động của ngày hôm qua đã tan đi.
Döbbent értetlenség s eddig nem ismert szomorúság váltotta fel - mintha valami meghalt volna bennem.	Thay vào đó là cảm giác trống vắng thê lương, là một nỗi buồn chưa bao giờ biết đến, giống như có một thứ gì đã chết trong tôi.
- Miért néz úgy, mint a házinyúl, melynek kivették a fél agyvelejét?	"Trông cậu như một con thỏ bị xẻo mất nửa bộ óc, tại sao thế?"
Reggelizés közben lopva hol apámra, hol anyámra néztem: apám, szokása szerint, nyugodt volt; anyám, szokása szerint, titkoltan ingerült.	Lúc ăn trưa, tôi len lén nhìn: cha tôi vẫn bình thản, mẹ tôi vẫn gắt gỏng như xưa.Tôi đợi xem cha tôi có nói một lời thân thiện nào với tôi, như thỉnh thoảng ông vẫn làm.
Vártam, nem szól-e hozzám apám, ahogy néha szokta, barátságosan... De még a mindennapi, hideg nyájasságát sem éreztette velem.	Nhưng ông cũng không ban phát câu chào hỏi nhạt nhẽo thuờng ngày.
"Elmondjak mindent Zinaidának?	"Tôi có nên chất vấn Zinaida không?"
Szünidőre eljött a herceg­néhez Pétervárról a fia, egy tizenkét éves hadapród; Zinaida tüstént rám bízta az öccsét.	Nhân ngày lễ, con trai của công chúa, một thiếu sinh quân mười hai tuổi, từ Petersburg về thăm nhà.
- Kedves Vologyám (most először nevezett így), itt a kis barátja.	Zinaida lập tức giao cậu em cho tôi.
Őt is Vologyának hívják.	Nó hiền lắm, tuy còn rụt rè.
Szeresse meg, kérem; vadóc még, de jó szíve van.	Mong rằng em sẽ mến nó.
Mutassa meg neki a Nyeszkucsnij-kertet, sétálgasson vele, vegye pártfogásába.	Làm ơn đưa nó ra công viên Neskutchny, đi dạo, và trông chừng nó nhé.
Gyengéden a két vállamra tette a két kezét, s én egészen elvesztettem a fejem!	Nàng trìu mến đặt tay lên vai tôi, tôi vui đến phát rồ.
Ennek a kisfiúnak a megérkezése engem is kisfiúvá változtatott.	Sự hiện diện của cậu bé làm tôi cũng biến đổi thành một đứa trẻ.
Szótlanul néztem a fiúra, s ő is némán szegezte reám a szemét.	Tôi lẳng lặng nhìn cậu, cậu nín thinh nhìn tôi.
Zinaida nevetésbe tört ki, s egymás felé taszigált bennünket.	Zinaida cười to, xô hai đứa lại gần.
- De hát öleljétek meg egymást, gyerekek!	"Mấy cậu nhóc, ôm nhau đi!"
- Megöleltük egymást.	Chúng tôi ôm nhau.
- Akarja, hogy elvezessem a kertbe?	"Em muốn xem qua vườn nhà anh không?"
- Legyen szíves - felelte rekedt, igazi hadapródhangon.	"Dạ vâng," cậu trả lời, giọng khàn đục, như một thiếu sinh quân.
Zinaida megint elnevette magát... Ilyen gyönyörű pirosságot még sohasem láttam az arcán.	Zinaida lại cười...Tôi đủ thì giờ để nhận ra, chưa bao giờ gương mặt nàng tươi đẹp đến thế.
Elmentünk a hadapróddal.	Tôi dẫn cậu bé đi.
Volt a kertünkben egy régi hinta.	Trong vườn nhà tôi có một cái xích đu kiểu cũ.
Felültettem a vékony deszkalapra, s hintáztatni kezdtem.	Tôi ấn cậu ngồi xuống thanh gỗ hẹp, và bắt đầu đưa.
Mozdulatlanul ült vastag posztóból készült, széles aranysújtású, új egyenruhácskájában, s erősen fogta kétfelől a kötelet.	Cậu bé ngồi cứng đờ trong bộ đồng phục vải dầy cộp, dây biểu chương bện chỉ vàng, tay cậu nắm chặt dây đu.
- De hát gombolja ki a gallérját - mondtam neki.	"Em nên mở khuy áo cổ cho thoáng," tôi nói.
- Maradhat, megszoktuk mi ezt, kérem - felelte s köhögött.	"Không sao đâu, anh ạ; tụi em quen rồi," cậu ấy hắng giọng, trả lời.
Jólesett, hogy szívességet tehetek a fiúnak, de ugyanakkor az a sajgó szomorúság is emésztette a lelkemet.	Tôi thích đối xử tử tế với cậu; nhưng đồng thời, môt nỗi buồn nhức nhối đang gậm nhấm con tim.
"Most igazán gyerek vagyok - gondoltam -, de tegnap..." Eszembe jutott, hogy tegnap este hol ejtettem el a zsebkésemet, s megkerestem.	"Hôm nay chắc chắn mình là một đứa trẻ," tôi nghĩ; "nhưng hôm qua.." Tôi tìm thấy con dao đã đánh rơi tối hôm trước.
A hadapród elkérte tőlem, letépte egy medvegyökér vastag szárát, sípot vágott belőle, s elkezdett sípolni.	Cậu bé hỏi mượn, cắt môt khúc mùi tây già, khoét thành sáo vá bắt đầu thổi.
Othello is belefújt.	Othello cũng véo von theo.
De este ugyanez az Othello, Zinaida kezére borulva sírt, mikor a lány a kert egyik szögletében megtalálta, s megkérdezte tőle: miért olyan szomorú?	Nhưng đến chiều, Othello ấy khóc sướt mướt trên tay Zinaida, khi nàng đi tìm, trong góc vườn, để hỏi vì sao chàng u uất đến thế.
Úgy patakzott a könnyem, hogy Zinaida megijedt.	Nước mắt tôi chảy dữ dội đến nỗi nàng hoảng hốt.
- Mi baja?	"Có sao không em?
Mi baja, Vologya?	Volodya, tại sao vậy?"
- ismételgette, s amikor látta, hogy tovább sírok, s kérdésére nem felelek, meg akarta csókolni ázott arcomat.	nàng lập lại; và vì tôi không trả lời, cũng không ngừng khóc, nàng sắp sửa hôn lên đôi má ướt.
De én elfordultam, s zokogás közben suttogtam.	Nhưng tôi quay đầu tránh, và nói trong cơn nức nở, "Em biết hết cả rồi.
Miért kellett magának az én szerelmem?	"Chị thật đáng trách, Volodya."
- Nagyot vétkeztem... - folytatta és összeszorította a kezét.	"Tâm hồn chị xấu xa, đen tối và tội lỗi biết mấy!...
- Milyen sok rossz és sötét és bűnös hajlandóság van bennem... De most nem játszom magával, szeretem magát, nem is sejti, hogy miért és mennyire... De hát... mit tud maga?	nhưng hiện nay, chị không đùa giỡn với em... Chị yêu em; em không thể hiểu được, như thế nào, và tại sao... Nhưng em vừa nói, em biết hết gì cơ chứ ?"
Mit mondhattam neki?	Làm sao tôi có thể hé môi đây?
Mindent tehetett velem, amit akart.	Nàng điều khiển tôi theo ý thích của nàng...
19	Chương 19
Nagy zavarba estem volna, ha valaki arra biztat, hogy mondjam el részletesen, mi történt velem egy hét alatt, szerencsétlen éjjeli kirándulásom után.	Thật khó khăn nếu tôi phải mô tả chính xác những biến chuyển của tâm hồn tôi trong tuần lễ sau cuộc phiêu lưu thảm hại nửa đêm hôm ấy.
Mikor egyszer hosszabb sétából jöttem meg ebédre, csodálkozással értesültem róla, hogy egyedül ebédelek, apám elutazott, anyám gyengélkedik, nem kívánja az ételt, s bezárkózott a hálószobájába.	Tôi ngạc nhiên khi được biết mình phải dùng bửa một mình, cha tôi đi vắng, mẹ tôi không được khỏe không muốn ăn, và bà đóng cửa phòng ở lỳ trong đó.
Az inasok arckifejezéséből kitalálhattam, hogy valami egészen rendkívüli történt... Kérdezgetni nem mertem őket, de volt egy barátom, Filipp, a fiatal büféinas, szenvedélyes verskedvelő és gitárjátékos - hozzá fordultam.	Nét mặt của các gia nhân cho tôi biết một điều hết sức bất thường đã xảy ra....Tôi không dám dò hỏi họ, nhưng tôi vốn thân thiết với Philip, một người hầu trẻ tuổi, đam mê thơ văn và biết chơi đàn ghi-ta.
Megtudtam tőle, hogy apám és anyám között borzasztó jelenet játszódott le (a cselédszobában is mindent lehetett hallani az utolsó szóig; sok volt, amit franciául mondtak, de Mása szobalány öt évig egy Párizsból jött varrónőnél szolgált, és mindent megértett); anyám apámnak szemére lobbantotta hűtlenségét, ismeretségét a szomszéd hercegkisasszonnyal, apám eleinte mentegetőzött, aztán fellobbant, s ő is valami kemény szót mondott anyámnak (talán az "évei számáról"), mire anyám sírva fakadt; anyám meg egy váltóról tett említést, melyet állítólag apám az öreg hercegnének adott, s nagyon rossz véleményt mondott róla, de a kisasszonylányáról is, s akkor apám megfenye­gette.	Tôi hỏi, và anh bảo rằng cha mẹ tôi đã cải nhau một trận kịch liệt, (ở phòng của các nữ gia nhân, người ta có thể nghe trộm được mọi lời nói, hầu hết bằng tiếng Pháp, nhưng Masha người hầu của mẹ tôi, từng làm việc trong năm năm với một bà thợ khâu ở Pháp nên chị hiểu tất cả); rằng mẹ tôi đã trách móc cha tôi về tội không trung thành, đã lang chạ với tiểu thư nhà kế bên; rằng lúc đầu cha tôi bào chữa nhưng sau đó khi mất bình tỉnh cũng đã thốt nên những lời tàn nhẫn, "liên quan tới tuổi tác của bà" làm cho mẹ tôi khóc; rằng mẹ tôi cũng ám chỉ những món nợ bà công chúa hình như còn thiếu, và nhục mạ hai mẹ con công chúa, rồi cha tôi đã dọa nạt mẹ tôi.
- S az egész baj - folytatta Filipp - egy névtelen levéltől eredt, de hogy ezt ki írta - nem lehet tudni; mert különben nem lett volna ok arra, hogy ezek a dolgok kipattanjanak.	"Và tất cả mọi chuyện phiền nhiễu này", Philip nói tiếp, "xẩy ra chỉ vì một lá thơ nặc danh; không biết ai là tác giả, nếu không có lá thơ đó, có lẽ không có lý do nào khiến cho câu chuyện bị bại lộ."
Filipp sokatmondóan hunyorított.	Philip nháy mắt đầy ngụ ý.
- Volt.	"Có chứ.
Az ilyesmit nem lehet eltitkolni; lehetett az édesapja ebben a dologban bármilyen óvatos - de hát kocsit például csak kell bérelni, vagy ez vagy az... emberek nélkül nem megy az efféle.	Làm sao che dấu được; mặc dù Ông đã cẩn thận trong chuyện này -- nhưng Cậu thấy đó, có những lần, thí dụ, thuê xe hay bất cứ cái gì... không thể được việc nếu không có người giúp."
Elküldtem Filippet - s levetettem magam az ágyra.	Tôi cho Philip lui ra, và gieo mình xuống giường.
20	Chương 20
Anyám másnap kijelentette, hogy beköltözik a városba.	Hôm sau mẹ tôi tuyên bố ý định trở về thành phố.
Reggel apám bement hozzá a hálószobába, s négyszemközt sokáig együtt maradt vele.	Từ sáng, cha tôi đã vào phòng của mẹ tôi, ở lại trong đó khá lâu, chỉ hai người.
Senki sem hallotta, mit mondott neki, de anyám már nem sírt; megnyugodott és enni kért, de nem mutatkozott, és nem változtatott az elhatározásán.	Không ai nghe lén được nội dung câu chuyện, nhưng mẹ tôi nín khóc, bình tỉnh trở lại, gọi thức ăn, nhưng không ra khỏi phòng mà cũng chẳng thay đổi kế hoạch.
Emlékszem, egész nap kószáltam, de nem mentem a kertbe, s egyszer sem néztem a szárnyépület felé, este azonban csodálatos jelenetnek voltam tanúja: apám Malevszkij grófot karon fogva kivezette a termen át az előszobába, s egy inas jelenlétében hidegen így szólt hozzá: "Pár nappal ezelőtt nagyméltóságodnak ajtót mutattak egy házban, én azonban most nem bocsátkozom itt semmiféle magyarázkodásba, de van szerencsém kijelen­teni, hogy ha még egyszer ide jön hozzám, kihajítom az ablakon.	Tôi nhớ, suốt ngày tôi thơ thẩn đi khắp mọi nơi, nhưng không ra vườn, không một lần liếc mắt nhìn qua nhà Zinaida, và đến chiều tối, chứng kiến một sự kiện ngoạn mục: cha tôi nắm cánh tay Bá tước Malevsky lôi xềnh xệch từ phòng ăn ra đại sảnh, và trước mặt người hầu, lạnh lùng nói với ông ta: "Chỉ mới mấy ngày trước đây, Ngài đã được mời ra khỏi cửa; hôm nay tôi không cần phải giải thích thêm gì nữa, nhưng tôi thề rằng nếu Ngài còn bén mảng tới đây, tôi sẽ quăng Ngài qua cửa sổ.
Kóboroltam, mint a bolond, s csak egyet kívántam: hogy az egésznek mielőbb vége szakadjon.	Tôi lang thang như kẻ không hồn, ước muốn một điều duy nhất là mọi thứ chấm dứt càng sớm càng tốt.
Egy gondolat sehogy sem akart kimenni a fejemből: Hogy szánhatta magát ilyen lépésre egy fiatal lány - s méghozzá hercegkisasszony, mikor tudta, hogy apám nem független ember, s mikor megvolt a lehetősége, hogy férjhez menjen, még ha például Belovzorovhoz is?	Một câu hỏi vương vấn mãi trong đầu: vì sao, một cô gái trẻ, hơn nữa, lại là một nàng công chúa, có thể để cho mình vướng mắc trong tình huống ấy, biết rõ cha tôi không còn độc thân, và nàng thừa cơ hội để lập gia đình, thí dụ, với Byelovzorov?
Miben reménykedett?	Nàng đã hy vọng gì?
Nem félt attól, hogy egész jövőjét elronthatja?	Tại sao nàng không sợ tương lai của nàng sẽ bị hủy hoại?
Igen, gondoltam, ez a szerelem, ez a szenvedély, ez az odaadás... s eszembe jutottak Lusin szavai: édes feláldozni magunkat másokért.	Vâng, tôi nghĩ, đấy là tình yêu, đấy là niềm đam mê, đây là sự tận hiến... và lời nói của Lushin hôm nào quay về: đối với một số người, hy sinh bản thân là hạnh phúc ngọt ngào.
Nem válhattam el tőle úgy, hogy istenhozzádot se mondjak neki.	tôi nghĩ...vậng, đúng là gương mặt của nàng.
Kilestem egy alkalmas pillanatot, s átmentem a szárnyépületbe.	Tôi không thể kềm chế nữa.
A fogadószobában a hercegné jött elém megszokott, kellemetlenül hanyag köszöntésével.	Tôi không thể ra đi mà không nói lời từ biệt Tôi chọn lúc thuận tiên, đi sang nhà nàng.
- Mi az, bátyuskám, hát maguknál ilyen korán megbolydultak?	Trong phòng khách, bà công chúa, như thường lệ, uể oải chào.
- kérdezte s közben tubákot tömött mind a két orrlikába.	"Sao gia đình Cậu dọn đi vội vã như thế hở Cậu?"
Ránéztem s megkönnyebbültem.	bà vừa nói vừa nhét thuốc lá vào mủi.
A "váltó" szó, melyet Filipptől hallottam, nagyon megkínzott.	Tôi nhìn bà, cảm thấy trút bỏ được một gánh nặng.
A hercegné semmit sem gyanított, legalábbis úgy tetszett nekem akkor.	Bà công chúa không nghi ngờ điều gì cả...ít nhứt vào lúc này.
Zinaida kijött a szomszéd szobából, fekete ruhában, sápadtan, kibontott hajjal; szótlanul kézen fogott s magával vitt.	Zinaida từ phòng bên đi vào, tái mét, áo đen, tóc rối; nàng cầm tay tôi không nói một lời; kéo tôi đi.
- Hallottam a hangját - szólt -, s azonnal bementem.	"Chị nghe tiếng em nói," nàng bắt đầu, "chị vội vàng ra ngay.
És magának olyan könnyű elhagyni minket, rossz fiú?	Em xấu lắm, có thể bỏ chị đi dễ dàng như thế sao?"
- Búcsúzni jöttem magához, hercegkisasszony - feleltem -, s bizonyosan örökre.	"Công chúa, em đến từ giả chị," tôi trả lời, "có lẽ là vĩnh biệt.
Lehet, hogy már hallotta is - elutazunk.	Chắc chị đã biết gia đình em sắp dọn đi?"
Zinaida élesen nézett rám.	Zinaida nhìn tôi, mắt sâu thăm thẳm.
