ANTOINE DE SAINT-EXUPÉRY	Antoine de Saint-Exupéry
Megírtam, és kétszáz szidalmazó levelet kaptam.	Tôi có nhận được hai trăm lá thư chửi rủa.
Úgy érzem: a repülőterek parasztja vagyok.	Tôi, tôi sung sướng trong nghề nghiệp tôi.
A helyiérdekű vonaton egészen másképp érzem agóniámat, mint itt!	Tôi cảm thấy mình đích thị nông dân của những bến trạm nghỉ.
Itt: akárhogy vesszük is - micsoda fényűzés!...	Tại đây, nói cho cùng, còn hào hoa lộng lẫy xiết bao!...
Ez a mesterségem rendje.	Có chi đâu mà oán hối.
Mégis: én magam szívtam a tengeri szél ízét!	Phải vậy chăng ru, hỡi các bạn bè thân thuộc?
Nagyon jól tudom, mit szeretek.	Tôi biết tôi yêu cái gì.
Lassan világosodik az ég.	Hình như trời sắp trắng ra.
Kinyújtom egyik karomat a homokból.	Tôi chìa một cánh tay ra khỏi cát.
Mellettem van az egyik ejtőernyődarab, megtapintom: száraz.	Một tấm vải dù căng ở ngay tầm tay, tôi sờ xem, nó vẫn khô ran.
Gondolataim összekuszálódnak kissé; mintha valaki szólna hozzám: "Íme egy száraz szív... egy száraz szív... egy száraz szív, mely nem tud könnyezni!..."	Lúc đó những ý nghĩ của tôi trở nên lộn xộn chút ít và tôi nghe mình nói: "Tại đây có một trái tim khô… một trái tim khô… một trái tim khô không biết làm nên giọt lệ".
- Gyerünk, Prévot!	- Lên đường thôi, Prévot!
Torkunk még nem szikkadt ki egészen; tovább kell menni.	Cổ họng chúng ta chưa tắc nghẽn: còn phải bước đi.
Az a nyugati szél fúj, amely tizenkilenc óra alatt kiszárítja az embert.	Cuống họng tôi chưa kín nghẽn, nhưng khô cứng và đau đớn lắm.
Nyelőcsövem még nem zárult teljesen össze, de kemény és fáj.	Tôi đã thấy chừng chừng rồi, một cái gì cò cưa, rát rát.
Nemsokára elkezdődik az a köhögés, amelyről beszéltek egyszer nekem - már várom.	Lúc những chấm đó biến thành đỏ rực, là lúc tôi sẽ ngã thân nằm dài.
S ami a legsúlyosabb: fényfoltokat látok.	Chúng tôi lợi dụng chút mát trời ban sáng.
Amikor majd ezek a foltok lángokká válnak, lefekszem.	Lúc nắng lên tràn… khi nàng lên trắng…
Fölhasználjuk a hajnal hűsét.	Cũng không có quyền đợi.
Tudjuk, hogy mikor a nap erősen sütni kezd, már nem fogunk menni...	Cái khí mát này chỉ là khí mát của mười tám phần trăm chất ẩm.
Három napja pedig: egy fél narancsot és egy fél száraz süteményt.	Cái lưỡi này nắn bằng thạch cao, hay kết tinh bằng chất vôi, tình đá?
De nem érzek semmi éhséget; csak szomjúságot érzek.	Những cảm giác đó rất mới lạ đối với tôi.
És most már mintha a szomjúságnál is jobban érezném a következményeit.	Cái bịnh cứ tăng tăng, cái thèm thuồng cứ bớt bớt.
A víz bizonyára meggyógyítaná őket, de nincs már emlékem, amely fölidézné bennük ennek az orvosságnak az ízét.	Tưởng chừng những giếng, những màu, những mật, đã bắt đầu mang lại những hình ảnh bớt não nhân.
Lemondunk róla, hogy nagy távolságokat tegyünk meg.	Chúng tôi từ bỏ những trường đình, viễn độ.
Végtelen öröm így kinyúlni... De tovább kell menni.	Cảm thấy một niềm vui bát ngát được duỗi dài lưng ra.
A táj változik.	Phong cảnh đổi.
Ritkulnak a kövek, homokban megyünk.	Đá dọc đường thưa bớt, cách bức thêm.
Előttünk két kilométerre homokdombok.	Bây giờ chúng tôi bước đi trên cát.
Az acélfegyverzetű vidéknél jobban szeretem a homokot.	Cái lớp giáp sắt đen sì, tôi vốn không thích nó bằng màu cát.
Most már kétszáz méter is kimerít.	Tôi tưởng nhận ra rồi, ồ sa mạc…
- Mégis menni fogunk, legalább azokig a cserjékig...	- Cũng gắng mà bước đi, ít ra là tới cái cụm cây bé bỏng lưa thưa kia, dù sao chăng nữa.
Eddig kétszázat tettem meg.	Làm sao còn có thể tiếp tục?
Ma már nincs értelmük ezeknek a szavaknak.	Hôm nay chúng tôi bước đi là ấy bởi bước đi.
Így mehetnek az ökrök az eke előtt.	Hẳn cũng hệt là bò cày trên ruộng.
Tegnap narancsfaligetek paradicsomkertjéről ábrándoztam.	Hôm qua tôi mộng ước những Thiên Đường cam mọc.
Ma már: nincs számomra többé semmiféle paradicsomkert.	Hôm qua tôi mơ tưởng những đào nguyên suối chảy.
Nincs bennem semmi más, mint nagy szárazság a szívemben.	Tôi không còn tin ở sự tồn tại đâu đó những trái cam.
Az ember szánalmat érez maga iránt, és úgy sajnálja magát, mint egy jó barát.	Người ta thương hại cho phận mình, người ta cảm thương mình như một người bạn.
Ha majd rám találnak, s látják kiégett szememet, azt gondolják: sokat kiáltoztam segítségért, és sokat szenvedtem.	Nhưng những hăm hở, nhưng những tiếc thương, nhưng những sầu đau êm ái, đó vẫn là những kho phong phú, những giàu sang của cải.
De az indulat, a sajnálat, a lágy szenvedés még mindig gazdagság.	Còn tôi, tôi chẳng còn gì là của cải nữa.
És én már tökéletesen szegény fickó vagyok Érintetlen leányok első szerelmes estéjükön bánatosak, és sírnak.	Những nàng gái tươi, gặp cơn chiều của ân tình đầu tiên trở chứng, các nàng nếm mùi sầu khổ, và khóc than.
És nekem már semmiféle bánatom nincs...	Còn tôi, tôi không có nữa những khổ sầu.
A sivatag - én vagyok.	Sa mạc, là tôi.
Ez a homokszőnyeg, ezek a dombok, ezek az elszórt zöld foltok: ez már nem tájék - ez színpad.	Dấu hiệu gì vừa mới cấp báo linh tính tôi, trước khi đập vào tâm thức tôi như thế?
Prévot-ra nézek.	Phải không?
Látom: ugyanolyan ámulat fogta el, mint engem, de ő sem érti, mi az, amit érez.	Một cảnh trí còn trống không, nhưng hoàn toàn được soạn sửa.
Esküszöm: valami történni fog...	Được sắp đặt tròn khung.
S ez az üresség, ez a csönd megragadóbb, mint egy forgalmas tér forgataga...	Tôi thề với anh là sắp có xảy ra một cái gì tại đây tại đó.
Megmenekültünk: a homokban nyomok vannak.	Trong sa mạc đã có bóng vang gì!...
Ó!	A!
- Prévot, itt két ember elvált...	- Nhìn đây, Prévot, tại đây hai người đã chia tay…
- Itt egy teve térdelt le...	- Tại đây, một con lạc đà có quỳ gối xuống…
- Itt meg...	- Tại đây…
Mégis: még egyáltalán nem menekültünk meg.	Tuy nhiên, chúng tôi vẫn còn chưa được giải cứu.
Nem elég várakozni.	Chờ suông, chưa đủ.
Tovább mentünk hát, és egyszerre meghallottam a kakaskukorékolást.	Chúng tôi vậy là còn bước đi, và hốt nhiên tôi nghe tiếng gà gáy.
Guillaumet mondta: "A vége felé kakasokat halottam az Andesekben.	Guillaumet từng có bảo tôi: "Vào khoảng cuối, tôi nghe tiếng gà gáy trong non núi Andes.
- Ez is biztosan a szomjúsággal jár.	Đó chắc là tại tác dụng của cơn khát.
De Prévot megragadja karomat.	Nhưng Prévot nắm chặt cánh tay tôi:
- Hallotta?	- Anh có nghe chứ?
- Mit?	- Nghe gì?
- A kakast!	- Con gà gáy!
- Akkor... akkor...	- Thế thì… thế thì…
Még volt egy utolsó hallucinációm: három kergetőző kutyáról.	Tôi còn bị một ảo ảnh cuối cùng: ba con chó đuổi nhau.
Prévot nem látott semmit.	Prévot, Prévot cũng có nhìn, Prévot không thấy chi hết.
Már ez a negyedfordulat is megváltoztatja a világot.	Một chút xoay nghiêng, càn khôn biến thành vũ trụ.
Az arab egyszerűen végignézett rajtunk.	Người Ả Rập giản dị nhìn chúng tôi.
A homokra borulva várakoztunk.	Chúng tôi chờ, úp trán lên cát.
Nem szükséges vagy az életben: maga az élet vagy.	Ngươi không cần thiết cho sự sống: ngươi là sự sống.
Te vagy a világ legnagyobb gazdagsága, és a legfinomabb is te vagy: tiszta víz, odalent a föld méhében.	Nhờ lượng ngươi bao dung, bao nhiêu nguồn suối cạn của buồng tim bỗng dạt dào trở lại.
Az ember elpusztulhat egy magnéziumos forrás fölött, szomjan halhat kétlépésnyire egy sós tótól, és szomjan halhat két liter harmat mellett is, ha ásványi savak vannak benne.	Ngươi là của cải to lớn nhất thế gian, và cũng mỏng manh lãng đãng nhất, ngươi thanh khiết thế nào ở giữa dạ trái đất của chúng ta.
De végtelenül egyszerű boldogsággal árasztasz el minket.	Người ta có thể nằm chết bên một cái hồ nước mặn.
Te pedig, aki megmentettél, líbiai beduin, te mindörökre elhomályosulsz az emlékezetemben.	Người ta có thể chết với hai lít nước sương có lẫn lộn vài chất muối.
Te vagy az Ember, s arcod: minden ember arca.	Tôi sẽ không bao giờ nhớ lại gương mặt anh.
Te vagy a szeretett testvér.	Anh là người anh em thân thích.
AZ EMBEREK	NGƯỜI TA
Most újra olyan valóságot éltem át, amit nem értettem meg egészen.	Một lần nữa tôi tới sát mép một chân lý mà tôi không hiểu được.
És ismerte Guillaumet is a hóviharban.	Guillaumet phiêu bồng trong tuyết giá, cũng thâm cảm nỗi niềm đó.
S én hogyan felejthetném el, amikor tarkómig a homokba temetkezve, s lassan haldokolva a szomjúságtól, csillagtakaróm alatt oly különös melegség áradt el szívemen!...	Làm sao quên được rằng một phen lấp thân trong cát tới tận mang tai, một phen suýt chết vì khát nước, mà còn cảm thấy máu tim ấm cúng êm đềm túc mục đến thế dưới vòm sao vây phủ?
Hogyan segíthetjük elő magunkban ezt a fölszabadulást?	Làm thế nào giúp cho niềm phơi phới nọ có được dịp phi dương?
Mi fog megszületni belőlük?	Kẻ sắp nảy nở là ai?
Mi mást tudunk, ha nem ezt: vannak ismeretlen körülmények, amelyek megtermékenyítenek minket?	Chúng ta biết gì đâu, ngoài cái điều: có những điều kiện khôn hiểu gây mạch đời dào dạt cho chúng ta.
Ha a narancsfák csak ebben a talajban vernek gyökeret és hoznak gyümölcsöt, s nem egy másikban: ez a föld a narancsfák igazsága.	Nếu trong đám đất này chứ không trong đám đất khác, cây cam đâm rễ mạnh và kết trái nhiều, thì đám đất đó là chân lý của cam.
A hivatásnak kétségtelenül fontos szerepe van.	Hẳn là khuynh hướng có đóng một vai trò.
Vannak, akik bezárkóznak üzletükbe.	Có kẻ khép mình trong quán hàng.
Mindnyájan ismertünk kereskedőket, akik egy hajótörés, egy tűzvész éjszakáján váratlanul nagyobbnak mutatkoznak önmaguknál.	Bởi rằng những hưng phấn, hăm hở nói trên, ta có thể tìm nhận thấy ra nơi hầu hết mọi người.
Az elhivatás bizonyosan hozzásegíti az embert a fölszabaduláshoz: de ugyanígy szükséges, hogy fölszabadítsuk - az elhivatást.	Quả thật, khuynh hướng quả có giúp cho con người tự giải thoát: nhưng cũng cần làm sao để giải tỏa cho những khuynh hướng được nảy hột vọt ra.
Azt hiszem, nem térek el tárgyamtól, ha elmondom egy spanyolországi éjszakám történetét, amely ráeszméltetett erre az igazságra.	Tôi không đi xa đề tài, nếu đem kể lại đây một đêm tại Tây Ban Nha đã thức tỉnh cho tôi nhìn vỡ lẽ ra sự vụ nọ.
Nagyon sokat beszéltem egyesekről: hadd beszéljek most névtelen összességről.	Tôi đã nói quá nhiều về một vài kẻ riêng tây, và bây giờ tôi muốn nói về mọi kẻ.
Egy föld alatti fedezékben együtt vacsoráztam ezen az estén egy fiatal kapitánnyal.	Tối hôm đó, tại một cái hầm trú ẩn, tôi dùng bữa với một vị đại úy trẻ.
Az őrmester elment aludni.	Viên đội đã đi ngủ rồi.
Olyan éles a világosság ebben a jól elrejtett fedezékben, ahonnét semmi fény nem szivárog ki, hogy hunyorgok tőle.	Trong căn phòng kín bưng ấy, không một tia sáng lọt ra ngoài, ánh chói gay gắt quá, khiến tôi nháy nheo mãi hai mắt.
Amikor elhúztam a nyílást leplező posztót, szétlőtt házak romjaira láttam a fakó holdvilágban.	Cho tới bây giờ, tôi vẫn còn giữ gìn trong hai mắt cái hình ảnh những pháo đài rờn rợn lục pha lam.
És mikor a posztót ismét helyére húztam, mintha úgy törölném le a hold sugarát, mint egy olajfoltot.	Mấy anh lính này chắc hẳn sẽ đi không mong kỳ hậu hội, nhưng họ làm thinh theo tiết tháo thói nhà.
És most tengerzöld erődök képét őrzöm szememben.	Cuộc tấn công này cũng là theo lẽ hằng nghề nghiệp.
Kétségtelen: ezek a katonák nem fognak visszatérni, mégis hallgatnak, szemérmesen.	Quân mạc tiếu… Người ta thò tay hốt một nắm ở trong cái kho người dự trữ.
Nyugodtan merítünk az emberek készletéből, úgy, ahogyan egy magtárból merítünk.	Người ta đưa tay gieo hột, vãi giống, cho rớt vào đường xẻ ruộng nương, mai sau mọc mạ.
Jobboldalt egy sakkjátszmán vitatkoznak.	Bên phải tôi, người ta lạo xạo đánh cờ.
Egy félig részeg ember lép be.	Tại đây tôi ở chốn nào?
Pillantása a konyakra téved, elfordul, ismét visszasiklik a konyakra, esedezve tapad a kapitányra.	Anh đưa tay ve vuốt chòm râu rậm rì hi hữu, và đưa hai con mắt cợt làn như mơn trớn chúng tôi.
Az ember is mosolyog, reménykedve.	Ấy chiêm bao là mộng.
A kapitány lassan visszahúzza az üveget, az ember tekintete kétségbeesést játszik, gyermeki kötődés alakul ki így, némajátékféle; a sűrű cigarettafüstben, a kurta éjszakai mulatozásban, a közeli támadás árnyékában olyan ez, mint egy álom.	Nhưng còn một khắc nào chậm rãi, thì cứ ở lại nấn ná thong dong nhảy cỡn cho kéo dài tới đâu cơn nhảy thì tới đó nhảy cơn cái vũ khúc mê ly của gã say tình rượu, trút bình nốc chén, thù tạc chiêu đăm.
Így játszunk, megbúvva e hajófenék melegén, pedig odakint mind sűrűbben harsannak a robbanások, akár a tengermoraj.	Và đuổi theo cho tới chỗ kiệt cùng của đuổi theo, cái cuộc cờ kỳ tuyệt trên vạn lý biển dâu.
Ezek az emberek nemsokára kieveznek az izzadság, alkohol, várakozás posványából a háborús éjszaka felségvizeire.	Họ kéo dài ra cái cơn sống cuộc đời nhứt thì thiên tải, được chút nào có thể, thì được chút đó thể hiện ra.
De beállították fejük fölött a polcon az ébresztőórát.	Đại úy sẽ vớ khẩu súng lục trúc mai ái giắt vào mình.
Vaságyán elnyúlva aludt, a fedezék rendetlenségében.	Đến giờ, tôi chứng kiến cơn tỉnh giấc của viên đội.
Így pihent az őrmester is, összegömbölyödve, emberi formájából kivetkőzve; amikor azok, akik ébreszteni jöttek őt, gyertyát gyújtottak, s a gyertyaszálat egy palack nyakába erősítették, ebből a formátlan tömegből nem bukkant elő egyéb, mint két bakancs.	Cũng vậy, viên đội nằm khoanh tròn mà ngủ, không ra dạng hình người, và lúc những kẻ vào gọi anh dậy đã thắp một ngọn nến lên và cắm nó vào một miệng chai, thì thoạt tiên tôi chẳng biện biệt được cái gì ra cái gì đương nhô lên khỏi cái đống lù lù vô dạng, trừ ra đôi giày lính.
A munka szerszámja volt ennek az embernek a lábbelije, s amit testén viselt, minden szerszám volt: tölténytáskák, pisztolyok, bőrszíjak, bajonettszíj.	Anh chàng này mang nơi chân những khí cụ làm việc, và tất cả mọi thứ trên thân anh cũng toàn là khí cụ: bao đạn, súng lục, giây da, nịt lưng.
- Hé!	- Hép!
Úgy kellett kisimítani egyenkint az ujjait.	Thôi đành phải gỡ ngón tay chàng ra vậy.
Ágya szélére ültünk, egyikünk szelíden tarkójára csúsztatta karját, és mosolyogva emelte föl nehéz fejét.	Chúng tôi ngồi lên giường anh, một người nhẹ đưa cánh tay luồn dưới cổ anh và mỉm cười nâng cái đầu nặng như thiên lôi nọ.
Így ébreszti föl az intézetben a vasárnapi harangszó a megbüntetett gyereket.	Như tiếng chuông nhà trường sáng Chủ Nhật chầm chậm đánh thức cậu học trò bị phạt.
- Itt az ideje?	- Tới giờ?
Itt mutatkozik meg az ember.	Thế là nghĩa lý gì?
Az ég világosodott; Mermoz megragadta karomat, olyan erősen, hogy éreztem a körmeit.	Nhưng trời hửng sáng, Mermoz đột ngột chụp lấy cánh tay tôi bóp mạnh đến nỗi nghe cả mấy móng tay anh bấm vào.
Az ég lassan színeződött, már készülődtek az ünnepséghez, de mások ünnepéhez, már fölrakták az abroszt a lakomához, ahová minket nem hívnak meg.	Trời ửng hồng rồi, yến tiệc soạn sửa rồi, nhưng cho ai kia, khăn bàn trải ra rồi cho một lễ hội mà chúng tôi sẽ không làm thực khách tham dự.
Mások játszották meg kockázataikat...	Những kẻ khác đang liều mình…
- És itt milyen piszok van!	"Tại đây sao mà dơ dáng…"
- fejezte be Mermoz.	Mermoz dứt lời.
És téged, őrmester, milyen vendégségbe hívtak meg, ami megérte a halált?	Còn anh, anh đội, yến hội nào anh được mời vào tham dự, rất đáng liều thân?
Érezted: a lényeges egyáltalán nem itt van.	Nhưng đó chưa phải là cái hệ trọng.
Végül megjött a hír: egyik ismerősöd elesett Malagánál.	Cho tới lúc nghe tin một thằng bạn chết, tử trận bên Malaga.
Egyáltalán nem jó barátról volt szó, akit meg akartál volna bosszulni.	Còn như nói về chính trị, thì đó lại là thứ chẳng bao giờ anh quan tâm.
A politika soha nem érdekelt Ez a hír mégis úgy ért, úgy zúdult szűk sorsodra, mint egy tengeri szélroham.	Thế tuy nhiên, cái tin kia lại phóng tới trên mình, trên căn số tủn mủn đời mình, mạnh như trận gió biển.
Egy barátod erősen megnézett ezen a reggelen.	Một thằng bạn nhìn anh sáng nọ:
- Megyünk?	- Đi chứ ta?
- Megyünk.	- Đi chứ.
Bennem fölmerült néhány kép, hogy megmagyarázzam magamnak ezt az igazságot, amelyet nem tudtál szavakkal kifejezni, de amelynek bizonyossága vezérelt.	Và hình ảnh chợt đến để giải thích với tôi cái chân lý mà anh không tìm được lời để diễn tả, nhưng tính cách hiển nhiên của nó đã chi phối lòng anh.
A házi kacsákat mintegy magával vonja a magasban szálló hatalmas ék: esetlenül szökdécselni kezdenek.	Tiếng gọi hoang vu đã đánh thức dậy nơi chúng những tàn tích hoang vu nào chẳng rõ.
A vad hívás, ki tudja, milyen ősi emlékeket támaszt föl bennük.	Và bỗng dưng trong một phút, lũ vịt nhà biến làm chim di thê thiên tẩy.
Az állat nem is sejti, hogy agya elég tág ennyi csodának: de mégis verdes a szárnyával, megveti a magot, megveti a kukacokat, és szeretne vadkacsává változni.	Bắt về nuôi lúc chúng còn bé, chúng vẫn sống được, và đưa mõm gặm nhai tại trong bàn tay người đút.
Mégis elélnek így, ha fiatalon esnek fogságba, és szívesen esznek az ember kezéből.	Một sức nam châm đang hút linh hồn óng ả của linh dương.
Hagyják, hogy simogassa őket, nedves orrukat tenyerébe nyomják.	Chúng không biết rằng chúng trốn tránh con người ta.
S ha nem lépsz közbe, ott maradnak, meg se kísérelve a harcot az akadállyal, egyszerűen csak nekifeszülve, apró szarvukkal, leszegett fejjel - ott maradnak, míg belepusztulnak.	Phải chăng mùa yêu đương náo động, phải chăng tuần ân ái than van, hoặc phải chăng chỉ là khát vọng thiết tha một cuộc nhảy tung trời khiêu dược cho phí sức ngất hơi?
A szerelem ideje ez?	Linh dương không rõ.
Gazellák akarnak lenni, és táncolni akarják a gazellák táncát.	Các cô muốn trở thành linh dương và nhảy múa theo tiết nhịp linh dương.
Mit számít az oroszlán, ha a gazellák igazsága az, hogy egy karmos csapástól fölhasítva nyúljanak el a napon!	Sá gì sư tử kim mao, nếu chân lý của linh dương là được quyền nhập vào cơn nắng mặt trời để vỡ tan hình hài trong móng nhọn!
És nekünk, nekünk vajon mi hiányzik?	Còn chúng ta, chúng ta đang thiếu thốn cái gì?
"Eh!	"Ê!
Ugyanezt a közösséget éreztük akkor, amikor páros gépekkel repültük át a még leigázatlan Rio de Orót.	Chúng tôi có biết niềm hảo hợp đó, lúc chúng tôi bay từng đội hai phi cơ vượt qua miền Rio de Oro thuở đó còn chưa quy thuận.
Soha nem hallottam, hogy a hajótörött köszönetet mondott volna megmentőjének.	Tôi không một lần nào nghe thấy kẻ lâm nạn cảm tạ người giải nguy.
"Nyavalyás, te vagy az oka, hogy kényszerleszállást kellett végeznem, mert mindig kétezer méter magasan rohansz, mint egy őrült!	Và đứa kia đã liều thân phụng hiến, lại một phen thấy xấu hổ nhận ra mình làm một cái thứ "toi đâm" hoặc "lồi hang" chi đó.
Ezekben a pillanatokban a közösségnek olyan érzése fog el benneteket, amelynek nincs szüksége szavakra.	Trong phút giây đó, người ta nhận ra cái niềm hảo hợp kia không cần lời phô diễn nữa.
Lehet: Barcelonában szegény voltál, és munkád elvégzése után magányos is, talán nem akadt menedék sem, ahol meghúzhattad volna magad - de itt egyszerre úgy érezted, életed beteljesül, visszatalálsz a nagy közösségbe - ölére fogadott téged, a páriát, ölére fogadott a szeretet.	Nếu ở Barcelone anh đã nghèo nàn, cô đơn sau buổi làm công việc, nếu ngay cả tấm thân anh cũng không nơi lưu trú, thì tại đây anh cảm thấy mình đang thành tựu nghiệp mình, mình đang đi vào cõi của xứ miền bất tuyệt đại hòa đồng.
Nem érdekel, őszinték, logikusak voltak-e azok a nagy szavak, amelyeket a politikusok talán lelkedbe hintettek.	Anh, con người bị ruồng bỏ, bây giờ anh được đón nhận bởi tình thương.
A bíró itt egyedül te vagy.	Riêng anh là quan tòa xét đoán.
Csak akkor lélegzünk szabadon, ha egy rajtunk kívül álló közös cél köt össze testvéreinkkel; ilyenkor ráeszmélünk, hogy szeretni nem annyit jelent, mint egymás szemébe nézni, hanem azt jelenti: együtt nézni ugyanabba az irányba!	Liên kết các anh em bởi một mục đích chung nằm ngoài vòng chúng ta, chỉ khi đó chúng ta mới đề huề hô hấp, và kinh nghiệm cho ta thấy rằng yêu thương không phải là nhìn qua ngó lại nhau, mà ấy là cùng nhìn ngó chung về một hướng.
Bajtársak csak akkor vannak, ha ugyanegy közösségben haladnak ugyanegy csúcs felé, ahol egymásra találnak.	Chỉ thật là bạn hữu lúc cùng liên kết trong một đoạn dây leo núi, hướng lên một chóp, tại đó bồ bịch lại trùng phùng.
Ha nem így van, miért fog el olyan áradó öröm, még a kényelem századában is, mikor a sivatagban megosztjuk egymással utolsó falat élelmünket?	Nếu không thì tại sao ngay giữa thế kỷ tiện nghi an lạc này, chúng ta lại cảm thấy một niềm vui viên mãn đến thế, lúc chia nhau những thức ăn cuối cùng trong sa mạc?
Akik átélték közülünk a szaharai kényszerleszállások után a megszabadulást, azoknak minden más öröm hiábavalónak tűnik.	Đối với tất cả những ai trong chúng tôi đã từng biết niềm vui tót vời của những lần cứu nạn trong Sahara, mọi khoái lạc đều tủn mủn tầm phào.
Ha valaki azt mondta volna Mermoznak, amikor leszállott az Andesek chilei lejtőjén, szívében a győzelemmel: csalás az egész, egy kereskedő levele nem éri meg élete kockáztatását - Mermoz szemébe nevetett volna.	Lúc Mermoz phóng phi cơ tới triền núi Andes thuộc địa phận Chili, mang niềm tin thắng cuộc trong lòng, nếu ta bảo anh rằng anh lầm to, rằng một lá thư của một người buôn bán có lẽ không đáng để anh liều thân như thế, thì Mermoz ắt hẳn đã cười anh.
Az igazság az az ember, aki megszületett benne, amikor átkelt az Andeseken.	Chân lý, ấy là cái con người đang nảy nở ở trong anh, lúc anh vượt dãy Andes.
Ha a háború borzalmasságáról akarsz meggyőzni valakit, aki nem utasítja el magától a háború gondolatát, ne nevezd barbárnak: próbáld megérteni, mielőtt megítéled.	Nếu anh muốn chứng minh cho thấy thảm khốc ghê tởm của chiến tranh, với một kẻ không từ chối chiến tranh, anh đừng coi họ là dã man, tìm hiểu họ trước khi phê phán họ.
Gondold meg annak a délvidéki kapitánynak az esetét, aki a riffkabil háborúban két, ellenségtől megszállott hegység között egy előretolt állomáshely parancsnoka volt.	Ta thử gẫm chuyện vị sĩ quan chỉ huy một đồn binh tiền tuyến trong buổi chiến tranh tại Rif, đồn binh đó nằm ép giữa hai ngọn núi địch.
Teáztak, ahogyan illik, amikor fegyverropogás harsant.	Đang uống trà với nhau thì súng nổ.
A keleti hegység törzsei támadást intéztek az állomás ellen.	Quân địch dãy núi phía Đông tới đánh đồn.
Isten nem engedi meg, hogy elhagyjunk..." Katonáihoz csatlakoztak, megmentették az állomást, azután visszakapaszkodtak sasfészkükbe.	Thế là họ nhập vào hàng ngũ thuộc hạ của ông, giải thoát đồn ông, rồi leo trở về sào huyệt chơi vơi như tổ ó đầu non của họ.
- Tegnap este segítséget adtunk neked...	- Tối hôm trước, chúng tôi có giúp ngài…
- Igen...	- Chính thế.
- Háromszáz golyót ellőttünk érted...	- Chúng tôi đã bắn ba trăm viên đạn…
- Úgy van...	- Chính thế.
- Illenék, hogy visszaadd.	- Phát hoàn số đạn ấy lại chúng tôi, là phải lẽ.
Amikor az, ki ismeri ezeknek a kapcsolatoknak a méltóságát, a játéknak ezt a nemességét, az egész életre kötelező kölcsönös megbecsülést: összehasonlítja ezt a fölemelkedést, amelyben részesülhetett, a demagóg középszerű nagylelkűségével - ki ugyanezeknek az araboknak barátságos vállveregetéssel hozta volna tudomására, hogy testvérüknek érzi őket, s egyszerre hízelgett volna nekik, és megalázta volna őket -, az az ember, ha ellenvetéseket teszel, csak kissé fitymáló sajnálkozást érez irántad.	Khi một kẻ nọ vốn biết giữ gìn phong thể trung chính trong giao tế, trung thực đàng hoàng trong cuộc chơi, trung tín trong quý chuộng nhau can tràng tâm phúc "một lời đã biết đến ta", khi kẻ đó gẫm tới cái cõi cao thượng trong bầu không khí mình được "phép" hoạt du, và gẫm ra cái miền lai rai tử tế của kẻ gian dối mỵ dân nếu gặp dịp thì ắt cũng đã tỏ tình tương giao huynh đệ với cũng chính mấy ông Ả Rập này bằng những vỗ vai bá cổ, cũng ắt đã nịnh nọt họ và đồng thời làm nhục nhã họ (toujours amicalement, bien entendu!
Igen, neked igazad van.	Vâng, các anh có lý.
Az embereket föloszthatjuk jobboldaliakra és baloldaliakra, púposakra és nem púposokra, fasisztákra és demokratákra, és ezek a fölosztások megdönthetetlenek.	Nhưng, bạn cũng biết đó, chân lý là cái gì dung-dị-hóa cảnh đời, chớ đâu phải là cái gì tạo lập cõi hỗn độn nhà ma.
Az igazság azonban, jól tudjuk, nem zűrzavart teremt, hanem egyszerűvé teszi a világot.	Chân lý, đó là cái ngôn ngữ giải khai phơi mở cái phổ cập hòa đồng.
Az igazság a világ megismerésének nyelve.	Newton đã thực hiện một công trình sáng tạo.
Olyan emberi nyelvet alkotott, amelyen éppúgy ki lehet fejezni egy alma lehullását egy kertben, mint a nap emelkedését.	Chân lý, không phải là cái gì có thể minh giải, chân lý là cái gì giản dị hóa cho mê cung.
Különösen ha látjuk, hogy az embereknek körülöttünk s mindenütt ugyanarra van szükségük.	Trong khi đó thì con người, khắp nơi, quanh ta, vẫn bày tỏ những nhu cầu giống nhau như hệt.
Aki csákánycsapást végez, értelmet akar látni ebben a csákánycsapásban.	Kẻ đào một nhát cuốc muốn biết nhát cuốc có một ý nghĩa nào.
És a fegyenc csákánycsapása, mely megalázza a fegyencet, lényegesen különbözik a mérnök csákánycsapásától, amely fölemeli a mérnököt.	Và nhát cuốc của kẻ tội đồ, đương làm nhục nhã tội đồ, không giống nhát cuốc của người khai mỏ, đang làm lớn rộng tinh thần người khai mỏ.
S a fegyencek telepe nem ott van, ahol a csákánnyal dolgoznak.	Ngục tù áp bức không nằm trong cái việc đào nhát cuốc.
És mi meg akarunk szökni a fegyházból.	Và chúng ta muốn thoát ra khỏi ao tù.
Azt hitték, ahhoz, hogy fölemeljék, elég fölruházni, tisztességesen táplálni őket, kielégíteni minden szükségletüket.	Người ta tưởng, muốn nâng cao đời sống của họ, chỉ cần ban áo quần, cấp lương thực, đáp ứng lại những nhu cầu của họ.
Silány fogalma van annak a műveltségről, aki azt hiszi, hogy a műveltség lényege a képletekre való emlékezés.	Cái kẻ tưởng rằng văn hóa là miệt mài nhớ nhiều công thức, kẻ đó quan niệm văn hóa một cách thật là ngậm ngùi thiểu não.
