Dávid Copperfield	David Copperfield
Alusznak a falucska ősapái,"40	Tổ tiên thôn xóm ngủ yên ngàn đời
– emez egyszerű felírattal:	Với cái mộ chí mộc mạc dưới đây:
MICAWBER WILKINS."	"Uynkin Micôbơ"
ÖTÖDIK FEJEZET.	Chương L
Peggotty úr álma teljesül.	GIẤC MƠ CỦA ÔNG PÉCGÔTI ĐƯỢC THỰC HIỆN
Ez időtájt néhány hónapja volt már annak, hogy Mártával a folyóparton beszélgettünk.	Vài tháng đã trôi qua từ ngày chúng tôi gặp Mácta trên bờ sông.
Azóta nem láttam Mártát; de Peggotty úrral több ízben érintkezett.	Từ hôm ấy tôi không bao giờ gặp lại chị, nhưng chị đã liên lạc nhiều lần với ông Pécgôti.
Szorgos kutatása eredménytelen maradt; s a mit Peggotty úr mondott, abból sem következtethettem arra, hogy sikerült volna valami útbaigazítást nyernie arra vonatkozólag, mi történt Emmivel.	Sự giúp đỡ tận tình của Mácta không đưa đến kết quả gì; và theo lời ông nói với tôi, tôi không thể kết luận rằng chúng tôi đã nhận được một dấu hiệu nào giúp chúng tôi biết về số phận Emili.
Mi tagadás, én már kezdtem lemondani arról a reményről, hogy Emminek valamikor nyomába jutunk; s lassacskán mindinkább megerősödött bennem az a hit, hogy Emmi már nem él.	Thú thực, tôi đã bắt đầu không còn hy vọng tìm thấy nàng và ngày càng tin rằng nàng đã chết.
De Peggotty úr meggyőződése változatlan maradt.	Nhưng lòng tin của ông Pécgôti vẫn không hề thay đổi.
A mennyire én tudom, – s azt hiszem, hogy becsületes lelkében mindig tisztán olvashattam, – Peggotty úr soha meg nem ingott amaz ünnepélyes bizonyosságában, hogy előbb-utóbb megtalálja majd Emmit.	Theo như tôi biết (tôi tin rằng con tim trung thực của ông không có điều gì bí mật đối với tôi) bao giờ ông cũng tin chắc sẽ gặp lại nàng.
Nem tétlen megnyugvás volt a bizodalma, a mely a reményből táplálkozott és egyebet nem is művelt.	Ông không phải hạng người chỉ tin một cách thụ động, chỉ biết hy vọng chứ không làm gì hết.
Világéletében az elszánt cselekvés embere volt, és tudta, hogy ő neki magának is ki kell vennie becsületesen a részét minden olyan munkából is, a miben másnak a segítségére szorult.	Suốt đời, ông là con người hành động kiên quyết và ông thừa biết trong mọi việc muốn người ta giúp đỡ mình thì mình phải làm bổn phận mình đến nơi đến chốn và tự giúp lấy mình.
Tudtam, hogy egyszer éjszaka, mikor az az aggodalom szállta meg, hogy valami véletlen folytán nem tették ki a gyertyát a régi bárkaház ablakába, fölkerekedett és elgyalogolt Yarmouthba.	Tôi đã thấy ông đang đêm ra đi, sợ rằng vì một điều rủi ro nào đó ngọn nến không được thắp ở cửa sổ của chiếc tàu cũ kỹ, và ông đi chân đến Yácmao.
Tudtam, hogy mikor egyszer olyasvalamit olvasott az ujságban, a mi esetleg Emmire vonatkozhatott, nyomban felkapta a botját és megtett hatvan-nyolczvan angol mérföldnyi utat a hír nyomán.	Tôi đã thấy sau khi đọc trên tờ báo một tin gì đó có thể liên quan tới Emili ông liền cầm ngay gậy và đi du lịch sáu mươi hay tám mươi dặm.
Elment hajón oda-vissza Nápolyba, miután értesűlt arról, a mit én Dartle kisasszony közvetítésével megtudtam.	Ông đến náp rồi trở về theo đường biển sau khi nghe câu chuyện cô Đáctơn đã sai Litimơ nói cho tôi nghe.
Bármerre bolyongott, megtagadott magától minden kényelmet, mert rendíthetetlenűl állta azt az elhatározását, hogy Emmi számára takarékoskodik, ha valamikor megtalálja.	Tất cả những cuộc du lịch của ông được thực hiện trong những điều kiện gian khổ, bởi vì bao giờ ông cũng kiên quyết muốn tiết kiệm để dành tiền cho Emili khi ông gặp lại nàng.
Minde hosszú idő alatt sohasem hallottam egy panasz-szavát; sohasem hallottam tőle, hogy fáradt vagy csüggeteg.	Trong suốt thời gian tìm kiếm lâu dài này, không bao giờ tôi nghe ông than phiền, không bao giờ tôi nghe ông nói rằng ông mệt mỏi hay chán nản.
Dóra, mióta a feleségem volt, gyakran látta Peggotty urat és nagyon megszerette.	Đôra đã nhiều lần thấy ông từ dạo đám cưới của chúng tôi, và nàng rất quý mến ông.
Szinte magam előtt látom most is, a mint ott áll Dóra pamlagja mellett, kezében tartva durva föveget, s gyerekasszonykám félénk kíváncsisággal ráemeli kék szemét.	Ngay lúc này tôi còn hình dung dáng người của ông đứng cạnh cái xô-pha, tay cầm chiếc mũ sần sùi và đôi mắt xanh biếc của người vợ bé bỏng của tôi thẹn thùng, kính phục ngước lên nhìn gương mặt ông.
Egy este, ilyen időtájban, közölte velem, hogy Márta a mult este szállása közelében várakozott rá, a míg el nem ment hazulról, és arra kérte őt, hogy semmi szín alatt el ne távozzék Londonból addig, a míg újra nem találkozik vele.	Một buổi chiều vào giờ ấy, ông bảo tôi rằng ông đã thấy Mácta ngồi đợi gần nhà ông hôm qua khi ông đi ra và chị yêu cầu ông nhất thiết đừng rời khỏi Luân-đôn trước khi gặp lại chị.
– kérdeztem.	"Chị có nói tại sao không?"
– Kérdezgettem tőle, Davy úrfi, – felelt Peggotty úr, – de egy-két szóná többet sose beszél, oszt most is csak megigértette velem, hogy nem megyek sehová, oszt eetávozott.	"Cậu Đêvi ạ, tôi đã hỏi chị", ông đáp "nhưng bao giờ chị ta cũng chỉ nói với tôi vài lời và ngay sau khi tôi đã hứa, chị liền đi ngay".
– Megmondta, hogy körülbelül mikor fogja megint fölkeresni?	"Chị có bảo ông khi nào ông có thể gặp lại chị không?" tôi hỏi.
– kérdeztem.	"Không?
– Nem, Davy úrfi, – felelt Peggotty úr, miközben elgondolkozva végigsimította arczát a kezével.	Cậu Đêvi ạ" ông đáp giơ tay lên mặt có vẻ tư lự.
– Ezt is kérdeztem tőle; de aszonta, hogy ezt egyelőre meg nem mondhattya.	"Tôi cũng có hỏi thế; nhưng chị bảo chị cũng không biết gì hơn".
Mivel régen föltettem már magamban, hogy nem biztatom oly reményekkel, a melyek egy-egy hajszálon függtek csupán, azt a megjegyzést tettem csak szavaira, hogy azt hiszem, Márta nemsokára fölkeresi majd.	Vì từ lâu tôi đã tránh không khuyến khích ông bằng cách đưa ra những hy vọng chỉ treo trên sợi tóc, nên nghe tin ấy, tôi chỉ có thể bàn với ông rằng tôi cho chẳng bao lâu nữa ông sẽ gặp Mácta.
Azokat a sejtelmeket, a melyeket szavai bennem támasztottak, magamnak tartottam, s egyébként magamat is igen halvány reménynyel mertem csak biztatgatni.	Về phần tôi, tôi giữ kín những suy nghĩ chị làm nảy sinh trong óc tôi và những suy nghĩ ấy cũng khá mơ hồ.
Körülbelül két hét mulva egy este egyedül sétáltam a kertben.	Khoảng hai tuần sau, vào một buổi chiều tôi thơ thẩn một mình trong vườn.
Nagyon jól emlékszem erre az estére.	Tôi còn nhớ rõ chiều hôm ấy.
A második nap estéje volt azon a héten, a melyet Micawber úr kikötött.	Đó là buổi chiều thứ hai trong cái tuần lễ chờ đợi như ông Micôbơ đã hẹn.
Egész nap esett, s a levegő párával volt tele.	Suốt ngày hôm ấy trời mưa và không khí ẩm ướt.
A fák sűrű lombja megereszkedett a nedvességtől; de az eső elállt, bár az ég borús volt még, s a reménykedő madarak vígan csicseregtek.	Trên cây, lá um tùm và sũng nước; nhưng mưa đã ngớt và mặc dầu bầu trời còn tối, những con chim vui vẻ đang hót líu lo.
Mialatt ide-oda járkáltam a kertben, s egyre nagyobb lett körültem a homály, a csicsergés lassacskán elpihent; s az a sajátságos némaság lett úrrá a természeten, a mely úgy hozzáillik az ilyen falusi estékhez, mikor a legzsengébb fácska is mozdulatlan, csak hébe-korba perdül le a galyakról egy-egy nehéz esőcsepp.	Trong khi đi bách bộ ngoài vườn và hoàng hôn bắt đầu bao quanh tôi, những tiếng thỏ thẻ của chim bỗng im bặt và một cảnh im lặng đặc biệt bắt đầu, cảnh im lặng dành riêng cho những buổi chiều như thế này ở thôn quê, trong đó những cây mảnh dẻ nhất cũng im phăng phắc thỉnh thoảng chỉ còn những giọt mưa lách tách từ trên cành cây rơi xuống đất.
Hevesen hajlongott és integetett felém.	Người ấy đang vội vã cúi đầu đi về phía tôi và vẫy tay gọi tôi.
– Peggotty úrnál voltam, de nincs otthon.	"Tôi đến nhà ông Pécgôti nhưng ông ta không ở nhà.
Fölírtam, hová jöjjön, s tulajdon kezemmel letettem az írást az asztalára.	Tôi đã viết trên một tờ giấy dặn ông phải đến đâu và tự tay tôi đã để trên bàn.
Velem jöhet rögtön?	Ông có thể đến ngay không?".
Válasz helyett nyomban kisiettem a kapun.	Cách trả lời của tôi là bước ngay ra khỏi cổng vườn.
Heves mozdulatot tett a kezével, mintha arra akarna kérni, hogy legyek türelemmel és ne beszéljek, s azután megindult London felé, a honnan, mint ruhájáról láttam, gyalog sietett idáig.	Chị giơ tay ra hiệu nhanh nhẹn như muốn bảo tôi hãy kiên nhẫn và im lặng quay về phía Luân-đôn; áo quần chị chứng tỏ chị vội vã đi chân từ đó đến.
Megkérdeztem, Londonba megyünk-e?	Tôi hỏi chị có phải đến đó không.
S mikor igen-t intett ugyanolyan heves kézmozdulattal, mint az előbb, megállítottam egy arra robogó üres kocsit, és kocsira ültem vele.	Chị gật đầu cũng với cái cử chỉ vội vàng như hồi nãy và tôi liền gọi một chiếc xe ngựa vắng khách đi qua đây, rồi chúng tôi lên xe.
– azután behúzódott az egyik sarokba, az egyik remegő kezét az arcza elé tartva, a másikkal pedig ismételve az előbbi mozdulatot, mintha nem bírná elviselni az emberi hangot.	Rồi chị thu mình vào một góc, đặt một bàn tay run rẩy lên mặt, trong khi bàn tay kia vẫn lặp lại cử chỉ ấy như muốn nói chị không thể nghe một lời nói nào.
Rendkívül izgatottan, miközben remény és félelem viaskodott lelkemben, ránéztem most, mintegy magyarázatot kívánva tőle.	Lúc này tôi phân vân và hoang mang bởi những luồng ánh sáng trái ngược vừa hy vọng vừa lo sợ nên tôi nhìn chị chờ đợi một lời giải thích.
De mikor láttam, mennyire kívánkozik a nyugalom után, s éreztem, hogy ilyenkor magam is természetszerűen nyugalom után szoktam vágyódni, meg se próbáltam megszakítani a hallgatást.	Nhưng thấy chị rất muốn ngồi yên và hiểu rằng lúc này xu hướng tự nhiên của tôi cũng thế nên tôi không tìm cách phá vỡ sự im lặng.
Tovább robogtunk, a nélkül, hogy egy szót váltottunk volna egymással.	Chúng tôi tiếp tục đi, không nói một lời.
Márta olykor-olykor kitekintett az ablakon, mintha azt gondolná, hogy lassan haladunk, bárha valóban gyorsan vágtattunk; de egyébként mindvégig úgy ült a kocsiban, mint eleinte.	Đôi khi chỉ liếc mắt nhìn ra ngoài cửa sổ, như cho rằng xe chúng tôi đi quá chậm, tuy thực ra xe chúng tôi đi nhanh; nhưng ngoài điều đó ra, chị vẫn ngồi im lặng như trước.
Leszálltunk az említett Square egyik torkolatánál, a hol megparancsoltam a kocsisnak, hogy várakozzék, mert nem tudtam, vajon nem lesz-e talán szükségünk rá.	Chúng tôi dừng xe ở một lối vào quảng trường như chị dặn, và tôi bảo người đánh xe đợi chúng tôi ở đây bởi vì tôi không biết có cần anh ta không.
Belépve egy ilyen ház nyitott kapuján, Márta eleresztette a karomat, s intett, hogy kövessem őt föl a közös lépcsőn, a mely olyan volt, mintha valamely mellékcsatornája lett volna az utczának.	Bước vào một cửa mở rộng của một ngôi nhà này, chị buông tay tôi, ra hiệu cho tôi đi theo lên một cầu thang chung trông như một con đường phụ dẫn ra đường phố.
A ház zsúfolásig tele volt lakókkal.	Ngôi nhà nhan nhản những người.
Miközben fölfelé mentünk, egymásután nyíltak a szobaajtók s ki-kidugták az emberek a fejöket; másokkal meg a lépcsőn találkoztunk, a kik lefelé tartottak.	Khi chúng tôi bước lên, các cửa phòng mở ra, người ta thò đầu ra ngoài và trên cầu thang gác chúng tôi gặp những người khác đang bước xuống.
Mikor még mielőtt beléptünk a házba, kívülről fölpillantottam a magasba, egy csomó asszonyt és gyereket láttam kihajolni az ablakokból a virágcserepek fölött; s úgy látszott, hogy fölkeltettük a kíváncsiságukat, mert nagyobbrészt ugyanezek voltak azok is, a kik az ajtókon kikukucskáltak.	Đứng ngoài ngước mắt nhìn lên trước khi bước vào, tôi đã thấy đàn bà và con trẻ thò đầu ra ngoài cửa sổ qua những chậu hoa.
Széles, rakott lépcsőzet volt, tömör, sötét fából való karfával; az ajtók fölött faragott ékű gyümölcs- és virág-párkánydísz volt, s az ablakokban tágas fülkék voltak.	Cầu thang rộng bằng gỗ ghép và có những tay vịn to tướng làm bằng gỗ màu đen với cái hiên bụng rắn trên những cánh cửa chạm hình hoa và quả; và những chỗ ngồi rộng rãi ở cửa sổ.
De a régi dicsőségnek minde nyoma siralmas romlás és piszok martaléka volt; rothadás, penész és vénség emésztette a padlózatot, a mely több helyütt szúrágta, sőt itt-ott már veszedelmesen rongált is volt.	Nhưng tất cả những dấu hiệu này của một thời oanh liệt đã qua đều trở thành nhơ bẩn và tả tơi; tình trạng ẩm uớt, thối rữa và già nua đã làm cho cái sàn yếu đi và nhiều nơi đã hư hỏng và thậm chí nguy hiểm.
Észrevettem, hogy megpróbálkoztak azzal is, nem lehetne-e új vért önteni a sorvadó testbe, s kifoltozták itt-ott közönséges deszkával a drága, ódon famunkát; de ez olyanforma volt, mint valamely züllött régi nemes házassága a köznép szegény leányával, a mikor az össze nem illő pár mindkét fele riadozik egymástól.	Tôi nhận thấy người ta cố gắng tiêm một giòng máu mới vào cái xác đang tàn lụi bằng cách lấy gỗ tạp vá lại nham nhở những chỗ chạm trổ đắt tiền ngày trước nhưng cảnh tượng này cũng giống như một người quý tộc già sa sút lấy cô gái nghèo bình dân, và trong cuộc hôn nhân không cân đối này người nào cũng lẩn tránh người kia.
A lépcsőzet hátsó ablakai közül a legtöbb el volt födve vagy egészen befalazva.	Nhiều cửa sổ cầu thang nhìn ra sân đã bị đóng hay bị bịt.
Fölmentünk a ház legfelső emeletére.	Chúng tôi lên tận tầng cuối.
Útközben két vagy három ízben azt gondoltam, mintha a félhomályban egy előttünk fölfelé siető női alak ruháját vettem volna észre.	Đã hai ba lần, dưới ánh sáng mập mờ tôi có cảm tưởng nhìn thấy váy của một người đàn bà đang đi lên trước mặt chúng tôi.
Mikor fordultunk, hogy nekiinduljunk a padlásra vezető utolsó lépcsőrésznek, tisztán láttuk az egész alakot, a mint egy pillanatra megállt egy ajtó előtt.	Khi chúng tôi quay lại để đi đoạn cầu thang cuối cùng chia cách chúng tôi với mái nhà, chúng tôi thấy rõ ràng người lạ mặt kia dừng một lát trước cánh cửa.
– szólt Márta suttogva.	"Ai nhỉ?" Mácta thì thầm.
Én megismertem.	Nhưng tôi biết.
Nagy elképedésemre ráismertem benne Dartle kisasszonyra.	Tôi hoảng hốt nhận ra đó là cô Đáctơn.
Pár szóval olyasvalamit mondtam a vezetőmnek, hogy a hölgy egy úrinő, a kit a régi időből ismerek; s alig mondtam ezt, kihallatszott a hangja a szobából, bár onnan, a hol álltunk, nem értettük meg, mit beszél.	Tôi nói vài lời với người dẫn đường rằng đó là một người đàn bà tôi đã gặp; và vừa nói xong thì chúng tôi nghe tiếng nói của cô ta trong phòng nhưng ở chỗ chúng tôi đứng chúng tôi không biết cô ta nói gì.
Itt megálltunk, lelkendezve a gyors lépcsőjárástól, s Márta óvatosan ajkamra illesztette a kezét.	Chúng tôi dừng lại ở đây thở hổn hển vì cứ bước lên mãi, và chị khẽ giơ tay lên môi tôi.
A túlsó szobából csak annyit láthattam, hogy meglehetősen tágas szoba, egy ágy van benne, s néhány hajót ábrázoló közönséges kép lóg a falán.	Từ cửa căn phòng này tôi chỉ có thể thấy rằng căn phòng kia khá rộng, trong phòng có một cái giường và ở trên tường có vài bức tranh tầm thường miêu tả những chiếc tàu.
Nem láthattam sem Dartle kisasszonyt, sem azt a személyt, a kihez beszélni hallottuk.	Tôi không thấy cô Đáctơn, cũng không thấy con người mà chúng tôi đã nghe cô ta hỏi.
Bizonyos, hogy a társam sem láthatta, mert az én helyem volt a jobbik hely.	Người đứng bên cạnh tôi chắc hẳn cũng không thấy họ, bởi vì tôi đứng vào vị trí thuận tiện nhất.
Márta egyik kezét ajkamon nyugtatta, s a másikat hallgatózva fölemelte.	"Tôi không cần biết chị ấy có ở nhà không" Rôda Đactơn nói giọng khinh khỉnh.
– felelt egy szelid hang.	Nghe giọng nói, người tôi run lên.
E hang hallatára remegés fogott el.	Đó là giọng của Emili.
Mert Emmi hangja volt!	Cô Đactơn đáp:
Micsoda?	Thế nào?
Nem szégyenli azt az arczot, a mely oly sok bajt okozott?	Cô không xấu hổ về cái mặt đã làm bao nhiêu việc xấu xa như thế sao?"
Hangjának határozott, engesztelhetetlen gyűlölete, hideg, szigorú élessége és elfojtott dühe, úgy elém varázsolták Dartle Rózát, mintha magam előtt láttam volna őt a világosságban.	Thái độ tàn nhẫn và căm thù vô tận trong giọng nói, cái giọng nghiêm khắc lạnh lùng và nỗi giận dữ vẫn kìm hãm đã làm cho cô hiện ra trước mắt tôi cũng rõ ràng như tôi thấy cô đứng giữa ánh sáng.
Láttam a lobogó, fekete szemet s a szenvedély-emésztette alakot; s láttam a sebhelyet, a melynek fehér vonala remegve, lüktetve metszette keresztül ajkait, miközben beszélt.	Tôi thấy đôi mắt đen sáng quắc và cái vóc người bị dục vọng tàn phá; tôi thấy vết sẹo với cái vệt trắng chạy ngang qua môi đang run giần giật khi cô nói.
Kíváncsi voltam rá, miféle teremtés az ilyen.	Tôi muốn biết cái của nợ như thế giống cái gì".
Majd csend támadt egy pillanatig.	Sau tiếng sột soạt ấy lại đến một phút im lặng.
– Itt marad!	"Đứng đây!
– szólt, – vagy telekiabálom a nevével a házat és az egész utczát!	Không tao sẽ tố cáo mày với tất cả mọi người trong nhà và tất cả hang phố!
Ha szökni próbál előlem, föltartóztatom a hajánál fogva is, és magára úszítom a köveket is!	Nếu mày tìm cách chạy trốn khỏi tay tao thì tao giữ mày lại, nếu không túm lấy tóc thì sẽ vác cả đá choảng mày."
Ijedt suttogás volt csak a válasz Dartle kisasszony fenyegetésére.	Tiếng thì thầm sợ hãi là câu trả lời duy nhất vẳng tới tai tôi.
Majd ismét csend támadt.	Một phút im lặng tiếp theo.
Nem tudtam, mitévő legyek.	Tôi không biết nên làm gì.
De hát mikor jön már?	Tôi suy nghĩ băn khoăn.
– gondoltam magamban türelmetlenűl.	Cô Rôda Đactơn cười khinh miệt:
– Így ni!	"À ra thế!
– Óh, az Isten szerelméért, legyen kíméletes!	Vì tình yêu của Chúa xin bà tha cho tôi!" Emili kêu lên.
– Hát mit gondol, mi az, a mi közös bennünk?	"Thử hỏi giữa tao với mày có cái gì giống nhau nào?".
– Semmi más, csak a nemünk, – szólt Emmi, zokogásba törve ki.	"Chỉ có một điều chúng ta đều là đàn bà," Emili nói và òa lên khóc.
– Ez pedig, – szólt Dartle Róza, – oly hatalmas közösség, főleg mikor ilyen becstelen személy hivatkozik rá, hogyha más érzés is volna még a keblemben azon kívül, hogy megvetem és utálom magát, ez a hivatkozás megdermesztené.	"Đồ hèn hạ như mày mà dám mở mồm nói như vậy, nếu lòng tao không khinh bỉ và ghê tởm mày thì riêng những lời ấy cũng đủ làm cho tê lạnh.
Valóban díszére válik nemünknek!	Mày làm vinh dự cho đàn bà lắm!".
Édes, jó asszonyom, gondolja meg, mennyit szenvedtem és milyen mélyre sülyedtem!	Thưa bà, xin bà nghĩ đến những điều tôi đã chịu đựng và cảnh ngộ thấp hèn tôi đã rơi xuống.
Óh, édes otthonom, óh, édes otthonom!	Quê hương của tôi!"
Dartle kisasszony leült egy székre, úgy, hogy láthattam őt az ajtó mögül, s a földre nézett, mintha Emmi leroskadt volna eléje.	Từ cánh cửa nhìn vào có thể thấy cô Đactơn ngồi trên ghế đang cúi xuống nhìn, hình như Emili đang nằm dưới đất trước mặt cô.
Most, hogy odakerült közém és a lámpa közé, tisztán láthattam vonagló ajkát s kegyetlen tekintetét, a melyet mohó diadalérzettel merően egy pontra függesztett.	Vì cô ở giữa ánh đèn và tôi nên tôi có thể thấy môi cô nhếch lên và đôi mắt tàn nhẫn nhìn vào một chỗ duy nhất với cái vẻ đắc thắng tàn nhẫn.
– Figyeljen arra, a mit mondok!	Cô Đactơn nói:
– szólt Dartle kisasszony; – s tartogassa álnok mesterkedését a bolondjai számára.	"Mày hãy nghe tao nói đây!, và hãy dành những mánh khóe lừa dối của mày cho những đứa bị mày lừa dối.
Azt hiszi, hogy megindíthat engem a könnyeivel?	Mày tưởng có thể dùng nước mắt làm tao cảm động sao?
Épp oly kevéssé, a hogy’ meg nem igézhetne a mosolyával, maga megvásárolt rabszolganő.	Không ăn thua đâu, mà mày cũng không thể dùng nụ cười của mày làm tao mê mẩn, đồ đĩ!"
– Óh, irgalmazzon!	"Ôi chao!
– Óh, nincs nap, nincs éjszaka, a mikor nem arra gondolok!	Và đúng ngay lúc đó tôi thấy nàng.
– kiáltott Emmi; s most tisztán láthattam őt is, a mint térden állva hátra vetette a fejét, sápadt arczát égnek emelte, vadúl tördelte kinyújtott kezét, s lebomlott haja végig omlott alakján.	Nàng quỳ xuống, đầu ngửa về phía sau gương mặt tái nhợt ngước lên, hai tay chắp lại và giơ ra, tóc rũ rượi.
Óh, édes otthonom, édes otthonom!	Người cậu thân yêu của tôi!
Nincs számomra e földön, nincs, nincs vígasztalás, mert mindig gyöngéden szerettek engem valamennyien!	Trên đời này, giá không ai yêu quý tôi, mà chỉ trách móc tôi thì tôi còn cảm thấy niềm an ủi.
– Arczra borúlt a székben ülő, parancsoló alak előtt, s esdekelve ruhája szegélyét próbálta megragadni.	Nàng gục đầu xuống trước con người hách dịch đang ngồi trên ghế và cố gắng tội nghiệp nắm lấy gấu áo của con người ấy.
Dartle Róza, letekintve rá, oly hajthatatlanúl ült a helyén, mintha érczből lett volna.	Rôaa Đactơn cúi nhìn nàng trơ trơ như một bức tượng bằng đồng.
Ajkait erősen összeszorította, mintha tudná, hogy minden erejét össze kell szednie, – (azt írom, a mit őszintén hiszek), – hogy el ne rúgja magától az előtte heverő gyönyörű teremtést.	Môi cô mím lại kiên quyết dường như cô biết rằng phải hết sức cố gắng làm chủ mình (tôi viết điều mà tôi tin thành thực) vì nếu không cô sẽ đi đến chỗ giẫm lên cái thân hình xinh đẹp.
– Hát Peggotty úr sohse jön már?	Khi nào ông Pécgôti đến?
A maga otthona!	Gia đình mày à!
Maga árúczikke volt csak az otthonának, megvették és eladták úgy, mint bármi más eladó portékát, a mivel a fajtája kereskedik.	Mày chỉ là một món hàng của gia đình mày và người ta đem mày ra bán như mọi món hàng khác mà những người nhà mày vẫn bán.
– kiáltott Emmi.	Đừng nói thế!" Emili kêu lên.
– Mondjon rólam bármit; de ne tetézze az én szégyenemmel és gyalázatommal még jobban, mint én tettem, azokat az embereket, a kik épp oly tisztességesek, mint kegyed!	"Bà muốn nói gì về tôi cũng được nhưng đừng lấy điều nhục nhã và xấu hổ của tôi để bôi nhọ những người trung thực chẳng kém gì bà.
Tisztelje legalább őket, ha úri nő, hogyha én rajtam nem is könyörűl.	Bởi vì bà là một người sang trọng, bà hãy nể họ một chút dù bà không thương xót gì tôi".
– Nem!	"Không!
– épp oly erényes hajadonnak neveltek engem is, mint kegyedet, vagy bármely más úri nőt, s menyasszonya voltam egy olyan derék embernek, a kinél derekabb férjet nem kívánhatna magának sem kegyed, sem bármely más úrinő a világon.	), tôi vẫn được giáo dục và cũng có đầy đủ đức hạnh như bà, hay như bất cứ một bà sang trọng nào khác, và tôi sắp làm vợ một người cũng tốt như người mà bà và bất cứ bà sang trọng nào khác trên đời có thể lấy.
Ha kegyed ott él az ő otthonában és ismeri őt, akkor tudja talán, milyen hatalma lehet neki egy gyönge, hiú teremtéssel szemben.	Nếu bà ở nhà anh ta, và nếu bà biết anh ta, chắc hẳn bà biết sức quyến rũ của anh ta đối với một cô con gái yếu đuối và nhẹ dạ.
Nem védem magamat, de jól tudom, és jól tudja ő is, vagy jól fogja tudni, mikor üt az utolsó órája s bántani fogja a lelkét, hogy fölhasználta minden hatalmát elámításomra, hogy én hittem neki, bíztam benne és szerettem őt!	Tôi không tự bào chữa đâu, nhưng tôi biết lắm và anh ta cũng thế, hay ít nhất anh ta cũng sẽ biết khi anh ta chết và đầu óc anh ta cảm thấy băn khoăn về việc đó… rằng anh ta đã dùng tất cả sức hấp dẫn của mình để lừa dối tôi; và tôi đã tin anh ta, đã nghe theo anh ta và đã yêu anh ta!"
Dartle Róza fölpattant a székéről; hátraugrott s e közben Emmi felé sújtott, oly gonosz, a szenvedélytől annyira elsötétűlt és eltorzúlt arczczal, hogy csaknem közéjük vetettem magamat.	Rôda Đactơn nhảy chồm dậy, bước lùi một bước, và trong khi bước lùi, cô ta giơ tay đấm vào người Emili với cái vẻ tàn ác đến nỗi bộ mặt sa sầm lại và méo xệch đi vì dục vọng làm tôi suýt phải nhảy bổ ra giữa hai người.
De az ütés, a mely czélt tévesztett, a levegőt érte csak.	Nhưng cái đòn ấy, đánh không đúng đích, rơi vào không khí.
A mint ott állt lihegve, oly útálattal nézve le Emmire, a minőt csak képes volt kifejezni, s minden ízében remegve a dühtől és a megvetéstől, azt gondoltam, hogy ilyen látványban nem volt még és nem is lehet többé részem soha életemben.	Bây giờ cô Đactơn đứng thẳng thở hổn hển, nhìn Emili với lòng căm thù mãnh liệt nhất mà cô có thể biểu hiện, người run lẩy bẩy từ đầu đến chân vì căm giận và khinh bỉ, và tôi chưa bao giờ thấy cũng như chưa bao giờ có thể thấy một cảnh tượng như vậy.
– Maga szereti őt?	"Mày yêu anh ta à?
Emmi úgy visszariadt, hogy nem láthattam őt többé.	Emili đã biến khỏi tầm mắt tôi.
Felelni egy szót sem felelt.	Không có tiếng trả lời.
– És nekem meri ezt mondani, – folytatta Dartle kisasszony, – gyalázatos ajkaival?	"Mày lại mở cái miệng nhơ bẩn của mày ra nói điều đó với tao à?" cô ta nói thầm.
Mért nem korbácsolják meg az ilyen teremtéseket?	"Tại sao người ta không nọc ra đánh những quân như mày?
Ha megparancsolhatnám, hogy megtegyék, halálra korbácsoltatnám ezt a lányt!	Tao mà ra lệnh thì tao sẽ sai đánh chết con này".
És megtette volna, kétségtelenül.	Và cô ta có thể làm thế, tôi tin như vậy.
Nem mertem volna rábízni a kínpadot sem, a míg ettől a dühtől szikrázott a szeme.	Thậm chí nhìn vẻ mặt hung dữ kia tôi không dám trao cho cô một dụng cụ tra tấn.
Majd lassan, nagyon lassan nevetésbe tört ki, s rámutatott Emmire a kezével, mintha szégyenoszlop volna Isten, ember előtt.	Sau đó, cô cười gằn chậm rãi, rất chậm rãi và giơ tay chỉ Emili dường như đó là một cảnh tượng xấu hổ nhục nhã đối với thần linh và loài người.
– Ő szeret!	Cô Đactơn nói:
– szólt Dartle Róza.	"Đồ ấy mà yêu à!
– Ez a dögtest!	Đồ thịt thối kia!
És azt meséli nekem, hogy James valaha törődött vele.	Thế mà nó muốn bảo mình rằng anh ta đã săn sóc đến nó, Ha!
Ha, ha!	ha! ha!
Hogy’ tudnak hazudni ezek a lélekkufárok!	Bọn buôn bán này nói dối không biết thẹn".
A gúnyja rosszabb volt leplezetlen dühénél.	Lời chế nhạo của cô còn tệ hơn cơn giận bùng nổ.
A kettő közül sokkal szívesebben lettem volna az utóbbinak czéltáblája.	Trong hai cái, tôi sẵn sàng chịu đựng cái thứ hai.
De ha szabadjára eresztette a dühét, nem tartott csak egy pillanatig.	Nhưng nếu cô để nó bộc lộ một cách tự do thì chỉ là trong một chốc mà thôi.
Kíváncsi voltam.	Tao tò mò.
Ki vagyok elégítve.	Tao đã thỏa mãn.
