HOMÉROSZ	Homer
Ámde amint a maleiai szikla magas meredélyét csaknem elérte, a szélvész jött és messzeragadta	Nói trước cho hay, nhà ngươi sẽ khóc tức thì, lệ tuôn lã chã sau khi để tai lắng nghe.
át a halas hab háta fölött, míg nyögve kesergett,	Bởi có nhiều người mất mạng, có nhiều người thoát hiểm.
forró könnyei: így megörült meglátva a földjét.	‘Aias gặp nạn đầu tiên cùng đoàn thuyền chèo dài.
- vendégelvén -, mint ha ki barmot jászol előtt öl.	Tuy nhiên dù đến đó bào huynh vẫn hy vọng có đường trở về.
akkor ekép szólalt meg a tenger igazszavu véne:	Nó hối hả tới cung điện cấp báo.
"Átreusz gyermeke, már ne zokogj így, ennyire hosszan,	Aigisthos tức tốc hoạch định mưu kế nham hiểm.
és az öreghez ekép szóltam szárnyas szavaimmal:	Tất cả đều bị giết trong đại sảnh.’"
"Róluk hát tudom ezt; de nevezd meg a harmadik embert,	"Lão kể vậy ta buồn khôn xiết.
azt, amelyik még él, aki foglya a tágterü víznek,	Ngồi xuống bãi biển ta khóc rưng rức.
vagy ha halott is, akárhogy fájjon, tudni kivánom."	Ta không muốn sống và không muốn nhìn ánh sáng mặt trời.
egy szigeten láttam, szaporán hullatta a könnyét	Buồn như vậy đủ rồi, buồn hơn thế chẳng dẫn tới đâu.
ámde az istenek Élüszion mezejére, s a földnek	Bỉ nhân muốn hay tin dù buồn đến mấy.’
három szép paripát, legyalult szekeret, gyönyörűszép	Mọi việc xong xuôi ta ra khơi, lên đường bắt đầu hải trình.
Erre a jóeszü Télemakhosz neki válaszul így szólt:	"Còn quý hữu, ở lại cung điện với ta.
"Átreidész, sose tartóztass itt hosszu időre.	Ở lại mười một, mười hai ngày.
szídoniak fejedelme, mikor palotája fedett be,	Ờ, ta sẽ đổi phẩm vật vì ta dư sức.
kérők két vezetője, közöttük a legderekabbak.	Họ túi bụi sửa soạn đại tiệc.
Szólt; mire mind megdöbbentek; nem vélte egyik sem,	Ta muốn đánh một con đi luyện cho thuần."
Vagy csak a bérelt	Nó đi lúc nào?
Hiszen ezt is végbevihette.	Đứa nào đi với nó?
Súlyos lett volna nem adni meg ennyit.	Hay là ngươi tự ý dâng khi nó hỏi?"
Mentór vagy valamely isten, bizony, éppenolyan volt.	"Ta tự ý đưa cho nó," Noemon công tử Phronios ôn tồn đáp.
Így szólt és azután haza is ment apja lakába;	Nỡ lòng nào từ chối.
Lám, az a gyerkőc íly sokak ellen azértis elindult,	Dứt lời Noemon quay gót về nhà thân phụ.
pusztitaná el az ő erejét, mielőtt fölserdül.	Antinoos công tử Eupeithes trút cơn thịnh nộ.
Így szólt; és a szavát dícsérték, mind helyeselték;	Ngô bối nhất quyết không để nó thành công.
s meghallotta, amint odabenn tervük szövögették.	Nó sẽ tạo khó khăn cho ngô bối không chừng.
bölcseszü Télemakhosz vagyonát: hát tán sose mondták	Rồi tất cả tức tốc đứng dậy đi vào đại sảnh.
senkihez itt, pedig így szokták a dicső fejedelmek:	Lệnh sứ Medon cho nương nương hay.
míg ti gyalázatosat míveltek, a lelketek is rossz,	Lệnh sứ vội vàng băng qua đại sảnh cấp báo.
Szólt; mire annak a térde s a kedves szíve elernyedt, és szavakat hosszan nem lelt, de a két szeme könnyel	Hằng ngày tụ tập ở đây các người rủ nhau ngốn sạch của cải Telemachos thừa hưởng!
sokdiszü hálóterme előtt odaült a küszöbre	Hy vọng Chúa tể sẽ phá hỏng kế hoạch!
Zeusz, mint egynek sem, ki velem született, nevelődött:	Vừa nghe Penelope run bần bật, mặt tái nhợt.
fölvert volna az ágyamról, noha tudta, mi készül,	Nó muốn tên tuổi sống mãi với đời hay sao?"
szolgámat, kit az édesapám jöttömkor adott még,	Dứt lời Medon quay gót trở lại cung điện.
és aki sűrűfájú kertemet őrzi: siessen,	Penelope rùng mình lo sợ.
meggyilkolni az ő, meg a hős Odüszeusz fiusarját."	Tỳ nữ già trẻ trong cung điện xúm quanh thút thít hòa theo.
hogy teneked nem szólok, amíg nem telt le tizenkét	Bây giờ ta lại mất con thương yêu!
s szolgálóiddal fölső házadba vonulva,	Sao tàn ác thế các ngươi!
Így szólt, majd kiszemelt húsz férfit, a legderekabbat,	Eurykleia dứt lời, Penelope thôi nức nở và ngừng tuôn lệ.
s már indultak a tengerpartra a fürge hajóhoz. És a hajót legelőször a mélyebb vízbe kivonták,	Sau khi tắm rửa, mặc xiêm y sạch bong, nương nương lên phòng lầu thượng cùng nữ tỳ.
majd vacsorát ettek s várták, hogy jőjjön az este.	Nhưng trong đại sảnh âm u đám cầu hôn phá ra cười.
Mint ahogyan töpreng az oroszlán férfisereg közt,	Vừa nghe Antinoos đứng phắt dậy quát to: "Các người điên hả?
félve, mikor cselesen közelednek, s szűkül a gyűrű,	Đừng ba hoa như vậy kẻo có đứa vào trong kháo chuyện.
szunnyadt hátrahajolva, elernyedt minden izében.	Cùng lúc tôi bộc hối hả mang thuyền cụ để trên boong.
és odaállt a fejéhez, s hozzá íly szavakat szólt:	Đúng lúc đó Athena mắt xanh lam lục nảy sinh ý định.
Hisz látogatóba	Lắng nghe.
hős uramat, ki olyan sok erénnyel tűnt ki a nép közt,	"Trước kia chẳng mấy khi đến chơi, vì em ở nơi quá ư xa xôi.
mert sok a rosszakarója, ki cselt sző és meg akarja	Chị lo cho nó hơn người ấy.
érte s az oltalmáért, mert van is arra hatalma:	"Hãy can đảm, đừng lo sợ," hình bóng mờ mờ trấn an.
ám sokeresztékes tutajon bajlódva bolyongjon	Họ sẽ vui mừng đón tiếp, đối đãi bặt thiệp.
ambrosziás, aranyos saruját, mely a tengeri úton	Đũa thần trong tay lệnh sứ hùng dũng ra đi.
ott a sötétlila tengerből a mezőre kilépett	Lệnh sứ thấy yêu mị ở nhà.
Csakhogy a nagyszívű Odüszeuszt nem lelte meg ottbenn,	Nhưng lệnh sứ không thấy Odysseus quả cảm trong động.
tisztelt és szeretett?	Nói ta hay muốn gì.
ekkor evett meg ivott Argosz megölője, a hírnök.	Lệnh sứ bắt đầu vừa ăn vừa uống.
őt pedig erre a partra sodorta a szél meg a hullám.	Chúa tể ra lệnh mi thả ngay bây giờ, không chần chừ.
Megdermedt e szavakra Kalüpszó, isteni úrnő,	Nghe nói thế yêu mị Calypso rùng mình.
míg az aranyszékű szűz Artemisz Ortügiában	Sống sung sướng các người ấm ức!
És jó társai akkor mind odavesztek a vészben,	Đồng hành chết hết.
Most odaállt mellé, s ezt mondta az isteni asszony:	Bởi thiếp sẵn sàng giúp chàng rời nơi này.
istennő; ha te nem téssz nékem szörnyü nagy esküt,	Tỳ nữ đem thần phẩm và thần tửu để gần nữ thần.
hogy nem tervezel ellenem újabb rettenetes bajt."	Hai người đưa tay lấy món ăn.
"Isteni sarj, Láertiadész, leleményes Odüsszeusz,	Lúc này mặt trời đã lặn, màn đêm phủ buông.
Így szólt; és lebukott a nap és eljött a sötétség;	Chỉ cho biết chỗ cây già xong rồi, nữ thần duyên dáng quay về.
mentek ketten a mélyüregű barlang zugolyába	Odysseus bắt đầu chặt.
tiszta fehér széles leplét fölvette a nimfa,	Yêu mị mang ra đồ khoan.
Húsz törzset vágott ki, s a fejszével lefaragta	Bụng thuyền Odysseus lấy ván dầy dằn chặt.
ágaikat, legyalulta tudón, csaptatta zsinórral.	Yêu mị lại ra lần này đem vải để Odysseus làm buồm.
S fúrókat hordott ki Kalüpszó, isteni asszony:	Khâu này Odysseus cũng hoàn thành khéo léo.
Mint amilyen szélesre keríti az ács a teherrel járó bárka erős derekát, mert érti a dolgát,	Cuối cùng đặt trục lăn Odysseus đẩy thuyền xuống biển sóng dồn dập nhấp nhô.
végre keresztbe gerendákkal befejezte a munkát.	Nàng tắm cho chàng, thay quần áo thơm phức.
Langyos jó szelet is küldött útjára, szelídet.	Mười bảy ngày Odysseus liên tục dong buồm.
mint füge lombja merült föl e föld a köd-ülte vizen fönt.	Nổi giận khôn xiết, hải thần lắc đầu tự nhủ: ‘A!
hab hegyiben.	Gớm chưa!
íme, a phaiák föld közelébe került, hol a sors már őt a bajok szoritó hurkából megszabadítja.	Trong khi ta tới đất người da xạm nắng, thần linh thay đổi ý định đối với Odysseus!
és légszülte, magas habokat hajtó Boreász is.	Từ trên cao màn đêm trùng điệp nhẹ buông.
Kész meredek veszedelmem.	Rồi sẽ ra sao?
Estem volna el én, töltöttem volna be sorsom	Sự thể bây giờ diễn ra như thật!
aznap, amint legtöbb hegyes érckelevézt hajitottak	Mây man rợ Chúa tể trải khắp bầu trời bao la!
Trója vitézei rám, körülötte a holt Akhileusznak:	Sóng dữ dằn dâng trên đại dương mông mênh!
elföldeltek volna, nevem zengnék az akhájok:	Gió rú rít như điên như cuồng xung quanh!
vízzuhatagbol azonnal elővergődni nem is volt	Nhưng bây giờ than ôi!
képes: ránehezült, mit a nimfa adott, az az öltöny.	định mệnh bắt ta chết cái chết thảm thương!"
és közepére leült, a halált s véget kikerülve.	Odysseus chìm dưới nước một lúc khá lâu.
s hol Boreásznak dobta Notosz, hogy kényire hordja,	Mặc dù kiệt sức, Odysseus không quên chiếc thuyền.
Ez könyörült meg a kínban hányódó Odüszeuszon;	Sóng biển ngần ngật tung qua bên này hất tới bên kia.
s felsóhajtva eképen szólt nagylelkü szivéhez:	Cầm voan này quấn quanh lồng ngực.
míg az eresztékekben a szálfák tartanak együtt,	Dứt lời nữ thần đưa cho tấm voan.
Nyomban a melle alá kifeszítve kötözte a fátylat,	Ta sẽ làm thế này theo cách ta nghĩ hay nhất.
hab tetején, szive sokszor várta a végveszedelmet.	Lúc này Athena, ái nữ Chúa tể, mới quyết định can thiệp.
Ekkor Odüsszeusz térde s a kedves szíve elernyedt,	Hy vọng dâng cao, hăng hái bơi vào bờ, Odysseus bước lên đất liền.
mert tudom én, a neves Földrázó mennyire gyűlöl."	Ta biết thần linh rung chuyển trái đất mang lòng đố kỵ khôn dò!"
lódult s kétkézzel sebesen megfogta a sziklát,	Vừa nhoai lên Odysseus đưa hai tay ôm mỏm đá.
nyögve tapadt meg azon, míg átment rajta a hullám.	Thở dốc hơi Odysseus bám chặt mặc sóng lớn đổ dồn dập.
néki a bőre eképen jött le merész tenyeréről,	Sóng cao ngất đổ trúng đầu.
Mert tisztelt, s a nagy istenek is becsülik, ki bolyongva	Ôi thần linh cao cả, phàm nhân van vái cầu xin!"
és alig élve hevert, szörnyen kimerült a habokban.	Nước cuồn cuộn vun vút mang đi, nhanh như chớp Ino đưa tay nắm chặt.
Ínó drága kezébe hamar.	Chịu khổ bao lâu nữa?
S ő ment el a víztől,	Rồi ra sẽ thế nào?
lombjuk alá.	Khúc 6
hogy két embert is, vagy akár hármat betakarjon,	Athena trái lại đi miền quê tới thành phố người Phaiakian.
búzaevő ember-fajtól távol Szkheriába,	Cửa vào bóng lộn đóng kín.
házakat épített, bástyával övezte a várost,	Như gió thoảng Athena lách qua đến đầu giường.
s most a király, kit az ég bölccsé tett, Alkinoosz volt.	Hóa thân như vậy Athena mắt xanh lam lục cất lời: "Nausikaa, ngủ hả!
Ennek a háza felé sietett a bagolyszemü Pallasz,	Mẹ sinh ra con gái sao mà lười thế?
gondolkodva a hősszívű Odüszeusz hazatértén.	Quần áo bóng lộn vất ngổn ngang!
Ment be a jólfaragott hálóba, amelyben a lányka	Chẳng mấy nữa lấy chồng.
Ő a leány ágyához osont, sebesen, fuvalatként,	Vậy sáng nay lúc bình minh ló dạng hai đứa mình đi giặt.
s ott fejtől állt meg, s megszólította szavával,	Ta sẽ đi theo giúp một tay, nhờ vậy việc chóng xong.
tenger büszke hajósa Dümász lányának alakját	Chắc hẳn ngươi chẳng cô đơn lâu nữa mà sắp lập gia đình.
mert hiszen ebből kél a leány jóhíre a nép közt,	Đúng lúc đó Rạng Đông xiêm y óng ả lên ngự ngai vàng.
apja is ennek örül, s vele örvend anyja, az úrnő.	Nausikaa trong áo ngủ yêu kiều tỉnh giấc.
Hát csak eredjünk mosni, amint fölfénylik a hajnal:	Ngạc nhiên vì giấc mơ nàng tức tốc đi qua đại sảnh kể cho bố mẹ hay.
s én nyomodon sietek versengeni, hogy hamarabb légy	Nàng thấy hai người ở cuối biệt điện.
készen véle, hiszen nem léssz te soká hajadon már:	Mẹ ngồi gần lò sưởi với nữ tỳ quấn len màu đỏ tía.
szállt az olümposzi csúcsra: az istenek el nem enyésző	Chẳng có ai chỉ có con lo việc này."
székhelye az, mondják.	Nàng không nói nữa.
s termeken át indult, a szülőinek is hirüladni:	Ông sai bảo gia nhân, họ tuân lệnh tức thì.
jókerekűt, magasat, hogy drága ruháim a vízhez	Cầm roi, nắm cương óng ánh, nàng quất bảo la lên đường.
s indított vele: két öszvér dobogása dübörgött.	Trinh nữ chưa chồng nổi bật giữa đám tỳ nữ.
ömlik elő s ki, nagyon szennyest is mosni fehérre,	Thấy vậy các cô hét inh ỏi!
rágjanak édes jó füveket.	Lần này lạc đến xứ nào?
Maguk ott a szekérről	Dân ở đây ra sao?
És az egész szennyest hogy tiszta fehérre kimosták,	Tiếng la lanh lảnh bên tai.
Megfürdöttek, a fényes olajjal megkenekedtek,	Hay do ngẫu nhiên ta lạc vào nơi thế nhân nói tiếng nói như ta?
és a folyó partján lakomához láttak utána;	Ờ, phải đi, nhìn tận mắt xem sao."
játszadozón járnak, s Létó örvend a szivében:	Da thịt đầy muối Odysseus trông gớm ghiếc.
mert mindannyi közül feje, homloka úgy kimagaslik,	Mấy cô gái chạy tứ tán tới cồn cát nhấp nhô tìm chỗ nấp.
Ámde midőn haza kellett már indulnia újra,	Nàng đứng im, nhìn chằm chằm.
Fölsikitottak a nők: föl is ébredt fényes Odüsszeusz,	Bỉ phu đến bên đầu gối van xin.
és föl is ült, így töprengett a szivében, eszében:	Chẳng hay là nữ thần hay thế nhân?
lombosat, ezzel testét fedte, takarta szemérmét.	Để mắt nhìn lòng bỉ phu tràn ngập nể sợ!
rútan; szétrebbenve futottak a parti fokokhoz.	Thấu chăng nỗi buồn ngang trái xâm lấn, đè nặng cõi lòng!
Így töprengett és úgy látta, hogy ez helyesebb lesz:	Bởi bỉ phu thầm nghĩ gian truân vẫn chưa chấm dứt.
isten?	Ôi!
Hogyha te istennő vagy, a tágterü égbe lakók közt -	Xin giai nhân rủ lòng thương hại.
és ha halandó vagy, ki a földön tartja lakását,	Bỉ phu không quen biết ai trong thành phố, trên đất này.
egyet sem, kik e várost lakják, ezt a vidéket.	Mới nom thấy đàn ông các ngươi chạy đi đâu vậy!
Rajta, mutasd az utat, valamely rossz rongyot is adj rám,	Các ngươi tưởng người này là kẻ thù phải không?
jóakarók örömére, jeles hírére maguknak."	Chúa tể bao che, trợ giúp khách lạ, hành khất bất kể thế nào.
ezt osztotta neked, s tűrnöd kell mindenesetre;	Tỳ nữ đứng im, thúc giục lẫn nhau.
s nála találod a phaiák nép erejét s a hatalmát."	Lâu rồi da dẻ không biết mùi vị.
Szólt, és széphaju szolgálóinak adta parancsát:	Bỉ phu sẽ không xuống tắm nếu thị nữ còn đứng đó ngắm nhìn.
azt a halbot, mely erős vállát s hátát boritotta,	Lúc này trinh nữ tay trắng ngần dự tính chuyện khác.
vette föl azt a ruhát, mit a szép hajadon neki küldött;	Tới nơi thế nào khách lạ cũng gặp đông đủ quý tộc Phaiakia.
ért ez a férfi az isteni phaiák nép közelébe:	Nàng vớ được ở đâu?
