HENRYK SIENKIEWICZ	Henryk Sienkiewicz
Ez hűvösebb éghajlatú orszá­gokban is rettenetes kín lett volna, ha közben dolgozni is kell, hát még itt, ebben az afrikai katlanban, ahol, aki bőven ihatik, az is oly hamar kiizzadja a megivott vizet, hogy szinte ugyanabban a pillanatban letörölheti azt testéről verejték formájában.	Ngay cả trong những điều kiện khí hậu mát mẻ hơn, thì khi lao động, chuyện đó cũng đã là chuyện khó chịu đựng nổi, huống hồ trong cái lò lửa Phi châu nóng bỏng này, nơi ngay cả những người được uống nước thỏa thuê cũng bị tháo mồ hôi nhanh đến nỗi họ có thể dùng tay vớt lại nước toát ra khỏi da mình ngay vào lúc đang uống.
Előrelátható volt, hogy útközben sokan elhullanak a kimerültségtől vagy a napszúrástól.	Cũng có thể thấy trước được rằng, nhiều người sẽ nằm xuống dọc đường vì kiệt sức và vì bị say nắng.
Staś, ahogyan tudta, óvta Nelt a nap hevétől, nem engedte, hogy csak egy pillanatra is kihajoljon a palankin alól, melynek tetejét még egy darab fehér vászonnal is bevonta, hogy ezzel is árnyékosabbá tegye.	Xtas cố gắng hết sức bảo vệ Nen khỏi bị mặt trời thiêu đốt và không cho phép cô bé được ló người ra khỏi cá i bành lấy một phút nào, cái bành mà trên nóc em đã dùng một tấm lụa trắng làm thành hai lớp để che.
Abból a maradék vízből, melyet gumipalackjában őrzött, erős teát főzött neki, s lehűtve, cukor nélkül adta oda, mert az édesség fokozza a szomjúságot.	Dùng chút nước còn lại trong cái bình cao su, em nấu lên pha chè thật đặc, để nguội đi và đưa cho Nen, không pha đường, vì vị ngọt khiến cho cái khá t tăng thêm.
A kislány könnyes szemmel könyör­gött, hogy igyék ő is, mire Staś szájához emelte az üveget, melyben alig néhány gyűszűnyi víz lötyögött, s még gégéjét is mozgatva színlelte, hogy iszik.	Cô bé rơi lệ van xin em hãy cùng uống, nên em bèn đặt cái bình lên miệng - trong bình chỉ còn lại chừng vài chén nước - rồi động đậy cổ họng giả vờ uống.
Amint a víz ajkához ért, úgy érezte, mellében és gyomrában valóságos tűz ég, s ha el nem oltja, nyomban holtan esik össze.	Lúc cảm thấyvị hơi ẩm trên môi, em tưởng như trong bụng và ngực đang có lửa cháy, và nếu như không dập tắt ngọn lửa ấy thì em sẽ gục xuống chết ngay lập tức.
Szeme előtt, vörös karikák táncoltak, s állkapcsában olyan metsző fájdalmat érzett, mintha ezer tűvel szurkálták volna.	Trong mắt em quay cuồng những đốm màu đỏ, em cảm thấy trong hai hàm răng nhói lên nỗi đau khủng khiếp, dường như có ai đang cắm vào đó hàng ngàn chiếc kim.
Keze annyira reszketett, hogy kis híján az utolsó pár csepp vizet is széjjel nem öntözte.	Tay em run đến nỗi suýt đánh đổ nhữ ng giọt nước cuối cùng ấy.
Legfeljebb két-három csepp tapadt ajkához, a többit eltette Nelnek.	Tuy vậy, em chỉ dùng lưỡi hớp lấy hai ba giọt, còn lại, em dành cho Nen.
Megint elmúlt egy kínos, fáradságos nap, utána azonban szerencsére hűvösebb éjszaka következett.	Lại một ngày đầy khổ sở và khó nhọc nữa trôi qua, đêm đến, may thay, trời lại mát mẻ hơn.
Ámde másnap reggel annál kínzóbb hőség dühöngött.	Song sáng ngày hôm sau trời lại vô cùng nóng nực.
Egy leheletnyi szellő sem mozdult.	Không một hơi gió thoảng.
A nap, mint valami gonosz szellem, perzselte a kiszáradt földet tüzes sugaraival.	Mặt trời như một vị hung thần trút lửa xuống thiêu đốt mặt đất khô rang.
Olykor-olykor a távolban halk mennydörgés hallatszott, de mivel az ég egészen felhőtlen volt, ez nem esőt, hanem még nagyobb szárazságot jósolt.	Chỉ thỉnh thoảng ở tận phía xa xa vang lên những tiếng sấm nhè nhẹ, nhưng trong khi bầu trời đang nắng chang chang, những tiếng sấm ấy không báo hiệu mưa, chỉ báo nắng hạn đang kéo dài mà thôi.
Déltájt, mikor a hőség a legnagyobb, meg kellett állniuk.	Lúc gần trưa, khi trời nóng nực kinh khủng hơn cả, cần phải dừng lại nghỉ ngơi.
A karaván néma csendben helyez­kedett el.	Cả đoàn rải ra nghỉ trong im lặng nặng nề.
Kiderült, hogy útközben elhullott egy ló, és elmaradt tíz-tizenöt pagazi.	Kiểm lại thấy một con ngựa bị chết và hơn mười người phu khuân vác nằm lại dọc đường.
Pihenés közben senki sem gondolt evésre.	Ngay cả lúc nghỉ ngơi, không một ai nghĩ đến chuyện ăn.
Az emberek szeme beesett, ajka kicserepesedett, s cseppekben ült rajta a megalvadt vér.	Mắt mọi người hõm sâu, môi nứt nẻ với những cục máu khô đọng lại.
Én már ittam!" felkiáltással elszaladt a tábor másik végébe, mert félt, hogyha ott marad, elveszi a kislánytól a vizet, vagy legalábbis követeli, hogy osztozzék meg vele.	Anh uống rồi!", rồi em vội chạy trốn sang đầu kia của trại, vì sợ rằng nếu ở lại thì em có thể lấy lại bình nước hoặc sẽ đòi Nen chia nước cho mình chăng.
Az egész út folyamán talán ez volt a legnagyobb hőstette.	Và đó có thể là hành động dũng cảm nhất của em trong suốt cuộc hành trình.
Szörnyű kínokat állt ki.	Bản thân em đang khốn khổ vì chịu đựng.
Torka száraz volt, és égett, szájában nem volt egy cseppnyi nyál, nyelve mintha fából lett volna.	Cổ họng em khô khốc, cháy bỏng, không có một ít nướ c bọtnào trong miệng, lưỡi cứ ng đờ như bằng gỗ.
Pedig hát ő is meg a karaván is még csak az elején voltak a kínszenvedésnek.	Ấy thế mà đối với em cũng như cả đoàn, đây mới chỉ là bước đầu của những nỗi cực hình.
A szárazságot jósló mennydörgések szakadatlanul hangzottak a láthatár széleiről.	Nhữ ng tiếng sấm báo hạn cứ rền khan ở chântrời.
Három óra tájban, mikor a nap az égbolt nyugati felére siklik át, Staś talpra állította a karavánt, s elindult vele kelet felé.	Khoảng ba giờ chiều, khi mặt trời đã ngả vềtây, Xtas ra lệnh cho cả đoàn đứng dậy, rồi dẫn đầucả đoàn tiếp tục tiến về phía đông.
A mozdulatlan levegőben égés szaga terjengett.	Trong bầu không khí lặng yênhình như có hơi khí than lởn vởn.
Sába lihegett, tátogott, s megfeketedett, kilógó nyelvéről egy csepp tajték sem hullott le.	Con chó Xaba thởhổn hển, bụng hóp cả lại, cái lưỡi xám xịt thè ranhư không còn một tí bọt nào.
Az afrikai száraz dzsungelekhez szokott Kingen nem látszott meg annyira, hogy szenved, de egyre dühösebb lett.	Còn con King vốnquen với cái khô cằn của vùng đồng hoang Phichâu, ít nhọc nhằn hơn, nhưng cũng đã bắt đầu nổicáu.
Apró szeme szokatlan fényben égett.	Đôi mắt nhỏ bé của nó ánh lên những tia sáng kì lạ.
Staśnak s különösen Nelnek, ki minduntalan szólt hozzá, szokásos gurgulázásával felelgetett még, de mikor Kali mit sem sejtve elhaladt mellette, egy vészeset horkantott, s olyat lendített ormányán, hogy nyomban agyonütötte volna, ha a fiú idejekorán félre nem ugrik.	Khi Xtas và nhất là Nen thỉnh thoảng nói vớinó đôi lời, nó còn đáp lại bằng một thứ tiếng gừ gừtrong cổ họng, nhưng Cali vô tình đi qua ngang gầnnó, nó rống lên dữ tợn và huơ vòi ra, suýt nữa thìgiết chết tươi cậu bé, nếu cậu không kịp nhảy tránhvề một bên.
Kali szeme vérbe borult, nyakán az erek kidagadtak, ajkai megrepedeztek, mint a többi szere­csené.	Mắt Cali cũng vằ n máu đỏ, những mạch máu trên cổ nó căng phồng ra, môi nứt nẻ như những người da đen khác.
Öt óra tájt Staśhoz lépett, s nehezen sajtolva ki torkából a rekedt hangokat, így szólt:	Khoảng năm giờ chiều, nó lại gần Xtas và nói bằng một giọng khản đặc khó khăn lắm mới thoát ra khỏi cổ:
- Nagy úr, Kali nem bírni tovább, hadd jöjjön már itt az éjszaka.	- Ông lớn ơi, Cali không thể đi xa hơn được nữa.
Staś leküzdötte az állkapcsát kínzó fájdalmat, s erőlködve felelte:	Cứ để cho đêm tới ngay chỗ này thôi.
- Jól van, álljunk meg, az éjszaka majd meghozza az enyhülést.	Xtas cố nén nỗi đau đớn trong hai hàm răng và nói một cách khó nhọc:
- Meghozza a halált - suttogta a fekete fiú.	- Cũng được! Dừng lại thôi.
Szívükben, halántékukban, kezükben és lábukban úgy kalapált az ütőér, mintha menten szét akarna pattanni.	Trái tim và những mạch máu ở thái dương họ, ở chân tay họ, đập mạnh như vỡ tung ra.
Bőrük a szárazságtól összehúzódott s viszketett, csontjaikban hallatlan nyugtalanság lobogott, belsejükben és tor­kukban tűz lángolt.	Da trên thân thể họ khô đi, co lại và bắt đầu nứt nẻ, họ cảm thấy trong xương cốt có cái gì đó thật bồn chồn, còn trong lục phủ ngũ tạng cũng như trong họng thì có lửa đốt.
Akkor aztán egymás után rogytak össze, s görcsös remegésben hevertek a földön.	Khi đó họ nối nhau ngã xuống mặt đất và nằm xoài người trong cơn rung giật.
Kali odaguggolt Staś és Nel mellé, nyitott szájjal kapkodott levegő után, könyörgő hangon suttogta:	Cali ngồi xệp bên cạnh Xtas cùng Nen, há hốc miệng đớp đớp không khí, giữa hai hơi thở nó lặp đi lặp lại như một lời van xin:
- Bvana kubava, vizet!	- Bvana kubva, nước!
Staś üveges szemmel nézett rá, és hallgatott.	Xtas dương cặp mắt đông cứng như thủy tinh nhìn nó và nín lặng.
- Bvana kubava, vizet!	- bvana kubva!
S egy pillanat múlva hozzátette: - Kali meghalni...	- Rồi một một lúc sau: - Cali chết mất.
Ekkor Mea, ki valahogy könnyebben bírta a szomjúságot, s mindnyájuk között a legkeve­sebbet szenvedett, odalépett, leült Kali mellé, s nyakát átölelve halk, dallamos hangon megszólalt:	Khi đó, Mêa, người mà không rõ vì lí do nào có thể chịu đựng những cơn khát giỏi hơn cả và ít đau khổ hơn tất cả những người khác, bèn tiến đến gần, ngồi xuống cạnh cậu bé, ôm chặt lấy cổ nó và cất giọng du dương khe khẽ nói:
- Mea Kalival együtt akar meghalni...	- Mêa muốn chết với Cali...
- - - - - - - - - - - - - - - - - - - - - - - - -	Im lặng kéo dài..............
Közben lement a nap, s a vidékre ráborult az éjszaka.	Trong khi đó mặt trời lặn hẳn và đêm bao trùm lên cảnh vật.
Az égbolt sötétkék színt öltött.	Bầu trời ngả sang màu tím than.
Déli hajlatában felragyogott a Dél Keresztje.	Chòm sao chữ thập lóe sáng ở phương Nam.
A síkság fölött ezernyi csillag tündöklött.	Những chòm sao dầy đặc lấp lánh vùng bình nguyên ấy.
A hold előbújt a föld alól, s fényével behintette az éjszakát, nyugat felől pedig halvány hajnalpírként terjedt szét az állatövi fény.	Mặt trăng dường như nhô lên từ dưới đất tỏa ánh sáng vào bóng đêm, còn phía trời Tây sáng lên, ánh sáng mờ mờ nhạt nhạt của hoàng đạo.
A levegő egyetlen, mérhetetlen, ragyogó tengerré változott.	Không khí như biến thành một bể ánh sáng to lớn duy nhất.
Egyre erősbödő fény árasztotta el a vidéket.	Rồi ánh sáng mỗi lúc một rạng thêm lên.
A King hátán felejtett palankin meg a sátrak úgy világítottak, mint a fehérre meszelt házak a holdvilágos éjszakában.	Cái bành trên lưng con King mà người ta đã lãng quên đi cùng nhữ ng lều trại sáng lên như những tường nhàđược quét vôi trắng ánh lên trong bóng đêm.
A világra ráborult a csend, a föld álomba merült.	Ánh sáng rơi vào im lặng, trái đất chìm trong giấc ngủ mê mệt.
S míg a természet ebben a csendben pihent, a karaván népe pokoli kínok közt vonaglott, és várta a halált.	Thế mà trong cái im lặng và thanh bình này của thiên nhiên, những con người trong khu trại lại đang phải rên lên vì đau đớn và đang chờ chết.
A szürkület alkotta ezüstös háttér előtt keményen rajzolódott ki az elefánt óriási, fekete alakja.	Trên cái nền bàng bạc của bóng tối hiện lên sắc cạnh những đường nét khổng lồ của con voi.
A holdsugarak megvilágították Staś és Nel fehér ruháját is, a száraz fűkupacok között heverő négerek összekuporodott, fekete testét s a rendetlen halmokba dobált málhát.	Ngoài những chiếc lều ra, ánh trăng còn làm sáng lên những bộ quần áo màu trắng của Xtas và Nen, còn trong những bụi thạch thảo là những thân hình sẫm đen co quắp của những người da đen, đây đó vứt lỏng chỏng những bọc hàng hóa.
A gyermekek előtt ült Sába, s szemét a hold tányérjára függesztve, keservesen vonított.	Con Xaba ngồi tựa hai chân trước mặt bọn trẻ, ngẩng đầu trông lên cái đĩa của vầng trăng và hú lên thê thảm.
Staś agyában már csak a gondolatok töredékei kavarogtak, s ezek is egyetlen, tompa, kétségbeesett érzéssé változtak; hogy most már csakugyan nincs segítség, hogy ama szörnyű fáradalmak és erőfeszítések, azok az emberfeletti szenvedések, melyeket eddigi borzalmas utazásuk alatt Medinettől Kartúmig, Kartúmtól Fazodáig és Fazodától az ismeretlen tóig elszenvedett és véghezvitt, mind haszontalanul veszendőbe mennek, mert íme, elközelgett a küzdelem és az élet kérlelhetetlen vége.	Trong lòng Xtas quay cuồng những mẩu ý nghĩ, nhào trộn vào nhau thành một cảm giác tuyệt vọng câm lặng, rằng lúc này không còn cứu cánh nào cả, rằng tất thảy, tất thảy những cố gắng và công sức to lớn, những chịu đựng vô song, những hành động can trường và đầy ý chí mà em đã thực hiệ n trong thời gian những chuyến đi kinh khủng từ Mêđinét tới Kháctum, từ Kháctum tới Phasôđa rồi từ Phasôđa tới cái hồ chưa ai biết đến, đã không mang lại một kết quả gì hết, và giờ đây, cái kết cục chấm hết cuộc đấu tranh và sự sống đang kéo đến mộtcách không khoan nhượng.
S e gondolat annál borzalmasabban kínozta, mert ez a vég most jön, az utolsó útszakaszon, amelynek túlsó végén már ott az óceán.	Đối với em, điều khủng khiếp hơn cả là ở chỗ, cái kết cục ấy lại đến chính trong đoạn đường cuối cù ng này, đoạn đường mà cáiđích là đại dương.
Nem viszi hát el a kis Nelt a tengerpartig, nem viszi gőzhajón Port Saidba, nem adhatja át Rawlison bácsinak, ő maga sem borul édesapja ölelő karjaiba, s nem hallhatja ajkairól a dicsérő szót, hogy úgy viselkedett, ahogy derék ifjúhoz és igazi lengyelhez illik!	Ôi, em không còn đưa được bé Nen đến bờ biển nữa, em không cò n được lao vào vòng tay cha, không được nghe ông khen em đã hành động như một thiếu niên can đảm, như một người Ba Lan chân chính nữa!
Néhány nap múlva a nap már csak holttestüket világítja meg, azután kiszárítja, mint ama múmiákat, melyek az egyiptomi múzeumokban alusszák örök álmukat.	Vài ngày nữa thôi, mặt trời sẽ chỉ gặp những cái xác chết, và sau đó sẽ thiêu đốt chúng cho đến khi chúng giống như những cái xác ướp đang ngủ một giấc ngủ vĩnh hằng trong các viện bảo tàng ở Ai Cập.
A szenvedéstől és láztól összekavarodtak fejében a gondolatok.	Vì đau đớn và nóng sốt, đầu óc em hỗn loạn.
Megrohanták a halál előtti látomások és hallomások.	Những ảo ảnh và ảo âm hôn mê kéo tới.
Jalla!" kiáltásait, mellyel vágtató tevéiket hajszolják.	Em trông thấy Iđrix và Ghebơrơ.
Egyszerre csak összerezzent, s eszmélete egy pillanatra visszatért, mert fülét megütötte Nel sóhajszerű suttogása:	Đột nhiên em rùng mình tỉnh dậy vì sát bên tai loáng thoáng tiếng thì thào nghe như một lời than vãn của Nen:
- Staś...	- Anh Xtas... nước!
Mivel azonban tizenkét órával előbb már odaadta neki az utolsó cseppeket, felugrott, s hangjában a fájdalom, kétségbeesés és panasz kitörésével kiáltotta:	Nhưng vì mười hai tiếng đồng hồ trước đây em đã trao cho cô bé những giọt nước cuối cùng, nên lúc này em bật dậy, kêu lên thành tiếng, trong tiếng kêu đó có sự bùng nổ của nỗi đau đớn tuyệt vọng và tủi thân:
- Ó, Nel!	- Nen ôi!
S fejét két keze közé kapva elrohant, hogy ne lássa Nel szenvedését.	Rồi hai tay ôm chặt lấy đầu, em chạy trốn để khỏi phải nhìn thấy nỗi đau đớn của cô bé.
Vaktában futott a száraz füvön, míg ereje teljesen el nem hagyta, s oda nem rogyott egy fűhalomra.	Em cắm đầu chạy như mù giữa những bụi cỏ và thạch thảo cho tới khi ngã vật vào một bụi cây vì hoàn toàn kiệt sức.
Leopárd, oroszlán vagy akár egy nagyobb hiéna is könnyű zsákmányra lelt volna benne.	Bất kì một con báo, một con sư tử hay thậ m chí một con linh cẩu lớn nào cũng có thể ăn thịt em một cách dễ dàng.
Sába jött csak utána, körülszaglászta, aztán vonítani kezdett, mintha most gazdája számára hívna segítséget.	Nhưng con chó Xaba chạy lại, và sau khi ngửi ngửi khắp người em, con chó hú lên, nhưng muốn gọi người cứu lấy chủ.
De senki sem sietett segítségére, csak a magasból tekintett le rá a nyugodt, egykedvű hold.	Từ trên trời cao, vầng trăng thản nhiên và không chút động lòng nhìn xuống.
Staś hosszú ideig feküdt ott, mint egy halott.	Cậu bé nằm rất lâu như đã chết.
Csak egy hűvösebb fuvallat serkentette fel, mely váratlanul érkezett kelet felől.	Mãi tới khi một hơi gió mát mẻ hơn chợt thổi từ phíaĐông tới, khiế n em hồi lại.
Staś felült, s kis idő múlva megpróbált felállni, hogy visszatérjen Nelhez.	Xtas ngồi dậy, và lát sau, cố gắng đứng lên để quay về phía Nen.
A hűvös fuvallat megismétlődött.	Hơi gió mát hơn lại thổi đến với em lần thứ hai.
Sába abbahagyta a vonítást, s kelet felé fordulva szimatolni kezdett.	Con Xaba thôi hú và quay mũi về phía Đông, cánh mũi phập phồng.
Hirtelen egyet, majd még egyet vakkantott, szaggatott, mély hangon, végül neki­iramodott, s elrohant.	Bỗng nhiên nó bật sủa lên một tiếng, rồi hai tiếng, bằng cái giọng trầm đứt đoạn, và nó lao đi về phía trước mặt.
Egy darabig nem hallatszott semmi, de kisvártatva megint felhangzott a kutya ugatása.	Một hồi lâu không nghe thấy tiếng nó, nhưng rồi lát sau tiếng sủa của nó lại vang lên từ phía xa xa.
Staś felállt, s meggémberedett lábain ingadozva utána nézett.	Xtas đứng dậy chuệch choạng trên hai chân cứng đờ dõi nhìn theo nó.
Sába pedig nemsokára visszatért hozzá, de valahogyan ideges és nyugtalan volt.	Một lúc sau, con Xaba lại xuất hiện bên cạnh em có vẻ rất xúc động và loay hoay một cách lạ lùng.
Néhányszor Staśra emelte szemét, egyszer-kétszer körülfutotta, aztán szimatolva és csaholva megint elrohant, majd ismét visszatért, végül megkapta Staś ruháját, s a táborral ellenkező irányba húzta!	Mấy lần liền nó ngước mắt nhìn Xtas, nó chạy vòng tròn, rồi lại lao đi, hít hít không khí và sủa về phía đám thạch thảo, rồi lại quay trở lại, và cắn lấy quần cậu bé lôi về phía ngược với trạ i.
