HUGO VICTOR	Victor Hugo
Igy esett, hogy azt, amit Gernardus a sötétségbe vetett, a sötétség átadta Barkilphedronak és az Istennek küldött üzenet a démonhoz került.	Và bằng cách đó, cái vật mà Giecnacdu đã vứt vào bóng tối, bóng tối đã giao lại cho Backinphêđrô, và bức thư gửi cho Chúa đã rơi vào tay quỉ dữ.
Visszaélés történt a mérhetetlenbe vetett biza­lommal és a dolgok mögött rejtőző homályos guny ugy rendezte, hogy az elveszett fiuból lord Clancharlievá lett Gwynplaine jogos diadalába beleszőtt egy mérges győzelmet, gonoszul végzett egy jótettet és az igazságot a hamisság szolgálatába állitotta.	Trong trời biển mênh mông có sự lạm dụng lòng tin, và sự trớ trêu tối tăm lẫn trong mọi vật đã khuôn xếp để làm cho chiến thắng trung thực này thêm phức tạp, thằng bé Guynplên mất đi trở thành huân tước Clăngsacli, từ một chiến thắng độc địa, nó đã độc ác biến thành một nghĩa cử, và đã đem công lý phục vụ cho hành vi bất chính.
A szolgálat­kész pazarló fáradozik egy nyomorultért!	Biết bao lo lắng của kỳ diệu vì một tên khốn kiếp !
a végtelenség munkatársa lesz egy földi féregnek!	Người cộng tác vô biên của một con giun!
Csalódott.	Hắn đã lầm.
Nem azt mondta magában, hogy mindez Gwynplaine­ért van, hanem, hogy mindez Barkilphedro miatt történt és hogy ő megéri ezt a fáradságot.	Hắn không hề cho rằng mọi việc đều vì Guynplên, hắn tự nhủ mọi việc đều vì Backinphêđrô, rằng hắn xứng đáng được như vậy.
Különben csak az lepődik meg azon, hogy egy törékeny edény tizenöt évig uszhat a tengeren anélkül, hogy megsérülne, aki nem ismeri az Oceán végtelen szelidséget.	Vả lại chỉ ai ít hiểu về tính hiền hoà vô bờ bến của biển cả mới ngạc nhiên về một vật mỏng manh lại có thể bồng bềnh trôi giạt mười lăm năm không hỏng.
1867 október 4-én a morbihani öbölben, a Groix-sziget, a Gavres-félsziget csucsa és az Errants-szikla között port-louisi halászok találtak egy negyedik századbeli, római amforát, melyet elboritottak arabeszkekkel a tenger lerakodásai.	Ngày 4 tháng 10 năm 1867 trong Morbihăng, giữa đảo Groa, mũi bán đảo Gavrơ và núi Lang thang ngư dân Por-luy đã bắt được một cái bình La-Mã từ thế kỷ thứ ba, mặt ngoài loang lổ vì nước biển ăn.
Minden kinálkozott, minden olyan volt, mintha előkészitették volna.	Mọi việc cứ tự dẫn đến; mọi việc đều như được chuẩn bị sẵn.
A véletlen töredékei, melyek kielégithették gyülöletét, szerteszét hevertek a kezeügyében.	Các chi tiết trong câu chuyện ly kỳ sắp thoả mãn hận thù của hắn đều rải rác trước tầm tay.
Csak össze kellett szedni és összeforrasztani.	Chỉ việc xích gần và chắp nối chúng lại.
Olvasta a Tadcaster fogadóra fölakasztott irást, mint egy hirdetést, mely nagy töme­get vonz magához; megjegyezte; azonnal visszaemlékezett a legkisebb részletre is, először otthagyta, aztán meggyőződött róla; a villamos jelenségekben, melyek bensejében végbe­mentek, ez a hirdetés megjelent lelki szemei előtt és elhelyezkedett a hajótöröttek pergamenje mellett, mint a felelet a kérdés mellett, mint a megoldás a rejtvény mellett és ezek a sorok: "Itt látható Gwynplaine, akit tizéves korában 1690 január 29-én elhagytak Portlandban a tenger partján", apokaliptikus villogásban jelentek meg szemei előtt.	Hắn đã đọc cái bảng quảng cáo treo ở quán Tacaxtơ như người ta vẫn đọc một tờ quảng cáo rạp hát hấp dẫn quần chúng; hắn đã để ý, hắn nhớ ra ngay lập tức từng chi tiết nhỏ, dù phải xác minh lại sau; tờ quảng cáo đó, qua khơi gợi chớp nhoáng trong đầu óc hắn, tái hiện trước cặp mắt cú vọ của hắn, và đến nằm cạnh tờ giấy da của bọn bị đắm tàu, như câu trả lời bên cạnh câu hỏi; như giải đáp bên cạnh câu đố, và những dòng chữ: "Tại đây khán giả được nhìn thấy Guynplên, bị bỏ rơi từ thuở lên mười, đêm 29 tháng giêng năm 1690, trên bờ hiển Porlan"', trước mắt hắn, đột nhiên có một ánh sáng chói ngời huyền bí.
Ugy rémlett előtte, mintha a Mene, Thekel, Phares lángoló betüit látná egy vásári sátor falán.	Hắn chợt nhìn thấy hình ảnh; cảnh đỏ rực của Mane Thecel Pharès trên một lời quảng cáo chợ phiên.
Vége volt az egész állvány­szerkezetnek, mely Josiane létét jelentette.	Thế là tiêu tan hết tất cả cái nền tảng của cuộc đời Giôzian.
Az elveszett gyermeket meg­találták.	Đứa bé mất tích đã tìm ra.
Létezett egy lord Clancharlie.	Có một huân tước Clăngsacli.
David Dirry-Moirt elintézték.	Thế là Đêvit-Điry Moa tay trắng.
A pairség, a gaz­dag­ság, a hatalom, a rang, minden elhagyta Davidot és Gwynplainehoz szegődött.	Chức tước, của cải, quyền thế, địa vị, tất cả từ huân tước Đêvit ra đi và nhập vào Guynplên.
A kiváltságos, gőgös hölgy előtt egy komédiás; a szép és kényes leány előtt egy szörnyeteg!	Kiêu căng về nguồn gốc lại gặp một thằng múa rối; xinh đẹp đài các lại vớ được một con quái vật.
Az volt az igazság, hogy Barkilphedro lelkesedett.	Sự thật Backinphêđrô đang sống trong say sưa hoan hỉ.
A leggyülölködőbb terveket is fölülmulhatja a véletlen pokoli bőkezüsége.	Tất cả mọi âm mưu nham hiểm nhất đều có thể thua xa lòng hào hiệp độc ác của bất ngờ.
Barkilphedro ostobának találta most valamennyi álmát.	Backinphêđrô thấy tất cả ước mơ của hắn đều ngu ngốc.
Ha a változás, melynek most általa kellett beállani, ellenére történt volna, azt sem bánta volna.	Sự thay đổi sắp diễn ra do bàn tay hắn, dù có phản lại hắn đi nữa hắn cũng vẫn không kém phần mong mỏi.
Vannak olyan vad és önmagukra nem tekintő férgek, melyek szurnak akkor is, ha tudják, hogy ők belepusztulnak.	Có những giống côn trùng không vụ lợi biết rằng chích xong chúng sẽ chết mà cũng cứ chích.
Lord David Dirry-Moir nem tartozott neki semmivel, lord Fermain Clancharlie pedig neki fog tartozni mindenével.	Huân tước Đêvit Điry-Moa không mang ơn gì hắn, còn huân tước Fecmên Clăngsacli sẽ mang ơn hắn về tất cả mọi mặt.
És még hozzá egy angol pairt!	Mà lại bảo trợ cho ai?
Barkilphedro számitott reá, hogy az első intelmeket ő fogja adni.	Hắn sẽ có một huân tước của hắn: Một huân tước do hắn tác thành!
Miután ily csuf, épp oly mértékben fog tetszeni a királynőnek, amily mértékben Josiane utálni fogja.	Và vị huân tước ấy sẽ là em rể của nữ hoàng do một cuộc lương duyên giữa quí tộc với bình dân.
E szerencse lendithet rajta és Barkilphedroból még személyiség lehet, ha komoly és szerény ruhákba öltözik.	Xấu xí như vậy, nó sẽ làm cho Giôzian khổ tâm bao nhiêu thì sẽ làm vừa lòng nữ hoàng bấy nhiêu.
Homályos vágya volt, hogy püspök lehessen.	Hắn vẫn có ý muốn mơ hồ trở thành giám mục.
és mily kitünően oldotta meg a véletlen mindazt, amire szükség volt!	Bao nhiêu công việc của tình cờ đã hoàn tất mỹ mãn quá!
Josiane hajótörést szenved Barkilphedron.	Giôzian, vấp phải Backinphêdrô.
Ügyes volt abban a müvészetben, amit szuggesztiónak neveznek, mely abból áll, hogy másnak a szellemén kis bemetszést csinálunk és a magunk ötletét illesztjük bele; egészen félrevonulva, mintha nem is volna része benne, ugy intézte, hogy Josiane elment a Green-Boxba és látta Gwynplainet.	Hắn vốn khôn khéo trong cái nghệ thuật vẫn được thiên hạ gọi là khêu gợi, chủ yếu là khẽ chích một cú vào đầu óc người khác rồi nhét vào đấy một ý định của mình; vừa đứng tránh sang một bên làm ra bộ không tham dự vào, hắn vừa sắp đặt sao cho Giôzian đến Hộp Xanh và nhìn thấy Guynplên.
A komédiást az ő alantasságában megmutatni, ez nem volt rossz alkotórésze terveinek.	Tên hát rong với địa vị thấp hèn của nó là một vị thuốc để pha chế trong âm mưu của hắn.
Később ez majd füszerezi azokat.	Sau này cái đó sẽ tăng thêm hương vị.
A munkát, amit végzett, nem lehet máskép kifejezni, csak e furcsa szavakkal: szerkeszteni egy villámcsapást.	Công việc hắn thực hiện chỉ có thể miêu tả bằng những chữ kỳ quặc này; tạo nên một tiếng sét.
Az előkészületek megtörténtek és most azon őrködött, hogy a szükséges formaságok törvé­nyes alakban menjenek végbe.	Những điều sơ bộ làm xong, hắn đã chăm lo để các thủ tục cần thiết được hoàn thành đúng thể thức hợp pháp.
A titok emiatt nem szenvedett, hiszen a hallgatás benne volt a törvényben.	Bí mật vẫn không mảy may vì thế bị vi phạm, im lặng nằm trong pháp luật.
Hardquanonne szembesitése Gwynplaine-nel megtörtént; Barkilphedro jelen volt.	Việc đối chất giữa Acquanon và Guynplên đã tiến hành xong; Backinphêđrô cũng có mặt.
Ugyanazon a napon a királynő egyik postakocsija jött váratlanul Londonba, lady Josianet kereste, hogy Windsorba vigye, ahol akkor Anna a tavaszt töltötte.	Cùng ngày hôm ấy, một chiếc xe trạm của nữ hoàng thình lình đến Luân đôn theo lệnh nữ hoàng để mời tôn nữ Giôzian về Uynxo, nơi mà lúc này nữ hoàng Anh đang nghỉ mùa.
Josiane valami miatt, ami a fejében forgott, szerette volna megtagadni az engedelmességet vagy legalább egy nappal elhalasztani az engedelmességet és másnapra halasztani az utazást, de az udvari élet nem türi az ilyen ellenállást.	Vì một lý do nào đó trong đầu óc, Giôzian cũng không muốn tuân lệnh, hay ít ra cũng hoãn lại một ngày và lùi việc ra đi vào hôm sau, nhưng lệnh triều đình đâu có cho phép những kiểu chống đối như vậy.
Haladéktalanul utra kellett indulnia és londoni lakását, a Hunkerville-houset fölcserélni windsori lakásával, a Corleone-lodge-zsal.	Cô nàng đành phải lên đường ngay và rời khỏi tư dinh của mình ở Luân đôn là Hâncơvin - Haozơ để đến tư dinh ở Uynxo là Corlêon - Lotglơ.
Josiane hercegnő ugyanabban a pillanatban hagyta el Londont, mikor a wapentake megjelent a Tadcaster-fogadóban, hogy Gwynplainet elvezesse a southwarki kinzókamrába.	Nữ công tước Giôzian rời Luân đôn đúng vào lúc viên thiết trượng quan đến quán Tacaxtơ để bắt Guynplên dẫn đến hầm hình sự Xaothuak.
Mikor Windsorba érkezett, a feketepálcás ajtónálló, aki a fogadóterem ajtaját őrizte, közölte vele, hogy ő felsége bezárkózott a lord-kancellárral és csak holnap fogadhatja; ennélfogva a hercegnő tartózkodjék a Corleone-lodgeban ő felsége rendelkezésére várva és, hogy ő felsége másnap reggel közvetlenül hozzá küldi parancsait.	Lúc Giôzian đến Uynxo, viên hoàng môn quan đũa đen canh giữ cửa phòng trình diện: liền báo cho biết rằng nữ hoàng đang làm việc với huân tước tư pháp đại thần, chỉ có thể tiếp vào hôm sau; vì vậy cô nàng phải ở lại Corlêon-Lotgiơ, sẵn sàng chờ lệnh nữ hoàng, và sáng mai lúc ngủ dậy nữ hoàng sẽ trực tiếp ban lệnh.
Josiane bosszusan tért haza, rosszkedvüen ebédelt, fejfájást kapott, mindenkit elküldött, csak a kis inast nem, aztán még azt is elküldte és még világos nappal lefeküdt.	Giôzian trở về tư dinh, lòng đầy tức giận, bực bội, ngồi ăn: nhức đầu, cho quân hầu lui hết, trừ một tên tiểu đồng, rồi cũng cho nó lui nốt, và nằm nghỉ giữa lúc trời còn sáng.
Mikor megérkezett, megtudta, hogy lord David Dirry-Moir a tengeren parancsot kapott, térjen azonnal vissza, hogy átvegye a királynő parancsait és holnapra várják Windsorba.	Vừa đến nơi, cô nàng đã được biết cũng vào ngày mai, huân tước Đêvit Điry-Moa, từ ngoài biển có giấy phải lập tức trở về nhận lệnh nữ hoàng, được chờ đợi tại Uynxo.
Semmi sem olyan erőszakos, mint az egyensuly megszakitása.	Không gì mãnh liệt hơn sự mất thăng bằng.
Éjszaka volt, mikor Gwynplaine magához tért és kinyitotta a szemeit.	Khi Guynplên tỉnh lại mở mắt ra thì trời đã tối.
Karosszékben ült egy hatalmas terem közepén, melynek biborszinü bársony burkolta a falait, mennyezetét és padló­ját.	Nó ngồi trong một chiếc ghế bành, giữa một căn phòng phủ toàn nhung đỏ, cả tường, trần và nền nhà.
Közelében a nagyhasu ember állt födetlen fejjel, utazóköpö­nyeg­ben, aki a southwarki tömlöcben az oszlop mögül lépett elő.	Đứng bên cạnh, đầu để trần là anh chàng bụng phệ, khoác áo đi đường, đã từ sau cột trụ trong hầm Xaothuak bước ra.
Gwynplaine egyedül volt a szobában ezzel az emberrel.	Guynplên ngồi một mình trong phòng với người ấy.
Karszékéből, ha kinyujtotta a karját, megérinthetett két asztalt, melyeken hatágu karos gyertyatartók álltak égő viaszgyertyákkal.	Ngồi ở ghế bành: giơ cánh tay ra, nó có thể với tới hai cái bàn, trên một bàn đặt một cây đèn chùm với sáu ngọn bạch lạp đang cháy.
A kapukat rácsok zárták be, melyeknek csillogott a hegye és a középsőt magas szobor diszitette.	Cả mấy cửa đều có song sắt nhọn, sáng loáng; cửa giữa, ở trên chạm trổ rất cầu kỳ.
Az oszlopok valószinüleg fehér márványból voltak, valamint az udvar kövezete is, mert olyan volt, mintha hó boritotta volna és az udvar közepén homályosan valami mozaikfélét lehetett látni; ez a mozaik, ha világosságban nézték, zománcaival és szineivel bizonyára óriási cimert mutatott, florenci divat szerint.	Hàng cột có lẽ bằng đá hoa cương trắng, cũng như lớp gạch lát sân, nom như có tuyết phủ và cùng với lớp gạch mỏng, bao quanh một hình khảm mở mờ trong bóng tối; hình khảm ấy, nhìn ban ngày với cả những lớp men và mầu sắc chắc phải tạo thành một huy hiệu rất to, theo phong cách Florăng.
Az oszlopsoron keresztül látszott a félhomályban egy szeliden csobogó, tündéri szökőkut játéka, melynek medencéről-medencére hulló vizében egyesült az eső és a zuhatag, mintha a szél szórná szét egy ékszeresdobozból a gyémántokat és gyöngyöket a körülálló szobrok mulatságára.	Qua hàng cột, trong bóng tối chập chờn, một vòi nước thiên thai êm ái phun rào rào, từ thuỷ tán này trút xuống thuỷ tán kia, hoà lẫn tiếng mưa với tiếng nước đổ nhìn giống như vô vàn châu báu tung toé, và điên cuồng phân phát cho gió trời muôn nghìn kim cương ngọc quí để giải buồn cho các pho tượng bao quanh.
Annak a szobának a mélyén, ahol Gwynplaine volt, az ablakkal szemben, olyan magas kandalló volt az egyik oldalon, mint a fal, a másikon tágas, függönyös, főuri ágy, melyre lépcsőn kellett fölmenni és keresztben is lehetett aludni rajta.	Cuối căn phòng Guynplên ngồi đối diện với cửa sổ, một bên có lò sưởi cũng cao như bức tường lớn, còn bên kia, dưới một long đình, đặt một chiếc giường vương giả rộng thênh thang, trèo lên phải dùng thang và có thể nằm ngang được.
Itt-ott leeresztett, lebegő ajtófüggönyök jelezték az utat más szobákba.	Đây đó, những màn cửa, buông thõng phấp phới, cho biết có lối thông sang các buồng khác.
Aranyozás csak a mennyezeten volt.	Không có mầu vàng, trừ trần nhà.
Milyen lehetett ennek a fenséges helynek a lakója?	Người sống trong ngôi nhà tôn nghiêm này có thể là ai?
Miféle oroszlán barlangja lehetett ez a palota?	Cung điện này là hang ổ của con sư tử nào?
Gwynplainenek, aki még nem ébredt föl egészen, elszorult a szive.	Guynplên chưa thật hoàn hồn, cảm thấy lòng mình thắt lại, chợt nói:
- Hol vagyok? - kérdezte.	- Ta đang ở đâu thế này?
Az ember, aki előtte állt, igy felelt:	Anh chàng đứng trước mặt vội trả lời:
- Saját házában van, mylord.	- Bẩm huân tước, ngài đang ở trong tư dinh của ngài.
IV.	4.
Igézet.	QUYẾN RŨ
Idő kell ahhoz, hogy az ember a fölszinre kerüljön.	Muốn nổi lên mặt nước phải có thời gian.
Ki tud megállni, ha egyszer elröpitették?	Bạn thử cưỡng lại xem, một khi đã bị bắn đi.
Ha valakinek a sorsában a váratlanság megkezdődik, elkészülhet arra, hogy a meglepetések egymást érik.	Trong số phận, khi bắt đầu gặp một chuyện bất ngờ, bạn hãy chuẩn bị đến cảnh; dồn dập liên tiếp.
Ha rés támadt falainkon, az események zürzavara örvénylik be rajta.	Bức tường của bạn bị chọc thủng thì những sự kiện ồ ạt tuôn qua.
A rendkivüli nemcsak egyszeri látoga­tásért jön.	Phi thường không chỉ đến một lần.
A rendkivüli olyan, mint a homály.	Phi thường là một cảnh tối tăm.
Ez a homály körülvette Gwynplainet.	Cảnh tối tăm ấy đang bao trùm Guynplên.
A megrázkódtatás alapos volt.	Chấn động đã rung chuyển toàn bộ.
De az átlátszóság lassanként helyreáll.	Tuy vậy cũng dần dần thấy trong suốt lại.
Szétszedte és megint összeállitotta ezt a felhőt.	Nó phân tích đám mây kia rồi lại tổng hợp lại.
Időszakonként megzavarodott.	Có lúc nó hoảng hốt.
Elméjében az az ingadozás állt be, mely egymásután majd arra az oldalra vitte, ahol mindent értett, majd visszalökte oda, ahol semmit sem fogott föl.	Trí óc nó giao động trong bất ngờ, hết bị đẩy sang bên hiểu được lại bị kéo về bên không hiểu nổi.
Kivel nem történt meg, hogy ilyen ingát érzett az agyában?	Ai chẳng có thứ quả lắc đó trong đầu?
Gondolatai fokozatosan terjedtek ki az események sötétségében, mint ahogy pupillái kitágultak Southwarkben a földalatti homályban.	Tư tưởng nó cứ dần dần giãn nở ra trước bóng tối sự kiện bất ngờ, cũng như con ngươi của nó đã căng dần trong bóng tối hầm ngầm Xaothuak.
A legnehezebb volt bizonyos hézagokat teremteni az összehalmozódó érzelmek között.	Cái khó là làm sao đặt được ít nhiều quãng cách giữa bao cảm giác dồn dập.
Az eseményt, hogy ugy mondjuk, nem lehetett belélegzeni.	Sự việc xảy ra có thể nó là rất khó thở.
Hogyan volt ez lehetséges?	Sao lại có thể như thế?
Nem volt elég tér aközött, amit Gwynplaine várt és aközött, ami történt vele, nagyon is gyorsan követték egymást, rémülete nagyon is hirtelen változott át más valamivé, semhogy tisztában lehetett volna vele.	Giữa điều Guynplên e sợ và điều xảy ra không có đủ quãng cách, sự việc nối tiếp nhau quá nhanh, hãi hùng của nó biến đổi quá đột ngột nên không rõ.
Nagyon is közel szorultak egymáshoz az ellentétek.	Hai mặt tương phản liền nhau quá.
Gwynplaine erőlködött, hogy kiszabaditsa elméjét ebből a harapó­fogóból.	Guynplên phải cố sức để rút đầu óc mình ra khỏi gọng kìm đó.
Egy elejtett szó, melyet az ismeretlen fogaskerekek megragadnak, leránthatja az egész embert a kerekek alá.	Một lời nói lỡ mồm, bị guồng máy không tên tóm được, có thể cuốn cả người vào những bánh xe xa lạ.
Az apró emberek az összezuzatástól félnek.	Trẻ con thường sợ bị xéo bẹp.
A tömeg mindig attól retteg, hogy reálépnek.	Quần chúng luôn luôn sợ người ta dẫm lên mình.
És Gwynplaine elég soká volt a tömegben.	Thế mà Guynplên từ lâu đã là quần chúng.
Az ember még nincs egyensulyban a közelgő eseménnyel.	Người ta theo dõi một cái gì có nối tiếp.
Szemmel tart valamit, melynek következménye lehet.	Người ta chăm chú một cách mơ hồ.
Végtelen figyelmes.	Người ta nhìn thấy.
A nagyhasu ember ismételte:	Anh chàng bụng phệ nhắc lại:
- Saját házában van, mylord.	- Bẩm huân tước, ngài đang ở trong dinh thự của ngài.
Gwynplaine megtapogatta magát.	Guynplên tự sờ nắn mình.
Meglepetésében az ember körülnéz, hogy a dolgok létez­nek-e, aztán megtapogatja önmagát, hogy ő maga is létezik-e. Bizonyára ő volt az, akihez beszéltek, de ő már más volt.	Trong những giây phút ngạc nhiên, người ta cố nhìn, để tin chắc rằng mọi vật đang có thật, rồi người ta tự nắn mình để tin chắc rằng bản thân mình tồn tại.
Nem volt már rajta zubbony és a bőrből való gallérja.	Nó không còn chiếc áo len thuỷ thủ và cái lá sen bằng da nữa.
Ezüst­szövésü posztómellény és selyemkabát volt rajta, melynek érintéséről megtudta, hogy himzett; nagy, teli erszényt érzett a mellényzsebében.	Nó đang mặc một chiếc gilê bằng dạ ngân tuyến, và một tấm áo xa - tanh thêu, sờ vào cũng biết, nó cảm thấy trong túi gilê có một túi tiền to đầy.
Az ember tovább beszélt:	Anh chàng kia lại nói:
- Kegyelmes uram, méltóztassék megemlékezni a következőkről: Az én nevem Barkilphedro.	- Xin huân tước vui lòng nhớ rõ cho điều này; chính tôi là Backinphêđrô.
Jegyző vagyok a tengernagyi hivatalban.	Tôi là thư ký bộ hải quân!
Gwynplaine a beszélőnek mosolygó arcára szegezte szemeit.	Guynplên nhìn chằm chằm vào cái mặi nhăn nhở đang nói với mình.
Barkilphedro folytatta:	Backinphêđrô tiếp:
- E palotán kivül, mylord, a Hunkerville-house is az öné, mely még nagyobb.	- Bẩm huân tước, ngoài cung điện này ra ngài còn biệt thự Hâncơvin to hơn nữa.
Az öné Clancharlie-castle, mely az ön pairségének alapja és mely Öreg Edward korából való erőd.	Ngài có lâu dài Clăngsacli, thái ấp của ngài, và nguyên là một pháo đài thời Êđua Lão vương.
Tizenkilenc uradalma van faluival és parasztjaival együtt.	Ngài có riêng mười chín pháp quan, cùng với làng mạc và nông dân.
A királynak csak annyival van több joga, hogy pénzt verethet.	Nhà vua chỉ hơn ngài cái quyền đúc tiền.
A királynak, akit a norman törvény chief-signornak cimez, joga van birásko­dáshoz, udvartartáshoz és "coin"-hoz.	Nhà vua, mà luật pháp Normăngđi gọi là Chief-signor, nằm trong tay công lý, toà án và coin.
A régi northumberlandi oklevelek fejedelemnek minősitik önt.	Ngài có tư cách hoàng thân chiếu theo các cựu hiến chương Northâmbrơ.
Ön összeköttetésben áll az irlandi Valentia vicomtejaival, a Powerekkel és a skóciai Umfraville grófjaival, akik az Angus-családból valók.	Ngài bà con thông gia với các tử tước Valăngxya ở Iêclăng và Pasơ, và với các bá tước amfravin ở Êcôx là Anguyx.
Ön a Campbell, Ardmannach és Mac-Callummore törzsek feje.	Ngài là tộc trưởng như Cămben, Acmanasơ và Măc Calâmmo.
Nyolc vár az öné, Reculver, Burton, Hell-Kerters, Homble, Moricambe, Gumdraith, Trenwardraith és mások.	Ngài có tám thành bang là Ricânvơ, Bectân, Hen Kectờ, Hombon, Morican, Gâmđrêt, Torenvađrêt và các chỗ khác.
Joga van a pillinmorei tőzegterülethez és a trenti alabástrombányákhoz; sőt, mi több, öné Penneth-chase egész vidéke és öné egy hegység a régi várossal együtt, mely rajta épült.	Ngài có quyền về mỏ than Pilinmo và các mỏ bạch ngọc ở Toren; ngoài ra ngài nắm toàn bộ xứ Pennet-sêzơ và ngài có một quả núi với một thành phố nằm trên.
A városnak Vinecaunton, a hegységnek Moil-enlli a neve.	Thành phố ấy tên là Vainocauton; ngọn núi tên là Moi-enli.
Mialatt Barkilphedro beszélt, Gwynplaine a bámulat crescendojában emlékezni kezdett.	Trong khi Backinphêdrô nói, Guynplên mỗi lúc một thêm kinh ngạc, nhớ lại.
Valamennyi nevet, amit Barkilphedro kiejtett, ő mind ismerte.	Tất cả những tên người được Backinphêđrô nhắc tới đó.
Mikor, mint elhagyott árva, megérkezett a weymouthi guruló sátorba, már ott találta a reá váró örökség leltárát és reggel, mikor a szegény kis fiu fölébredt, az első dolog, amit szórakozott és öntudatlan tekintete betüzgetett, az ő uradalmairól és pairségéről szólt.	Là đứa trẻ mồ côi bị bỏ rơi, lúc đến cái lều lưu động Uê-mơt, nó đã được thấy gia tài của nó kê khai đầy đủ đang chờ đợi nó, và sáng sáng thì thằng bé đáng thương tỉnh dậy, việc đầu tiên con mắt vô tình và lơ đãng của nó đánh vần, là lãnh địa và thái ấp của nó.
Az a különös részlet járult még meglepetésébe, hogy tizenöt évig bolyongott egyik utcasarokról a másikra, mint egy vándor bódé bohóca, napról-napra keresvén kenyerét, fölszedve a filléreket és morzsákból élvén, mindig együtt utazott a nyomoruságára ragasztott szerencséjével.	Một chi tiết kỳ lạ thêm vào tất cả những chuyện bất ngờ của nó là trong mười lăm năm lang thang khắp các đầu đường xó chợ, đóng vai thằng hề trên một sân khấu nay đây mai đó, lần hồi kiếm sống từng ngày, nhặt nhạnh từng xu, sống bằng vụn bánh, nó đã ngao du với toàn bộ tài sản phô trương trên cảnh cùng khổ của nó.
Barkilphedro megérintette ujjával az asztalon álló szekrénykét:	Backinphêđrô chạm ngón tay trỏ vào cái két con để trên bàn.
- Mylord, ebben a dobozban kétezer guinea van, amit ő legkegyelmesebb felsége a királynő küld önnek az első szükségleteihez.	- Bẩm huân tước, cái két này đựng hai nghìn ghi-nê mà nữ hoàng xinh đẹp gửi để ngài chi dùng bước đầu.
- Atyámé, Ursusé lesz, - mondta.	Guynplên phác một cử chỉ, nói:
- Helyes, mylord, - szólt Barkilphedro.	- Cái đó sẽ dành cho bố Uyêcxuyt của tôi.
- Ursusé, a Tadcaster-fogadóban.	- Bẩm huân tước, vâng- Uyêcxuyt ở quán Tacaxtơ.
Talán én is Londonba megyek.	Có lẽ tôi sẽ đi Luân đôn.
- Magam viszem el neki, - válaszolt Gwynplaine.	- Để tôi đích thân đem số tiền đến cho bố tôi - Guynplên đáp.
Barkilphedro megszünt mosolyogni és igy szólt:	Backinphêđrô không nhăn nhở nữa, nói luôn:
- Lehetetlen.	- Không được.
Van olyan hangsuly, mely aláhuzza a szavakat.	Có một lối uốn giọng để nhấn mạnh.
- Mylord, ön most huszonhárom mérföldre van Londontól a Corleone-lodgeban, az ön udvari szállásán, mely közvetlen szomszédja a királyi kastélynak Windsorban.	- Bẩm huân tước, lúc này ngài đang ở cách Luân đôn hai mươi ba dặm, tại Corlêon-Lotgiơ, trong tư dinh của ngài ở thành nội, liền với hoàng cung tại Uynxơ, ngài ở đây nhưng không một ai hay biết.
Vannak a kastélyban személyek, akik alusznak és ebben az órában nem illik fölkelteni a háznépet.	Trong nhà có những người đang ngủ, và không phải lúc gọi mọi người dậy.
Ennélfogva van időnk a magyarázatra, mely különben nem lesz hosszu.	Vì vậy chúng ta có đủ thì giờ để giải thích, vả lại cũng ngắn thôi.
Barkilphedro beszédközben lapozni kezdett egy iratcsomóban, mely a doboz mellett hevert.	Backinphêđrô vừa nói vừa bắt đầu giở mớ hồ sơ để cạnh chiếc két.
- Mylord, ime a pairségéről szóló kiváltságlevél.	- Bẩm huân tước, đây là chiếu chỉ nguyên lão của ngài.
és I. Jakabig, Angolország és Skócia királyáig.	Đây là những chứng thư về quyền ngôi thứ của ngài.
A cimer, mely feje fölött van a mennyezeten, az ön két koronája, a bárói gyöngyös abroncs és a marquisk levéldiszes pántja.	Trên đầu ngài, trong các huy hiệu ở trần, là hai vòng miện của ngài: chiếc mũ xoắn nam tước nạm ngọc và vành hoa hầu tước.
A mai napon, néhány órával ezelőtt, a lord-kancellár és a főlovászmester helyettese, értesülvén az ön és Hardquanonne, a comprachico szembesitésének eredményéről, átvették ő felsége parancsait.	Ngay hôm nay, cách đây vài giờ huân tước tư pháp đại thần, và vị đại diện bá tước đô đốc Anh quốc, sau khi được biết kết quả việc đối chất giữa ngài và tên Comprasicôx Acquanon, đã nhận lệnh của nữ hoàng.
Ő felsége az ő tetszése szerint cselekedett, ami ugyanannyi, mint a törvény.	Nữ hoàng đã ký theo ý của Người, tức cũng như theo pháp luật.
Holnap, nem később, mint holnap, bevezetik önt a lordok házába; néhány nap óta egy billt tárgyalnak, melyet a korona terjesztett elő, melynek az a célja, hogy százezer font sterlinggel, vagyis kétmillióötszázezer francia fonttal emeljék föl az évi diját a cumberlandi hercegnek, a királynő férjének; ön résztvehet a vitában.	Ngày mai, không thể chậm hơn, ngài sẽ được nhận vào nghị viện quí tộc; tại đấy mấy hôm nay đang thảo luận về một dự án do nữ hoàng đề nghị, nội dung tăng thêm mười vạn livrơ xteclinh, tức hai triệu năm mươi vạn livrơ Pháp, tuế phí của công tước Câmbơlan, chồng của nữ hoàng; ngài có thể tham dự cuộc tranh luận.
Barkilphedro itt félbeszakitotta magát, lassan lélegzetet vett és folytatta:	Backinphêđrô dừng lại, thở thong thả, rồi mới tiếp:
- De még semmi sem történt.	- Tuy nhiên, chưa có gì dứt khoát cả.
