A nap lenyugodni készült a nyugati láthatáron kirajzolódó dombok mögött.	Mặt trời sắp lặn đằng sau những quả đồi phía tây.
Davis nem bírta tovább, előkúszott a lyukból, és aggódva nézett a tenger felé.	Không thể kiên nhẫn thêm nữa, Davis bò ra ngoài và sốt ruột ngóng ra phía biển.
Akárhogy is, aligha fedezték fel, hiszen egy árva nesz sem hallatszott.	Dù sao, anh ta cũng không thể bị phát hiện vì không nghe thấy tiếng động nào cả.
Pár pillanat múlva egy csuromvizes, csupa sár ember rohant Davis felé, a lyuk felé taszította, majd melléugrott a rejtekhelyre, és elfordította maguk mögött a bejáratot álcázó sziklát.	Một lúc sau, một con người mình mẩy ướt sũng nước và bùn chạy lại, lấy tay đẩy Davis ra để có lối chui vào hốc đá.
Vastag lábbelijük nagy zajt csapott a sziklákon, de hangjukat nem nyomta el.	Tiếng chân rầm rập trên bờ đá cũng không át được tiếng nói của chúng.
- Rajta!	- Nào cố lên!
- kiáltott az egyik. - A markunkban van.	- Một tên kêu lên - Bắt lấy nó.
- A gyalázatos!	- A!
- Minden rendben van?	- Thành công chứ?
- kérdezte Davis.	- Davis khẽ giọng hỏi.
- Igen - mondta Vásquez.	- Tốt - Vasquez đáp.
- Mit gondol, sikerült?	- Và anh nghĩ là sẽ thành công?
- Remélem - felelte Vásquez.	- Tôi hy vọng thế - Vasquez đáp.
Ha így dolgoznak a kétárbocos fedélzetén, nyilván kár esett a hajóban, azaz Vásquez merénylete sikerült.	Tiếng búa gõ dưới tàu chứng tỏ tàu đã bị hư hại, và như vậy hành động của Vasquez đã thành công.
De, hogy milyen súlyos a sérülés, azt bizony egyikük sem tudhatta.	Tuy nhiên thành công đến mức nào thì cả hai đều chưa rõ.
- Bárcsak komoly volna, hogy egy hónapig itt kelljen vesztegelniük!	- Mong sao cho nó hư nặng đến mức bọn chúng phải ở lại trong vịnh cả tháng trời!
- kiáltott fel John Davis, megfeledkezve arról, hogy ebben az esetben társával együtt éhen halnának búvóhelyükön.	- Davis nói lớn mà quên rằng trong trường hợp ấy cả anh và bạn anh sẽ không còn gì để sống trong cái nơi trú ẩn này.
- Csend! - suttogta Vásquez, megszorítva társa kezét.	- Im lặng - Vasquez thì thầm và lấy tay giữ Davis lại.
Újabb csoport érkezett, ezúttal csendben.	Có một toán người đang im lặng tiến lại gần.
Ezek mindenesetre egy szót sem szóltak, csak a talajt dobogó bakan­csuk hallatszott.	Bọn chúng im lặng chẳng nói chẳng rằng, chỉ có tiếng chân rầm rập bước qua.
Davis és Vásquez egész délelőtt hallotta maguk körül a járkálást.	Cả buổi sáng hôm đó, Vasquez và Davis cứ phải nghe những tiếng chân đó đi qua đi lại.
Több csapat indult a meg­fog­hatatlan támadó üldözésére.	Từng tốp người, thay nhau vào cuộc truy tìm.
Miközben múltak az órák, az üldözési kedv mégis alább­hagyott.	Tuy nhiên, thời gian dần qua và cuộc tìm kiếm lơi lỏng dần.
- mondta egyikük, miközben éppen arra a sziklára ült le, amelyik a rejtekhely bejáratát torlaszolta el.	- Chắc chắn là không tìm được hắn rồi - một tên đứng ngay bên hốc đá nói.
- Hagyjuk abba - felelte egy másik.	- Tốt hơn cả là kết thúc cuộc săn lùng thôi - một tên khác gợi ý - Mọi người đều lên tàu rồi.
- A többiek már visszamentek a hajóra.	- Và chúng ta cũng làm như họ thôi.
Vásquez és Davis összerezzent, és még jobban hegyezte a fülét.	Nghe thấy thế, Vasquez và Davis giật mình, và càng chăm chú nghe.
- Bizony - felelte a negyedik.	- Đúng thế - tên thứ tư lên tiếng - Mày không thấy là nó định phá bung cái bánh lái!
- Szerencse, hogy a töltet csak alig robbant, s az összes kár egy lyuk a tatboltozatban, és egy leszakadt vasalás.	Sự thiệt hại chỉ là một lỗ nhỏ ở vỏ tàu và vài cái đinh bị bật ra.
A kanóc a kormánylapátnál éppenhogy csak megperzselte a fát.	Còn trục bánh lái thì gần như không suy suyển.
- Na, Lopez, kipihented magad?	- Thế nào, Lopez, mày nghỉ ngơi thế đã đủ chưa?
- Gyerünk!	- Nào thì về - cả ba tên kia cùng phụ họa theo.
- szólt a másik három, és útnak indultak.	Sau đó chúng cùng đi xuống bờ đá.
A hallottaktól letaglózva, Vásquez és Davis némán meredtek egymásra rejtekhelyükön.	Trong hốc đá, nơi hai người ẩn nấp, cả Vasquez và Davis đều bàng hoàng, chán nản về tất cả những điều vừa nghe được.
Tizenkét órányi újabb késedelem: ennyi volt csupán a kalózok­nak okozott kár.	Kết cục cũng làm cho bọn cướp chậm ra khơi thêm có mười hai tiếng đồng hồ nữa.
A kétárbocos sérüléseit még aznap estére kijavítják, s akkor kifuthat a tenger­re, és eltűnhet a láthatáron.	Chỉ tối nay thôi, sau khi sửa chữa xong, chiếc thuyền buồm lại ra khơi và sẽ khuất dạng nơi chân trời.
A partról fölhalló kopácsolás azt bizonyította, hogy Kongre erősen hajtja embereit, hogy rendbe hozzák a Carcantét.	Tiếng búa rộn rã vang lên từ dưới thuyền chứng tỏ Kongre và đồng bọn đang tích cực làm việc sao cho chiếc Carcante có thể ra khơi tối nay.
Negyed hat felé, Vásquez és Davis nagy kétségbeesésére a kopácsolás hirtelen abbamaradt.	Vào hơn năm giờ chiều một chút, tiếng búa đóng ngừng hẳn trong sự thất vọng của Vasquez và Davis.
Néhány perccel később a horgonylánc csikorgása erősítette meg feltételezésüket.	Vài phút sau, tiếng xích kéo neo đập vào thành tàu xác nhận điều đó Kongre cho dây neo treo thẳng đứng.
Kongre felhúzatta hát a horgonyt.	Giờ phút khởi hành đang đến gần.
Nyugaton a lemenő nap a láthatárt az ezen az oldalon lezáró hegyek csúcsát világította meg.	Về phía tây, mặt trời xuống đến đỉnh các ngọn núi che khuất tầm nhìn phía đó.
Az őszi napéjegyenlőséghez ilyen közel, egy órának sem kell eltelnie, hogy leszálljon az éj.	Vào thời điểm này, ngày thu phân đến gần và phải một tiếng đồng hồ nữa, mặt trời mới lặn hẳn.
Vásquez, félretéve minden elővigyázatosságot, fél testével előbújt a lyukból.	Anh như quên mọi thận trọng, nhô hẳn nửa người ra ngoài hốc đá.
Davis hátulról a vállának dőlt.	Sau lưng Vasquez, Davis nép vào vai anh.
Zihálva nézték, mi történik.	Cả hai hồi hộp quan sát.
A kalózok többsége már a fedélzeten volt.	Cần hết băng cướp đã lên cả trên thuyền.
Néhányan azonban a szárazföldön maradtak még.	Một vài tên còn ở lại dưới đất.
Közöttük Vásquez világosan felismerte Kongrét, aki Carcante társaságában járkált fel-alá a torony tövében.	Trong số đó, Vasquez nhìn thấy rõ Kongre cùng với Carcante đang đi đi lại lại bên tháp đèn.
Öt perccel később elváltak, és Carcante a toldalék épület ajtaja felé indult.	Năm phút sau, một mình Carcante đến gần cửa vào hải đăng.
- Vigyázat - szólt halkan Vásquez. - Biztosan felmegy a toronyba.	- Cẩn thận nhé - Vasquez thì thầm - Tên này có thể leo lên trên tháp đèn.
Mindketten visszabújtak a rejtekhelyükre.	Cả hai cùng trườn vào bên trong đáy hốc đá.
Valóban, Carcante még egyszer utoljára felmászott a lépcsőkön.	Đúng thế, Carcante định leo lên đỉnh tháp đèn một lần cuối.
A goelett perceken belül elin­dulhatott.	Chiếc thuyền buồm sắp ra khơi.
A másodkapitány még egyszer meg akarta szemlélni a láthatárt, s megbizonyosodni, hogy nem tart-e hajó a sziget felé.	Hắn muốn quan sát phía chân trời để xem có con tàu nào xuất hiện nơi cửa vào vịnh không.
Az éjszaka nyugodtnak ígérkezett, estére a szél ereje gyengült, így napfelkeltekor jó időre lehetett számítani.	Tuy nhiên, đêm vẫn yên tĩnh, gió lặng và mọi thứ đều hứa hẹn một ngày đẹp trời vào sáng mai, lúc mặt trời mọc.
Amikor Carcante felérkezett a körfolyosóra, John Davis és Vásquez tisztán kivehették alakját.	Khi Carcante lên đến hành lang bao quanh tháp, cả John Davis và Vasquez đều nhìn thấy rõ mồn một.
A kalóz körbement és távcsövével végigkémlelte a láthatár minden pontját.	Tên này đi quanh hành lang, chiếc ống nhòm trong tay hắn luôn chĩa ra ngoài chân trời.
Kongre és a többiek mind felnéztek feléje.	Kongre và bọn cướp đều nhìn về phía hắn.
Carcante mindenki számára hallhatóan ezt ordította:	Bằng một giọng mà mọi người đều nghe rõ, Carcante kêu lên:
- A naszád... a naszád!	- Tuần dương hạm... nó đang tới!
A Santa Fé ágyúnaszád	CHIẾN HẠM SANTA-FÉ
Hogyan is lehetne leírni, mekkora riadalom támadt az öbölben?	Những tiếng kêu: "Chiếc tuần dương hạm...?"
A közeledő hajó csakugyan az Elgor-öböl felé tartott?	Chiếc tàu đó có đến vịnh Elgor không?
Nem pusztán a Le Maire-szoros, vagy a Several-földnyelv felé haladt, hogy dél felől kerülje meg a szigetet?	Hay nó chỉ vượt qua eo biển Lemaire hoặc tới mũi Several để đi về phía nam của đảo?
Mihelyt Kongre meghallotta Carcante kiáltását, a földhányásra rontott, felrohant a lépcsőn és öt percen belül a körfolyosón volt.	Ngay từ lúc nghe thấy tiếng kêu hốt hoảng của Carcante, Kongre liền chạy lên bờ, rồi nhanh chóng trèo lên cầu thang, và chỉ sau năm phút hắn đã tới hành lang của hải đăng.
- Hol van az a hajó?	- Đâu, con tàu ấy đâu?
- kérdezte.	- hắn giật giọng hỏi.
- Ott... észak-északkeletre.	- Kia kìa, ở hướng bắc - đông bắc.
- Mekkora távolságra van most?	- Còn xa không?
- Körülbelül tízmérföldnyire.	- Gần mười hải lý.
- Éjszaka előtt tehát nem érheti el az öböl bejáratát?	- Nó không thể đến cửa vịnh trước khi trời tối phải không?
- Nem.	- Đúng vậy.
Kongre elvette a messzelátót.	Kongre giằng lấy chiếc ống nhòm.
Szótlanul, feszült figyelemmel szemlélte a hajót.	Hắn chăm chú nhìn con tàu, không nói một câu.
Tisztán látszott sűrű pamacsokban felfelé szálló füstje, ami arról tanús­kodott, hogy nagy gőznyomással halad.	Nhìn những cuộn khói đen tuôn mạnh mẽ ở ống khói, có thể đoán biết con tàu đang chạy hết tốc lực.
Hogy ez a gőzös éppen az ágyúnaszád volt, abban sem Kongre, sem Carcante nem kételked­hetett.	Và chiếc tàu thủy đó chính là tuần dương hạm Santa-fé, cả Kongre lẫn Carcante không thể lầm lẫn điều đó.
Az építkezés idején többször is látták az argentin hajót, amikor az Államok-szigetre érkezett vagy elment innen.	Đã bao nhiêu lần bọn chúng trông thấy con tàu Argentina này trong thời gian xây dựng hải đăng, cả lúc nó đến lẫn khi nó rời đảo.
Ez a gőzhajó különben egyenesen az öböl felé tartott.	Hơn nữa, con tàu này đang thẳng đường đi đến vũng đậu tàu.
Ha kapi­tánya a Le Maire-szorosba készült volna, már nyugatabbnak veszi az irányt, és dél felé, ha Several-földnyelvet akarja megkerülni.	Nếu nó chỉ đi qua eo biển Lemaire, thì nó phải đi chếch ve phía tây hơn nữa, còn nếu muốn qua mũi Several để ra đại dương thì phải vòng xuống phía nam.
- Igen - szólalt meg végül Kongre.	- Đúng nó rồi - sau cùng Kongre nói - đúng là chiếc tuần dương hạm!
- Locsogással nem megyünk semmire - felelte Kongre.	- Thôi, nói lại tất cả có ích lợi gì - Kongre ngắt lời – Chúng ta phải liều thôi.
- Valamit tennünk kell.	- Liều cách nào?
- Mit? - Felhúzni a horgonyt.	- Chuẩn bị ra khơi luôn.
- Mikor?	- Khi nào?
- Most rögtön.	- Ngay lập tức.
- De semeddig sem jutunk, mire az ágyúnaszád eléri az öböl bejáratát...	- Nhưng, trước khi mình ra được ngoài biển thì chiếc tuần dương hạm đã đứng ở cửa vịnh rồi.
- Úgy van... de ott is fog maradni.	- Đúng vậy, nhưng nó còn ở bên ngoài.
- Hogyhogy?	- Tại sao?
- Mert nem fogja észlelni a világítótorony fényét, vaksötétben pedig nem merészkedik be az öbölbe.	- Bởi vì ngọn hải đăng không hoạt động, bọn chúng không dám liều đi vào vịnh trong đêm tối.
Ezt a helytálló gondolatmenetet nemcsak Kongre, hanem Vásquez és John Davis is végig­kö­vette.	Cái lập luận quá đúng mà Kongre nêu lên đó, chính John Davis và Vasquez cũng đã nghĩ đến.
Nem akarták addig elhagyni rejtekhelyüket, amíg föntről, a körfolyosóról megláthatták őket.	Hai người chưa muốn rời chỗ núp, chừng nào trên hành lang của tháp đèn còn có thể trông thấy họ.
S ha nem látja a fényt, bár nyilván észlelte a sziget közelségét, nem fog-e Lafayate kapitány egész éjjel inkább a nyílt vízen cirkálni?...	Nếu không thấy được ánh đèn, thì mặc dù rất thông thạo đảo này, ông thuyền trưởng Lafayate sẽ không dại gì mà không dừng lại chờ ở ngoài khơi?...
- De - mondta ekkor Vásquez - ha a kapitány nem látja meg a szárazföldet, s gondolván, hogy egyszer csak meglátja a fényt, továbbmegy, nem történhet-e meg vele ugyanaz, mint a Centuryval?	Vả lại Vasquez nói, nếu ông chỉ huy mà không trông thấy đất liền, nếu ông cứ liều lĩnh đi với hy vọng thấy ánh đèn, biết đâu lại chẳng xảy ra vụ tàu Century thứ hai?
Nem vész-e oda a San Juan-fok szirtjein?	Ông sẽ lại gặp rắc rối với những bãi đá của mũi San Juan?
John Davis csak egy kitérő mozdulattal válaszolt.	Với những câu hỏi trên, John Davis chỉ dám trả lời lấp lửng.
Bár nem fújt viharos szél, és a Santa Fé nem volt ugyan­olyan helyzetben, mint a Century, a baleset azért mégis bekövetkezhet.	Dĩ nhiên là hôm nay trời không giông bão và chiếc Santa-Fé không giống chiếc Century.
- Várjunk!	- Vậy ta phải làm gì?
- felelte John Davis.	- Phải chờ thôi - John Davis đáp.
Már hat óra is elmúlt, és a szürkület kezdte beburkolni a szigetet.	Lúc này đã hơn sáu giờ và hoàng hôn bắt đầu buông xuống.
Lafayate kapitány nem engedné át az öböl bejáratán.	Khi đó viên chỉ huy Lafayate sẽ không cho chiếc thuyền buồm ra khơi.
Megparancsolná, hogy vonja be a vitorláit, és kikérdezné a kapitányt.	Ông ta sẽ bắt thuyền dừng lại và chất vấn thuyền trưởng.
Bizonyára tudni kívánná, miért nem világít a torony.	Chắc chắn, ông ta sẽ hỏi tại sao hải đăng không hoạt động.
A Carcante jelenléte joggal tűnne neki gyanúsnak.	Sự có mặt của chiếc Carcante là một nghi vấn với ông.
Arra kényszerítené a hajót, hogy megfordulva kövesse őt az Elgor-öbölbe, ahol kiterjedtebb vizsgálódásra kerülhet sor.	Ông sẽ ra lệnh cho thuyền quay mũi trở lại trong vịnh để làm sáng tỏ mọi vấn đề.
S ha a Santa Fé kapitánya nem találná a három toronyőrt, távollétüket csakis azzal magya­rázhatná, hogy merénylet áldozatai lettek.	Lúc đó, sự vắng mặt của ba nhân viên gác đèn sẽ chỉ được giải thích bằng một vụ tấn công mà họ là nạn nhân.
Ha Kongréék észrevették a Santa Fét a nyílt vízen, vajon nem valószínű, sőt bizonyos-e, hogy azok is tudomást szereztek érkezéséről, akik már kétszer is megtámadták a Carcantét abban a pillanatban, amikor kifutni készült az öbölből?	Điều rắc rối sau cùng có thể xảy ra là: một khi Kongre và đồng bọn đã nhận ra chiếc Santa-fé ở ngoài khơi, thì chắc chắn rằng, nhóm người đã hai lần tấn công chiếc Carcante, cũng đã nhận ra nó.
Az ismeretlen ellenség biztosan szemmel tartja az ágyúnaszád minden mozdulatát, s ha köztük van, amint feltehető, a harmadik toronyőr is, akkor Kongre és bandája nem menekülhet meg az igazságszolgáltatás elől.	Những kẻ thù giấu mặt đó có thể theo dõi mọi động thái của con tàu và khi chiếc Santa-fé đã vào trong vũng tàu thì bọn họ cũng đã có ở đó, và nếu trong số đó có tên gác đèn thứ ba thì Kongre và đồng bọn không thể nào tránh được sự trừng phạt cho những tội ác mà chúng đã gây ra.
Kongre előre számolt ezekkel a lehetőségekkel és következményeikkel.	Kongre đã hình dung ra tất cả các khả năng đó và hậu quả của chúng.
Az egyedüli megoldás az volt, amire készült: azon nyomban felszedni a horgonyt, s mivel az észak felől fújó szél kedvező, az éjszaka sötétjét kihasználva, bő vitorlázattal kifutni a nyílt tengerre.	Từ đó, lối thoát duy nhất cho hắn là: chuẩn bị buồm chảo ngay tức thì, gió đang thổi từ hướng bắc tới, vậy là rất thuận lợi, có thể lợi dụng đêm tối, dong buồm lên mà ra khơi.
Ha szükséges, elővigyázatosságból Kongre nem a Le Maire-szorosba hajózik be, hanem délnek tartva megkerüli a Several-földnyelvet, és a déli part fedezékében eltűnhet.	Nếu cần, thay vì đi qua eo biển Lemaire, Kongre sẽ cho thuyền đi về phía nam, vượt qua mũi Several rồi né sang bờ biển phía nam.
Átlátván a kalózok tervén, John Davis és Vásquez azon gondolkoztak, miképpen tudnák meghiúsítani, de elkeseredetten vették tudomásul, hogy tehetetlenek.	John Davis và Vasquez, hình như cũng đoán được ý định bọn cướp nên cũng đang tự hỏi, làm thế nào để ngăn cản bọn chúng thực hiện ý đồ ấy.
Fél nyolc tájt Carcante visszahívta azt a néhány embert, akik még a szárazföldön tartózkodtak.	Vào lúc bảy giờ ba mươi, Carcante cho gọi tất cả những tên còn ở trên bờ xuống tàu.
Mihelyt a legénység kiegészült, beemelték a csónakot, és Kongre kiadta a parancsot a horgony felhúzására.	Khi toàn bộ thủy thủ đoàn đã ở trên boong, chúng cho kéo chiếc ca nô lên và chuẩn bị kéo neo.
John Davis és Vásquez hallották a csapópecek szabályos kattanásait, ahogy a lánc föltekere­dett a csörlőre.	John Davis và Vasquez nghe rõ tiếng dây xích kéo neo rít lên ken két và trông rõ chiếc neo đang được kéo lên.
Öt perc múlva a vasmacska a horgonydarun volt.	Sau năm phút, chiếc mỏ neo đã được đặt trên giá.
A kétárbocos azonnal mozgásba lendült.	Chiếc thuyền buồm rùng mình chuyển động.
Minden alsó és felső vitorlája fent volt, hogy semmit ne veszítsen a gyengülni kezdő szélből.	Bao nhiêu buồm lớn buồm nhỏ trên tàu đều được giương lên để tận dụng sức gió lúc này còn yếu.
A hajó lassan kifutott a kis öbölből, s hogy jobban kapja a szelet, az öböl közepén haladt.	Chiếc thuyền từ từ lướt ra khỏi vịnh và để nhận được nhiều gió hơn nữa, nó đi ở giữa vịnh.
Mivel az apály éppen minimuma körül járt, az áram­lat nem segítette a kétárbocost, amely ilyen tempóban háromnegyedes hátszéllel, nem­igen haladt előre.	Nước triều đã xuống thấp, không còn đủ sức đẩy thuyền đi và với cách đi chếch gió này, nó chẳng tiến được bao xa.
A hajó a legjobb esetben sem érhet a San Juan-fok magasságába éjfél előtt.	Nếu cứ cho là mọi chuyện đều tốt đẹp, thì phải đến nửa đêm, con thuyền mới đến được mũi San Juan.
Ha meg kell is várnia a következő apályt, napkeltére biztosan a nyílt tengeren lesz.	Con tàu đó cũng phải chờ lúc nước triều lên, như vậy cũng phải tới sáng hôm sau.
Kongre rosszul ismerte ezt a partszakaszt, de tudta, hogy igen veszélyesek a part mentén elszórt sziklaszirtek.	Bờ biển phía nam đó, Kongre biết rất lờ mờ, hắn chỉ biết là ở đó có nhiều mỏm đá lởm chởm rất nguy hiểm cho tàu bè qua lại.
Az indulás után egy órával úgy vélte, olyan közel kerülhettek hozzájuk, hogy jobbnak látta irányt változtatni, ha el akar távolodni a parttól.	Một tiếng đồng hồ sau lúc xuất phát, để khỏi trôi giạt tới đó, hắn nghĩ đến phương án cho đổi hướng tiến của tàu.
Az est leszálltával egyre lanyhuló szélben, elég nehéznek ígérkezett ez az irányváltás.	Nhưng thay đổi cách néo buồm lúc này không dễ dàng chút nào, nhất là gió càng lúc càng yếu đi.
Kongre tisztában volt a veszéllyel.	Kongre đã thấy được sự nguy hiểm và chỉ còn một lựa chọn cuối cùng.
Negyedórával később a kétárbocos visszaállhatott az eredeti irányba, s már nem kellett attól tartani, hogy a déli szirtekre vetődik.	Nhờ sức của mái chèo, bọn chúng đã làm chiếc thuyền buồm nhích lên cùng với sự hỗ trợ của những cánh buồm trái.
Balszerencséjükre a szél közben teljesen elült; a vitorlák az árbocok közt vergődtek.	Mười lăm phút sau, chiếc thuyền lấy lại hướng đi ban đầu mà không sợ va phải bờ đá nữa.
Hogy árral szemben hajózzanak, arra gondolni sem lehetett.	Còn vượt lên trên sóng, chưa ai dám nghĩ tới.
Vajon Kongre kénytelen lesz itt horgonyt vetni, kétmérföldnyire a kis öböltől?	Kongre buộc lòng phải cho neo đậu thuyền tại chỗ, tại một địa điểm cách vũng đậu tàu khoảng hai hải lý.
A hajó indulásakor John Davis és Vásquez előjöttek és lementek a tengerpartra, ahonnét követhették a kétárbocos mozgását.	Sau khi chiếc Carcante kéo neo, John Davis và Vasquez cùng đứng cả lên và đi xuống bờ biển theo dõi chuyển động của chiếc thuyền buồm.
Mikor a szél teljesen elült, megértették, hogy Kongre kénytelen lesz megvárni a legközelebbi apályt.	Gió lúc này đã tắt hẳn và cả hai đều hiểu rằng sớm muộn Kongre phải cho thuyền neo lại, đợi kỳ nước triều xuống vào sáng mai.
De még így is elérheti az öböl kijáratát nap­kelte előtt, vagyis jó esélye van rá, hogy észrevétlenül elhajózzon.	Nhưng từ giờ đến sáng mai, hắn có thể tới được cửa vịnh và vẫn còn nhiều cơ may cho Kongre có thể đi thoát mà không bị bắt gặp.
- Nem!	- Không thể được!
- kiáltott fel hirtelen Vásquez.	- Đột nhiên Vasquez kêu to lên.
- Hogyhogy?	- Nhưng làm thế nào?
- kérdezte John Davis.	- John Davis hỏi.
- Jöjjön... jöjjön!	- Lại đây... anh hãy đi theo tôi!
Arra számított, hogy a Santa Fé a part előtt cirkál, talán egészen közel hozzá, ami nem is jelent túl nagy veszélyt, mivel a tenger nyugodt.	Tàu có thể đã ở rất gần đảo do đó với mặt biển lặng như thế này, cũng không mấy nguy hiểm.
Lafayate kapitány, akit nagyon meglephetett, hogy a torony nem világít, nyilván a közelben cirkál csökkentett gőznyomással, a napfelkeltét várva.	Chắc hẳn là ông thuyền trưởng Lafayate sẽ rất ngạc nhiên khi thấy hải đăng không hoạt động, nhưng ông phải chờ đến sáng hôm sau.
Kongre is így sejtette, de bízott benne, hogy meg tudja téveszteni a naszádot.	Đó cũng là tất cả những gì mà Kongre đã nghĩ trong đầu; nhưng hắn cho là mình có nhiều cơ may để đánh lạc hướng chiếc chiến hạm.
Mihelyt az apály visszahajtja a vizet az öbölből a tenger felé, már a szélre se lesz szükség, a Carcante a szél segítsége nélkül is továbbhaladhat, és egy órán belül elérheti a nyílt tengert.	Ngay sau lúc nước triều xuống buổi sáng, chẳng cần đợi có gió, chiếc Carcante sẽ ra khơi ngay và chỉ trong vòng một giờ, chiếc thuyền buồm đã ở đại dương.
Mihelyt elhagyja a hét-nyolc mérföldre lévő Several-földnyelvet, a sziklafalak takarásában semmitől sem kell tartania a kétárbocosnak.	Sau khi vượt qua mũi Several thì chiếc thuyền sẽ được che chở bởi các vách đá dựng đứng.
Az egyetlen veszély az volt, hogy a Santa Fé árbocőrei észrevehetik őket, ha a hajó az öbölnél, és nem a San Juan-fok magasságában várakozik.	Hiểm nguy duy nhất cần đề phòng, đó là bị những thủy thủ cảnh giới trên tàu Santa-fé bắt gặp, nếu như con tàu này đứng khuất trong vịnh mà không đậu ở ngay mũi San Juan.
Ha a Carcantét észlelik az öböl kijáratánál, Lafayate kapitány nyilván nem engedi útjára anélkül, hogy legalább ki ne kérdezze a kapitányát a világítótorony felől.	Lúc đó thì chắc chắn là viên chỉ huy tàu Lafayate sẽ không để cho chiếc Carcante đi qua, có thể ông ta chỉ hỏi tại sao chiếc hải đăng lại không hoạt động.
Gőzösével előbb utolérné a szökevényeket, mint ahogy hajójuk eltűnhetne a déli magas­latok mögött.	Chiếc thuyền buồm Carcante làm sao có thể qua mặt một chiếc chiến hạm chạy bằng hơi nước được.
Kongre egy percet sem akart elveszteni az indulásnál, amikor eljön az ideje.	Kongre chỉ chờ lúc nào thuận lợi là sẽ nhanh chóng quay mũi ra khơi.
- A gazfickók!	- A!
- kiáltott fel Carcante.	Chúng đã ở trên tháp đèn.
- A szárazföldre!	- Carcanter kêu lên.
- parancsolta Kongre.	- Đổ bộ ngay tức thì.
Kongre vízre bocsátatta a csónakot.	Kongre cho chiếc cano hạ thủy.
Carcante és tizenkét - puskákkal, pisztolyokkal, késekkel - felfegyverzett ember foglalt benne helyet.	Carcanter và mười hai tên cướp nữa lên xuồng, vũ trang bằng súng trường, súng lục dao găm.
A fedélzeten hagyott két embertől eltekintve az egész banda egybegyűlt a földhányáson.	Tất cả băng cướp trừ hai tên ở lại tàu, còn tất cả đều tập hợp đầy đủ dưới chân tháp.
Igen... John Davis és Vásquez valóban ott volt.	Hai người đột nhập vào trong hải đăng.
Mivel jól tudták, hogy nem találkozhatnak senkivel, minden óvatoskodás nélkül, futólépésben hágtak föl a földhányásra, majd behatoltak az épületbe.	Điều Vasquez muốn lúc này là thắp sáng hải đăng để chiếc tuần dương hạm có thể vào ngay vũng đậu mà không phải chờ đến ban ngày.
-, hogy Kongre tönkretette a lencséket, összetörte a lámpákat, és a készülék már nincs működőképes állapotban.	Hai người lao vào trong chỗ ở của tổ bảo vệ rồi ra ngoài hành lang đến chỗ cầu thang rồi cùng leo lên.
És íme, a világítótorony ismét működött!	Và thế là bây giờ, ngọn đèn lại tỏa sáng.
Az ágyúnaszád minden nehézség nélkül visszatérhet szokásos kikötőhelyére.	Chiếc tuần dương hạm sẽ dễ dàng trở về nơi neo đậu cũ trong vũng tàu.
Az egész banda a torony ajtajára vetette magát, a zsiványok fel akartak jutni a körfolyosóra, hogy eloltsák a fényt.	Bọn cướp đang tìm cách phá cửa cầu thang để lên hành lang rồi tắt hẳn hải đăng đi.
Mindannyian kockára tették az életüket, csakhogy késleltessék a Santa Fé érkezését.	Bọn chúng nhất định liều mạng để làm chậm bước tiến của chiếc Santa-Fé.
Mint tudjuk, a folyosót lezáró ajtó vastag vaslemezből készült.	Như ta đã biết, chiếc cửa lên hành lang được đóng bằng cánh cửa sắt dầy.
Carcante, aki mégis megpróbálkozott vele, hamarosan belátta ezt.	Carcanter, sau khi làm thử, đã hiểu ra điều đó.
Néhány hasztalan próbál­kozás után visszatért a torony tövébe Kongréhoz és a többiekhez.	Sau vài cố gắng vô ích, hắn quay xuống gặp Kongre và đồng bọn còn ở phía dưới.
A kétárbocosra visszatérni sem volt értelme.	Còn như quay trở lại thuyền buồm ư, để làm gì nhỉ?
Erre különben idő sem maradt volna.	Vả lại, thời gian còn lại không nhiều.
Ha azonban néhány percen belül sikerül a világítótornyot tönkretenni, akkor a Santa Fé nem­hogy nem tudná folytatni útját, de kénytelen volna visszafordulni, s akkor talán a kétárbocos mégis megmenekülhet.	Còn trong trường hợp trái lại, vài phút nữa mà tắt được hải đăng đi, không những chiếc Santa-fé không vào được vũng đậu tàu, mà nó còn phải quay mũi trở lại, và lúc đó chiếc thuyền buồm sẽ thẳng tiến ra khơi?
S valóban, a körfolyosóra így is föl lehetett jutni.	Nhưng, làm cách nào để lên được trên hành lang?
- A villámhárító!	- Phải lấy dây cáp của ống thu lôi!
- kiáltott fel Kongre.	- Kongre vụt kêu lên.
Egyiktől a másikig kapaszkodva biztosan fel lehet jutni a galériáig és meg lehet lepni az őrszobában tartózkodókat.	Nếu dùng tay bám vào đó để leo lên hành lang thì có khả năng gây bất ngờ cho những tên trong phòng trực.
Kongre megragadta ezt az utolsó lehetőséget.	Kongre đã chọn lối thoát sau cùng đó.
Carcante és Vargas megelőzte.	Carcante và Vargas leo lên trước hắn.
Felmásztak az épület tetejére, megragadták a huzalt és egymás után elindultak felfelé, remélve, hogy a sötétben észrevétlenek maradnak.	Cả hai tên nắm lấy sợi cáp và lần lượt trèo lên, hy vọng sẽ không bị bắt gặp nhờ có bóng tối.
Ekkor füttyjelek hangzottak fel a torony lábánál.	Chiếc tuần dương hạm đã vào tới vũng đậu tàu.
A Santa Fé perceken belül kiköt szokott helyén.	Trong vài phút nữa là chiếc Santa-fé sẽ neo đậu lại.
