Vörös és fekete	ĐỎ VÀ ĐEN (Tập 1)
Halálom mindent kiegyenlít; és gyönyörrel engedte át magát Matild szerelmének; őrültség, lelki nagyság, minden, a mi a legkülönösebb, volt ebben.	Cái chết sắp tới của ta sẽ che đậy cho tất cả; và anh khoái trá nghĩ đến tình yêu của Mathilde; đó là sự điên cuồng, là sự cao cả của tâm hồn, là tất cả cái gì dị thường nhất.
Matild komolyan fölajánlotta neki, hogy vele együtt megöli magát.	Cô đề nghị với anh một cách trang nghiêm là sẽ tự tử cùng anh.
Ez első mámor után és miután már betelt Julien látásának boldogságával, hirtelen élénk kíváncsiság fogta el lelkét.	Sau những cơn nồng nàn đầu tiên đó, và khi cô đã no nê cái hạnh phúc gặp mặt Julien rồi, một sự hiếu kỳ mãnh liệt bỗng xâm chiếm tâm hồn cô.
Fürkészően vizsgálta szerelmesét, a kit jóval különbnek talált mindennél, a mit róla elképzelt.	Cô ngắm nghía người yêu, mà cô thấy là cao hơn rất nhiều so với điều cô vẫn tưởng tượng.
Úgy tűnt föl előtte, mintha de La Mole Bonifácz föltámadt volna, de még hősiesebb formában.	Cô thấy hình như là Boniface de La Mole sống lại, nhưng có hào khí hơn.
Matild sorra járta a vidék legelső ügyvédeit, a kiket megsértett, hogy nagyon is leplezetlenűl kínált nekik pénzt, de végül is elfogadták tőle.	Mathilde tìm gặp những trạng sư giỏi nhất ở địa phương, cô làm cho họ phật ý khi đem vàng ra biếu họ một cách sống sượng quá; nhưng rồi họ cũng nhận.
Hamarosan eljutott a gondolathoz, hogy a kétes és nagyhorderejű dolgokban Besançon-ban minden de Frilair abbétól függ.	Cô nhanh chóng đi tới ý nghĩ này, là về những chuyện còn hồ nghi và có một tầm quan trọng lớn, thì ở Besancon tất cả đều tùy thuộc ở linh mục de Frilair.
A jelentéktelen Michelet-né névvel eleinte áthághatatlan akadályokba ütközött, hogy a mindenható congregationista színe elé juthasson.	Dưới cái tên tầm thường là bà Michelet, lúc đầu cô gặp những khó khăn không vượt nổi để tới được tận con người có thế lực lớn trong thánh hội.
A városban azonban híre terjedt a fiatal, őrülten szerelmes divatárusnő szépségének, a ki azért jött Párisból Besançonba, hogy vígasztalja a fiatal Sorel abbét.	Những tiếng đồn đại về sắc đẹp của một cô bán hàng thời trang, si tình, và từ Paris đến Besancon để an ủi chàng tu sĩ trẻ tuổi Julien Sorel, được truyền lan đi khắp thành phố.
Matild egyedül járt gyalog Besançon utczáin; azt remélte, hogy nem ismernek reá.	Mathilde một mình đi bộ ngược xuôi trong các phố ở Besancon; cô hy vọng không bị ai nhận được mặt.
Mindenesetre nem tartotta haszontalannak az ügy érdekében, hogy nagy benyomást tegyen a népre.	Dẫu sao, cô nghĩ rằng gây được một ấn tượng lớn trong dân chúng, cũng không phải là vô ích cho việc mưu cầu của cô.
Hóbortosságában azt gondolta, hogy lázadást támaszt a halálba menő Julien megszabadítása végett.	Cô điên cuồng nghĩ đến chuyện làm cho dân chúng nổi dậy để cứu Julien đương đi tới cái chết.
De La Mole kisasszony úgy vélte, hogy egyszerűen és gyászban levő nőhöz illően van öltözve; olyan ruhákat viselt, hogy minden tekintet feléje fordúlt.	Cô de La Mole tưởng rằng mình ăn mặc thế này là giản dị và thích hợp với một người đàn bà trong cảnh đau đớn; thực ra, cách ăn mặc của cô lại làm cho mọi người để mắt.
Egész Besançon figyelme reáirányúlt, mikor egyheti szorgalmazás után sikerűlt elérnie, hogy de Frilair úr kihallgatást adott neki.	Cô đã thành đối tượng sự chú ý của tất cả mọi người ở Besancon, khi sau tám ngày cầu khẩn, cô được ông de Frilair tiếp kiến.
Bármekkora volt is bátorsága, a befolyásos congregationistának és a mély és eszélyes gazságnak a fogalma annyira egybeforrt elméjében, hogy reszketett, mikor a püspökség kapuján csöngetett.	Dù cô can đảm đến đâu, những ý nghĩ về con người có thế lực trong thánh hội và về sự nham hiểm thâm độc và khôn ngoan cũng vẫn gắn liền với nhau trong trí óc cô đến nỗi khiến cô run sợ khi gọi chuông ở cửa tòa giám mục.
Alig tudott lépni, hogy fölhaladjon a lépcsőn, mely a fővikárius lakosztályához vezetett.	Cô đi không vững bước khi phải leo thang lên tư thất của ông phó giám mục thứ nhất.
A püspöki palota magányossága megborzongatta.	Sự tịch mịch của tòa giám mục làm cô lạnh người.
Esetleg leülök egy karosszékbe és a szék leszorítja kezeimet, eltüntem.	Có thể ta ngồi vào một cái ghế bành, và cái ghế đó giữ chặt lấy hai cánh tay của ta, và thế là ta mất tích.
Kihez fordulhatna miattam a komornám?	Chị hầu phòng của ta có thể hỏi ai để tìm ta?
Az első tekintet, a mit a lakosztályban maga körül vetett, megnyugtatta de La Mole kisasszonyt.	Thoạt nhìn vào tư thất, cô de La Mole đã thấy vững tâm.
Először is igen tetszetős egyenruhába öltöztetett inas nyitott neki ajtót.	Trước hết là một tên lính hầu mặc chế phục rất lịch sự đã ra mở cửa cho cô.
A szalon, melyben várnia kellett, azt a fínom és választékos fényűzést tüntette föl, mely oly nagyon különbözik az otromba pazarságtól és a melyet Párisban csak a legelőkelőbb házakban lehet találni.	Gian phòng khách người ta bảo cô chờ ở đó, phô bày một cảnh xa hoa thanh nhã và tế nhị, khác xa với cái vẻ huy hoàng thô kệch, mà người ta chỉ được thấy ở Paris trong những nhà sang trọng nhất.
Mihelyt megpillantotta de Frilair urat, a ki atyai kifejezéssel közeledett feléje, a rémes merényletek minden gondolata szétfoszlott.	Khi cô trông thấy ông de Frilair tiến lại cô với một vẻ nhân từ, thì tất cả mọi ý nghĩ về tội ác kinh khủng tan biến ngay.
E szép arczon nem találta meg annak az erélyes és kissé vad erénynek a kifejezését, mely oly ellenszenves a párisi társaság előtt.	Trên khuôn mặt khôi ngô kia, cô không thấy cả đến dấu vết của cái đức tính cương nghị và đôi chút man rợ, mà xã hội Paris lấy làm ác cảm.
Az a félmosoly, mely a pap arczvonásait megélénkítette, a jó társaságbeli embert, a tudós egyháznagyot, az ügyes adminisztrátort mutatta.	Nụ cười nửa miệng làm tươi nét mặt của nhà tu sĩ có đủ mọi quyền lực ở Besancon, báo hiệu con người lịch thiệp, vị giáo chủ uyên bác, nhà cai trị khéo léo.
Matild Párisban vélte magát.	Mathilde tưởng chừng đương ở Paris.
De Frilair úrnak csak néhány pillanatra volt szüksége, hogy Matildot eljuttassa a beismeréshez, a mely szerint ő hatalmas ellenfelének, de La Mole marquisnak a leánya.	Chỉ cần vài giây lát, ông de Frilair đã đưa Mathilde đến chỗ thú nhận với ông rằng cô là con gái của người đối địch có thế lực của ông, hầu tước de La Mole.
- Csakugyan nem vagyok Michelet-né, - mondá Matild kevélyen kiegyenesedve, - és ezt szívesen bevallom, mert azért jöttem, hogy tanácsát kérjem, miként lehetne megszöktetni de La Vernaye urat?	— Quả vậy, tôi không phải là bà Michelet, cô nói và lấy lại tất cả cái vẻ cao ngạo của mình, và lời thú tội đó không thiệt hại gì cho tối nay, vì thưa ông, tôi đến để thỉnh giáo ông xem có thể nào giúp cho ông de La Vernaye vượt ngục được không.
Először is, a mit elkövetett, mindössze csak egy kis heveskedés; a nő, a kire reálőtt, jól érzi magát.	Trước hết, ông chỉ mắc một tội là dại dột; người đàn bà bị ông ấy bắn, hiện nay khỏe mạnh như thường.
Másodszor, az alárendelt személyzet megvesztegetésére nyomban lefizethetek ötvenezer francot és kötelezem magamat még ez összeg kétszeresére.	Thứ đến, để mua chuộc những kẻ hạ thuộc, tôi có thể đưa ngay bây giờ năm vạn quan, và cam kết sẽ bỏ ra gấp đôi số tiền đó.
Végűl pedig a magam és családom hálája semmit sem fog lehetetlennek találni annak a számára, a ki megmentette de La Vernaye urat.	Sau cùng, lòng biết ơn của tôi và của gia đình tôi sẽ không khước từ một điều gì đối với ai đã cứu được ông de La Vernaye.
De Frilair urat, úgy tetszett, meglepte e név.	Ông de Frilair có vẻ ngạc nhiên về cái danh hiệu đó.
Matild több levelet mutatott neki a hadügyminisztertől, melyek Sorel de La Vernaye Julien úrnak voltak czímezve.	Mathilde đưa ông xem nhiều bức thư của ông bộ trưởng chiến tranh, gửi cho ông Julien Sorel de La Vernaye.
- Láthatja, uram, hogy atyám gondoskodott a sorsáról.	— Thưa ông, ông thấy rằng cha tôi chăm lo cho công danh của ông ấy.
Titkon esküdtem meg vele, atyám azt kívánta, hogy előbb magasrangú tiszt legyen és csak azután hozzuk nyilvánosságra ezt az egy de La Mole-leány részéről különös házasságot.	Tôi đã kết hôn bí mật với ông ấy, vì cha tôi muốn rằng ông ấy được làm sĩ quan cao cấp đã rồi mới công khai tuyên bố cuộc hôn nhân hơi kỳ dị đối với một người con gái dòng họ La Mole.
Matild észrevette, hogy a jóság és szelíd vídámság kifejezése oly gyorsan tűnt de Frilair úr arczáról, a mily mértékben értesűlt e fontos dolgokról.	Mathilde nhận thấy rằng ông de Frilair nghe phát hiện những điều quan trọng được đến đâu thì nét mặt nhân hậu và vui vẻ dịu dàng biến đi nhanh chóng đến đấy.
Mély álnoksággal vegyűlt ravaszság ült ki ábrázatára.	Một vẻ gian ngoan và vô cùng giảo quyệt hiện lên trên nét mặt ông.
Az abbénak kétségei voltak, hosszan olvasgatta a hivatalos okiratokat.	Ông thầy tu có ý ngờ vực, ông đọc lại thong thả các tài liệu chính thức.
Micsoda hasznot húzhatok e sajátságos vallomásokból?	Ta có thể lợi dụng được gì ở những lời tâm sự lạ lùng này?
- szólt magában.	Ông tự hỏi.
- Íme, egyszerre belső összeköttetésbe jutottam egy hölgygyel, a ki barátnője a híres de Fervaques tábornagynénak, a mindenható ... püspök unokahugának, a ki Francziaországban a püspökségeket adományozza.	Bỗng nhiên ta được có quan hệ mật thiết với một người bạn của bà thống chế de Fervaques trứ danh, cháu gái rất có thế lực của đức cha giám mục địa phận S, ai muốn làm giám mục ở Pháp cũng phải qua tay đức cha này cất nhắc.
A mit úgy néztem, mint a mi a messze jövőben rejtőzik, hirtelen itt van előttem.	Cái điều mà ta vẫn coi như còn xa lắc trong tương lai, bỗng từ đâu hiện đến bất ngờ.
Eljuthatnék minden vágyódásom czéljához.	Chuyện này có thể đưa ta đến mục đích của tất cả mọi nguyện vọng của ta.
Matildot először megijesztette a hirtelen változás e hatalmas ember arczkifejezésében, a kivel egyedül volt egy elkülönített lakosztályban.	Lúc đầu, Mathilde lấy làm sợ về sự thay đổi nhanh chóng của nét mặt con người rất quyền thế đó, mà cô chỉ có một mình với ông ta ở trong một biệt thất cùng tịch.
De hát mit!	Ôi chào!
- szólt magában csakhamar, - az lett volna a legrosszabb, ha semmi benyomást se teszek egy hatalommal és élvezetekkel jóllakott pap hideg önzésére.	Cô tự nhủ ngay, ví thử không gây được một ấn tượng gì cho lòng ích kỷ lạnh lùng của một thầy tu no nê quyền thế và hưởng lạc, thì mới thật là tệ hại chứ.
Elvakítva a gyors és váratlan kilátástól, a mi a püspöki szék felé nyílt számára, meglepetve Matild szellemétől, de Frilair úr egy pillanatig nem volt résen.	Lóa mắt vì con đường nhanh chóng và bất ngờ đương mở ra trước mắt ông để đi tới chức giám mục, ngạc nhiên vì trí mẫn tiệp của Mathilde, có một lúc ông de Frilair đã không giữ gìn gì nữa.
De La Mole kisasszony csaknem a lábainál látta őt, idegesen reszketve a nagyravágyástól és az izgatottságtól.	Cô de La Mole thấy ông ta gần như quỳ dưới chân mình, tham vọng và nôn nóng đến run người lên.
Minden világos, - gondolá, - itt semmi se lesz lehetetlen de Fervaques-né barátnőjének.	Tất cả đã sáng tỏ, cô nghĩ bụng, ở đây người bạn gái thân thiết của bà de Fervaques muốn gì mà chẳng được.
A féltékenységnek még mindig vajmi fájó érzése mellett is volt bátorsága elmondani, hogy Julien benső barátja a tábornagynénak és majdnem naponként találkozik nála a ... püspök úr ő kegyelmességével.	Mặc dầu một nỗi ghen tuông hãy còn rất đau đớn, cô có can đảm giãi bày rằng Julien là bạn chí thân của bà thống chế, và hầu như hàng ngày được gặp đức giám mục ở nhà bà.
- Ha egymásután négyszer vagy ötször sorsolnának is ki a megye számottevőbb lakosai közűl harminczhat esküdtet, - szólt a fővikárius a nagyravágyás borús tekintetével, és megnyomva minden szót, - vajmi szánalmasnak tartanám magamat, ha nem volna minden csoportban nyolcz-tíz barátom, még pedig azok között, a kik a legértelmesebbek.	— Ví thử người ta rút thăm bốn năm lần liền một danh sách ba mươi sáu hội thẩm trong số những thân sĩ ở quận này, ông phó giám mục nói với con mắt hau háu của lòng tham vọng và dằn từng tiếng, thì tôi phải tự coi là rủi lắm, nếu trong mỗi danh sách tôi không có lấy được chín mươi người bạn, và là những người thông minh nhất bọn.
Majdnem minden esetben rendelkezem a többséggel, sőt még többel is, hogy elítéltessek valakit, láthatja, kisasszony, mily könnyen kieszközölhetem, hogy fölmentsék...	Gần như chắc chắn tôi sẽ có đa số, nhiều hơn cái đa số để kết tội; cô xem, tôi có thể làm cho miễn tội dễ dàng biết chừng nào.
Az abbé hirtelen elhallgatott, mintegy meglepetve a saját szavaitól; oly dolgokat vallott be, a miket sohasem mondanak el beavatatlanoknak.	Ông thầy tu bỗng dừng ngay lại, như ngạc nhiên về âm thanh những lời lẽ của mình; ông đương nói ra những điều mà không bao giờ người ta nói với những người thiên hạ.
A maga részéről azonban ő is ámulatot keltett Matildban, mikor közölte vele, hogy a mi Julien különös kalandjában legjobban meglepi és érdekli a besançoni társaságot, az az, hogy valaha nagy szenvedélyt ébresztett de Rênal-néban és hosszú időn át viszonozta is ezt.	Nhưng đến lượt ông làm cho Mathilde sững sờ, khi ông cho cô biết rằng cái điều làm cho xã hội ở Besancon ngạc nhiên và thích thú nhất, trong câu chuyện lạ lùng của Julien, là xưa kia anh đã gây cho bà de Rênal một mối tình mê đắm lớn, và anh đã chia sẻ mối tình đó một thời gian dài.
De Frilair úr hamarosan észrevette, hogy elbeszélésével mily nagy zavarba ejtette Matildot.	Ông de Frilair trông thấy ngay sự rối loạn cực độ mà câu chuyện kể của ông gây nên.
- Kárpótolhatom magamat!	Ta được dịp trả miếng rồi!
- gondolá.	Ông nghĩ bụng.
Visszanyerte egész hidegvérét és nem habozott, hogy megforgassa szívében a tőrt.	Ông trở lại hoàn toàn bình tĩnh, và không ngại ngần ngoáy mũi dao trong trái tim cô.
- A legkevésbbé sem lepne meg, - szólt könnyedén, - ha kiderülne, hogy Sorel úr féltékenységből lőtt reá kétszer ez asszonyra, a kit egykor oly nagyon szeretett.	— Dẫu sao, tôi cũng sẽ không ngạc nhiên, ông nói với một vẻ phù phiếm, nếu một ngày kia chúng ta được nghe nói rằng chính vì ghen tuông mà ông Sorel đã bắn hai phát súng vào người đàn bà xưa kia yêu dấu biết bao.
Éppenséggel nem mondható, hogy nem kellemes nő és rövid idő óta igen sokat járt egy Marguinot nevű dijoni abbéhoz, valami jansenistához, a ki minden erkölcs nélkül való, mint a hozzá hasonlók valamennyien.	Bà ta cũng còn làm vẻ yêu kiều, và ít lâu nay bà ta rất hay gặp một ông thầy tu nọ tên là Marquinot ở Dijon, một thứ Jansénistes vô hạnh, như tất cả cái loại chúng.
De Frilair úr gyönyörrel és kényelmesen kínozta e szép leány szívét, a kinek meglelte gyönge oldalát.	Ông de Frilair hành hạ một cách khoái trá và thỏa thích trái tim cô gái xinh đẹp kia, mà ông ta đã tóm được nhược điểm.
- Miért is választotta volna Sorel úr a templomot, - szólt, égő tekintetét Matildra függesztve, - ha nem azért, mert vetélytársa épp ugyanott misét szolgáltatott?	— Có lẽ nào, ông vừa nói vừa nhìn chằm chằm đôi mắt rực lửa vào Mathilde, ông Sorel lại chọn nhà thờ, nếu không phải vì, chính giữa lúc ấy, kẻ tình địch của ông ta đương làm lễ giảng ở đó?
Mindenki igen eszes és még inkább elővigyázatos embernek mondja azt a szerencsés urat, a kit ön pártfogol.	Tất cả thiên hạ đều cho con người sung sướng mà cô che chở là vô cùng thông minh và lại còn cẩn trọng hơn nữa.
Mi lett volna egyszerűbb, mint hogy elrejtőzzék de Rênal úr kertjében, melyet oly jól ismer?	Vậy, còn gì đơn giản hơn là nấp ở trong vườn nhà ông de Rênal mà ông ấy rất thông tỏ ngõ ngàng?
Ott, majdnem bizonyos lévén, hogy se nem látják, se meg nem fogják, sőt még csak gyanuba se veszik, megölhette volna a nőt, a kire féltékenykedett.	Ở đó, hầu như chắc chắn là không bị ai trông thấy, ai bắt chợt, ai ngờ vực gì, ông ấy có thể hạ sát người đàn bà mà ông ấy ghen.
Ez a látszatra oly helyes okoskodás végleg magánkívül ejtette Matildot.	Cái lý luận đó, bề ngoài có vẻ rất đúng, làm cho Mathilde điên người.
E büszke, de azzal a rideg okossággal teljes lélek, melyet a nagyvilág az emberi szív hű ismeretének tart, nem volt arra teremtve, hogy gyorsan felfogja az olyan boldogságot, mely fittyet hány minden okosságnak és a mely egy hűséges lélekben annyira élénk lehet.	Tâm hồn cô kiêu hãnh, nhưng đầy ăm ắp sự cẩn trọng khô khan, được xã hội thượng lưu coi là nó thể hiện trung thành trái tim con người, tâm hồn đó bản chất không có khả năng hiểu nhanh chóng cái hạnh phúc biết coi thường mọi sự cẩn trọng, hạnh phúc có thể rất nồng nàn đối với một tâm hồn sôi nổi.
A párisi társaságnak azokban a főrangú köreiben, melyekben Matild élt, a szenvedély vajmi ritkán vetkezheti le az okosságot és csak az ötödik emeletről ugranak le az ablakból.	Trong những tầng lớp cao của xã hội Paris, mà Mathilde đã sinh trưởng, rất ít khi tình yêu có thể giũ bỏ được sự cẩn trọng, và người ta có nhảy qua cửa sổ, là từ tầng gác thứ năm.
Végre de Frilair abbé biztos volt uralma felől.	Tóm lại, linh mục de Frilair tin chắc ở uy lực của mình.
Megérttette Matilddal (kétségkívül hazudott), hogy tetszése szerint rendelkezik az ügyészszel, a ki meg volt bízva, hogy vádat emeljen Julien ellen.	Ông ta nói cho Mathilde hiểu (chắc là ông ta nói dối đấy thôi) rằng ông có thể thao túng được công tố viên có nhiệm vụ buộc tội Julien.
Mikor majd megtörtént az ülésszak harminczhat esküdtjének kisorsolása, legalább harmincznál nyiltan és személyesen fog eljárni.	Sau khi đã rút thăm được ba mươi sáu vị hội thẩm của phiên tòa, ông sẽ trực tiếp và thân hành vận động ít ra là ba chuc vị.
Ha Matild nem látszott volna de Frilair úr előtt oly csinosnak, csak az ötödik vagy hatodik találkozáson beszélt volna ily világosan.	Ví thử ông de Frilair không thấy Mathilde xinh đẹp đến thế, thì chắc là phải đến cuộc hội kiến thứ năm hoặc thứ sáu ông mới nói rõ ràng với cô như vậy.
A CSELSZÖVÉNY.	VẬN ĐỘNG NGẦM
Castres 1676.	Castres , 1676.
- A szomszéd házban egy ifju megölte a nővérét; e fiatal nemes már egy más gyilkosságot is követett el.	Một người anh trai vừa ám sát em gái trong ngôi nhà bên cạnh nhà tôi; anh chàng quý tộc đó đã có lần phạm tội giết người.
Apja titkon szétosztott ötszáz tallért a tanácsnokok között és ezzel megmentette életét.	Bố anh ta, đem năm trăm écu đút lót ngầm cho các ủy viên hội đồng tư pháp, đã cứu sống được anh ta.
Locke, Utazás Francziaországban.	LOCKE , Pháp du hành trình.
Mihelyt a püspöki palotából kilépett, Matild habozás nélkül futárt küldött Fervaques-néhoz; a félelem, hogy hírbe hozza magát, egy pillanatig se gátolta.	Ở tòa giám mục ra, Mathilde không ngần ngại gửi ngay một bức thư cho bà de Fervaques; nỗi lo sợ bị mang tiếng không làm cô do dự một giây phút nào.
Kötelességévé tette vetélytársnőjének, hogy szerezzen de Frilair úr számára egy levelet, mely végig a ... püspök ő kegyelmességének kezeírása legyen.	Cô khẩn thiết yêu cầu tình địch xin cho được một bức thư gửi ông de Frilair, hoàn toàn do tay đức giám mục S viết.
Annyira ment, hogy kérte de Fervaques-nét, siessen ő maga is Besançon-ba.	Thậm chí cô khẩn cầu bà ta thân hành đến ngay Besancon.
Ez hősi dolog volt egy ily féltékeny és büszke lélektől.	Hành vi đó, của một tâm hồn ghen tuông và kiêu hãnh, quả thật là anh dũng.
Fouqué tanácsára elég eszélyes volt, hogy Juliennek egy szót se szóljon közbenjárásairól.	Theo lời khuyên của Fouqué, cô đã thận trọng không nói cho Julien biết những cuộc vận động của cô.
Jelenléte e nélkül is eléggé zavarba hozta.	Cứ riêng sự có mặt của cô cũng đã làm cho anh rối loạn lắm rồi.
Tisztességesebb ember lévén a halál közeledtekor, mint a milyen életében volt, lelkifurdalásai voltak nemcsak de La Mole úrral, de Matilddal szemben is.	Gần đến cái chết, trở nên hòa nhã hơn cả từ trước đến nay trong đời anh, anh có những hối hận không những đối với ông de La Mole, mà cả đối với Mathilde nữa.
- Hogyan!	Lạ thật!
- szólt magában, - vannak pillanatok, mikor nemcsak szórakozott vagyok mellette, de unatkozom is.	Anh tự nhủ, ở bên nàng, ta có những lúc lơ là, thậm chí buồn chán nữa.
Ő tönkreteszi magát értem és én így hálálom meg!	Nàng liều bỏ thân danh vì ta, mà ta đền đáp như vậy!
Valóban gonosz volnék tehát?	Chả hóa ta là một con người tàn ác lắm sao?
- Mikor még becsvágyó volt, e kérdés vajmi kevéssé foglalkoztatta volna; akkor egyedül csak a balsikert tartotta volna szégyennek.	Câu hỏi đó chắc anh chả bận tâm gì mấy khi anh còn tham vọng, khi đó, không thành đạt là nỗi hổ thẹn duy nhất đối với mắt anh.
Az erkölcsi rosszúllét, mely Matild mellett elfogta, annál határozottabb volt, mert ugyanekkor a legrendkívülibb és legőrültebb szenvedélyt támasztotta maga iránt de La Mole kisasszonyban.	Nỗi băn khoăn dằn dọc của anh, bên cạnh Mathilde, lại càng xác thiết, vì lúc này anh đương gây cho cô một mối tình nồng nhiệt kỳ dị nhất và điên cuồng nhất.
Másról sem beszélt, mint a legkülönösebb áldozatokról, melyeket meg fog hozni, hogy megmenthesse.	Cô chỉ nói đến những chuyện hy sinh lạ lùng mà cô muốn làm để cứu anh.
Feltüzelve egy érzéstől, melyre büszke volt és a mely egész dölyfösségét maga alá hajtotta, életének egyetlen pillanatát sem akarta elmúlni engedni a nélkül, hogy valami rendkívüli lépéssel ne töltse be.	Bị phấn kích bởi một mối tình mà cô lấy làm kiêu hãnh và thắng tất cả lòng kiêu ngạo của cô, cô chỉ muốn không để trôi qua một giây phút nào của đời cô mà không sử dụng nó vào một cuộc vận động phi thường.
Juliennel folytatott hosszú beszélgetései a legsajátságosabb és reá nézve a legveszedelmesebb terveknek voltak szentelve.	Những cuộc nói chuyện rất lâu của cô với Julien, chỉ đầy những dự định hết sức lạ lùng, hết sức nguy hiểm cho cô.
A busásan megfizetett fogházőrök kénye-kedve szerint engedték járni-kélni a börtönben.	Bọn giám mục, được cho tiền hậu hĩ, để cô làm bà chúa trong nhà giam.
Matild ötletei nem szorítkoztak jóhírének a föláldozására; ugyancsak keveset törődött vele, hogy a világ tudomást szerez állapotáról.	Những ý nghĩ của Mathilde không chỉ hạn chế trong việc hy sinh thanh danh; để cho tất cả xã hội biết trạng huống của cô, đối với cô là chuyện chả quan trọng gì.
Az, hogy térdre vesse magát a király vágtató kocsija előtt és úgy kérjen kegyelmet Julien számára, hogy megkoczkáztatva az elgázolás veszedelmét, vonja magára a fejedelem figyelmét, még a legkisebb volt a képzelgések között, melyekről e föllengző és bátor képzelem álmodozott.	Quỳ phục xuống để xin ân xá cho Julien, trước xa giá của nhà vua đang phi nước đại, làm cho nhà vua phải chú ý, mặc dầu muôn ngàn nguy cơ bị xe chẹt chết, đó là một trong những ảo vọng tầm thường nhất mà trí óc bị phấn kích và can đảm của cô hằng mơ tưởng.
A király mellett levő barátai révén biztosra vehette, hogy bejuthat a saint-cloudi park elzárt részébe.	Nhờ các bạn hữu mà cô vận dụng bên cạnh nhà vua, cô tin chắc sẽ được phép đặt chân vào những nơi cấm của vườn thượng uyển Saint-Cloud.
Julien kevéssé mutatkozott méltónak ennyi önfeláldozásra, az igazat megvallva, fárasztotta e hősiesség.	Julien tự xét không xứng đáng với một sự tận tâm nhường ấy, nói thực ra là anh đã chán những hành động anh hùng.
Az egyszerű, naiv és csaknem félénk gyöngédség iránt lett volna fogékony, míg Matild büszke lelkének ellenkezőleg mindig szükséges volt, hogy közönségre, mások-ra gondoljon.	Ví thử là một mối tình âu yếm bình dị, ngây thơ và hình như rụt rè e lệ, thì chắc là anh đã cảm kích, nhưng trái lại, tâm hồn cao ngạo của Mathilde lúc nào cũng cần phải nghĩ đến công chúng và thiên hạ.
Minden szorongása és minden félelme között is, a mit szerelmesének életéért érzett, a kit nem akart túlélni, ott munkált a titkos szükség, hogy szerelmének nagyszerűségével és vállalkozásának fenségével csodálatra bírja a közönséget.	Giữa tất cả những niềm khắc khoải, tất cả những nỗi lo âu cho tính mạng của người tình nhân kia, mà nếu anh chết đi thì cô cũng không sống làm gì nữa, cô thầm cảm thấy cần phải làm cho công chúng kinh dị vì mối tình chan chứa và những mưu đồ trác việt của cô.
Julient bosszantotta, hogy mindez a hősiesség nem hatotta meg.	Julien đâm ra bực mình vì không thấy động tâm về tất cả những trò anh hùng đó.
Hát még mennyivel inkább így érzett volna, ha tud azokról az eszeveszettségekről, melyekkel Matild a derék Fouqué ragaszkodó, de kiválóan józan és korlátolt elméjét ostromolta?	Anh sẽ nghĩ thế nào, nếu anh được biết tất cả những sự điên rồ mà Mathilde đem ra để làm tình làm tội đầu óc tận tụy, nhưng rất mực lý trí và thiển cận của anh chàng Fouqué hồn hậu?
Ez nem igen tudta, hogy mit kárhoztasson Matild önfeláldozásában; mert ő is odaadta volna egész vagyonát, kitette volna magát mindennek, hogy megmentse Julient.	Anh chàng này cũng chẳng biết là nên chê trách cái gì trong sự tận tâm của Mathilde, vì chính anh ta cũng sẵn lòng hy sinh tất cả sản nghiệp và đem cả tính mạng, ba bẩy cũng liều, để cứu Julien.
Álmélkodva látta, mint szórja Matild az aranyat.	Anh lấy làm kinh dị vì số vàng mà Mathilde đem tung ra.
Az első napokban az így eltékozolt összegek roppant tiszteletet keltettek Fouqué-ban, a kiben megvolt a vidéki ember egész hódolata a pénz iránt.	Những ngày đầu, những món tiền phao phí như vậy làm cho Fouqué phải khiếp phục, vì đối với đồng tiền, anh vẫn có tất cả tấm lòng tôn trọng của một dân tỉnh lẻ.
Végre rájött, hogy de La Mole kisasszony tervei gyakran változtak és nagy megkönnyebbülésére talált egy szót, a mivel ócsárolja e jellemet, mely annyira kifárasztotta.	Sau cùng, anh khám phá ra rằng những dự định của cô de La Mole luôn luôn thay đổi, và, anh thấy nhẹ hẳn người, khi tìm được một câu để chê trách cái tính khí kia làm anh rất mệt: Cô ta là người thay đổi bất thường.
Különös, - szólt magában Julien egy ízben, mikor Matild távozott a börtönből, - hogy egy ily élénk szenvedély és a melynek én vagyok a tárgya, ennyire érzéketlenűl hagy!	Lạ lùng thật, Julien tự nhủ, một hôm Mathilde ở nhà giam đi ra, một mối tình cuồng nhiệt đến như vậy, mà ta là đối tượng, thế mà chả làm cho lòng ta mảy may cảm động!
És két hónap előtt még imádtam!	Mà hai tháng trước đây, ta say mê nàng biết bao!
Olvastam ugyan, hogy a halál közeledése minden iránt közönyössé tesz, de szörnyű, hogy az ember hálátlannak érzi magát és nem tud megváltozni.	Đành rằng ta có đọc sách thấy rằng gần đến cái chết thì người ta thờ ơ với hết thảy; nhưng thật là kinh khủng khi tự cảm thấy mình bội bạc mà không làm sao thay đổi được.
Önző volnék tehát?	Vậy ra ta là một đứa ích kỷ sao?
És ennek az ötletéből a legmegalázóbb szemrehányásokkal halmozta el magát.	Về vấn đề ấy, anh tự sỉ vả bằng những lời thầm tệ.
A nagyravágyás meghalt szívében, egy más szenvedély támadt föl hamvaiból: ő bűnbánatnak nevezte, a miért meg akarta gyilkolni de Rênal-nét.	Sự tham vọng đã chết trong lòng anh, một mối tình nồng nhiệt khác nảy nở từ đống tro tàn của nó; anh gọi đó là lòng hối hận vì đã ám sát bà de Rênal.
