JAMES JOYCE	James Joyce
- Opera, talán?	Rồi anh ta hỏi:
- kérdezte Mr. Kernan.	- Có vụ gì đấy?
- Nem, nem - mondta Mr. Cunningham kitérően.	- Dào, có gì đâu - Mr Cunningham nói - chỉ là chuyện nhỏ bọn tớ thu xếp cho thứ Năm thôi mà.
- Egy kis... mondhatni szellemi, lelki ügy.	- Xem opera phải không?
- Ügy.	- Mr Kernan hỏi.
- Mr. Kernan nem értette.	- À - Mr Kernan nói.
Aztán Mr. Power megtörte, mintegy mellékesen megjegyezve:	Lại im lặng một lúc, rồi Mr Power nói toạc ra:
- Az igazat megvallva, Tom, lelkigyakorlatra készülődünk.	- Nói thật cho cậu biết,Tom, bọn tớ đang định tổ chức một buổi cầu kinh chay tịnh.
- Igen, erről van szó - mondta Mr. Cunningham - Jack, én és M’Coy itten - mind a hárman tisztába akarjuk tenni a gyereket.	- Phải, đúng thế - Mr Cunningham nói - Jack và tớ và M'Coy đây, bọn tớ sẽ gột sạch tâm hồn.
Bizonyos robusztus közvetlenséggel mondta ki a metaforát, és saját hangjától megbátorodva nyargalt a cél felé:	Anh ta dùng phép ẩn dụ với một vẻ phấn chấn và, được khuyến khích bởi chính giọng nói của mình, tiếp tục:
- Ismerjétek csak be!	- Thú nhận - Mr Power nói.
- Én bevallom - mondta Mr. M’Coy.	- Tớ cũng thú nhận - Mr M'Coy nói.
- Ezért hát együtt is tesszük tisztába a gyereket - vonta le a következtetést Mr. Cunningham.	- Thế là chúng tớ định sẽ cùng nhau gột sạch tâm hồn - Mr Cunningham nói.
- Tudod-e, Tom, mi ötlött fel hirtelen bennem?	- Cậu biết tớ vừa nghĩ ra điều gì không, Tom?
- Kitűnő gondolat - lelkesedett Mr. Power. - Mi négyen együtt.	- Ý hay đấy - Mr Power nói - Bốn chúng ta với nhau.
Mr. Kernan hallgatott.	Mr Kernan im lặng.
Noha az ajánlat tulajdonképpeni értelmét alig ragadta meg, annyit megértett, hogy bizonyos lelki közbenjárók az ő érdekében törik magukat, és azt gondolta, méltósága megköveteli: mutatkozzék nyakasnak.	Lời đề nghị chg có gì rõ nghĩa lắm, nhưng, hiểu rằng có một tổ chức tâm linh nào đó chuẩn bị can thiệp cứu giúp mình, anh ta nghĩ để giữ tự trọng, cần tỏ ra cứng rắn.
- Nehogy azt higgyétek, hogy rossz véleménnyel vagyok a jezsuitákról, isten ments - avatkozott be jó sokára.	- Tớ không có gì chê bái các cha Dòng Tên - cuối cùng anh ta chen vào - Họ là dòng tu có học thức.
Sőt, meg vagyok győződve a jóakaratukról is.	Tớ cũng tin mục đích của họ là tốt.
- Az egyház legtekintélyesebb szerzetesrendje - lelkesedett Mr. Cunningham.	- Họ là dòng tu lớn nhất của Giáo Hội, Tom - Mr Cunningham nói một cách sôi nổi - Cha Tổng bề trên Dòng Tên chỉ đứng sau Đức Giáo Hoàng thôi.
- A jezsuita rend kitűnő férfiak testülete - szögezte le Mr. Power.	- Kể cũnglạ - Mr Cunningham nói - về Dòng Tên này.
- Ez tény - jelentette ki Mr. Cunningham.	- Đúng thế ư?
- Ez történelem	- Mr M'Coy nói.
- Csak meg kell nézni a templomaikat - mondta Mr. Power.	- Đó là sự thật - Mr Cunningham nói - đó là lịch sử.
- A jezsuiták táplálják lelki vigasszal a felsőbb osztályokat - vetette bele magát Mr. M’Coy.	- Hãy nhìn nhà thờ của họ nữa - Mr Power nói - Nhìn xem họ có những giáo đoàn như thế nào.
- Természetesen - helyeselt Mr. Power.	- Các cha Dòng Tên chăm sóc linh hồn cho xã hội thượng lưu - Mr M'Coy nói.
- Igen - szólt közbe Mr. Kernan.	- Tất nhiên - Mr Power nói
- Ezért rokonszenvezek én velük bizonyos fokig.	- Phải - Mr Kernan nói - Đấy lá lý do tại sao tớ thích họ.
A világi papok közül sokan tudatlanok, beképzeltek...	Chỉ có một vài giáo sĩ triều 9, ngu dốt, tự mãn...
- Azok is mind jó emberek - tiltakozott Mr. Cunningham -, mindegyik a maga módján.	- Họ đều là người tốt - Mr Cunningham nói - theo cách riêng của họ.
Az ír papság szerte a világon nagy tiszteletnek örvend.	Các đức cha Ireland được cả thế giới này kính trọng.
- Az biztos - mondta Mr. Kernan.	- Ồ vâng - Mr Power nói.
- Nagyon valószínű, hogy igazad van - enyhült meg Mr. Kernan.	- Không như mấy ông linh mục trong Lục địa - Mr M'Coy nói - thật hổ danh.
- Persze hogy igazam van - mondta Mr. Cunningham.	- Có lẽ các cậu nói đúng - Mr Kernan nói, giọng dịu lại.
- Elhiheted, hogy nemhiába éltem mind ez ideig a nagyvilágban; megtapasztaltam én azt minden oldaláról, és elmondhatom, valamicskét értek az ember jellemének megítéléséhez.	- Tất nhiên là tớ nói đúng rồi - Mr Cunningham nói - tớ sống trên đời này chừng ấy năm, chứng kiến đủ mọi chuyện, chẳng lẽ lại không đủ khả năng nhìn nhận con người.
Mr. Kernan mintha mérlegelne gondolatban valamit.	Mr Kernan có vẻ như đang cân nhắc điều gì đó trong đầu.
Igen nagyra tartotta Mr. Cunninghamet, úgy is, mint az emberek jelle­mének bíráját, és úgy is, mint az emberi arcok kitűnő olvasóját.	Anh ta đánh giá vào những ý kiến của Mr Cunningham cũng như khả năng đánh giá qua bề ngoài của anh ta.
Részletek iránt érdeklődött.	Anh ta hỏi thông tin cụ thể.
- Pusztán csak egy icipici lelkigyakorlatról van szó - mondta Mr. Cunningham.	- Ừ thì cũng chỉ là một buổi cầu kinh chay tịnh thôi mà, cậu biết rồi đấy - Mr Cunningham nói - Cha Purdon sẽ chủ trì.
- Nem lesz nagyon szigorú hozzánk, hidd el, Tom - mondta Mr. Power rábeszélően.	- Ông ấy sẽ không khắt khe quá với bọn mình đâu, Tom - Mr Power nói, giọng thuyết phục.
- Purdon atya?	- Cha Pudon?
Purdon atya?	Cha Purdon à?
- tűnődött a nagybeteg.	- người ốm hỏi.
- Egész biztos, hogy ismered - erősítette Mr. Cunningham szilárdan.	- À, mà chắc chắn cậu phải biết ông ấy chứ, Tom - Mr Cunningham nói, quả quyết - tử tế, vui vẻ!
- Angyali víg fiú!	- À..ư..tớ nghĩ tớ biết ông ấy.
- Aha... igen.	- Chính là ông ấy đấy.
- Na az, az.	- Thế nào nhỉ?
- Tudod... Nem kifejezetten istentiszteletről van itten szó.	Đó không hẳn là một buổi thuyết giáo, cậu biết đấy.
Inkább amolyan barátságos beszél­getés­féle, a józan ész alapján, tudod.	Chỉ là kiểu một buổi nói chuyện thân tình thôi mà, kiểu thông thường ấy.
Mr. Kernan mérlegelte az ajánlatot.	Mr Kernan do dự, Mr M'Coy nói:
Mr. M’Coy megszólalt: - Tom Burke atya, az micsoda legény volt!	- Cha Tom Burke 10 mới chuyên giảng đạo kìa.
- Tom Burke atya, persze.	- Ừ phải, cha Tom Burke - Mr Cunningham nói - ông ấy đúng là một nhà thuyết giáo bẩm sinh.
- Mr. Cunningham hajlandó volt egy kis kerülőre.	Cậu đã bao giờ nghe nói về ông ấy chưa,Tom?
- Született szónok volt. Hallottad őt, Tom?	- Đã bao giờ tớ nghe nói về ông ấy!
- Hogy hallottam-e! - mondta a nagybeteg bosszúsan.	- người ốm nói, giọng tức giận - hơi hơi!
Meghallgattam...	Tớ nghe ông ấy...
- És mégis azt mondják, nem sokat ért teológusnak - gondolkozott el Mr. Cunningham.	- Thế nhưng họ lại nói ông ta không xứng đáng là một nhà thần học cho lắm - Mr Cunningham nói.
- És igaz?	- Thật thế sao?
- kérdezte Mr. M’Coy.	- Mr M'Coy nói.
- Na persze azért semmi baj nincs vele, csak némely prédikációjában - ahogy mondják - nem nagyon tartotta magát a hittételekhez.	- Ừ,tất nhiên, không có gì tội lỗi cả, các cậu biết đấy.
- Meghallgattam egyszer - folytatta Mr. Kernan.	- A, ông ta là một người khác thường - Mr M'Coy nói.
- Arra már nem emlékszem, mi volt előadásának a tárgya.	- Tớ từng nghe ông ấy giảng một lần - Mr Kernan tiếp tục - giờ tớ quên mất chủ đề bài giảng hôm ấy rồi.
Ott álltunk Croftonnal hátul az... izé... a nézőtéren, tudod ott...	Crofton và tớ ngôi ở cuối...sảnh, các cậu biết đấy, cuối...
- A középhajóban - segítette ki Mr. Cunningham.	- Gian chính 11 - Mr Cunningham nói.
- Igen!	- Phải, đàng sau gần cửa.
Jól emlékszem.	Tớ nhớ ra rồi.
Szavamra, nagyszerű volt.	Và giọng của ông ấy chứ!
És a hangja!	Chúa ơi!
Jól emlékszem, mikor kijöttünk, Crofton azt mondta...	Tớ nhớ Crofton nói với tớ khi chúng tớ đi ra...
- De nem református? Crofton nem református?	- Nhưng anh ta là người phe Cam 13, Crofton ấy, có phải không?
- kérdezte Mr. Power.	- Mr Power nói.
- Persze hogy az - folytatta Mr. Kernan -, és hozzátehetem, bitang egy becsületes református.	- Tất nhiên là thế - Mr Kernan nói - và là một gã phe Cam cực kỳ tử tế nữa.
- Van benne jó adag igazság - helyeselt Mr. Power.	Thực sự vô cùng chín chắn và cảm động.
- Egész tömegével gyűltek a templomba a reformátusok, ahol Tom atya prédikált.	- Đúng đấy chứ - Mr Power nói - Bao giờ nhà thờ chẳng chật cứng người Tin lành mỗi lần cha Tom giảng đạo.
- Nincs közöttünk nagy különbség - vélte Mr. M’Coy.	- Cũng chẳng có gì khác biệt lắm giữa chúng ta và bọn họ - Mr M'Coy nói.
- Mindkét részről hisszük a...	- Cả hai cùng tin vào...
Egy pillanatig habozott.	Anh ta ngần ngừ giây lát.
- ...a Megváltót.	- Chúa Cứu thế.
Csak ők nem hiszik a pápát és az Isten Anyját.	Chỉ khác là họ không tin vào Giáo hoàng và Đức Mẹ.
- De természetesen - mondta Mr. Cunningham nyugodtan és hathatósan - a mi hitünk a régi, az ősi hit.	- Nhưng, tất nhiên - Mr Cunningham nói một cách điềm đạm và chắc chắn - tôn giáo của chúng ta mới chính là tôn giáo, đức tin lâu đời.
- Semmi kétség - mondta Mr. Kernan melegen.	- Tất nhiên chuyện đó không có gì phải nghi ngờ rồi - Mr Kernan sôi nổi.
Mrs. Kernan jött be a hálószobaajtón és bejelentette:	Mrs Kernan hiện ra nơi cánh cửa phòng ngủ và thông báo:
- Vendéged van.	- Có một vị khách đang chờ mình.
- Mr. Fogarty.	- Ai vậy?
- Csak tessék, csak tessék!	- Ngài Fogarty.
- Nem csalódtam benned, öregfiú.	- A mời vào, mời vão
Mr. Power ismét közreműködött.	Mr Power lại đứng ra.
A poharak kiürültek, és öt adag whisky illatozott a sörök helyett bennük.	Ly cốc được tráng qua và whisky được rót.
Mr. Fogarty, csöpp helyet foglalva el székén, roppantul érdeklődött.	Mr Fogarty, ngồi nhón trên mép ghế, tỏ ra cực kỳ thích thú.
- XIII. Leó pápa - mondta Mr. Cunningham - korának messzefénylő fáklyája volt.	- Giáo Hoàng Leon XIII 14 - Mr Cunningham nói - là một trong những vì sao sáng của thời đại.
Nem tudom, tudjátok-e, hogy az ő hatalmas eszméje volt a latin és a görög egyház egyesítése.	Tư tưởng vĩ đại của ngai, các cậu biết đấy, là hợp nhất hai Giáo hội La mã và Hy Lạp.
Ezt tűzte ki élete céljául.	Đó là mục tiêu của đời ngài.
- Valóban az egyik - gondolkozott el Mr. Cunningham -, ha nem a legnagyobb.	- Đúng vậy - Mr Cunningham nói - nếu không muốn nói ngài là người vĩ đại nhất.
Nem tudom, tudjátok-e, hogy mint pápának, ez volt a jelszava: Luxot a Luxra - Fényt a Fényre.	Phương châm của ngài, các cậu biết đấy, với tư cách Giáo hoàng, là Lux upon Lux - Ánh sáng bên trên ánh sáng 15.
Helyesen így hangzik a mottó: Lux in Tenebris - Fényt az Éjbe.	Phải là Lux in Tenebris, tớ nghĩ vậy - Ánh sáng bên trong Bóng tối.
- Nana - javított Mr. M’Coy. - Tenebrae.	- Ừ đúng rồi - Mr M'Coy nói - Tenebrae 16.
- Már megbocsássatok - mondta határozottan Mr. Cunningham -, de így hangzott: Luxot a Luxra - Fényt a Fényre.	- Xin phép các cậu - Mr Cunningham nói chắc chắn - nhưng nó đúng là Lux upon Lux.
Mr. Cunningham folytatta:	Mr Cunningham tiếp tục.
- Nem tudom, tudjátok-e, hogy Leó pápa nagy tudós volt és költő.	- Giáo hoàng Leo, các cậu biết đấy, là một học giả và nhà thơ vĩ đại.
- Erélyes arcéle volt - gondolkozott el Mr. Kernan.	- Trông mặt ông ấy cứng rắn lắm - Mr Kernan nói.
- Igen - mélázott Mr. Cunningham -, latin versekben jeleskedett.	- Phải - Mr Cunningham nói - Ngài viết thơ bằng tiếng Latin.
- Valóban?	- Thật thế sao?
- kérdezte Mr. Fogarty.	- Mr Fogarty nói.
Mr. M’Coy elégedetten beleszürcsölt whiskyjébe, és duplázott jelentőséggel rázta fejét:	Mr M'Coy nhấp ly whisky của mình một cách thỏa mãn và lắc lắc đầu đầy hàm ý, nói:
- Én mondom nektek, nem tréfadolog ez.	- Không nói đùa đâu, tớ đảm bảo với cậu.
- Ezt nem tanultuk - követte Mr. M’Coy példáját Mr. Power -, mikor a vasárnapi iskolába jártunk.	- Mr Power nói, bắt chước Mr M'Coy, hồi còn ở ngôi trường kiết xác ngày xưa 19
- Micsoda emberek jártak valaha rég az egypennys iskolába, egy nagydarab tőzeggel a hónuk alatt - bölcselkedett Mr. Kernan.	- Có rất nhiều người tử tế đã đi học ở những ngôi trường kiết xác đó nách lúc nào cũng cắp mảng than bùn 20 - Mr Kernan lên mặt - Hệ thống cũ là tốt nhất: một nền giáo dục đơn giản trung thực.
- Tökéletesen igazad van - mondta Mr. Power.	- Cũng đúng - Mr Power nói.
- Semmi fölösleges - visszhangzott Mr. Fogarty.	- Không thừa - Mr Fogarty nói.
- A fényképezésre!	- Về chụp ảnh sao?
- kiáltott fel Mr. Kernan.	- Mr Kernan kêu lên.
- Igen - mondta Mr. Cunningham.	- Phải - Mr Cunningham nói.
- Na, gondoljátok csak el - gondolta el Mr. M’Coy -, hát nem csoda a fénykép, ha mélyen belegondolsz?	Mà các cậu biết đấy - Mr M'Coy nói - khi nghĩ về chụp ảnh, chẳng lẽ nó không tuyệt vời sao?
- Na igen - mondta Mr. Power - nagy szellemeknek szemük van a csodákra.	- Ừ, tất nhiên rồi - Mr Power nói - Những trí tuệ vĩ đại luôn nhìn thấy mọi thứ.
- Amint a költő mondja: Egy testvér a lángész az őrülettel - idézte Mr. Fogarty.	- Như thi sĩ nói, Trí óc vĩ đại rất gàn với sự điên dại 21 - Mr Fogarty nói.
Mr. Kernan láthatóan viaskodott lelkében.	Mr Kernan có vẻ đang vướng bận điều gì.
De a meglepő az: soha egyetlen pápa, a legveszekedettebb részeges, a leg... az utolsó csepp véréig bitang, soha nem hirdetett hamis tanokat, ha ex cathedra szólott.	Không một ai trong số họ, dù là gã nghiện rượu nặng nhất, dù là tên vô lại nhất, không một ai trong số họ từng giáo huấn thượng tòa dù hỉ một từ giáo lý sai trái nào.
- De - mondta Mr. Kernan.	- Đúng vậy - Mr Kernan nói.
- Igen, mert ha ex cathedra szól a pápa - magyarázta Mr. Fogarty -, akkor csalhatatlan.	- Phải, bởi một khi Giáo hoàng công bố một tín điều - Mr Fogarty giải thích - ông ta phải bất khả ngộ.
- Úgy van - mondta Mr. Cunningham.	- Phải - Mr Cunningham nói.
Mr. Fogarty félbeszakította.	Mr Fogarty cắt ngang.
Mr. M’Coy látva, hogy úgysem jut mindenkinek, szabadkozott, hogy még az elsőt sem itta meg.	Mr M'Coy nhận thấy chỗ rượu còn lại không đủ cho tất cả, bèn nói anh ta chưa uống xong lượt trước.
Szabadkozását a többiek ellenvetések közepette elfogadták.	Những người khác phản đối chiếu lệ.
A poharakba ömlő whisky halk zenéje igen kellemes közjátékul szolgált.	Tiếng whisky róc rách rơi xuống ly làm nên một quãng nghỉ dễ chịu.
- Mit akartál mondani, Tom?	- Cậu đang nói gì ấy nhỉ, Tom?
- kérdezte Mr. M’Coy.	- Mr M'Coy hỏi.
- Pápai csalhatatlanság - mondta Mr. Cunningham -, ezzel függ össze az egyház történetének egyik legjelentősebb eseménye.	- Tính bất khả ngộ của Giáo hoàng - Mr Cunningham nói - đó là chương vĩ đại nhất trong toàn bộ lịch sử Giáo hội.
- Hogy is volt, Martin?	- Sao lại thế, Martin?
- kérdezte Mr. Power.	- Mr Power hỏi.
Mr. Cunningham két tömzsi ujját a levegőbe bökte.	Mr Cunningham giơ hai ngón tay mập mạp lên
- Nem tudom, tudjátok-e, hogy a püspökök, érsekek és bíborosok szent gyülekezetében volt két férfiú, akik a pápai határozat ellen szegültek, míg a többi melléállt.	- Trong hồng y đoàn hôm đó, các cậu biết đấy, gồm hồng y, tổng giám mục và giam mục, có hai người đã ra phản đối nó trong khi tất cả những người khác đều ủng hộ.
E kettő kivételével az egész konklávé egy akaraton volt.	Toàn bộ cơ mật viện đều nhất trí, trừ hai vị này.
De ők nem!	Không!
- He!	- Ha!
- szólt Mr. M’Coy.	- mr M'Coy thốt lên.
- Egy német bíboros szegült ellene, valami Dolling nevezetű... vagy nem is tudom, Dowling... talán...	- Và họ là một hồng y người Đức tên là Dolling...hay Dowling....hay...
- Hogy Dowling nem volt német, az olyan biztos, mint a kétszerkettő - nevetett Mr. Power.	- Dowling không phải là người Đức, điều này thì chắc như đinh đóng cột - Mr Power nói, cười lớn.
- Nahát, akárminek is hívták, ez a nagy német bíboros volt az egyik; a másik pedig John MacHale.	- Ừ, vị hồng y người Đức vĩ đại đó, tên ông ta là gì cũng chẳng sao, là một, còn người kia là John MacHale 22
- Micsoda?	- Ai cơ?
- kiáltott fel Mr. Kernan. - Csak nem John of Tuam?	- Mr Kernan kêu lên - Có phải là John xứ Tuam không?
- Egészen biztos vagy ebben?	- Lần này cậu có chắc không đấy?
- kérdezte Mr. Fogarty kétkedőn.	- Mr Fogarty ngờ vực.
- Én úgy tudtam, valami olasz vagy amerikai, vagy mi.	Tớ nghĩ phải là một người Ý hay Mỹ gì đó chứ?
Aztán összefoglalta:	Rồi anh ta tiếp tục:
- Ott voltak tehát püspökök, érsekek és bíbornokok a világ minden tájáról, és ezek ketten körömszakadtukig harcoltak, míg végül a pápa maga állt fel, és hirdette ki csalhatatlanságát, mint az egyház egyik fődogmáját, ex cathedra.	- Và họ cứ như vậy, tất cả các hồng y và giám mục và tổng giám mục đến từ mọi ngóc ngách trái đất và hai kẻ phá đám chống đối này, cho đến khi cuối cùng Giáo hoàng phải thân chinh đứng dậy và tuyên bố tính bất khả ngộ sẽ trở thành giáo lý thượng tòa của Giáo hội.
- Hiszek!	- Tôi tin!
- tolmácsolt Mr. Fogarty.	- Mr Fogartry nói.
- Credo!	- Credo!
Mikor a pápa megszólalt, azonnal engedelmeskedett.	Ông ta đã nhượng bộ khi Giáo hoàng cất tiếng.
- És mit szólt ehhez Dowling?	- Còn Dowling thì sao?
- kérdezte Mr. M’Coy.	- Mr M'Coy cất tiếng hỏi.
- A német bíboros nem engedett.	- Vị hồng y người Đức không chịu nhượng bộ.
Később elhagyta egyházunkat.	Ông ta rút khỏi Giáo hội.
Mr. Cunningham szavaira felsötétlett hallgatóinak lelki szeme előtt az egyház irdatlan épületének képe.	Những lời nói của Mr Cunningham đã vẽ nên hình ảnh hoành tráng của Giáo hội trong tâm trí người nghe.
Mikor Mrs. Kernan belépett, kezeit törölgetve, egy ünnepélyes gyülekezetet talált a szobában.	Khi Mrs Kernan bước vào phòng, vừa đi vừa lau khô tay, chị ta thấy cả bọn họ đang nghiêm nghị.
- Láttam egyszer John MacHale-t - mondta Mr. Kernan -, és nem felejtem el, míg élek.	- Tớ từng gặp John MacHale một lần - Mr Kernan nói - và chừng nào còn sống tớ sẽ không bao giờ quên.
Feleségéhez fordult bizonyításért.	Anh ta quay sang vợ mình để nhấn mạnh.
- Ugye, emlegettem egypárszor?	- Tôi vẫn nói với mình thế, phải không nào?
Mrs. Kernan bólintott.	Mrs Kernan gật đầu.
- Akkor volt, amikor leleplezték Sir John Gray emlékművét.	- Đó là dịp khánh thành bức tượng Sir John Gray 25.
Egmond Dwyer Gray tartotta a beszédet, locsogott és locsogott, és ott állt ez az ütött-kopott öreglegény, és csak nézett bozontos, busa szemöldöke alól.	Edmund Dwyer Gray 26 đang thuyết giảng, huyên thuyên, và rồi ông già này, một ông già trông cáu bẳn, nhìn ông ta từ phía dưới đôi lông mày rậm rạp.
Mr. Kernan összevonta szemöldökét, és mint dühödt bivaly, leszegett fejjel meredt feleségére.	Mr Kernan nhíu hai mày, cúi thấp đầu xuống như một con bò đực đang nổi giận, nhìn đăm đăm vào vợ.
- Jóságos Isten!	- Chúa ơi!
Mintha azt mondta volna: tökéletesen a vesédbe látok, öregem.	Như thể nó muốn nói: Tôi đã nghe hết những gì ông nói rồi, anh bạn.
Olyan volt a szeme, mint a karvalyé.	Ông ta có một đôi mắt như diều hâu.
- A Grayek mind semmirekellők voltak - mondta Mr. Power.	- Họ nhà Gray chẳng ai nên trò trống gì 27 - Mr Power nói.
Mr. Power kitörő vidámsággal fordult Mrs. Kernanhoz:	Rồi Mr Power quay sang Mrs Kernan và nói với một giọng vui vẻ bất ngờ:
- Íme, Mrs. Kernan, azon fáradozunk, hogy férjéből glóriás, jámbor, istenfélő, jó katolikust eszkábáljunk.	- Chị Kernan này, chúng tôi sắp biến ông chồng chị đây thành một tín đồ ngoan đạo, một người Công giáo La ma kính Chúa.
- Lelkigyakorlatra készülünk mindahányan, bevallani bűneinket, és Isten látja, nagy szükségünk van erre.	- Tất cả chúng tôi sẽ cùng tĩnh tâm và xưng tội và có Chúa chứng giám tất cả chúng tôi đều thực sự muốn làm.
- Felőlem - mosolygott idegesen Mr. Kernan.	- Tôi không ngại - vợ Kernan nói, mỉm cười hơi bối rối.
Mrs. Kernan jobbnak látta, ha némiképp palástolja megelégedettségét:	Mrs Kernan nghĩ có lẽ sẽ khôn ngoan hơn nếu che giấu sự hài lòng của chị ta.
Mr. Kernan arca elsötétült.	Mặt Mr Kernan hơi biến sắc.
- Ha nem tetszik neki - mondta nyersen -, akkor... tehet egy szívességet.	- Nếu ông ta không thích chúng - anh ta nói một cách bất cần - ông ta có thể...làm cái khác.
Mr. Cunningham azonnal közbelépett.	Mr Cunningham can thiệp đúng lúc.
- Mindnyájan együtt megtagadjuk az ördögöt és annak pompáját és csábításait.	- Chúng ta, tất cả nguyện sẽ tránh xa quỷ Xa tăng - anh ta nói - Tránh xa mọi tội lỗi và cám dỗ của hắn.
Mr. Power nem szólt semmit.	Mr Power không nói gì.
Látta, hogy kicsúszott a kezéből a vezénylet.	Anh ta cảm thấy hoàn toàn lạc lõng.
- Mindössze az lesz a teendő - mondta Mr. Cunningham -, hogy felállunk égő gyertyákkal kezünkben, és megújítjuk a keresztségben tett fogadalmunkat.	- Tất cả những gì chúng ta phải làm - Mr Cunningham nói - là đứng và cầm những ngọn nến cháy và hứa lại lời hứa rửa tội của chúng ta.
- Tényleg, el ne felejtsd a gyertyát, Tom - szólt közbe Mr. M’Coy -, akármit is határozol.	- Ấy, mà đừng có quên nến nhé, Tom - Mr M'Coy nói - dù cậu có làm gì.
- Micsoda?	- Sao?
- kérdezte Mr. Kernan. - Gyertyával kell felállnom?	- Mr Kernan nói - Tớ bắt buộc phải có nến ư?
- Na igen - mondta Mr. Cunningham.	- Ừ, đúng thế - Mr Cunningham nói.
- Nem, egye meg a fene az egészet - mondta Mr. Kernan józanul. - Mindennek van határa.	- Không, chết tiệt chứ - Mr Kernan nói một cách sáng suốt - tớ dừng ở đây.
Ezt a lelkigyakorlat-ügyet meg a gyónást és... mindent, ami kell.	Tớ sẽ làm mấy vụ cầu nguyện và xưng tội, và...tất cả những vụ đó.
Egye meg az egészet a fene, gyertyáról szó sem lehet!	Không, quỷ tha ma bắt tất cả đi, tớ cạch mặt cái lũ nến!
- Figyelj ide - mondta a felesége.	- Nghe đấy nhé! - vợ anh ta nói.
- Na, nézzék ezt a szép kis katolikust!	- Tín đồ Thiên Chúa giáo ngoan đạo cho các anh!
- mondta a felesége.	- vợ anh ta nói.
- Nincs gyertya!	- Không nến gì hết!
- hajtogatta Mr. Kernan megátalkodottan. - Ki van zárva!	- Mr Kernan bướng bỉnh nhắc lại - Chấm hết!
A Gardiner utcai jezsuita templom kereszthajója csaknem megtelt, de az urak még mindig jöttek az oldalajtókon, és egy világi testvér vezetésével lábujjhegyen mászkáltak a padsorok között, mígnem valami ülőalkalmatosságra leltek.	Gian ngang Nhà thờ Dòng Tên phía trên phố Gardiner đã gần hết chỗ, vậy mà mỗi lúc lại thấy các quý ông bước vào từ cửa bên và được thầy giúp việc chỉ dẫn, nhón gót dọc theo các lối đi giữa cho đến khi họ tìm được chỗ ngồi.
Kiöltöztek a nap tiszteletére, és illedel­me­sek voltak.	Các quý ông đều ăn mặc lịch sự và gọn gàng.
A templomi lámpák fénye fekete ruhák és fehér gallérok gyülekezetét világította meg, melyet itt-ott tweedszövetek tettek változatossá, tompa fényű zöld márványoszlopok és komor drapériák.	Ánh đèn trong nhà thờ tỏa xuống những bộ trang phục màu đen cổ cồn trắng, đây đó dịu đi trên chất vải len, trên những cây cột đá cẩm thạch màu lốm đốm và trên những bức sơn dầu buồn thảm.
Az urak a padokban ültek, biztonságba helyezett kalapok között, és térdükön könnyedén felhúzták a nadrágot.	Các quý ông ngồi trên ghế băng, sau khi đã sửa nhẹ đầu gối quần và làm yên vị những chiếc mũ của họ.
Nyugalmasan hátradőltek, szertartásosan bámulták a piros fény távoli pislákját a főoltár előtt.	Họ ngồi thẳng lưng và nhìn trang trọng vào vầng sáng màu đỏ xa xa phía trước đang tỏa mờ mờ trước bàn thờ Chúa.
A szószékhez közel, egy padban ült Mr. Cunningham és Mr. Kernan.	Ở một trong những hàng ghế gần bục giảng kinh là Mr Cunningham và Mr Kernan.
A mögöttük levő padban Mr. M’Coy egyedül; mögötte pedig Mr. Power és Mr. Fogarty.	Hàng phía sau là một mình Mr M'Coy, và ở hàng ghế sau anh ta là Mr Power và Mr Fogarty.
Mr. Cunningham suttogva felhívta Mr. Kernan figyelmét Mr. Harfordra, a pénzkölcsönzőre, aki valamivel odább ült, és Mr. Fanningre, aki a képviselőket és polgármestereket szállította a városnak, amint közvetlen a szószék alatt ájtatoskodott, az újonnan választott árvaszéki ülnök mellett.	Thầm thì, Mr Cunningham hướng sự chú ý của Mr Kernan vào Mr Harford, người cho vay nặng lãi, đang ngồi cách đấy một đoạn, và Mr Fanning, viên lục sự phụ trách bầu cử thị trưởng, đang ngồi ngay phía dưới bục giảng kinh bên cạnh đám hội viên hội đồng khu vực mới được bầu.
Jobbra tőlük az öreg Michael Grimes ült, három zálogház tulajdonosa, Dan Hogan unokaöccsével, aki most pályázta meg a városi díjnokságot.	Phía bên phải là ông già Michael Grimes, chủ ba tiệm cầm đồ và cháu trai của Dan Hogan, ứng cử viên chân thư ký trưởng Tòa Thị chính.
Elöl, távolabb ült Mr. Hendrick, a Freeman’s Journal főtudósítója, és a szerencsétlen öreg O’Carrol, Mr. Kernan régi barátja, aki valamikor jelentős alakja volt a kereskedelmi világnak.	Phía xa bên trên là Mr Hendrick, phóng viên gạo cội tờ Người tự do, và O'Carroll khốn khổ, một người bạn cũ của Mr Kernan, từng có thời là một nhân vật tài chính tầm cỡ.
Az ismerős arcok láttán felbátorulva, Mr. Kernanban eluralgott az otthoniasság érzése.	Dần dần, khi nhận ra những khuôn mặt quen, Mr Kernan bắt đầu cảm thấy tinh thần thoải mái hơn.
Kalapja, amelyet felesége adott vissza az életnek, térdén feküdt.	Cái mũ của anh ta, đã được vợ chỉnh lại, yên vị trên đầu gối.
Megrángatta kézelőjét az egyik kezével, s a másikkal könnyedén, férfiasan markolta kalapja karimáját.	Một hay hai lần anh ta một tay kéo măng sét tay kia cầm nhẹ vành mũ, nhẹ, nhưng chặt.
