A KASTÉLY	LÂU ĐÀI
És K.-nak meg se kellett kérdeznie, mi baja, Pepi nyomban magától is mesélni kezdte, szemét mereven K. kávésbögréjére szegezve, mintha még mesélés közben is szüksége volna valami kikapcsolódásra, s mintha még most, mikor vele foglalkozik, sem bírná egészen átadni magát fájdalmának, mert ez meghaladná erejét.	K. không cần phải hỏi cô có chuyện gì thì Pepi đã bắt đầu kể ngay về mình, mắt vẫn chằm chằm nhìn vào cốc cà phê của K. như thế trong khi kể cô ta vẫn cần đến sự lãng quên nào đó, nhưng kể cả khi nói về nỗi đau của cô, vẫn không thể để toàn tâm vào chúng bởi vì điều này vượt quá sức cô ta.
K. először is azt tudta meg, hogy Pepi balsorsának voltaképpen ő az oka, de a lány nem neheztel rá emiatt.	Lần đầu tiên K. biết được rằng chàng chính là nguyên nhân của những bất hạnh của Pepi, nhưng cô gái không qui kết gì chàng vì việc đó.
És elbeszélése közben buzgón bólogatott, nehogy K.-nak módja legyen ellentmondani.	Và trong khi kể, cô lắc đầu liên tục dường như để K. khỏi có bất kỳ khả năng phản đối nào.
Azzal kezdte K., hogy Fridát elvitte az ivóból, s ezzel lehetővé tette Pepi fölemelkedését.	K. bắt đầu bằng việc đưa Frida ra khỏi quầy rượu, và với việc đó chàng tạo điều kiện để Pepi vươn lên.
És Pepi?	Còn Pepi?
Eszébe jutott volna valaha is, hogy megszerezze magának ezt a helyet?	Cô có thể nghĩ ra việc dành vị trí đó cho mình hay sao?
Szobalány volt, jelentéktelen alkalmaztatásban, mely édeskevés kilátást nyújtott, persze álmodozni ő is álmodozott szép jövőről, mint minden lány, ki tilthatja meg magának, hogy álmodozzék, de komolyan nem gondolt rá, hogy többre vigye, beérte azzal, amennyit elért.	Là cô gái hầu phòng, một việc làm không đáng kể, không hứa hẹn mang lại cho cô chút ít triển vọng nào, tất nhiên cô cũng mơ ước về tương lai tốt đẹp như tất cả các cô gái, ai cấm được mình mơ ước, nhưng cô chưa nghĩ đến một cách nghiêm chỉnh rằng mình có thể đạt được nhiều hơn, cô bằng lòng với những gì đã có.
És most Frida egyszer csak eltűnt az ivóból, olyan váratlanul jött az egész, hogy a kocsmáros hirtelenében nem is tudott megfelelő pótlásról gondoskodni; körülnézett, és Pepin akadt meg a tekintete, és Pepi a maga részéről szintén előrefurakodott.	Và bất ngờ Frida bỗng nhiên biến khỏi quầy rượu, toàn bộ sự việc diễn ra ngẫu nhiên làm cho ông chủ quán, vì đột ngột, không nghĩ ra được người thay thế thích hợp, ông ta nhìn quanh và bắt gặp Pepi, về phần mình Pepi cùng đã dọn đường từ trước.
Abban az időben szerette K.-t, ahogy még soha senkit; hónapokig ült odalent hitvány, sötét kis kamrájában, és fölkészült rá, hogy éveket fog ott tölteni, sőt kedvezőtlen esetben ott tölti egész életét anélkül, hogy bárki is észrevenné; s most egyszerre megjelent K., mint egy lányszabadító hős, és megnyitotta előtte az utat fölfelé.	Trong thời gian đó cô đã yêu K., yêu như chưa từng yêu ai đến thế; cô đã từng ngồi ở dưới đó hàng bao nhiêu tháng trời, trong phòng để bát đĩa xấu xí, tăm tối, và chuẩn bị sẽ sống nhiều năm ở đó, thậm chí trong trường hợp không may mắn cô sẽ sống suốt đời ở đó mà không ai biết đến.
K. persze mit sem tudott Pepiről, nem érte tette, amit tett, ez azonban egyáltalán nem fojtotta el Pepi háláját, s az alkalmaztatása előtti éjszakán - amikor még nem volt egészen biztos, de már nagyon valószínű volt, hogy alkalmazzák - órákat töltött azzal, hogy köszönő szavakat suttogott K. fülébe.	K. bỗng xuất hiện như người anh hùng đã giải phóng các cô gái, và chàng đã mở ra trước mắt cô con đường đi lên. K. tất nhiên đâu có biết gì về Pepi, chàng không vì cô mà làm việc đã làm, nhưng điều đó không hề làm mất đi lòng biết ơn của Pepi, và đêm trước ngày nhận việc - khi mà cô chưa hoàn toàn chắc chắn, nhưng rất có thể là họ nhận cô - cô đã thức mấy giờ liền để thì thầm với K. những lời cảm ơn, và hành động của K. càng trở nên cao thượng trong con mắt của Pepi, vì chàng đã chịu một gánh nặng cho mình tức là Frida: có sự vô tư không thể tưởng tượng nổi qua việc.
S még ilyen gondolatok is támadtak Pepiben: Lehetséges, hogy K. valóban Fridát szereti, és nem csak ámítja magát; vagy esetleg csupán Fridát ámítja, s mindennek az eredménye talán mégis egyedül Pepi fölemelkedése lesz; s akkor K. vagy ráeszmél tévedésére, vagy nem akarja tovább leplezni tévedését, s akkor már nem Fridát fogja látni, hanem csak Pepit; és az korántsem volt esztelen képzelgés Pepi részéről, hiszen mint nő, kétségkívül fölveszi Fridával a versenyt, ezt nem is tagadhatja senki, és K.-t pillanatnyilag nyilván csak Frida állása kápráztatta el, meg az a ragyogás, melyet Frida tudott adni a helyzetének.	Còn có những ý nghĩ như thế này trỗi dậy trong Pepi: Lẽ nào K. yêu Frida thật, và có phải chàng tự dối mình, hoặc có thể chàng chỉ lừa dối Frida, và kết quả của mọi chuyện có lẽ vẫn chỉ là sự vươn lên của Pepi, vậy thì đến lúc ấy K. hoặc là nhận ra sự nhầm lẫn của mình, hoặc là không muốn tiếp tục che đậy sự nhầm lẫn đó, và lúc đó chàng sẽ không chú ý tới Frida nữa, mà chỉ quan tâm đến Pepi.
És most Pepi arról ábrándozott, hogy ha ő nyeri el az állást, K. könyörögve járul majd elébe, és neki módja nyílik a választásra, hogy vagy meghallgatja K.-t, és elveszíti az állást, vagy elutasítja K.-t, és továbbemelkedik.	Điều đó không phải là sự tưởng tượng điên rồ từ phía Pepi, bởi vì như là phụ nữ, rõ ràng cô đủ sức ganh đua với Frida, việc này không một ai có thể phủ nhận và chắc chắn việc làm của Frida, trong chốc lát đã làm cho K. lóa mắt, rồi sự tỏa sáng mà Frida biết tạo ra cho hoàn cảnh của mình, còn trong mơ tưởng Pepi đã thấy rằng khi cô chiếm chỗ của Frida, K. sẽ cầu xin cô, và cô có cách để lựa chọn: hoặc là nghe K. thì mất việc làm, hoặc cự tuyệt K. thì cô tiếp tục vươn tới.
S eltökélte magában, hogy mindenről lemond, és leereszkedik K.-hoz, és megtanítja neki, mi az igazi szerelem, amivel Frida mellett sosem találkozhat, és ami független minden világi tisztességtől.	Và cô đã thầm quyết định từ bỏ tất cả, hạ cố đến với K. để dạy chàng tình yêu đích thực là gì, vì ở cạnh Frida chàng không bao giờ có thể gặp được tình yêu đích thực là cái độc lập với mọi danh vọng trần thế.
Hanem aztán másként történt.	Thế rồi sau đó sự việc đã xảy ra khác đi.
Elsősorban K., s aztán persze Frida, a ravaszságával.	Nhưng lỗi trước hết là K., sau đó tất nhiên là Frida cùng với sự trơ trẽn của cô ta.
Elsősorban K.; mert mit akar, miféle furcsa ember?	Trước hết là K. không biết chàng muốn gì, con người mới lạ lùng làm sao?
Mire törekszik, miféle fontos dolgok foglalkoztatják, hogy miattuk megfeledkezik arról, ami a legkézenfekvőbb, a legjobb és a legszebb?	Chàng cố gắng làm điều gì, những việc quan trọng nào làm chàng bận tâm, để vì chúng mà chàng quên đi cái có sẵn nhất, tốt nhất và đẹp nhất?
Ennek Pepi az áldozata, és minden ostobaság, és mindennek vége; és Pepi ma örömest odaadná magát annak, akiben volna elég erő hozzá, hogy az egész Udvarházat fölgyújtsa és fölégesse, de olyan alaposan, hogy pora se maradjon; úgy semmivé égesse, mint a kályha tüze a papirost.	Và Pepi trở thành nạn nhân. Mọi thứ hóa ra đều ngu xuẩn, và tất cả đều đổ vỡ, và hôm nay Pepi có thể vui sướng trao mình cho người nào dám đốt cháy quán "Ông chủ" này, đốt cho đến bụi cũng không còn, phải làm cho nó cháy hết như giấy trong bếp lò vậy.
Igen, szóval Pepi beállt az ivóba, négy nappal ezelőtt, nem sokkal ebéd előtt.	Vâng, tóm lại Pepi đã vào làm việc ở chỗ quầy uống, trước đây bốn ngày, trước bữa cơm trưa không nhiều.
Nem könnyű itt a munka, valósággal fölőrli az embert, de az sem kevés, amit el lehet érni vele.	Công việc ở đây không nhẹ nhàng gì, n xay nát người ta ra, nhưng điều đạt được nhờ nó cũng không ít.
Pepi eddig sem lopta a napot, és bár erre az állásra legmerészebb álmaiban sem mert soha igényt formálni, azért sok mindent jól megfigyelt; tudta, mit vesz magára ezzel az állással, és nem csak úgy vaktában vállalta.	Cho đến lúc này Pepi không bỏ ngày nào, và với một việc làm mà trong những giấc mơ táo bạo nhất cô cũng không dám màng tới, cho nên cô đã chú ý đến tất cả; cô biết hết tất cả những gì gắn với công việc này, nếu không có sự chuẩn bị ấy hẳn cô đã không dám đảm nhận nó.
Vaktában nem is lehet vállalni, mert akkor már az első órában elveszti az ember.	Mà cũng không thể đảm nhận công việc một cách mù quáng, vì như thế thì ngay trong giờ đầu sẽ bị đánh mất nó.
Szép is lenne, ha itt szobalány módjára akarna viselkedni valaki!	Thật đẹp mặt, nếu ở đây mà lại vẫn cư xử như cô gái hầu phòng!
Ha az ember szobalány, megszűnik az időérzéke, egészen megfeledkezik az időről; mintha bányában dolgoznék, legalábbis a titkárok folyosóján, naphosszat senki mást sem látni ott egy-két nappali ügyfélen kívül, aki ide-oda surran, és föl se mer nézni, mint csak a másik két vagy három szobalányt, és azok éppolyan elkeseredettek.	Nếu là gái hầu phòng thì không còn cảm nhận thời gian, hoàn toàn lãng quên thời gian; như thể đang làm việc trong hầm mỏ, ít ra thì ở ngoài hành lang của các thư ký, suốt ngày không nhìn thấy ai ở đó ngoài một hai đương sự đến ban ngày, chạy đi chạy lại và không dám nhìn lên, hoặc hai ba cô hầu phòng khác cũng đang đau khổ.
Reggel egyáltalán nem szabad előjönniük a szobájukból, olyankor a titkárok egymás közt akarnak lenni, az ételt a szolgák hordják föl nekik a konyháról, ezzel a szobalányoknak rendszerint nincs dolguk, és az étkezés ideje alatt sem mutatkozhatnak a folyosón.	Sáng sớm họ không được bước ra khỏi phòng, lúc đó các vị thư ký muốn được ở với nhau, những người phục vụ mang thức ăn từ nhà bếp lên cho họ, cứ thế những người hầu phòng thường xuyên không có việc làm, và trong thời gian ăn uống họ cũng không được xuất hiện ngoài hành lang.
Takarítani csak azalatt takaríthatnak, amíg az urak dolgoznak, és természetesen akkor sem a lakott szobákban, hanem csak azokban, amelyek éppen üresek, és a munkának teljes csendben kell mennie, nehogy zavarják vele az urak munkáját.	Họ chỉ được phép lau chùi dọn dẹp trong khi các ngài đang làm việc, tất nhiên không phải trong các phòng có người ở mà là trong các phòng không, phải làm việc hoàn toàn im lặng, không được ảnh hưởng tới công việc của các ngài.
De hogy lehet csöndben takarítani, mikor az urak napokon át ott laknak a szobák­ban, s ráadásul ott járnak-kelnek a szolgák is, ez a mocskos népség, és a szoba, ha végül átadják a szobalánynak, olyan állapotban van, hogy az özönvíz se moshatná tisztára.	Nhưng làm sao có thể lau chùi quét dọn sạch nổi khi mà các ngài mấy ngày liền đã ở trong những phòng đó, thậm chí những người phục vụ cũng qua lại đó, đây là dân bẩn thỉu, và cuối cùng căn phòng được giao lại cho cô hầu phòng trong trạng thái mà đến đại hồng thủy cũng không thể rửa sạch.
És soha egy jó szó, mindig csak szemrehányások, s köztük a legkínosabb és a leggyakoribb: hogy akták vesztek el takarítás közben.	Không bao giờ họ được nhận một lời tốt đẹp, chỉ luôn luôn bị trách mắng, mà lời trách oái oăm nhất là dường như các tập tài liệu biến mất trong khi họ dọn dẹp.
Valójában semmi sem vész el, minden darabka papírt leadnak a kocsmárosnak; akták azonban persze hogy elvesznek, csak éppen nem a lányok kezén.	Thật ra không có gì mất cả, họ đưa xuống cho ông chủ quán tất cả các tờ giấy, vậy những tập tài liệu có mất, thì không phải mất vì tay các cô gái.
Akkor aztán jönnek a bizottságok, a lányoknak el kell hagyniuk szobájukat, és a bizottság föltúrja az ágyukat; a lányoknak semmijük sincs, kevéske holmijukat egy háti kosárban tartják, a bizottság mégis órákig kutat.	Thế là các ủy ban đến, các cô gái phải rời bỏ phòng mình và ủy ban bới tung giường họ lên; không có gì cả, một ít tư trang thì họ để cả trong một cái gùi, thế mà ủy ban vẫn kiếm tìm hàng mấy giờ.
Természetesen nem talál semmit; hogy is kerülhetett volna oda akta?	Tất nhiên là ủy ban không tìm thấy gì, làm sao mà tập tài liệu lại đến đó được?
Mit csinálnának a lányok egy aktával!	Các cô gái cần gì các tập tài liệu!
De az eredmény megint csak ez: a fölsült bizottság szidalmai és fenyegetései, amit a kocsmáros közvetít.	Nhưng kết quả thì lại là những lời chửi mắng và đe dọa của cái ủy ban thất bại đó được ông chủ quán truyền lại các cô gái.
És soha egy percnyi nyugalom, se nappal, se éjjel, lárma fél éjszakán át; és lárma kora hajnaltól fogva.	Không bao giờ có được một phút yên tĩnh, ngày cũng như đêm, ầm ĩ từ nửa đêm, ầm ĩ từ sáng sớm.
Legalább ne kellene ott lakni; de kell, mert az már a szobalányok dolga, hogy időnként, kivált éjszaka, az urak kívánsága szerint apróságokat hozzanak föl a konyhából.	Giá mà không phải ở đó, nhưng buộc phải ở, vì đó là việc của những cô hầu phòng, để thỉnh thoảng, nhất là ban đêm, mang mấy thứ lặt vặt từ nhà bếp lên theo yêu cầu của các ngài.
Milyen szomorú is ez: újra meg újra a váratlan dörömbölés a szobalányok ajtaján, földiktálják a rendelést, s ők szaladnak le a konyhába, fölverik álmukból a kuktákat, majd a tálcát a megrendelt dolgokkal kiteszik az ajtajuk elé, s onnét viszik el aztán a szolgák.	Việc ấy mới buồn làm sao: hết lượt này đến lượt khác người ta đập ầm ầm lên cửa phòng của các cô hầu phòng, đọc tên những thứ các ngài cần, và các cô phải chạy xuống bếp lắc gọi người đầu bếp đang yên giấc, sau đó để những thứ yêu cầu lên khay, đặt xuống cạnh cửa phòng những người phục vụ sẽ mang chúng đi khỏi đó.
De még mindig nem ez a legrosszabb.	Nhưng việc đó vẫn chưa phải là xấu nhất.
A legrosszabb az, ha nem jön semmilyen rendelés, és ha késő éjjel, amikor már mindenkinek aludnia kellene, és a legtöbben alszanak is, a szobalányok ajtaja előtt néha elkezdenek föl-alá sompolyogni.	Việc tồi tệ nhất là nếu không có đòi hỏi gì cả, và đêm khuya, khi mọi người cần phải ngủ, nhiều người đã ngủ, trước cửa phòng của các cô hầu phòng thỉnh thoảng có người bắt đầu nhấp nhổm, lén lút.
A lányok ilyenkor kibújnak ágyukból - az ágyak egymás fölött vannak, odalent mindenütt kevés a hely, a lányok szobája voltaképpen nem is egyéb, mint egy nagy szekrény, három fiókkal -, hallgatóznak az ajtónál, letérdelnek, félelmükben átölelik egymást.	Các cô gái lúc đó đều ra khỏi giường, - những chiếc giường chồng lên nhau, ở dưới kia nơi nào cũng ít chỗ, phòng của các cô gái thật ra không khác gì một chiếc tù lớn có ba ngăn kéo - họ quỳ xuống nghe ngóng bên cửa, và ôm lấy nhau vì sợ.
S az ajtó előtt egyre hallani a föl-alá sompolygást.	Ở trước cánh cửa luôn luôn nghe tiếng đi lại lén lút.
Már örülnének neki, ha az illető végre bejönne; de nem történik semmi, nem jön be senki.	Nếu kẻ đó bước vào thì các cô gái mừng hơn, nhưng không xảy ra điều gì cả, cũng không có ai bước vào.
S közben azt kell gondolniuk magukban, hogy ez nem föltétlenül valamilyen fenyegető veszedelem, lehet, hogy éppen csak föl-alá járkál valaki az ajtó előtt, és azon töpreng, rendeljen-e valamit, és nem tudja rászánni magát.	Buộc phải tự trấn an mình rằng không có sự nguy hiểm nào đe dọa họ, có thể ai đó chỉ đi lại ở trước cửa phòng, suy tính có nên gọi cái gì không, mà vẫn không quyết được.
Lehet, hogy csak ennyi az egész, de lehet, hogy egészen más.	Có thể tất cả chỉ có thế, nhưng cũng có thể là hoàn toàn khác.
Hiszen voltaképpen nem is ismerik az urakat, látni se igen látják őket.	Bởi vì các cô không quen biết các ngài, cũng không nhìn thấy họ.
És miért?	T vậy?
K. és Frida miatt.	Tại vì K. và Frida.
Megint vissza ebbe az életbe, melyből alighogy kimenekült, igaz, hogy K. segítségével, de azért a saját megfeszített erejével is.	Lại trở về với cuộc sống mà cô vừa trốn khỏi, đúng là nhờ sự giúp đỡ của K., nhưng bằng cả nỗ lực của bản thân cô nữa.
Mert abban a szolgálatban elhanyagolják magukat a lányok, még a leggondosabbak is.	Trong công việc này các cô gái thường không chăm sóc đến bản thân, kể cả những cô chu đáo nhất.
Kinek díszítgetnék magukat?	Họ trang điểm cho ai?
Nem látja őket senki, legföljebb a konyhai személyzet; akinek ez elég, csak díszítse magát.	Không ai nhìn đến họ, cùng lắm chỉ có nhân viên nhà bếp, người nào nghĩ như thế là đủ thì cứ đi mà trang điểm.
Egyébként mindig a szobájukban tartózkodnak, vagy az urak szobájában, ahová tiszta ruhában akár csak belépni is könnyelműség és pazarlás.	Hơn nữa họ luôn ở trong phòng mình, hoặc trong phòng của các ngài, những nơi mà bước vào đó với quần áo sạch sẽ thôi cũng đã là nông nổi và lãng phí.
És mindig villanyfényben, mindig abban a nyomott levegőben - folyton fűtenek -, és voltaképpen mindig fáradtan.	Họ luôn ở trong ánh điện, trong bầu không khí ngột ngạt, - người ta liên tục đốt lò sưởi - và luôn mệt mỏi.
Mert a heti egy szabad délutánját úgy tölti el a legjobban az ember, ha félelem nélkül, békességben átalussza valahol a konyha zugában.	Bởi vì hàng tuần họ nghỉ một buổi chiều tốt nhất bằng cách chui vào xó xỉnh nào đó trong nhà kho, nhà bếp mà làm một giấc yên ổn không phải lo sợ gì cả.
Hát minek cicomázza magát?	Vậy thì còn bôi son trát phấn làm gì?
Még fölöltözni is éppen hogy csak fölöltöznek.	Đến quần áo họ cũng chỉ mặc qua quýt vậy.
És Pepit most egyszerre csak áthelyezték az ivóba, ahol - amennyiben meg akar maradni ott - éppen az ellenkezőjére van szüksége az embernek, ahol mindig mások szeme előtt van, igen elkényeztetett és kíváncsi urak szeme előtt is, s éppen ezért mindig a lehető legfinomabban és tetszetősebben kell hatnia.	Bỗng người ta chuyển Pepi sang quầy uống, nơi mà - nếu như cô muốn ở lại đó - con người ta còn phải làm ngược lại so với cuộc sống cô hầu phòng, nơi mà luôn luôn phải xuất hiện trước mắt người khác, và chính vì vậy luôn luôn phải tỏ ra duyên dáng nhất, hấp dẫn nhất.
Micsoda fordulat!	Bước ngoặt lạ lùng!
És Pepi megállapíthatja magáról: nem mulasztott el semmit.	Pepi có thể nhận định về mình: cô đã không bỏ lỡ điều gì cả.
Mint később ki fog derülni, egyáltalán nem aggodalmas­kodott.	Như sau này sẽ rõ, cô không hề lo lắng.
Tudta, egészen biztos volt felőle, hogy megvannak benne az álláshoz szükséges képességek, most is ez a meggyőződése, s ebben senki sem ingathatja meg, még ma, vereségé­nek napján sem.	Cô biết, cô hoàn toàn tin chắc rằng trong cô có những khả năng cần thiết đối với công việc, bây giờ cô cũng tin chắc như vậy, không ai có thể lay chuyển được cô, kể cả hôm nay, ngày cô thất bại.
Csak egy dolog volt nehéz: hogy hogyan állja meg a helyét mindjárt a kezdet kezdetén, végtére is csak szegény kis szobalány volt, se ruhája, se ékszere, az uraknak pedig nincs türelmük megvárni, míg kifejlődik valaki; átmenet nélkül egyszerűen azt kívánják, a csaposlány legyen olyan, amilyennek lennie illik, különben elfordulnak tőle.	Chỉ có một việc khó nhất là làm thế nào cô đứng vững ở vị trí của mình ngay từ đầu, rút cuộc thì cô chỉ là cô hầu phòng nghèo khổ không quần áo, không đồ trang sức, mà các ngài thì không có kiên nhẫn chờ đợi cho đến khi ai đó phát triển, đơn giản là các ngài chỉ muốn có ngay cô bán ở quầy như cần phải thế, không cần có sự chuẩn bị, nếu không thì họ quay mặt đi.
Azt lehetne hinni, nincsenek valami nagy igényeik, hiszen Frida is ki tudta elégíteni őket.	Có thể nghĩ rằng, các ngài không có những nhu cầu gì lớn, đến như Frida mà cũng làm cho họ thỏa mãn.
Ez azonban nem áll.	Nhưng không đúng thế đâu.
Pepi gyakran elgondolkozott ezen, Fridával is többször összejött, egy ideig együtt is aludtak.	Pepi thường xuyên suy nghĩ về việc này, cũng đã nhiều lần cô gặp gỡ Frida, có thời gian họ ngủ chung với nhau.
Fridát nem könnyű nyomon követni, és aki nem figyel erősen - és melyik úr figyel erősen -, azt tüstént félrevezeti.	Gặm được Frida không phải là dễ, và người nào không để ý kỹ - có vị nào để ý kỹ đâu - thì ngay lập tức bị cô ta làm cho lạc hướng.
Frida mindenki másnál jobban tudja magáról, milyen siralmas jelenség; ha például valaki először látja őt kibontott hajjal, részvétében összecsapja a kezét; ilyen lánynak, ha minden rendben menne, még szobalánynak se szabadna lennie; de ezt ő is tudja, és éjszaka olykor sírt is miatta, Pepihez simult, és Pepi haját odahúzta a fejére.	Frida biết về mình hơn cả người khác, một kẻ đáng thương làm sao. Ví dụ, nếu ai đó lần đầu tiên nhìn thấy cô ta để tóc xõa ra thì dễ đập tay vào nhau vì cảm thông; một cô gái như thế này, nói thực là ngay cả làm cô hầu phòng cũng không được; nhưng cô ta cũng biết việc này, và đêm đến cô ta khóc vì nó, cô ta nép vào người Pepi và kéo tóc Pepi áp vào đầu mình.
De ha szolgá­latban van, eloszlik minden kételye, azt tartja magáról, hogy ő a legszebb, s ezt másokkal is el tudja hitetni, mindenkivel a maga módján.	Nhưng nếu cô ta bước vào chỗ làm việc, mọi ngờ vực của cô ta đều tan đi, cô ta coi mình là người đẹp nhất và có thể làm cho những người khác, với mọi người, tin như vậy, theo cách của cô ta.
Ismeri az embereket, és ez az ő sajátos művészete.	Cô ta hiểu con người và đây là nghệ thuật riêng của cô ta.
És könnyedén hazudik és csal, nehogy az embereknek idejük legyen alaposabban szemügyre venni.	Cô ta dễ dàng nói dối và lừa đảo, không để cho người ta có thì giờ xem xét sự việc một cách thấu đáo.
Persze ez azért mégse megy a végtelenségig, az embereknek mégiscsak van szemük, és végül mégiscsak hisznek a szemük igazának.	Tất nhiên điều đó cũng không phải là không có giới hạn, người ta vẫn có mắt, và cuối cùng thì người ta tin vào sự thật mà mắt mình nhìn thấy.
Ha nem hiszed, megbizonyosodhatol róla; eredj és kérdezd meg Klammot.	Nếu anh không tin thì cứ đi mà hỏi Klamm, anh sẽ tin chắc điều đó.
Milyen ravasz, milyen ravasz.	Cô ta mới xảo quyệt làm sao, xảo quyệt làm sao!
És ha netán nem mernél ilyen kérdéssel Klamm elé járulni, és talán ennél ezerszer fontosabb kérdésekkel sem engednének elé, és ha Klamm tökéletesen hozzáférhetetlen is számodra - csak számodra és a magadfajták számára, mert Frida például akkor ugrik be hozzá, amikor akar -, ha így áll is a dolog, ezért mégis bizony­sá­got szerezhetsz, éppen csak várnod kell!	Còn nếu như anh không dám đến hỏi Klamm bằng những câu như thế, và có lẽ người ta cũng không cho anh đến gần ông ta, cho dù anh có những câu hỏi nghìn lần quan trọng hơn, hoặc nếu đối với anh, Klamm không thể nào tiếp cận được - chỉ đối với anh và những loại người như anh, bởi vì Frida chẳng hạn, cô có thể nhảy vào với ông ta lúc nào cô ta muốn - nếu sự việc như vậy thì anh cần chờ đợi, anh vẫn có thể biết được chắc chắn điều đó.
Klamm aligha tűrne sokáig ilyen hamis mende­mondát, nyilván éberen figyeli, mit beszélnek róla az ivóban és a vendégszobákban; mindez a legkevésbé sem közömbös számára, és ha úgy találná, hogy hazug, akkor helyreigazítaná.	Klamm không thể chịu được lâu những điều đồn đại giả dối như thế, chắc chắn ông ta tỉnh táo theo dõi xem người ta nói gì về ông ta ở quầy uống và trong các phòng khách, vì tất cả những điều đó cực kỳ quan trọng đối với ông ta, chỉ cần nghe thấy những lời dối trá kia thì ông ta phủ nhận ngay tức khắc.
De nem igazítja helyre; akkor hát nincs mit helyreigazítani, s akkor ez a színtiszta igazság.	Nhưng ông ta không điều chỉnh, vậy là không có gì phải phủ nhận, nghĩa là điều đó là sự thật hoàn toàn.
Látni csak annyit lehet, hogy Frida beviszi a sört Klamm szobájába, aztán kijön a fizetséggel; azt pedig, amit nem látni, Frida meséli el, és el kell hinni neki.	Người ta chỉ nhìn thấy Frida mang bia vào phòng Klamm sau đó cô ta lấy tiền đi ra, còn cái gì không nhìn thấy thì Frida kể lại, và cần phải tin cô ta.
De voltaképpen nem mesél el semmit, végtére csak nem fecseg ki effajta titkokat; nem, körülötte maguktól is kifecsegik magukat a titkok, s ha egyszer kifecsegték magukat, akkor már Frida sem vonakodik tovább, ő maga is beszél már róluk, de szerényen, anélkül, hogy bármit is határozottan állítana, és csupán olyasmit említ, amit amúgy is tud mindenki.	Nhưng thật ra cô ta không kể gì hết, cô ta chẳng đàm tiếu những bí mật loại đó; không, những bí mật xung quanh cô ta tự nói về mình, và một khi chúng đã tự nói lên t lúc đó Frida không miễn cưỡng gợi lại chúng, chính cô ta cũng nói về chúng, nhưng nói một cách khiêm tốn, không khẳng định bất kỳ điều gì dứt khoát, chỉ nhắc đến điều mà ai cũng biết.
Mindenesetre tény, akármilyen csodálatos is, hogy Frida Klamm kedvese.	Dù sao thì Frida vẫn là người tình của Klamm, cho dù sự thật có kỳ lạ như thế nào đi nữa.
Mármost hogyisne csodálnák a többiek is azt, amivel egy Klamm beéri!	Giờ đây, khi Frida là đẹp đối với Klamm thì những người khác làm sao không mê cô ta chứ!
Így aztán Frida anélkül, hogy számítottak volna rá, egyszeriben nagy szépség lett, ő lett az a takaros lány, akire az ivóban szükség van; sőt már-már túl szép, túl hatalmas, már szinte nem is elég neki az ivó.	Thế rồi trong chớp mắt Frida cùng một lúc trở thành người đẹp mà không ai ngờ tới, cô ta trở thành người lịch sự xinh xắn mà quầy uống cần đến, thậm chí cô ta quá đẹp, quá quyền uy gần như quầy rượu không vừa lòng cô ta nữa.
S valóban, az emberek csodálkoznak rajta, hogy még mindig ott van az ivóban; csaposlánynak lenni nagy dolog, és ha innét nézzük, a Klamm-mal való kapcsolat nagyon is hihető; de ha egyszer kedvese Klammnak a csaposlány, miért hagyja az ivóban, mégpedig ilyen sokáig?	Quả thật người ta ngạc nhiên là cô ta vẫn còn ở quầy rượu, trở thành cô phụ trách quầy rượu là việc lớn, và như vậy việc quen biết với Klamm, có thể tin được nhưng một khi cô bán rượu là người tình của ông ta, tại sao Klamm lại để cô ta ở lại quầy rượu lâu như thế?
Miért nem viszi följebb?	Tại sao ông ta không đưa cô ta lên cao hơn?
Hiába mondja az ember a népeknek százszor és százszor, hogy itt semmiféle ellentmondás nincs, hogy Klammnak megvannak a maga okai, amiért így cselekszik, vagy egyszer csak váratlanul, talán már a legközelebbi jövőben meg­történik Frida fölemelkedése: mindez jóformán hatástalan marad, a népeknek megvannak a maguk elképzelései, és azoktól tartósan semmilyen mesterkedéssel sem lehet eltéríteni őket.	Người ta nói hàng trăm và hàng trăm lần cho dân tình mà đều vô ích, rằng trong chuyện này không có gì mâu thuẫn cả, rằng Klamm có những lý do để hành động như vậy, hoặc rồi có lúc, một cách bất ngờ, có lẽ trong tương lai gần sẽ xảy ra sự thăng tiến của Frida: thảy những điều này đều không tác động gì đến họ, dân tình vốn có những khái niệm cố định mà, không có hành động giả dối nào có thể phá vỡ nổi.
Senki sem kételkedett már benne, hogy Frida Klamm kedvese, még azok is belefáradtak a kétkedésbe, akik kétségkívül jobban tudták a dolgot.	Không một ai nghi ngờ nữa việc Frida là người tình của Klamm, cho đến những người chắc chắn là biết rõ chuyện hơn cả thì cũng mệt mỏi vì ngờ vực.
"Vigyen az ördög, légy hát Klamm kedvese - gondolták -, de ha már az vagy, szeretnénk látni az előmeneteleden is." De nem lehetett látni semmit, Frida ott maradt, ahol volt, az ivóban, és titokban még örült is neki, hogy így maradt a dolog.	"Quỷ tha ma bắt cô đi, thì cô cứ là người tình của Klamm - họ nghĩ - nhưng nếu là như vậy, thì chúng tôi muốn được thấy cô tiến tới". Nhưng không thể thấy gì cả, Frida vẫn ở đó, trong quầy rượu, và mừng thầm rằng sự việc vẫn như vậy.
